8/8/6kp/1R6/6P1/1P4PK/1r6/8 b - -,b2d2
8/8/8/6k1/5npp/4N3/6K1/8 w - -,g2f2
8/5p1k/3P1R1P/6p1/2b5/1p1r4/1K6/8 b - -,g5g4
1r3k2/7R/P7/8/3B1p2/1K3p1P/1P2rP2/8 w - -,b3c4
8/6b1/7k/1p1P4/2p1Q3/2P4P/3q2P1/7K w - -,e4e6
1r6/kp1b3Q/p3q3/8/2pn4/6P1/P4PBP/3R2K1 b - -,c4c3
8/5B2/1pK4k/p6P/2P5/1P2b3/P7/8 w - -,c6b5
r2qkb1r/ppn2ppp/2p1pn2/8/3P4/P1NQ3P/1PP2PP1/R1B1KB1R w KQkq -,g2g3
8/1p5p/p4k2/P5p1/1PP2K2/7P/8/8 w - g6,f4g4
1n1q1rk1/r4pnp/2p1p1p1/1pPpP3/pP1P1P2/P2BQNP1/6RP/4R1K1 w - -,e1f1
r2q1rk1/pp1nbppp/1np1b3/3pp3/4P3/1PNP1NPP/PBP2PB1/R2Q1RK1 b - -,d8c7
8/4n1k1/8/4N1KP/6P1/8/8/8 w - -,e5f3
r4rk1/2p1qppp/p1np1n2/4p3/P3P1b1/1BPPPN2/3N2PP/R2QR1K1 b - -,c6a5
6k1/5pbp/1r2p1p1/8/7P/1p4P1/1P3P2/2N2RK1 w - -,c1d3
4n1k1/5pp1/p7/2B5/1Pp2b2/3n1P1p/4N2P/1R5K b - -,f4d2
rnbqkb1r/pp2pppp/8/2p1P3/3p1Pn1/8/PPPPN1PP/R1BQKBNR w KQkq c6,g1f3
6k1/5p2/p1r1p1p1/1pN1P2p/1PpP4/P3KP2/6PP/5R2 b - -,g8f8
r3rbk1/1p1n3p/1qpPn1p1/2P2p2/8/PN5P/2Q5/BN1R1B1K b - -,b6d8
3rr1k1/1bpqbppp/p1n2n2/1p1Pp3/8/PBPP1N2/1P1NQPPP/R1B1R1K1 b - -,f6d5
r1b2rk1/bp2qppp/p2ppnn1/8/4PP2/1NN1BBQ1/PPP3PP/R2R2K1 w - -,e3a7
8/5k1p/1p4p1/p4R2/P1P5/1P5P/5KP1/8 b - -,g6f5
1rb2rk1/p2nppb1/3p2pp/q1pnP3/1p1P1P1B/3B1N2/PPPQN1PP/K2R3R w - -,d4c5
r1bq1rk1/1p3pbp/p1nppnp1/8/2PNP3/2N1B3/PP1QBPPP/R3R1K1 b - -,f6e8
r7/2pk4/p1p2p1Q/5p2/2pPb3/P7/1P6/6K1 w - -,h6f6
2rr2k1/2qbbppp/p2p4/1pnP2P1/3B1P1P/4QB2/PPP5/3RR1K1 w - -,d4c5
8/5pkp/3p2p1/3Pb3/6P1/7P/4Q3/4qB1K b - -,e1g3
r2qk2r/p1pp1pbp/1pn3p1/8/2P5/2N3P1/PP2PPKP/R1BQ1R2 w kq -,c3d5
r4rk1/p2qb1pp/2p1bpn1/2p1p2Q/2N5/1P1P4/PBP1NPPP/R4RK1 w - -,c4e3
2q2rk1/1p1n1ppp/p3p3/3p4/N2P4/b2BP2P/P4PP1/1Q3RK1 w - -,d3h7
2r2kr1/3b1p2/p3p3/1p1p3P/5Rn1/2PB2NP/P1PK4/4R3 b - -,g4h6
3r4/Qp4p1/2p3kp/5qN1/4n3/3p4/PP2r1PP/5RK1 w - -,f1f5
r1b1nrk1/3nppbp/p2p2p1/P1pP4/1q2P3/2N5/1P1NBPPP/R1BQ1RK1 b - -,e8c7
5R2/2b5/r5k1/P1pB1b1p/2P5/3p2P1/5P2/4R1K1 w - -,d5f3
1k4r1/1p1R3n/p1p5/P1P1p1pp/2K1N2P/2P2PP1/8/8 b - -,g5h4
5br1/Q2k1ppp/p1q1pn2/P7/3P4/2P3P1/5P1P/R4RK1 b - -,d7c8
3rk2r/5pp1/p3p3/3b3p/2RQ4/1N5P/P3qPP1/R5K1 w k -,d4g7
1k1q3r/pp1r2p1/1b3pp1/1Q3P2/3p1Pn1/7P/PP4B1/1KRR2B1 b - -,a7a6
rnb2bk1/pp1n1r1p/2pP1qp1/P3pp2/4P3/BPN3P1/4NPBP/2RQK2R b K -,b8a6
