8/1pB5/2b1kp2/5rpp/1R5P/3PK1P1/8/8 w - -,b4d4
r1b2rk1/pp3pp1/1bpp1qnp/1P3P2/3PP3/2N1B3/P2QB1PP/R4RK1 b - -,g6e7
rn1qkbnr/pp3ppp/2p1p3/3pPb2/3P4/2N5/PPP2PPP/R1BQKBNR w KQkq -,g1f3:g2g4
5k2/3r1P1p/1r2p1pP/pp1pK1P1/2pP4/2P1R3/PP6/4R3 w - -,e1f1
r2qkb1r/pbpnpppp/1p1p1n2/8/3P1B2/4PN1P/PPP1BPP1/RN1QK2R b KQkq -,g7g6
5B2/8/p1p3k1/1pPp2pp/1P1P4/4K3/P7/8 w - h6,e3f3
2r5/5p1k/p7/4p2p/P4p2/2p2P2/2NnK1PP/6R1 b - -,h5h4
8/6pk/7p/N1p1pr2/7n/P2P2RP/7K/8 b - -,f5f2
5rk1/5pb1/4p1pp/8/3P3Q/3qBP2/5P1P/2R3K1 b - -,d3b3
r3rbk1/5pp1/p2pq2p/1pp5/1P1pPP2/P2P4/2PNQ1PP/3R1RK1 b - f3,e6a2
2bq1rk1/p1p3pp/1rBb1n2/3p4/8/6N1/PPPPQPPP/R1B2RK1 w - -,c6a4
r4rk1/ppp2ppp/2bb4/3Q4/q6P/2B3P1/PPP1BP2/R3R1K1 w - -,d5d4
2R5/5k2/3bp1r1/p2p1p2/q2B1P1p/6P1/1P3QKP/8 w - -,c8a8
3rr1k1/p3qpp1/1p3n1p/2np1P2/1R2p1P1/2P1B1Q1/P1P1BP1P/3R2K1 w - -,h2h3
3q1r1k/2p3np/2br2n1/p2N1p2/1pB2P2/1P6/P4QPP/1NKRR3 w - -,f2c5
8/5nk1/p2p1p2/P2P1P1P/4P2P/1Qp4K/2B5/4q3 b - -,e1e3
2r2rk1/3qbppp/p3p3/1p1n4/1n1P4/2N1P3/PB2BPPP/R2Q1RK1 w - -,d1b3
r2q1rk1/3nppb1/p1bp1npp/1p6/2P4B/2N1PN2/PPQ1BPPP/3RK2R w K -,f3d4
2kr3r/1p6/p1p5/2b2b1p/3p4/6PP/PP1BBP2/2KR3R w - -,d2g5
1kr5/1p1n1pp1/p7/3Pp2r/7p/PKN1BPbP/1P1R2P1/3R4 w - -,c3e4
r2qr1k1/1bpn1pb1/p4npp/1p2p3/1P2P3/P1P2N1P/1BBN1PP1/RQ2R1K1 w - -,c3c4
3Q1r2/5P2/2B4p/2k4P/P1p5/8/K7/8 b - -,f8d8
2rqr1k1/pp3pp1/4nn1p/3p1b2/P1pP1B2/1PQ1P3/3NBPPP/R4RK1 w - -,f4e5
r5k1/pppq1p2/5bp1/3p3p/3P1B2/2P1Q3/PP3PPP/4R1K1 w - h6,h2h3
6k1/5pbp/3p2p1/2r5/4P3/2P3P1/2Q2PKP/r7 w - -,c2b2
5r1k/2Rr3p/3p1q2/N2bp1pQ/1P1PpP2/4P1p1/7P/2R3K1 b - f3,d7c7
r1bq1r1k/p5pp/1p6/2b4n/1B2P3/3p1NP1/P2QNPB1/1R2R1K1 b - -,d3e2
1r1r2k1/pBp2ppp/6b1/2B5/6P1/2b4P/P1P2P2/3R1RK1 b - -,d8d1
1q6/3nkpp1/pr1p4/Q2Bp1P1/4P3/P4P2/1PR5/1K6 b - -,d7c5
r1bq1rk1/pp3p1p/4p1p1/2pPb3/4P3/2P5/P2QBPPP/1RB1K2R w K -,f2f4
r1b2bk1/ppq2rpp/5p2/2PQp3/8/3RB3/PPPN1PPP/2KR4 b - -,c7e7
