8/4k3/5R2/4Pp2/5P2/3pK3/2r5/8 b - -,d3d2
r1b2rk1/ppR1Bp1p/4p1p1/b3P3/4P3/3BK3/P4PPP/2R5 b - -,a5c7
2r4r/p3k1pp/4pp2/3b4/3p1P2/1P3NP1/P2KP2P/R1R5 b - -,d5f3
8/6pk/1p2R2p/8/1P6/r7/5PPP/6K1 w - -,g2g3
8/5p2/3rp3/2n5/8/1pk2P2/1R2K1P1/3B4 w - -,b2b1
7k/3RP3/r7/6KP/6P1/8/8/8 b - -,a6a5
8/6b1/3pk3/r4p2/1p1P1P2/1P3K2/3R1B2/8 w - -,f3e3
5r1k/2q3p1/7p/1pPR4/pP6/P3Q2P/6P1/6K1 b - -,c7f7
2k4q/1p1b4/p3p3/2p1P1N1/1nr4P/3B1P2/PP4P1/R4RK1 w - -,d3c4
rnbqkb1r/pp2pppp/8/2pp4/3PnB2/3BP3/PPP2PPP/RN1QK1NR b KQkq -,c5d4:b8c6:e4f6
4r2k/p4p1p/2P3p1/8/2b5/2b4P/P5P1/1Q1Rr2K w - -,h1h2
r3r1k1/p4ppp/2p1pn2/2B5/2nR4/1NP3P1/P3PP1P/R5K1 b - -,c4b6
r1b1qnkr/1p2bpp1/p2Bp3/3pP2p/1P1N1Q2/P2B4/5PPP/2R1R1K1 b - -,e7d8
r5kr/pp1qppb1/2n1bnp1/1BPp3p/1P1P1NP1/P1N1BP1P/3Q1R2/4R1K1 w - -,f2g2
5rk1/pp1b3p/3p1b2/2pP1p1q/2P2Bn1/1P1Q2PN/P5BP/4R2K b - -,h5h3
rn1qkb1r/pb1ppppp/1p3n2/2p5/3P4/3BPN2/PPPN1PPP/R1BQK2R b KQkq -,g7g6
3r3r/R2bkp2/2B1pRp1/p1p1P2p/P4K1P/2P2P2/6P1/8 w - -,c6d7
2rr2k1/1bq1bppp/p2ppn2/1p6/3NPB2/P1N2P2/1PPR1QPP/5RK1 w - -,d4e2
8/1q3pkp/2R1p1p1/p3r3/P7/6P1/2Q2P1P/6K1 w - -,f2f4
R7/2b2p2/2k2p2/2p1pN1r/3pP2P/1P3P2/P1P1K3/8 b - -,h5h7
2R5/6pk/p1pr1r1p/4p3/P7/1P3P2/6PP/2R3K1 w - -,h2h3
8/5p2/5Rpp/8/1b1k1P2/7P/6PK/8 w - -,f6f7
rn2kb1r/ppp2ppp/4p3/8/1qBP4/4PQ1P/PPPN2P1/R3K2R b KQkq -,c7c6
3R4/1p1k4/2pb4/B4R2/3P2q1/P7/5P2/7K b - -,d7e6
2r2rk1/5pnp/Q5p1/4P3/P2qN3/6P1/5P1P/3RR1K1 b - -,d4b4
3r1r1k/2p4p/3b1pp1/1p2p2n/p3P3/PqP1NPP1/1PQ2B1P/3RR2K b - -,b3c2
b1rr2k1/p2nqppp/1p2p3/2b1P3/2N5/1P1B4/PB2QPPP/3R1RK1 b - -,d7f8
8/Nrnk2p1/3p3p/RP3p2/3b4/6PP/3B1PK1/8 w - -,a7c6
5rk1/1p4bp/5pp1/1p1p1b2/3B4/1P2P3/P2N1PPP/2R3K1 w - -,c1c5
4r1k1/ppp2pb1/6p1/8/3P3R/3Q1P2/qP3P2/2K4R b - -,e8e6
8/1p1r4/6k1/6Bp/PP4p1/8/8/5RK1 b - -,g6g5
r4rk1/1q2bppp/p1np4/4p3/2P5/P3BN2/1P2QPPP/3R1RK1 w - -,b2b4
r1bq4/pp1r2k1/2p1Bb1p/5p2/2Pp1Q2/1P4P1/PB3P1P/R4RK1 b - -,d7e7
r1bqrnk1/4bpp1/2p2n1p/p2p4/1p1P1NPP/P1N2PB1/1PPQ4/2KR1B1R w - -,a3b4
5bk1/1p3p1p/q3b1p1/1Np5/P3n3/1P2N1P1/5PBP/1R1R2K1 b - -,f7f5
r2k3r/1p2ppb1/p2p3p/4n1p1/Bn2NB2/8/P1PR1PPP/5RK1 w - -,f4g3
1Q6/5pkp/2p3p1/p6q/P4P2/6P1/7K/8 w - -,h2g2
8/4ppkp/p5p1/1rN5/1n1r2b1/1P4P1/1P3PBP/2R1R1K1 w - -,g2f1
3r4/2b5/p3k3/1p1p1p2/1PrB1P2/P3P2K/8/2RR4 b - -,d8d7
8/2R2P2/8/1pp5/3kn3/8/1K3r2/3B4 w - -,b2c1
6k1/3b2pp/1pn1pr2/rN1p2n1/5N2/6P1/PPP3BP/1K1R3R w - -,b5a3
r1b1r1k1/pp3nbp/1qpp1n2/5PB1/2PN1N2/5P2/PP2B2P/R2Q1R1K w - -,g5h4
2rq1rk1/pp1b2pp/n1pbpn2/3p1p2/1PPP4/P1NBPP2/2QBN1PP/R3K2R b KQ -,b7b5
8/Bb5k/2p3pP/1p2P1K1/8/8/PP6/8 b - -,b7c8
2q2rk1/1p3pp1/p1rbbnnp/4p3/4P3/P1N1B1PP/1PQN1PBK/R2R4 b - -,h6h5
4R3/8/8/3k3r/1K6/2B5/8/8 b - -,h5f5
r1bqkb1r/pp2ppp1/2n2n1p/8/2BP3B/2N5/PP3PPP/R2QK1NR b KQkq -,d8d4:e7e6
2rq1rk1/p1n2p1p/1p4p1/4P3/6N1/2p2R2/PP4PP/2RQ2K1 w - -,f3c3
r1bq1rk1/ppp1ppbp/2n2np1/3p4/5P2/3PPN2/PPP3PP/RNBBQRK1 b - -,f8e8
r4rk1/pp1bp2p/3p2pq/2pPn3/2P1NN2/1P2QP1P/P5P1/3RR1K1 w - -,f4e6
r2r2k1/1p2bppp/p1b1p3/2Pn4/1P3qP1/P5NP/1B2QPB1/R2R2K1 b - -,f4g5
1r3rk1/5pb1/b2q2p1/p1nPp1Bp/P1p1P1nP/2P3N1/2B1Q1PN/R4RK1 b - -,g4h2
2r3k1/pn3p2/1p1B1rpp/3P4/P1P1R3/3B1P2/4KP1P/1R6 b - -,b7d6
3r1rk1/1p3ppp/p3b3/2qnp1b1/8/2N2BN1/PPP2PPP/1R1Q1RK1 w - -,c3e4
r1br2k1/pp6/4p1p1/4n1Np/3pN1P1/P7/1P1K1P2/R6R w - -,g4h5
r1b2rk1/p1Q3p1/1p1N3p/3P1p2/3n2P1/3B3P/1q2PP2/2R1R1K1 b - -,f5g4
3qrk2/2p2p2/1p4p1/1P2Qn2/1p3R2/1B5P/P5P1/6K1 w - -,e5h8
1knr4/1p1r1pb1/p1n1p1p1/3p2Pp/5N1P/BPP4R/P1BP1P2/1K2R3 b - -,g7f8
8/8/8/p1k5/P7/1Pb1K3/8/8 w - -,e3d3
r2qnrk1/ppp3bp/3p2b1/1PPPp3/5nN1/B1N5/P4PPP/R2QRBK1 b - -,d8h4
5R1k/2p4n/2Pp3q/4p3/1P2PbP1/5P2/Q7/3BB1K1 b - -,h7f8
2kr2r1/1p3pPp/p1pqb3/8/1Q1NP2P/PP1n1P2/1B4P1/2R2KR1 w - -,b4d6
8/8/8/2Pk3K/3P3n/8/8/8 b - -,h4f3
r1b1nrk1/1pp1qppp/3p4/p1nPp3/2P1P3/PP6/2QNBPPP/R1B2RK1 b - -,f7f5
4r3/5k1p/1pN5/8/PP3K2/2Bp1P2/7P/8 b - -,e8e2
8/3n4/8/3k4/1PB1p2p/2K1P2P/5P2/8 b - -,d5e5
4r1k1/p4pp1/1p4q1/n1pPp3/P1b1P3/2P4p/5QB1/1RB1R1K1 w - -,e1e3
2rr2k1/1b1qbppp/pp2p3/n2nB3/3P4/P1N1QN1P/1P2BPP1/2RR2K1 w - -,c3d5
5k2/p1R2ppp/7r/P2Pn3/4P3/5P2/r3BK1P/7R w - -,c7a7
r3rk1n/1bp1q1bQ/pp2p1p1/3PppP1/P2B1P2/2NP1N2/1P6/2KR3R w - -,h7h8
1r4k1/4pp1p/3p2p1/2p5/3bPPB1/1q1P2P1/2Q4P/5R1K w - -,c2b3
6k1/4bp2/4p1p1/4Nn2/3PQP2/2P3P1/1q4K1/5R2 w - -,g2h3
r3r1k1/1b3ppp/p2q4/1ppP4/P7/3QP2P/1B3PP1/3R1RK1 w - -,e3e4
6k1/5p1p/b3p1pQ/p2pP3/2qNnP2/7P/1PP3P1/3R2K1 b - -,c4b4
