8/P4Rp1/6kp/r4p2/2p5/4P2P/5PP1/4K3 w - -,f7c7
R7/7p/5pk1/1r6/5B1P/5K2/8/8 b - -,b5b3
2b1rbk1/1p3ppp/2pp4/p4Pq1/P3PQ2/1nN4P/1P4B1/3R1R1K b - -,g5f4
r2r2k1/p1qn1pbp/2ppb1p1/Pp6/4PP2/2N1B1PP/1PPR1QB1/R5K1 w - b6,e3d4
4r1k1/1pq2pp1/2p2nbp/p7/P2QP3/1PN3P1/5PBP/3R2K1 b - -,c7e5
r1b2b1r/p2p1kpp/2nP1p2/qp6/2p1Q3/2P2N2/PP1N1PPP/R3KB1R w KQ -,d2c4
r2q1rk1/pbp1b2p/1p1p1n2/3Ppp2/2P2p2/2N1P1B1/PP1QB1PP/R2R2K1 w - -,e3f4
r3r3/2p3k1/p1Nb2pp/5p2/PPP1p3/3bB1PP/5P2/2R1R1K1 w - -,c4c5
r4rbk/ppq1b1pp/4p3/3pP3/2pN1PP1/P1PnB1QB/1P5P/R4RK1 w - -,a1b1
1r3rk1/3bqpbp/p2p1np1/1ppPn3/4P3/2N4P/PPQNBPPB/4RRK1 b - -,b5b4
2r5/r2k2bp/3Bp1p1/2P2pN1/p2P4/Rb5P/5PP1/4R1K1 w - -,g5f3
3rr1k1/pb1qnpb1/1pn3pp/2p1p3/2P4P/P1NPPNP1/1B2QPB1/1R1R2K1 w - -,f3h2
8/8/1K6/8/4k3/R4p2/8/8 b - -,f3f2
7r/1r3pn1/1p1n1kp1/pPpP1p1p/2P5/3B1P2/1P1NR1PP/4R1K1 b - -,h8e8
5rk1/p4pp1/1p1p1n1p/1P6/4qN1Q/8/P1r3PP/3R1RK1 b - -,d6d5
r1b1kb1r/p1qp2pp/n2n1p2/8/2PN4/P1BB4/2QN1PPP/R3K2R b KQkq -,a6c5
6k1/pp1n2p1/4p2p/3p1p1b/1B1P4/1P2P1PP/2r2PB1/1R4K1 w - -,b4d6
4qrk1/2p3r1/3p4/3Pn1pp/1P1NP3/2R2pRP/5N2/Q4K2 b - -,h5h4
5rk1/1q1n1pb1/2bp1np1/4p1B1/2B1P3/2P1NQ2/1P1N1P1P/R5K1 b - -,f6e4
3n4/1pk2p1p/5pp1/2PB4/PK3P2/6P1/7P/8 w - -,b4b5
8/2q2pk1/2P2bP1/p7/1pp5/5QP1/P2r2BK/4R3 b - -,f7g6
1rb1r1k1/2q3bp/1n3np1/1p1Pp1N1/2p1N3/8/1PQBB1PP/4RRK1 b - -,b6d5
8/8/2p5/2N1Bk2/2K2P2/r7/6b1/8 b - -,a3a2
3b2rk/2B4p/BP1p1nq1/3Pp3/2Q2p2/2N5/1K4b1/2R5 w - -,b6b7
r1bqr1k1/ppp2p1p/2nb1pp1/8/2BP4/2N1PQ2/PP2NPPP/R3K2R b KQ -,f6f5
1q1rb3/1p2kp1p/p2p2p1/2r5/2PQ4/2R3PP/P3PPB1/3R2K1 w - -,g2d5
2r1k2r/4bpp1/pq2p1b1/1N1pP3/P1pN1RP1/2R4P/5P2/Q5K1 w k -,a4a5
2kr3r/pp1b3p/2n1ppn1/q2p4/P1pP3N/2P5/2PBBPPP/R2Q1RK1 w - -,h4g6
2r2rk1/2q1ppb1/3p2pp/1R3b2/3P3B/5N1P/1PP1QPP1/2R3K1 b - -,f5e6
8/8/6k1/7p/1r6/5RK1/8/8 b - -,g6g5
3q1rk1/2r3n1/p2p4/2pP1p1p/PpN1P1bP/1P2R1PN/1Q3P2/5BK1 w - f6,e4e5
4r3/4k1p1/2R4p/2n5/3p1P2/P6P/4BK2/8 b - -,c5e4
1rr5/p5kp/2p1bpp1/3pp3/1qP5/QP2P3/P1RN1PPP/5RK1 w - -,a3b4
6k1/1r6/3p2nr/2qP3B/1p2Pp1P/8/1Q5K/2R5 w - -,c1c5
3r1r1k/1b4b1/p5p1/1pq2p1p/2p1P3/2P2R1P/PPQN1NP1/4RK2 b - -,g7h6
r2q1rk1/1pp1npb1/3ppnp1/p4N1p/2PP4/PP3NPP/1Q2PPB1/R1BR2K1 b - -,e6f5
r1bq1rk1/ppp2pbp/2np1np1/4p3/2P5/1P1PPN2/PB2BPPP/RN1Q1RK1 b - c3,f8e8
8/5p2/p1r1kp2/8/2PK2P1/R7/P7/8 b - -,e6d6
8/8/8/3pp3/7P/2k5/2P2PP1/5K2 w - -,h4h5
rnbqkb1r/ppp1pppp/5n2/8/2Pp4/6P1/PP1PPPBP/RNBQK1NR w KQkq -,g1f3
8/ppp3k1/3p2p1/3P4/2P2R2/6P1/Pr5P/6K1 w - -,f4e4
r1bqkr2/1p1n1p1p/p3pb2/2P1Np1B/5P2/2N5/PPP3PP/R2QK2R b KQq -,d7e5
2r3k1/1p3p2/p3p1pp/1b1pP3/2rR4/P1B1R2P/1PP2PP1/3K4 w - -,d4c4
r2r2k1/1p3pbp/1pn1pnp1/3p4/3P4/2N1PPP1/PPRB2BP/R5K1 b - -,c6b4
r1bqr1k1/pppn1pbp/3p1np1/4p3/2PP1B2/2NBPN2/PPQ2PPP/R3K2R w KQ e6,d4e5
2rq1rk1/pb1n1ppp/1p1ppn2/2p5/1PP5/PQ1P1NP1/4PPBP/R1B2RK1 b - -,d8c7
1k1r3r/pp3pp1/4pq1p/3p4/3N1P2/2N3P1/PPPQ3P/2KR4 w - -,c3e2
