8/1p4pp/p3bpk1/P7/3BKp2/8/7P/8 w - -,d4c3
8/2K2p2/R2Pk1p1/7p/8/8/5P2/3r4 w - -,a6c6
8/7p/3r2p1/1k3p2/3p1P2/2pK2PP/2R5/8 w - -,g3g4
2q2rk1/pb2pp1p/1p4p1/8/P3PP1N/B2Q1NP1/B4K2/b7 b - -,f8d8
r3k2r/pb1q2pp/3bpn2/Q1pp4/8/6P1/PP2PPBP/RNB2RK1 w kq -,b1a3
1q6/2r2rk1/3p1pn1/p2PnR2/PpPBP2p/1Q5P/4B1P1/2R4K b - -,f7f8
3r1k2/4b1p1/4r3/pN1n3p/P1QR4/4qP2/1P4PP/3R3K w - -,h2h3
b4rk1/3n1pbp/1q2pnp1/1p6/4P3/1QP2NPB/3N1P1P/2B1R1K1 b - -,f8c8
4r1k1/7p/p1b3p1/3pB3/2r2PR1/7P/6P1/3R3K w - -,g4g3
r3r1k1/p4ppp/q1p1bn2/3p4/Nb1P4/1P4P1/2QBPPBP/R2R2K1 b - -,b4d2
rnbqkb1r/pp3ppp/4pn2/2p5/2PP4/2N2N2/PP3PPP/R1BQKB1R b KQkq -,c5d4
3r1rk1/pp4b1/7p/6p1/2P3P1/3n3N/P3BpP1/1q1R1R1K w - -,d1b1
r2r4/1p2kpp1/3bb3/1pnpp2p/8/P1P1P1PP/1P1NNPB1/2RR2K1 w - -,e3e4
1r3bk1/2q2pp1/Bp2p1pn/p2pP2P/P2P1BP1/nP1Q1NK1/5P2/7R b - -,g6h5
r1bq1rk1/pp2npbp/2npp1p1/2p5/2P1P3/P1NP2P1/1P2NPBP/R1BQK2R w KQ -,a1b1:e1g1
8/p6p/6p1/2Q5/PPqp4/2k3PP/5K2/8 b - -,d4d3
1rbq1rk1/2p1bppp/3p1n2/1p1Np3/3NP3/1B1P4/1PP2PPP/R1BQ1RK1 b - -,e5d4
2r1k1nQ/p4p2/1p2p3/2qpP2P/5Pr1/P2B4/1BP5/1K1R4 b - -,c5f8
r2r2k1/pp1n1pp1/2pqbn1p/3p4/1P1P4/2NBPN1P/P1Q2PP1/1R2R1K1 b - b3,a7a5
r2qk2r/p2np1b1/2p1p1p1/3p3p/P1pP3P/2N1BP2/1PP1Q1P1/R3K2R w Qkq -,e3f4
rnb1k2r/pp3ppp/4p3/3pPn1P/4q3/P4N2/2PBBPP1/R2QK2R w KQkq -,e1f1
5k2/2p2p2/3p2P1/2p5/p2b1NP1/8/5R2/6K1 b - -,d4f2
r2qr1k1/pp2bppp/3ppnn1/2p5/P3P3/3P1N1P/1PPN1PPB/R2QR1K1 b - -,b7b6
r4rk1/pp1qbppp/3ppn2/8/2PnP3/1P6/P3QPPP/RNBR2K1 w - -,d1d4
8/4k3/7R/3pPK2/8/8/8/3r4 w - -,h6h7
r1b2rk1/1p2q1pp/p7/2b2p2/2P1p3/6Q1/P1B2PPP/2BRR1K1 b - -,c8e6
r3k2r/1q1pb1p1/pp2p3/5p2/2PP3p/1PN2NP1/P4K1P/R1B1Q3 b kq -,e8c8
r1b1kbnr/1p1q1p2/p3pp2/7p/2P1NP2/PN2QB2/6PP/R4RK1 w kq -,f1d1
5q1k/R1P3p1/7p/3Q4/8/7P/p5PK/4r3 w - -,a7a8
1r4k1/p2b4/1p2p1pp/3pP3/1RrB1P2/P1P1R1P1/6P1/6K1 b - -,b8c8
3q4/1p3pkp/r2np1p1/p2p4/P2P1QP1/2P2P1P/1P6/R3R1K1 w - -,b2b3
8/8/2p5/2Pn3p/P4p1k/1K1N1P2/8/8 w - -,a4a5
r4rk1/pp1q1pbp/2n1p1p1/8/3PPP2/4B3/P2Q1PBP/3R1RK1 b - -,f8d8
5q1k/6pp/2pb4/Q2p4/P7/2P3N1/5PPP/6K1 b - -,d6c5
r4r1k/ppp1q1pp/3b4/3nn3/4Pp2/PP1P1N2/1BQ1BP1P/R3K1R1 b Q -,e5f3
r2q1rk1/5p1p/b3pB2/nN6/PppP4/5N2/4Q1PP/R4RK1 b - -,d8f6
6k1/6p1/1r1n3p/1p1pr2P/1B1Pb1P1/P5K1/1P4B1/3R4 w - -,d4e5
2kr3r/1p1q2p1/p1nppb1p/P1p5/2B1P3/2N5/1PP2PPP/R2Q1RK1 b - -,c8b8
