8/8/8/2p2k1P/p4P2/P3K3/6p1/5bN1 w - -,e3d2
r2qk2r/bp1nnppp/p3p1b1/3pP1B1/2PN4/5N2/PP2BPPP/R2Q1RK1 b kq -,d5c4
r2q1rk1/1p1b2np/p7/2PQ1P2/4p1P1/6NP/PP1p3K/1BR2R2 b - -,d7e6
2b1rk2/b3pp2/p5p1/B2P1n2/1P4N1/3R2P1/2r2PB1/4R1K1 w - -,e1e4
5k2/1R6/4r3/2pp1r2/4n2P/P7/1B4P1/4R1K1 b - h3,d5d4
2r2rk1/p4ppp/1pBRp3/1P6/6n1/P3P2q/1P3P1P/3QK2R w K -,d1f3
2k5/p1p2p2/7p/2p1P3/4bPp1/1K4P1/1P4P1/3R4 b - -,e4g2
r1bq1rk1/1ppn2bp/3p4/p1nP1p2/2P1pP2/1NN1B3/PPQ1B1PP/R4RK1 b - -,a5a4
r2qkbnr/1bpn1ppp/pp1pp3/8/P2PP3/2NB1N2/1PP1QPPP/R1B1K2R b KQkq a3,g8e7
rnbqk2r/ppppb1pp/4pN2/8/2PP4/P7/1P3PPP/R1BQKBNR b KQkq -,e7f6
r1bq1rk1/pp3pb1/n2pp2p/2pP2pn/2P1P3/2NB2B1/PP1QNPPP/R3K2R w KQ -,e1g1
r4k2/2p3p1/p3np1p/P1n1p3/b1N1P3/2PN1P2/3R2PP/4rBK1 w - -,d3e1
8/8/3k2KP/5P2/6P1/1p6/8/1r6 w - -,f5f6
5k2/1R6/4p3/1p1pB3/1b1P4/4KP2/1r2N3/8 w - -,e2f4
r4r2/pp2pnk1/4Bpp1/3P4/2pR1P2/2Q1Bq1R/PP6/2K5 b - -,f3g2
rn1qk2r/1b1pbp1p/p3p1p1/1p1nP3/3NN1Q1/P2B4/1PP2PPP/R1B2RK1 b kq -,d8c7
8/8/8/6pk/1P2P3/R4K2/3r3P/8 w - -,a3a8
5rk1/6bp/p3r1p1/1p3n2/3p2B1/1P5P/PB3PP1/2R2RK1 w - -,f1d1
r1bqr1k1/pp2bppp/2p3n1/3p2Bn/3P4/2NBPP2/PPQ1N1PP/4RRK1 w - -,g5e7
rn1qkb1r/pp2pppp/2p1b3/3nN3/3P4/5Q2/PPP2PPP/RNB1KB1R w KQkq -,c1d2:c2c4:f1c4
r2r2k1/1p4np/3q2p1/pP1P1p2/2Q5/2N5/5PPP/1R2R1K1 b - -,a8c8
r1bq1rk1/1pp1bppp/p1n1pn2/8/2BPPB2/P1N2N2/1P3PPP/R2QK2R w KQ -,e1g1
r2q1rk1/1pp2ppp/2np1nb1/p1b1p3/2P3P1/P1NPP2P/1P2NPB1/R1BQK2R w KQ -,d3d4
1rbbqrk1/2pnnppp/3p4/1p1Np3/3PP3/1BP1BN1P/1P3PP1/R2QR1K1 w - -,d4e5
5rk1/5p1p/3Pr1p1/3Rb3/8/6P1/P1PRN1KP/8 b - -,f8d8
8/5k1n/2p1p1p1/2PpP1Q1/3P4/8/4NPK1/8 b - -,h7g5
8/1p3kpp/p1bb1p2/8/5P2/2N1B1P1/PP5P/6K1 w - -,g1f2
1rbr2k1/1p1nqppp/p2bpn2/8/3N4/2N3P1/PPQBPPBP/2RR2K1 b - -,d7f8
1r6/pp3kn1/4pp1p/5bp1/3P4/N3PN2/Pr1bBPPP/R4RK1 w - -,a3c4
8/4k1pp/7r/p3p3/1p2P3/1Bb2P2/P3K1PP/7R b - -,c3d4
rnbqkbnr/pp1p1ppp/4p3/8/4P3/N1P5/3P1PPP/R1BQKBNR b KQkq -,g7g6
8/6p1/1k3p1p/1bpr3P/p2pNPP1/P2P4/3KP3/1R6 b - -,b6a5
rn5r/pp3k1p/2p1b1p1/5p2/3P1b2/2N2N2/PPP2PPP/2KR1B1R w - -,c1b1
r4rk1/3pb1pp/bq2p3/p2nPp2/1pPR1P2/6P1/PP1Q2BP/RNB3K1 w - -,g1h1
3r1r1k/1pp2p2/p3pq1p/P3N2P/2pPb3/R3Q1R1/1P3P2/4K3 b - -,e4f5
r5k1/1p3r2/3p1bq1/3Pp2p/4Pnp1/5PR1/P1Q4N/R3BB1K w - -,f3g4
6k1/p4pp1/2B5/2b3n1/1p4P1/1P1R4/7P/7K b - -,g5e6
5rk1/5rp1/1pp3qp/p2pB3/2nP1P2/2P2R1P/P4QPK/4R3 b - -,b6b5
1r6/5p2/2qpb1k1/3N2b1/2pRPppr/6P1/RPP1QP1N/6K1 b - -,f4f3
2r3k1/pp2R2p/b7/3p1p2/8/2P2P1P/P4P2/4R1K1 w - -,e7e8
r2q1rk1/1p1b1pbp/3p1np1/2nPp2P/4P3/1PN1B1N1/4BPP1/1R1QK2R b K -,b7b5:a8a3
r1bqk2r/2pn1pb1/p2pp2p/1p4p1/3P4/2PBPNP1/PPQN1PP1/R3K2R w KQkq b6,c3c4
r1b2rk1/pp3pp1/2nq3p/2p1p3/2Pp4/P2P1NP1/1P2PPBP/R2Q1RK1 w - -,a1b1
5k2/p2b1ppp/1p1p4/n7/8/P1P1RBP1/5P1P/6K1 b - -,a5c4
r2q1nr1/1p1k4/p3p3/3pPP2/3P3p/P3B1p1/1PR3P1/2Q2BK1 b - -,a8c8
4rbk1/N4p1p/5Bp1/1Q6/1P2q3/2P4P/5Pb1/R5K1 w - -,b5d7
r2q1rk1/1p1b1pbp/p1n3p1/2pPp3/8/1P1PPNP1/PB2QPBP/2R2RK1 b - -,c6b4
7r/5P2/b2kp1Bp/3p4/1pp1PP2/8/1K6/8 w - -,e4e5
8/3B3k/6pp/p5b1/8/8/5P1P/6K1 b - -,h7g7
rnbq1rk1/ppp1b1pp/3pp3/5p2/2PPN3/5NP1/PP2PPBP/R1BQ1RK1 b - -,f5e4
r2qk2r/p1pbbppp/1p2p3/1B1pP3/3P4/2P2N2/PP3PPP/R2Q1RK1 w kq -,a2a4
4r1k1/q4p2/p5pp/Pb6/1p1b4/6PP/1PQ2P2/2R1BNK1 w - -,e1b4
