8/8/2k5/1p4R1/1p2K3/8/PbP5/8 b - -,b2a1
2R5/5p2/5kp1/3P4/3r3P/5PK1/8/5B2 b - -,d4d5
3r2k1/1p3bpp/2p2b2/p3PP2/2P2B2/1PNn2NP/P6K/5R2 b - -,d3f4
8/1p6/p4r1p/Pkp1p3/2RpP1p1/1P1P2P1/2P1K2P/8 b - -,h6h5
r5k1/ppR2p1p/4p2P/1P1bPp2/3P4/4K3/6P1/5B2 w - -,g2g3
r1b1k2r/pp2ppbp/2p2np1/8/4PB2/2N2P2/PPP3PP/2KR2NR b - -,f6d7
5n2/2r1k1pp/2n2p2/p2Rp2P/1p2K1P1/1P6/2P1N3/R7 w - -,e2g3
2rq1rk1/1b1nppbp/p2p1np1/1p6/3NP3/P1NBBP2/1PPQ2PP/1K1R3R w - -,d4e2
6k1/1p1R1p2/3n1rp1/4p3/3pPPP1/P2B3p/1P5P/6K1 b - -,f6f4
r5k1/6bp/pn4p1/Bpq1pp2/2p5/PP3P2/B1P1Q1PP/3R3K b - -,b6d5
2rq1rk1/pp1bppbp/3p1np1/8/3BP3/1BN2P2/PPPQ2PP/2KR3R b - -,b7b5
r2qk2r/1p2bpp1/p1npbn2/7p/4PB2/1NN4P/PPPQ2P1/R3KB1R w KQkq -,e1c1
2n2k2/7p/p2rP1p1/4R3/p7/1B6/1P5P/2K5 w - -,b3a4
8/6r1/8/2PpBp2/3P4/3k3K/5PP1/3b4 w - -,e5g7
8/5p1k/2b1pP1p/8/3B1K2/8/6PP/8 b - -,c6g2
r4rk1/pp2n1bp/3q2p1/2pPpp1P/2Pp4/3P2P1/PP2QPB1/R1BR2K1 w - f6,c1g5
8/3Bk3/1p5p/pP2P1p1/2nP3P/8/2K2P2/8 w - -,h4g5
rnb2rk1/1p2ppB1/p2p1np1/q1pP3p/2P1P3/2N2N2/PP3PPP/R1Q1KB1R b KQ -,g8g7
2rq1rk1/1b1nbppp/p3p3/1p1pP1B1/7P/2NB1P2/PPPQ2P1/1K1R3R w - -,f3f4
