8/8/8/6k1/1R6/6pp/4r3/6K1 w - -,b4b1
2q2nk1/1p5p/2p1p3/2PpPpQ1/3P1P1P/8/P3NK2/8 b - -,g8h8
r1b2rk1/ppp1qppp/4pn2/8/3PB3/8/PPP1QPPP/2KR2NR w - -,g1f3
r2rbbk1/5p2/2p1p1pp/pp1nP3/3P1P2/P2BN1P1/1P1NK1P1/2RR4 b - -,b5b4
6k1/6p1/7p/5q2/4p2P/4B1P1/4B1K1/8 b - -,g7g5
8/R3n1k1/1pr2b2/7p/8/7P/6K1/1B3R2 w - -,a7b7
r1b2rk1/pp2qppp/n7/3Q4/5B2/6P1/P2NPP1P/3R1RK1 b - -,c8e6
r1bb2k1/5rpp/2R1p3/p2pB3/3P4/5N2/1PR2PPP/6K1 b - -,c8d7
3rkb1r/pp2ppp1/1n6/7p/2q4Q/2P4P/PP3PP1/RNB2RK1 w k -,h4c4
3r4/2b5/1pPk2pp/1B3p2/1P3P1P/6P1/4RP2/6K1 w - -,g1g2
r5k1/1p2qpb1/2n1pn2/rBP4p/P5P1/B1N1PQ2/5PP1/2RR2K1 b - -,f6g4
r1bq1rk1/1ppnbppp/p3pn2/8/2Q5/3P1NP1/PP2PPBP/RNB2RK1 w - -,c4c2
3r2k1/pp2bpp1/2n1bn1p/2p1p3/4P2N/2P1NPP1/PP4BP/R1B3K1 b - -,f6e8
r1b3kr/1pb4p/p3p2q/3P4/P2n2P1/BQ1B1N2/5PP1/2R1R1K1 w - -,f3d4
3r1rk1/6b1/pq5p/1ppP2p1/2n2p2/5NBP/PP3PP1/1RQR2K1 w - -,g3h2
1nkr3r/pp1bq3/2p2p1p/4p1p1/2B1P3/2P3Q1/PP3PPP/R2RN1K1 b - -,d7e6
2r2rk1/pbq1bppp/2p1p3/P2n4/1pQP4/1B1N4/1PPB1PPP/R3R1K1 b - -,e7d6
8/5q2/8/4Q3/2k1K3/4P3/6P1/8 b - -,f7b7
r1bq1rk1/pp1n1pbp/2pp1np1/4p3/P2PP3/2N2NPP/1PP2PB1/R1BQ1RK1 b - a3,d8c7
1r1q1rk1/p1nbppbp/6p1/1p1pP3/1n1P1B2/2N2N1P/PP2QPP1/RB3RK1 w - b6,a2a3
8/3b1pk1/1p3p2/3p1N2/p2PrPP1/P1P4P/3K4/5R2 b - -,d7f5
r1b2rk1/pp1n1pbp/2p2np1/3Np1B1/2P1P3/5N2/PP2BPPP/2KR3R w - -,d5e7:d5f6
6k1/5p2/1r1p2pp/p1nB2n1/4P2P/P4PB1/3R1KP1/8 b - h3,g5e6
r2qkb1r/pp1n1ppp/2p1pnb1/3p4/3P1B2/2PBPN1P/PP3PP1/RN1Q1RK1 b kq -,f8e7
1q4k1/1p4b1/pB1p3p/Pb1P1Qp1/4N3/R4P2/2r2KPP/8 w - -,f2g3
r3r1k1/ppqn1ppp/2pbpnB1/3p4/2PP4/1P2PN1P/PBQN1PP1/2R2RK1 b - -,h7g6
8/7p/1p3kp1/p1p2p2/2P2P2/P2K2P1/1P5P/8 w - -,d3c3
6rr/1pNk1pn1/p6p/3P4/6pP/8/PPP2P2/2K1Q3 w - -,e1e5
1rbqk2r/1pp2pbp/p1n1pnp1/3p4/3P1P2/2PBPN2/PPQ3PP/RNB2RK1 w k -,f3e5
r3R3/1bp2r1k/p1N2bpp/8/P5P1/1R2B2P/2P2P2/6K1 w - -,e8a8:e8e6
6k1/5pp1/8/pp3p1p/3rnBbP/1P2R3/P1R5/6K1 b - -,g8h7
