8/p4p2/1p2pk1p/7p/1P6/P3nPPK/4B3/8 w - -,e2d3
r5k1/1pp3bp/p2p2p1/3P4/b1PB2P1/P1N2Q1P/1Pq5/1K1R4 w - -,b1a1
rnbqk1nr/pp2bppp/4p3/2p5/2BP4/5N2/PPPN1PPP/R1BQ1RK1 b kq -,g8f6
3q1rk1/pp4b1/b2p3p/5n1n/P2PNP1P/2B1P3/1Q2Np2/R3K2R w KQ -,e1d2
5kr1/1p6/p2R4/P3p1p1/4Pn1b/4B2P/1Pr2PB1/5RK1 w - -,d6d8
r1b1k2r/p1n2nbp/2p1p1p1/q2pPpP1/pP1P1P2/2PQBN1P/P3B3/R3R1K1 b kq b3,a5b6
3r2k1/1p1r1pbp/2pp1p2/p1n5/P3P3/1BN2PPP/1PPR4/3R2K1 b - -,g7h6
2rqk2r/pp1nbpp1/2p1pn1p/7P/3P4/3Q1NN1/PPPB1PP1/1K1R3R w k -,g3e4
8/8/8/8/1rPK4/8/7R/2k5 w - -,d4c3
4rbk1/3b1p1p/p1Np1Bp1/2pP1N2/2n1PQP1/1q6/5PB1/R5K1 b - -,d7f5
r1b1qr2/6bk/1p1n1n1p/p1pPpp2/2P4N/1PN1B1PP/P3Q1BK/2R2R2 w - -,e3d2
1r3rk1/pn3ppp/3bpn2/1P1p4/P1q5/Q1N1B1P1/1P2BP1P/R4RK1 w - -,e2c4
rnbq1rk1/1pp2pbp/p2pPnp1/8/4P3/2N1BN2/PPP1BPPP/R2QR1K1 b - -,c8e6
1r1b1r1k/1pp3pp/p2p4/1b1P3q/3PNBn1/1Q4P1/PP3PB1/2R1R1K1 w - -,f2f3
rnbqkb1r/3p1ppp/p3pn2/2pP4/2B1P3/2N5/PPQ2PPP/R1B1K1NR b KQkq -,e6d5
1rb4r/pp1nkppp/4pn2/2b5/2N5/1N4P1/PP2PPBP/R1B2RK1 b - -,c5b4
2r2rk1/1bqnbppp/pp1pp3/8/2PNP3/1PN5/P2BQPPP/2R2RK1 b - -,f8e8
1k1r1b1r/pp1q4/1np1bp2/Q3p1pp/1P2P3/3P2P1/P1N2PBP/R1R1NK2 w - -,b4b5
8/7p/3k4/R4K1P/1P6/2r5/8/8 w - -,a5a6
2r3k1/1p1bq1p1/p2b1p1p/P1rPpP2/2p1P3/5RPP/1PQ1N1BK/R7 b - -,e7d8
1r1q1rk1/1b2ppbp/ppnp1np1/2p3B1/2P1P3/2NP1NPP/PP1Q1PB1/4RRK1 b - -,f6d7
2r3k1/r1p2pp1/1p1p1q1p/pb1P4/3RB2P/4P1P1/PP1Q1P2/2R3K1 w - -,e4g2
8/5p2/p1r1kp2/2P5/3K2P1/1R6/P7/8 b - -,e6d7
r1b1k2r/ppp1nppp/2nb4/3p4/3P3q/2PB2N1/PP3PPP/RNBQK2R w KQkq -,b1d2
6k1/6pp/p7/1p6/2p2R2/2P1rP2/PP4PP/5K2 b - -,e3e5
6k1/p7/7p/1P1R2p1/1r1p4/5KP1/7P/8 w - -,f3e4
8/8/3N4/p7/8/2nk4/5K2/8 b - -,a5a4
1r2r1k1/p1q1bppp/3p1n2/4n3/3N1BP1/2P4P/P1B2Q2/R4RK1 b - -,c7c3
rn2kb1r/pp3pp1/Q1p1pn1p/8/3P1B1P/2P2NN1/PP3PP1/R3K2R b KQkq -,b8a6
2k5/8/KR6/P7/8/8/5b2/8 w - -,b6b2
3r4/3Pb3/4k1P1/4p1N1/p5K1/P4P2/1P1R4/8 b - -,e6f6
r1bqkb1r/pppnpppp/5n2/3p4/2PP1B2/4P3/PP3PPP/RN1QKBNR b KQkq c3,e7e6
rn1q1rk1/pbpp1ppp/1p2pn2/8/2PP4/P4NP1/1P1BPP1P/R2QKB1R w KQ -,f1g2
1R4k1/p5p1/2p1p3/4p3/4P3/2r1P3/P5PK/8 b - -,g8h7
rn1qk2r/pb1p1ppp/4p3/bN1P4/2P5/PpN1P1P1/3Q1P1P/R3KB1R b KQkq -,e8g8
8/7p/3p1kp1/3P4/1p1N4/1P2p2P/P2b2P1/5K2 b - -,d2c3
1k6/pp3p1p/4pb2/1Nq2p2/8/P1PQ2P1/1P3P1P/1K6 b - -,f6e7
1rb1r1kb/p4p1p/2n1p1p1/q2pP1B1/1ppP1PP1/2P4P/PP1QN1B1/1K1R3R b - -,c8a6
rq3rk1/3n1pb1/b1p1p1p1/p1ppP2p/5B1P/PPNP1N2/2P2PP1/R1Q1R1K1 w - -,a1b1
8/p3r1k1/P4p2/6p1/4K1P1/1Q4bP/8/8 w - -,e4d5
r4rk1/p1p1b1pp/8/3p1p2/Q2P1B2/2R3P1/PP2q2P/R5K1 w - -,c3c7
1r3rk1/1bpn1Qb1/pp6/4p1p1/PPPB4/2N2PP1/3N3P/1R2R1K1 b - -,f8f7
r2q1rk1/4bpp1/p1npbn1p/2p2N2/Pp2P3/6NP/1PP2PP1/RBBQR1K1 b - -,d8c7
5rk1/1pr1qpp1/p3p2p/1b1pP3/1RnP1N2/2P3P1/Q4P1P/2R2BK1 w - -,f1g2
5k2/p6p/6p1/8/8/3r2P1/R5KP/8 b - -,d3d7
r3kb1r/1p1N1ppp/1pn1pn2/3p4/8/2NP2P1/PP2PPBP/R1B1K2R b KQkq -,e8d7
7R/4k1p1/8/4K3/4PP2/6rp/8/8 b - -,g3a3
r3k2r/pb1q1pbp/1p1p2p1/2p1p3/2NnPPn1/2NP2P1/PPP2BBP/R2Q1RK1 w kq -,c4e3
r1bqr1k1/pp3pbp/n1pp1np1/8/P2NP3/2N3PP/1PP2PB1/R1BQR1K1 b - -,a6c5
r1b1qr2/pppnb1k1/4pp1p/3pP1pQ/5P2/2PBP1BP/PP1N4/2KR3R w - -,h5e2
r1bqr1k1/1p3ppp/2pb1n2/p1n1p3/4P3/2PP1NN1/P1B2PPP/R1BQR1K1 b - -,d6c7
8/5p2/6k1/6p1/2P2p2/p6p/P1K4B/8 w - -,c2d3
3rr1k1/pp1q1ppp/2p2b2/3n4/3P4/1Q3N1P/PP1B1PP1/3RR1K1 b - -,d7c7
r2q1rnk/4bp1p/3p4/2pPp1PQ/1pP1PP1P/p3B3/1P6/1N1K1B1R w - -,f1h3
8/pkpr2pp/1p4q1/1b1p4/1P1P4/2Q3B1/P5PP/4R1K1 w - -,h2h3
5rk1/pp2q2p/2n1p1pb/3pP3/3P1rP1/P1NR1N1P/1P2Q1K1/1R6 w - -,b1f1
r4rk1/1b1q2p1/p1p1p1np/NpPp1p2/PP1P1P2/R2BP3/2Q3PP/5RK1 w - -,c2e2
2rr2k1/pb2qpp1/1p2pn1p/2P1N3/8/P1RBP3/1P2QPPP/5RK1 b - -,c8c5
r1b1r1k1/2p2pp1/1bpq3p/p2pp1N1/2P1P3/1P1P2NP/PBQ2PP1/R3R1K1 b - -,h6g5
5rk1/1p4rp/pq1pp3/4b1p1/2P1N3/1P1Q1PPP/P5K1/3R1R2 w - -,f1e1
1r4k1/7p/3p2p1/2p5/4Q3/1P1q2P1/P6P/4R2K b - -,d3e4
rnbqk1nr/p2pppbp/1p4p1/2p5/2P1P3/2N5/PP1PNPPP/R1BQKB1R w KQkq -,d2d4
6k1/5p2/4b1p1/n1p1p3/p1P1P1P1/5P2/PP1N1K1P/5B2 w - -,h2h4
2r1r1k1/pp3ppp/1b1q4/8/2Pp4/3Q1NPP/PP3PK1/R4R2 w - -,f1e1
r1bqk2r/pp2ppbp/2np1np1/2p5/4P3/3P1NP1/PPP2PBP/RNBQR1K1 b kq -,e8g8:d8c7
3r2k1/5p2/1R3np1/4p3/4Pb2/2q1NQNP/5P2/5bK1 w - -,g3f1
