4rbk1/R2Rr1pp/8/8/8/3pB1PP/5PK1/8 w - -,d7d3
2r3k1/1pr3pp/p3p3/qbRp1p2/3P4/1QRNP3/PP3PPP/6K1 b - -,c7c6
6k1/4b2p/b1p1pp2/p1p3P1/P1P4P/1P3N2/5P2/3N2K1 w - -,d1c3
r1bqk2r/ppn1b1pp/2B2p2/2p1p3/2N5/2NP2P1/PP2PP1P/R1BQK2R b KQkq -,b7c6
8/1b6/5kBp/1p5P/p1rR4/4K1P1/1P6/8 b - -,c4d4
2R1r1k1/pq3pbp/1p2p1p1/1n4B1/3PP2Q/5N2/P4PPP/3R2K1 b - -,e8c8
2r3k1/p4pp1/q3p2B/P1p1Q1P1/1pP5/7P/1P2PP2/R5K1 b - -,f7f6
r1nq1rk1/1p1nbpp1/p1p1p2p/P2pPb2/3P2B1/1N6/1PP2PPP/R1BQNRK1 b - -,f5g4
5rk1/1b2rp1p/3p1np1/1BpP2N1/4Pp2/1P5P/2P3P1/3R1RK1 w - -,f1f4
1r2r1k1/p1qnbpp1/5n1p/1Qpp4/8/1PN1PN2/PB3PPP/2RR2K1 w - -,b5d3
r3k2r/pp2bpp1/1qn1pn1p/3p1b2/2pP1B2/2P1PN1P/PP1N1PP1/R1Q1KB1R w KQkq -,f1e2
r1bq1rk1/pp4pp/2n2n2/b1P1p3/2P1P2N/1Q4P1/PB2RPBP/R5K1 b - -,c6d4
5k2/ppB2r1p/4B1p1/1P1N4/2n1P3/6P1/bbR4P/7K b - -,a2b3
rn1q1rk1/pp2ppbp/2p3p1/8/2BP4/2P1PQ1P/P4PP1/R1B2RK1 b - -,b8d7
r1bqkb1r/pp1n1ppp/3p1n2/1B2p3/3NP3/2N5/PPP2PPP/R1BQK2R w KQkq -,d4f5
8/1b3p1p/3k2p1/pB6/3b4/5PP1/1P4P1/3N1K2 w - -,f1e2
r1b1kb1r/ppqn1ppp/2p5/3n4/2NN4/4B3/PPP1BPPP/R1Q1K2R b KQkq -,d7e5
r1b1k2r/pp1n1ppp/2n1p2q/2bpP3/N7/2PB1NP1/PP3P1P/R2QK2R w KQkq -,d1e2
Q5k1/3q1rb1/pp5p/2p1n3/P2n3B/4R3/1PP2PPP/4R1K1 b - -,g8h7
7k/4K3/8/6pP/8/7P/2B5/8 w - -,e7e6
r1bqkb1r/1p1npp2/p2p1npp/8/3NP2B/2N5/PPP1QPPP/R3KB1R w KQkq -,f2f4:e1c1
1r3rk1/pp1q2bp/3pb3/3Npp2/1RP2P2/3PP3/P5BP/3Q1RK1 b - -,g8h8
r1bq1nk1/1pp2p1p/5np1/1P2p3/P3P3/2N2N2/2Q1BPPP/R5K1 w - -,f3e5
r2k4/1bqn3Q/p5p1/6Pn/3pP3/3B4/PPP1N2P/R4rK1 w - -,a1f1
rnbqk1nr/pp1pppbp/2p3p1/6B1/3P4/2P5/PP2PPPP/RN1QKBNR w KQkq -,e2e3
7r/2rk1ppp/B3p3/N2n4/1p3P2/6P1/PbbB3P/2R1R1K1 b - -,b2c1
r4rk1/pppn3p/2npb3/4pP2/2P4q/2PPB1NP/P4PB1/R2Q1RK1 b - -,e6f5
rn3rk1/pp2qpp1/2pp1n1p/2bP1b2/2P1p1P1/P1N1P2P/1P1BNPB1/R2QK2R b KQ -,f5h7
b5k1/p3p1q1/1p2P2p/n7/3r2B1/5Q2/P4P1P/3R2K1 w - -,f3a8
2kr4/2p1r2p/1p3R2/pP1B2P1/P3PP2/3P1K2/8/8 b - -,d8d6
rnbqkb1r/p2ppppp/5n2/2pP4/1pP5/8/PPQ1PPPP/RNB1KBNR w KQkq -,e2e4
r1r1bnk1/q4pbp/2p3p1/1pNn4/3P4/3B1N1P/P2BQPP1/RR4K1 b - -,e8d7
rn3rk1/ppR1ppb1/6pp/8/3PP1b1/5N2/P2B1PPP/4KB1R b K -,g4f3
8/8/7R/1k6/2p4P/P1PpK3/6r1/8 b - -,g2e2
8/3k1N2/8/3K4/4P3/8/7b/8 b - -,d7e7
8/3n3k/pp1P2p1/2p4p/P7/4r2P/1P4B1/3R2K1 w - -,g2b7
1k2r2r/p1p4p/2p3p1/4P3/2nPN3/1q2B2Q/5PPP/5RK1 b - -,c4b6
