8/8/4k1p1/3p1r2/2NR2KP/8/8/8 w - -,c4e3
r1bqnrk1/6bp/pp1p1np1/2pP1p2/P1P2P2/3B3P/1P2N1P1/R1BQ1RKN w - -,h1f2
3rrbk1/pp1q1p2/7p/2n1PPp1/2N5/3p1QP1/PP4NP/3RR1K1 w - -,g2e3
r1bq1rk1/ppp2pbp/3p1np1/3Pp3/2PnP3/P2BBP2/1P4PP/RN1QK1NR w KQ -,g1e2
rr6/2pnk1p1/p2bp2p/np2p3/4P1PP/P1NNBP2/1PP5/1K1R3R b - -,a5c4
2rr2k1/p5p1/1p2qbp1/2pp3p/3Pn2P/1P2P1P1/P3QPK1/B1RR2N1 w - -,g1h3
2kn1r1r/pp1bnpp1/4p3/3pP3/q1pP1P2/P1P2NpB/1QPB2KP/4R2R w - -,h2g3
3rr2k/R5pp/8/p1N5/Pp6/1Bb5/5PPP/5K2 w - -,g2g3
r2q1rk1/1p2ppbp/2p1b1p1/p2nN3/P2P4/1BP5/1P3PPP/R1BQR1K1 b - -,d8b6
r1bq1rk1/pp2bppp/1n2p3/n2pP3/2pP4/P1P1BN2/1PBN1PPP/R2Q1RK1 b - -,c8d7
4r1r1/2p2k2/1p2np2/3p1np1/1P1P3p/1NPKB2P/5PPR/R7 b - -,g5g4
r3kb1r/1b3ppp/2n1p3/1p1q4/2pPn3/4B3/1P2BPPP/R2QNRK1 b kq -,f8d6
r4rk1/ppqb2pp/2nbpn2/3p4/3P4/3BBNN1/PP3PPP/R2Q1RK1 w - -,a1c1
3r2k1/p1R1p3/1p4q1/3P2pp/8/B5P1/PP1N1PP1/6K1 b - -,d8d5
r1r5/1b1nk1pp/1pp1pn2/p2pNp2/2PP1P2/1PR5/P2NPPBP/R5K1 w - -,a1c1
r1bqk2r/pp1n1pbp/2p2np1/4p3/P1B1P3/2N1BN2/1PPQ1PPP/R3K2R b KQkq -,d8e7
3q4/5k2/p4Bpp/8/1P3Q2/P5P1/5P2/6K1 b - -,d8f6
1n2rrk1/1b4pp/1q2pp2/1pbp4/3N1PQ1/1N1PP3/1BP3PP/R4RK1 b - -,b7c8
8/p6p/1pKpk3/6p1/3PP1P1/8/P6P/8 b - g3,e6e7
2r1k2r/4bppp/2n5/PpBp4/1p6/5N2/1P3PPP/3RR1K1 b k -,c8c7
3r2k1/p5pp/1bp5/p2b1p2/8/P3B1P1/1P1NPP1P/2R3K1 w - -,d2f1
8/pb3r1p/1p1pk1p1/1P6/2PKP2P/P3N1P1/5R2/2R5 b - -,f7f2
8/8/4k2p/2K4P/p1N5/P2B4/2P5/7r w - -,d3g6
rqbr2k1/1p1nbppp/p1npp3/8/3NP1P1/1N2BP2/PPP2Q1P/2KR1B1R b - -,b8c7
4rrk1/q5bp/p1p1b1p1/P5B1/1P1pQ3/4N3/6RP/2R3K1 b - -,e6d5
1r3rk1/1pqbbppp/p2ppn2/n7/P3PB2/2N2NP1/1PP1QPBP/3R1RK1 b - -,e6e5
rnbqkbnr/pp3ppp/8/3p4/2pP4/1P3N2/P1PN1PPP/R1BQKB1R b KQkq -,c4b3
5rk1/3nbpp1/1p2p2p/p3P3/2rP4/2N2NP1/PP5P/2R2RK1 w - -,b2b3
1rqbr1k1/3n1npp/2p1pp2/p1P5/2QPNPP1/P6P/3B4/R1NK1R2 b - -,d7f8
5R2/5p1k/5Kp1/5p1p/5P1P/1b4P1/8/8 w - -,f8f7
6rr/1p6/p1nkp3/3p2pp/R1PP2P1/1P2PB1P/8/4K2R b K g3,h5g4
r3r3/5bk1/p1p2p1p/PpNp1Pp1/1P1P2P1/4PP2/5K1R/4R3 w - -,f2g3
8/4ppkp/3pb1p1/2p5/2P1P2P/rP1R1P2/3r2PK/1R3B2 b - -,d2c2
3q1rk1/3b1pp1/3p2n1/2pPp3/1pPbP1Pp/1P1N1P2/2Q1B2K/1R3R2 w - -,c2d2
5rk1/pp3rbp/2pp1P2/4qRP1/P7/3P4/3Q3P/5R1K b - -,e5d4
r2b1r1k/pp1n1p1P/3P2pP/2p5/4N3/1P2PN2/1P2K3/R6R w - -,a1f1
3q1rk1/3b2b1/p2p1nn1/1p1Pp3/1P2Pp1p/3N1P2/PNQ1B1PB/2R4K b - -,f6h5
8/6pk/5p1p/8/1B6/2p3PP/2R1K3/1r6 b - -,b1b4
r2q1rk1/1b2bppp/p1n1pn2/1p6/3P1B2/2N2N2/PPB2PPP/R2QR1K1 b - -,c6b4
R7/8/3rk1p1/1n5p/4P2P/3K1P2/1B4P1/8 w - -,d3e3
1R6/7k/4N1p1/2p1K2n/PpP2P2/8/1r6/8 w - -,e6c5
r1b2rk1/1ppnqpb1/3p2pp/p2Pp2n/2P1P3/2N2NP1/PPQBBP1P/R4RK1 b - -,d7c5
r1bq1rk1/ppp2nbp/2np2p1/4pp2/2PPP3/2N1BN1P/PP2BPP1/R2Q1RK1 w - -,d4e5
r1bqkb1r/1p1n1ppp/p3pn2/2p5/2Q5/5NP1/PP1PPPBP/RNB2RK1 w kq -,a2a4
2r4k/6p1/5b1p/6pn/4q3/5R1P/5QPB/5R1K w - -,f3e3
3r2k1/2q2pp1/1p2R1n1/p1p3NQ/2P5/PP1n2K1/5P1P/2B5 w - -,g3f3
