6R1/8/8/7k/8/4p1P1/3r1P2/6K1 w - -,f2e3
2r2rk1/1b2qppp/p1pbp3/1pNnN3/3P1P2/4P3/PP3PBP/2QR1RK1 w - -,e3e4
rn1qk2r/pb1pbppp/1p2pn2/2p5/2P5/1PN2NP1/PB1PPPBP/R2QK2R b KQkq -,a7a6
r1b2rk1/p4pbp/1p4p1/2pPp3/3nP3/4BP2/PP1RN1PP/4KB1R w K -,e2c3
3rr1k1/pp2ppbp/n1p1b1p1/q5B1/3P4/2PQ1NP1/P3PPBP/1R1R2K1 w - -,d3e3
3r3k/1n1n2p1/pp1q1r1p/4bp2/1PPN4/P2P1N2/R4BPP/3QR1K1 w - -,a2e2
2r3k1/2q1npbp/4p1p1/p5P1/Np1r1P1P/1P4N1/P1P2RK1/4QR2 b - -,e7d5
2r3k1/p5pp/4R3/1Pb2P2/P1q2P2/2p2b1P/2Q3PK/8 b - -,c4f4
8/4k1p1/4ppp1/r7/P1BP3P/6P1/RPn2P2/5K2 b - -,e7d6
r1bq1rk1/pp2npbp/2n1p1p1/2p5/3pP3/N1PP1NP1/PP1BQPBP/R4RK1 b - -,d4c3
4R3/6kp/6p1/5p2/3n1P2/2r4P/4BPK1/8 w - -,e2a6
8/1prk4/4p1n1/2PpPp1p/PP1N1Pp1/4K1P1/4R2P/8 w - -,e2c2
8/p7/5k2/p1p5/2P1P2p/1P3K1P/1b2N3/8 w - -,e2f4
r5k1/pp1nnppp/2rqp3/3p4/3P4/P1NQP3/1PRN1PPP/R5K1 w - -,a1c1
1r2kn2/5ppr/q1p1p2p/pbPpP2P/3P1N2/P4NR1/2QB1PP1/6K1 w - -,d2c3
1r3r2/3qn1bk/1pn3pp/pbp1pp2/2P5/P2PPNP1/1PQB2BP/1R1R2K1 w - -,c4b5
3r2k1/1qn1bRp1/ppnp2Pp/8/2P3Q1/2N1B3/PP5P/2R3K1 w - -,g4e4
1k4r1/pp1b4/4pr1p/3pbnq1/2pP4/P1P2B1P/1P3BP1/4RQNK w - -,e1e5
rnbq1rk1/pp2ppbp/5np1/2ppN3/3P1B2/2N1P3/PPP1BPPP/R2QK2R b KQ -,c5d4:b8c6
r4rk1/1pp2pb1/5npp/p3R3/P7/2Pq2P1/1P1N1PKP/R1BQ4 w - -,d1f3
r3r1k1/pp2Bppp/8/3P4/8/P7/5PPP/3R2K1 w - -,d5d6
r2q3k/3rn3/p6p/1p4p1/3PQp2/2R5/PP4PP/2R1B1K1 w - -,e4e6
2kr3r/p1n4p/3p2p1/1pn5/6Q1/2P1BP2/q1bRN1PP/4KB1R b K -,c8b7
1r3rk1/p1qbbppp/2np1n2/1p2p3/4PP2/2P2NNP/PPB1Q1P1/R1B2RK1 b - -,c6a5
