8/p1R4p/6k1/8/1Pp5/2r2P2/P4P2/6K1 w - -,c7a7
2Nr1bk1/1p1q1p2/n3p1pp/3rP3/1P6/P4N2/2Q2PPP/2R1R1K1 b - -,d7b5
8/6k1/R7/2P3pp/1P6/6K1/2r5/8 w - -,c5c6
1r1qkr1R/np3pQ1/p3p3/1bRpP1P1/1P1P1P2/P3BB2/6K1/8 b - -,e8d7
1k6/1p4p1/p4pn1/5b1p/1P3P2/P1N3P1/3r3P/4RBK1 w - h6,b4b5
r2q1rk1/ppp1ppbp/1n4p1/3Pn3/4P3/2N1BBPP/PP3P2/R2QK2R b KQ -,e5f3
1rb1n1k1/2qnrpbp/p2p2p1/1ppP4/P3PP2/2N2B1P/1P1N2PB/2RQ1R1K w - -,a4b5
8/pp6/2p1pk1p/6pb/3P1K1P/P1PB4/7P/8 w - g6,h4g5
2q2bk1/p1rnpp1p/bp4p1/3pN3/3P1P2/BP2P3/P2Q1KPP/1B1R4 b - -,d7e5
5k2/pn5p/8/1K5p/2Np1P2/P3P3/1P1r4/7R b - -,d2f2
k1r5/1p6/p1r2pq1/7p/3p1R2/7P/PPPQ2P1/1KR5 b - -,d4d3
2brNk2/5p2/1p3Qp1/3Pp3/5bP1/6qP/PP4B1/5R1K w - -,f1f4
1r2r1k1/2p1np2/p6p/1pP3p1/3P1qP1/3Q1N1P/P4PK1/1R2R3 w - -,e1e4
4k2r/1brpn3/4p1pp/ppq1Pp2/P1PR3P/2Q2N2/1K2BPP1/3R4 w k -,a4b5
4rbk1/1p3p2/1n4p1/1P6/4P3/6NP/1B6/2R4K b - -,f8d6
r1b1k2r/5p1p/pn2p1p1/R2pP3/3P1P2/3B4/2q1N1PP/5RK1 w kq -,d3c2
rr4k1/4ppb1/3p2p1/2pP4/1q2P2R/n1N3P1/1P1NQ1K1/1R6 w - -,c3a2
1r3r1k/p6B/4p3/2ppb2b/2P2P1q/3PP3/PP1BK1Qp/3N3R w - -,e2f1
r2q1rk1/pp2bpp1/2np3p/3Qp3/4P3/5N2/PPP1BPPP/3R1RK1 b - -,a8c8
2r5/3bkB2/3p2Pp/3Pp2P/1p6/1P3p2/2P3R1/1K6 w - -,g2f2
r2q1rk1/pp2ppbp/3p1np1/8/3BPP2/3Q1N2/PPP3PP/R4RK1 b - -,f6d7
6r1/1R6/3kr2p/1P1p4/3B4/2P3PP/5P1K/8 w - -,b5b6
4r3/R3Pkp1/2NnN1n1/5p2/1P6/8/5P2/5K2 w - -,e6c7
r2qk2r/p2p1pbp/1p4p1/3Pp2n/2PpPP2/P7/1P3PBP/R1BQK2R w KQkq -,f4e5
