8/1B6/4pk2/5p2/1bP5/1P6/2K5/8 b - -,f6g5
r3r2k/2b2qp1/2p4p/p2npn2/PpN3Q1/3PB1N1/1P3PPP/R3R1K1 b - -,f5g3
2r5/6pk/P6p/8/R2bq2P/1Q1p4/3Bp1P1/1R3r1K w - -,h1h2
2rb2k1/pq3pp1/4rn1p/1p2N3/1P6/1Q4P1/4PP1P/BR1R2K1 w - -,e2e3
2rr2k1/1p2bppp/p2p1n2/q3pP2/4P3/2N4P/1PP1Q1P1/2BR1RK1 w - -,c3d5
2bq3r/6k1/p2p2p1/2p1p3/PpNnPpP1/1P1P1P2/2PK1RBr/2R3Q1 w - -,c1f1
6r1/p1r1p3/1p1pk3/5p1p/P1P2P2/1Pb1BKP1/R6P/3R4 w - -,d1d5
r1b2r1k/pp2q1b1/2pNB1p1/7p/2Pp4/Q3P2P/PP3PPB/R4RK1 b - -,c8e6
rnbq1rk1/p1pp1ppp/1p2pn2/8/2P5/P1Q1PN2/1P1P1PPP/R1B1KB1R b KQ -,c8b7
br1q1rk1/3nbppn/pp1p3p/4pP2/2P1P1P1/N1N1BBQ1/PP5P/3R1RK1 w - -,d1d2
rnbq1rk1/1p2bppp/p2p1n2/4p3/2B1P3/2N1BN2/PPP2PPP/R2QK2R w KQ -,d1e2:e3g5:e1g1
r4rk1/5p1p/3q3b/ppp2N2/P1Pp4/3P2P1/5PKP/R2QR3 b - -,d6f6
2rq1rk1/pb2bppp/1p1ppn2/4n3/2P1P3/P1N3B1/1P1NBPPP/2RQ1RK1 b - -,e5g6
8/6kp/3p4/1P2p1P1/8/q4PK1/5Q2/8 w - -,f2b6
6k1/pp3rbp/2b1p2p/3p4/8/3B1PR1/PP3P1P/4R2K b - -,c6d7
7k/p3q1pp/n1p1p3/2Np1p1b/3P1P2/2P1PP2/PQ4BP/7K b - -,a6c5
5rk1/3P2np/3p1ppQ/p3p3/2q1P3/P4NP1/5P1P/4R1K1 w - -,h6d2
r2q1rk1/1pp2ppp/p1nbpn2/7b/3P4/1PN1PN1P/P3BPP1/R1BQ1RK1 w - -,c1b2
2bq1r2/3np1kp/p2p2p1/n1pP1p2/2P2P2/6PP/P1Q1P1B1/1N1N1RK1 b - -,d8b6
r3kr2/1p2b1pp/p7/8/3PP3/1BN1KNP1/1P5P/7R w - -,e4e5
6k1/1b4rp/4p3/p1ppPpr1/8/1PP2B2/P2R1KPP/4R3 b - -,g7f7
r1b1k2r/1p2bpp1/p2ppn1p/8/2qNP1PP/2N1BP2/PPPQ4/2KR3R b kq -,b7b5
3rr1k1/1pp2pp1/2q4p/PRb1P3/2NN1p2/2Q4P/5PP1/1R4K1 b - -,d8d4
r4rk1/1Bp2ppp/1n1bpq2/p7/Pp1P4/4Q1P1/1P1NPP1P/R2R2K1 b - -,a8b8
6k1/p5bp/6p1/1ppn1p2/4p3/2P1P1BP/PP1N1PP1/6K1 w - f6,c3c4
r1bqkb1r/3n1ppp/p2pp3/6P1/R2NP3/4BP2/1PPQ3P/4KB1R b Kkq -,d7c5
r3k2r/1p1b1ppp/p2Bpnn1/8/2PNp3/P4P2/2P3PP/2KR1B1R w kq -,c4c5
r4k2/pp1n1p1p/6p1/3P1r2/2B2B2/8/Pb4PP/R4RK1 w - -,a1b1
1r2r1k1/p4pp1/2p2q1p/2P5/2bN4/Q3P3/PR3PPP/4R1K1 b - -,b8b2
8/PN3p1k/5P1p/8/4pP2/3p2P1/3Kr1P1/8 w - -,d2d1
r1b2rk1/p5p1/2p1p2p/3pB1q1/3Q4/3B4/P1P2PPP/3KR3 b - -,g5e7
r1n2rk1/1pqnbppp/p2p4/P1pPp3/4P3/1PN2BPP/2P2P2/R1BQR1K1 w - -,d1e2
2k4r/p1pp1pb1/1n2q3/2p1P3/2P3P1/PPNB2B1/5Qb1/2K1R3 b - -,g2c6
2b1rr2/p1q3kp/1pp3pN/2bpP1Q1/P7/3B3P/1PP1RPP1/5RK1 b - -,c7e7
r1b1kb1r/1pp1pp1p/p2q1np1/3P4/8/P1N2B2/1PP2PPP/R1BQK2R w KQkq -,g2g3
r1bq1rk1/p3ppbp/1pnp1np1/8/3PP3/B1PB1N1P/3N1PP1/R2Q1RK1 b - -,c8b7
8/8/1p1k2pp/3P4/4K1PP/8/1P6/8 b - -,g6g5
r4rk1/1p1b1pb1/2pp1npp/q1nPp3/p1P1P1PP/2N1BP2/PPQN4/1R2KB1R b K -,c6d5
1r6/p7/3p1kp1/2pBpp2/5b2/1P1P4/PR3PKP/8 b - -,g6g5
rnb1k2r/pp2bppp/1qp1pn2/3p4/2P5/1P3NP1/PBQPPPBP/RN2K2R b KQkq -,e8g8:a7a5
1r3r2/4k3/p1bp2p1/4pp1p/PpPnP2P/1P2NP2/3R1KP1/1R1B4 b - -,e7e6
2r2Q2/p2q3p/5kp1/1r3bN1/2N5/Q6P/1P3PP1/2n2BK1 b - -,c8f8
r4r1k/1p4p1/2p4p/1nP1p1bQ/1P2P3/4q2N/1B3R1P/3R2K1 w - -,b2e5
