8/5p1k/6p1/3bP3/7P/2q3P1/4QP2/5BK1 b - -,d5b7
r4rk1/1p3ppp/1pn5/6R1/1P6/P3n3/1B2B1PP/3R2K1 b - -,f7f6
1nr5/3p1kpp/p1rPp3/1bp1Pp2/N1B2P2/PPR1KP2/7P/1R6 w - -,b1b2
8/4k3/3r3p/R5p1/P1B5/1P3PK1/6PP/8 w - -,a5d5
8/2p5/N1bk4/P2p3p/3P1P2/6K1/8/8 w - -,g3h4
4b1k1/1p5p/1q1p1r2/1P1Pb2n/4Pp2/3B1Q1P/3NN1P1/5R1K w - -,d2c4
r2qk2r/pp2ppb1/n1p3p1/3pPb2/3P1P1p/2NNB3/PPP3PP/R2Q1RK1 b kq -,a6c7
r1b1r2k/1q2bpp1/p2ppn1p/1pn5/3NP3/P1N1BPQ1/BPP3PP/3RR1K1 b - -,b7c7
r4rk1/1p1b1ppp/2np1n2/p3p3/1qPP4/2Q3P1/1P1NPPBP/RN3RK1 w - -,e2e3
r4rk1/1pqbb1pp/1np1p1n1/p2p1p2/P1PPP2P/1P1Q1PP1/1B1NN1B1/R3K2R w KQ f6,b2c3
1rq1n1k1/4Rpbp/3p1np1/BNpP4/2P5/7P/1P2BPP1/1Q4K1 b - -,b8b7
8/5pk1/p2Npn1p/5p1P/P7/1P3P2/2r3P1/1R4K1 b - -,f6d5
8/k7/np2N3/7p/8/6P1/P1r1PP1P/1R2K3 w - -,e6f4
8/5pk1/6p1/p2r1n2/1pp5/2P2N1P/PP3K2/2R5 b - -,f5d6
2r3kb/1p3q2/pn3p1P/3p1Qp1/3P2N1/1P5P/1P2RPKB/4r3 w - -,e2e1
q2r1bk1/4nppp/p1n4N/2p3P1/2P1N3/2B1P2P/P3Q3/1R4K1 b - -,g7h6
r2q1rk1/pp2bppp/1n1p4/3Pn3/8/1Q6/PP2BPPP/RNB2RK1 w - -,c1e3
3r3k/2q3pp/8/5p2/3Bp3/2Q5/PP2B1P1/5K2 b - -,c7f7
r3r1k1/pb2bppp/1q1p1n2/2p5/4P3/2N1NP2/PPQ3PP/R1BR2K1 b - -,a8d8
2rr3k/1p1bb1pp/1q2pp2/pPn5/2BBP3/5N2/PQR2PPP/5RK1 b - -,b6d6
6k1/5pbp/B3p1p1/4P3/1P6/6N1/b5PP/6K1 b - b3,g7e5
rnbq1rk1/pp2bppp/4p3/2pP4/8/P1N1P1P1/1P3P1P/R1BQKB1R b KQ -,e6d5
8/2n1P1p1/3R1p2/5k1p/7P/8/7K/8 b - -,f5g6
rn1qk2r/pbp1bppp/1p1pp3/8/2PPP3/P2B4/1P1N1PPP/R1BQK2R w KQkq -,e1g1
1k1b1rQ1/pp5r/2pq2p1/3p2P1/7p/1P2P2B/PBPP4/2K3R1 w - -,g8h7
r2q1rk1/pp3pbp/4bnp1/3p1p2/3P1N2/1PN1P1P1/P4PBP/R2Q1RK1 w - -,d1d3
6k1/p3p2p/3p1pp1/2pP4/1qP1P3/2r2PPP/Q2RK3/8 b - -,a7a5
r3r1k1/1qn1ppbp/3p2p1/2pPn3/P3P3/1PN3PP/2QBNPK1/1R5R w - -,h1e1
1r2r1k1/1bq2pb1/pn3np1/2p1p2p/PP2P3/2B2NNP/2Q1BPP1/3RR1K1 w - -,b4b5
