r7/8/8/7k/8/p2K1P2/R7/8 w - -,d3c3
r1bq1rk1/pp1pnppp/2p5/8/2P1Q3/5N2/PP2PPPP/R3KB1R w KQ -,e2e3
8/p7/8/8/6R1/4k1K1/P1P2r2/8 b - -,f2c2
8/5k2/3p4/N5P1/2pK4/2P3P1/8/5b2 b - -,f7g6
4k2r/1p3p2/p3p1pR/1n1p2P1/3P4/1Pr1B1b1/P3KP2/R7 b k -,h8h6
2r4r/7p/2Rbkp1n/6p1/P2B4/4P3/5PBP/1R4K1 w - -,c6c8
8/3Rppk1/7p/4p1p1/2r5/2r4P/2P2PP1/3R1K2 w - -,d7e7
7R/2k1r1p1/1pp5/p7/8/8/PPP1K3/8 w - -,e2d3
4r3/pbqp2pk/2n1P2N/7Q/5P2/1N2b3/PPP3P1/R4R1K b - -,e8e6
6k1/p4q2/b2p2p1/2pPb1np/4B3/PPN4P/8/2R1Q2K b - -,f7f4
2r3k1/1r3pb1/p2Bp1p1/1qPp3p/1P6/4P2P/Q4PP1/1RR4K b - -,c8c6:b5c6
3kr3/4bQ2/p2pp2B/q6P/4bP2/1P2R3/P1P5/1K2R3 w - -,h6g7
8/3n4/4k3/3p3p/1B2nPP1/P1p1KN1P/8/8 w - -,g4g5
r2q1rk1/1b3ppp/p3pn2/1pb5/8/1P1BPN2/PB2QPPP/R4RK1 b - -,d8e7
5rk1/r5p1/5p1p/3N3P/pp4P1/5P2/nPPR4/K5R1 b - -,a7a5
1rbqr1k1/1p3pb1/p2p1n1p/2p3p1/2P1P3/1PN2QPP/P2B1PB1/R3R1K1 b - -,b7b5
7r/pp3kpp/2b2p2/4p3/4P1P1/P1P4P/1P1NK1R1/8 w - -,g2g3
r4rk1/pp2ppbp/2np1np1/2q5/4PP2/2NB1Q1P/PPPB2P1/R3K2R w KQ -,e1c1
1r2r3/p2qb1k1/5p2/3pP1p1/3P4/P1B1Q1Pb/1P3RB1/5RK1 b - -,h3g2
2rqkb1r/pb1p2pp/2n1pn2/1pp2p2/3P4/1P2PNP1/PBPN1PBP/R2Q1RK1 b k -,c5c4
r1b1k2r/pp1p1p2/2n1p1p1/2b5/3NPPp1/4B1Pq/PPP2R1P/RN1Q2K1 w kq -,d1d2
r5k1/6p1/pQppq3/1p3R2/4P3/1PP5/2P3P1/6K1 b - -,e6e4
8/5p2/6k1/2N1pp2/p1n4P/P4KP1/8/8 b - -,c4b6
r4bk1/1b2npp1/1q5p/2p5/Rp1pP3/1P1N1BP1/2PB2QP/7K w - -,d3b2
8/5pkp/4p3/1p2Prp1/2p5/2P2P2/1P4KP/4R3 b - -,g7f8
r1r3k1/1p2pp1p/3pb1p1/q7/2PBP3/1PR2P2/5QPP/q1R2BK1 w - -,c1a1
8/4rk1p/6p1/p2R1nP1/2p2P1P/1P6/P4K2/5B2 w - -,f1c4
4r3/1p1q2bk/p1n3pp/5b2/P2p1B2/5NPP/1PP3BK/3QR3 w - -,e1e8
8/p5k1/4Qp2/1Pq1n1p1/7p/7P/5PP1/5BK1 w - -,f1e2
