6k1/pQ3ppp/4n3/8/8/qP3PB1/6PK/8 b - -,h7h5
1r4k1/1r1nppbp/q2p1np1/2pP4/P1N1P3/1PN5/2Q2PPP/1RB2RK1 b - a3,d7b6
r5k1/2n4p/8/6p1/P2R2P1/3N3P/6K1/8 b - -,c7e6
1r2kn2/2qn3r/p3p1pp/3bP3/1p1N1b2/3B2B1/PPP2QP1/1K1R1R2 w - -,g3f4
2k5/2b2p2/p3p2p/4P3/1PP2P2/4B3/2Pq3r/1K1R4 w - -,e3d2
r1b1k2r/bpqn1ppp/p3pn2/6B1/2P5/1N1B1N2/PP3PPP/R2Q1RK1 w kq -,g5h4
8/4bk2/pn2p2p/1p1pP1p1/1P1P1pP1/Pb1B4/3N1PKP/2B5 b - -,b3d1
8/8/3k1p2/2n1p3/N1P1P3/3B1b2/3K4/8 w - -,a4c3
2N5/3n1k1p/2B3p1/p3Pp2/3P1P2/1b1r2P1/2R2K1P/8 w - -,c6d7
8/8/p1p1k3/1nP3p1/1PN1P1Pp/P2K3P/8/8 b - -,b5c7
6k1/1p2R3/2b2p1p/5P2/2P4P/4K1P1/2r1B3/8 b - -,c2c3
2kr3r/pp3ppp/2nb1B2/2pqp2b/Q1N5/2PP1N2/PP2BPPP/R3K2R b KQ -,g7f6
2n3k1/1p1q1p2/1Q4pp/1P1p3n/4p3/BNbP2P1/4PP1P/2N3K1 w - -,b6e3
3r3k/3p2pp/B2P4/p1NQ1r2/6q1/6P1/P4P2/4R1K1 w - -,d5e4
r1bqnrk1/1p3pbp/p1n3p1/2p1p3/P1NpP3/3P1NP1/1PP2PBP/R1BQR1K1 w - -,a4a5
8/1p5k/1P4pb/4p2p/4P3/3QB2P/6PK/4q3 w - -,e3h6
1r3rk1/7p/4p3/pp1pP3/3P1Npb/P1P5/1Pq1R1PP/R5K1 w - -,e2c2
1rb2n1k/3pr1qp/pPp2R2/4P1p1/NP3p2/2Q2P2/P1B3PP/4R1K1 w - -,c3c5
2k5/p1p4p/8/2P5/8/2P1n2P/P5r1/1R5K b - -,g2c2
r1b1rnk1/1p2qppp/2p5/2pnP3/p7/P1B1PN1P/1PQRBPP1/3R2K1 b - -,c8e6
r4n1r/pp1kb1p1/2p1pq1p/5p2/2BP1B1P/6P1/PPP1QP2/2KR3R w - -,h1e1
1rbqkb1r/2pn1ppp/p3pn2/1P6/2Q5/5NP1/1P1PPPBP/RNB2RK1 b k -,a6b5
1r4k1/q3pp1p/4nbp1/2R1N3/6P1/2N4P/5P1K/4Q3 w - -,c5d5
qr4k1/3rbppp/5n2/1N6/PP2p3/1Q2PNP1/R2B1P1P/4K1R1 b - -,e4f3
2r3k1/5p2/p2bp1pP/q7/3BQP2/1pN5/1P5P/1K1R4 b - -,g8h7
1n4k1/1rp5/b5p1/2RPppq1/2N1Pn1p/5P2/2Q2NPP/5B1K w - -,f2d3
8/8/8/5rp1/8/1P1Pp1B1/P3K1kP/8 w - -,e2e3
4r1k1/1pq2ppb/2p1p2p/r3P3/P1P5/6P1/PQ3PBP/2R1R1K1 w - -,b2b4
5Q2/6pk/4q3/7p/pB1p4/P1P3PP/1P1n1P2/K2R4 b - -,d2b3
8/pp4bk/6pp/3Qp3/6Pq/2P5/PP1R4/5K2 w - -,d5f3
3r2k1/5pb1/4p1pp/p1p5/2R5/2r1BNPP/4KP2/8 w - -,c4a4
2r3k1/1prb4/4qbpp/p7/3p1P1P/P2N2P1/1P1R3K/1R1Q1B2 w - -,f1g2
1rq2k2/5p2/4P1rp/pp1p1p2/2pP1Q2/P1P2Rp1/2PK1P2/R7 w - -,f4d6
r3r1k1/5ppp/q2p1n2/pbp1pP2/4P3/PP1PB1P1/3R2BP/1R1Q2K1 b - -,a8c8
