8/5k2/7R/r7/5PK1/8/8/8 w - -,h6b6
8/p2r2p1/2R2pkp/4p3/1P6/P6P/4KPP1/8 b - -,g6f5
8/pp1r1kb1/2p1R2p/3n1Pp1/3P4/P4K1P/1PB2B2/8 w - -,c2b3
r1b1k2r/ppppnppp/1bn2q2/8/4PP2/1NN2Q2/PPP3PP/R1B1KB1R b KQkq -,d7d6
6k1/1b5r/4p1p1/p3p1q1/PpP1Pb2/1P1P4/2B2Q1P/4RN1K b - -,h7h3
r1bqk1nr/ppp2pbp/2np2p1/1B6/3NP3/8/PPP2PPP/RNBQ1RK1 b kq -,c8d7
2r3n1/1pPR1p1p/1P2k3/4p3/5pP1/5K1P/5P2/8 w - -,d7d8
1r6/1q6/4p1kn/ppPrPpP1/1P1B1P2/2P3K1/6Q1/7R w - -,h1h6
r3k2r/1pp1ppb1/p2q1np1/3P1b1p/8/1BN1BP2/PPPQ2PP/2KR3R b kq -,e8c8
6k1/p3p1b1/r2pPP1p/2pP4/P2q2p1/2p3P1/2B1R1P1/2Q1K2R b - -,d4f6
4r3/7k/4BR2/6KP/8/8/8/8 b - -,h7g7
2r1r1k1/1p2ppbp/p1bp1np1/8/Pq2P3/2NBB2P/1PPQ1PP1/R4RK1 w - -,a1a2
r2q1rk1/p3ppbp/1pnpbnp1/2p5/P1NP4/1P2PN2/2P1BPPP/R1BQR1K1 b - -,c5d4
3r1rk1/pp1qnpbp/2n1b1p1/2pp4/4PP1N/2PP1N2/PP2Q1BP/R1B2RK1 w - -,e2f2
r1bqk2r/pp3ppp/2n1pn2/2b5/2p5/5NP1/PPQBPPBP/RN3RK1 b kq -,e8g8
r3r1k1/2q2pbp/p1bR2p1/4P3/2p3Q1/2N4P/P1B2PP1/1R4K1 w - -,g4c4
3r2k1/5R2/p7/1p1q1ppN/6n1/P3P2R/1P2QPP1/4K3 b - -,d5f7
5k2/1n5p/5p2/p1p1p1p1/PpB1P1P1/1PP2P1P/3K4/8 w - -,c3b4
rn2k2r/pbp1qppp/1p1bpn2/3p4/2PP4/1PNBPN2/P4PPP/R1BQ1RK1 b kq -,a7a6
6k1/ppp2pb1/r5p1/3q4/3P3R/4QP2/1P3P2/1KR5 b - -,d5a2
4k3/p3bp2/2p3n1/r5P1/N3P3/1P2BK2/P6P/2R5 w - -,f3g4
8/p4Rpk/3p3p/r7/8/7P/P4PP1/6K1 b - -,a5a2
r1b1k2r/1pqnbp1p/p2pp1p1/6P1/2nNPP2/1PN4P/P1P3B1/R1BQ1RK1 b kq -,c4e3
2r3k1/1p2ppbp/4q1p1/1P6/nQ2N3/B1nBPP2/5P1P/5RK1 b - -,g7f8
br3rk1/2R2ppp/q3pn2/1p1p4/pP1P1Q2/N5P1/P3PPBP/2R3K1 w - -,c1c5
6k1/8/2b5/2P3p1/7r/P1K1N3/5p2/2R5 b - -,c6b5
5r1k/1p1n2b1/2p3p1/2P2p1p/1PNp3q/2nP1B1P/1B3PP1/3QR1K1 w - -,d1d2
r7/1p3pkp/p1bP2p1/4n1q1/1P2P3/8/PQ2B1PP/3R1R1K w - -,e2c4
8/6p1/p4pk1/1nR4p/3rK2P/6P1/8/2B5 w - -,e4f3
rnbq1rk1/p2p1pbp/4pnp1/2pP4/PpP1P3/1P3N2/1B1N1PPP/R2QKB1R b KQ e3,e6d5
r1bq1rk1/1ppnppbp/5np1/p2p4/P2P4/2P2NP1/1P2PPBP/RNBQ1RK1 w - -,b1a3
r2r3k/1pbbq1pB/p3p3/6P1/7P/1NPRB3/2QK4/1R6 w - -,h7g6
r4rk1/1p1n1ppp/p2qp3/3p4/1n1P4/2NNPP2/PPR3PP/2RQ2K1 w - -,d3b4
3rk3/3r1q1p/p5p1/PpRb1p2/4pQ2/4N2P/3P2P1/2R4K b - -,f7e7
8/p7/3pB1kp/1bbPp3/4P3/8/6K1/4B3 b - -,c5b6
r1bqkb1r/1ppp1ppp/p1n5/4p3/B2Pn3/5N2/PPP2PPP/RNBQ1RK1 b kq d3,f8e7:b7b5:d7d5:e5d4:e4d6
1k1r3r/pp2bp1p/2p1qp2/4nQ2/8/2P1BP2/PP2BP1P/R4KR1 w - -,f5e6
r1b3k1/p2pb1pp/2p1p3/2P2r1q/3Q1P2/1P2B3/P2K2PP/3R1B1R w - -,g2g4
rn1qkb1r/pp2nppp/2p1p3/4Pb2/2BP4/P1N5/1P3PPP/R1BQK1NR b KQkq -,b8d7
2k2b2/1pr2p1p/p1r3p1/3pP3/P2P3P/4B3/1R3PP1/1R4K1 w - -,g1h2
4r2k/p4pp1/3Qr1bp/1pp5/4P3/P4P1q/3R2RP/3B3K w - -,d6d7
1r3rk1/1b1q2p1/6pp/2BpnP2/1p6/7Q/1PP2RBP/R6K w - -,c5f8
8/5k2/6p1/2pRPp1p/2P2P1P/rr1P4/R1K5/8 b - -,b3c3
1rbk1q2/2pp1ppp/p4n2/1p1B4/1P1Q4/P1N5/2P2PPP/4R1K1 b - -,b8b6
5rk1/3bRp1p/3p2p1/2rP4/5Q2/1B1R1P2/1PPK2PP/5q2 b - -,d7f5
8/1b5Q/p7/1k1q3P/5b2/4p3/PP6/1K5R w - -,h1e1
r1bqkb1r/pppp1ppp/2n1pn2/6B1/2PP4/8/PP2PPPP/RN1QKBNR w KQkq -,b1c3
2k1r3/p3B2r/1p1p3p/n1p2p2/2nP4/2P3PP/P1N2PK1/R3R3 w - -,e7h4
3r4/p3q1kp/1p4p1/4p3/4P3/1P3Q1P/P4RP1/6K1 w - -,f3c3
1k5r/p5q1/1bQ1p3/3p4/3P1p1p/7N/PR3P2/4K3 w - -,c6c3
5rk1/5pbp/2q1p1p1/Qp6/2B2N2/7P/1PP3P1/3R3K b - -,c6c4
k2r2q1/pp1r1pb1/4p3/2pn2PR/3pB1P1/P2P4/1PPB2Q1/1K3R2 b - -,d8c8
6k1/ppp1bppp/4n1b1/2P1B3/1P2P3/2Q3NP/P1B2P1K/2q5 b - -,e6g5
3r1rk1/4bppb/p6p/2p1Pp2/1q4P1/1P6/1BP2QBP/4RRK1 w - -,g4f5
3bk3/1bp3p1/p1p3r1/PpB1Pp1p/5P1P/2PN2P1/1P3K2/7R b - -,g6h6
r1rq2k1/1p3pbp/2b1p1p1/p7/1nNP4/P1B1P3/1Q3PPP/1RR2BK1 b - -,b4d5
r1b2k1r/p3npbR/1pnN4/2p1p1N1/8/2P1B1P1/PP3PB1/3RK3 b - -,h8h7
5R2/8/4k3/4pp2/4p3/4P3/4r1BK/8 w - -,f8e8
2r1r1k1/2qbbppp/p2p1n2/np1Pp3/2p1P3/2P1NN1P/PPB2PP1/R1BQR1K1 w - -,f3h2
5k1r/1rR2p2/4p1p1/3bP2p/5P2/1q2N2P/1P3QP1/5R1K w - -,c7c2
3r1rk1/q3bp1p/5Rp1/3P4/1pQ5/3N4/PP1B2PP/5R1K b - -,e7f6
8/pp3p1k/5qpb/8/4R3/7P/PP3PQ1/1K6 w - -,f2f3
r4rk1/ppqb2p1/7p/3p4/4n3/1NbBB2P/P1R2PP1/1R1Q2K1 b - -,a8c8
b3n1k1/2p1bppp/4q3/p1nNB1P1/p3r2P/5N2/5PB1/3R1QK1 w - -,d5e7
4rbk1/5p1p/6p1/p7/1ppP3q/4PB2/PPQB1KPP/4N3 w - -,f2g1
8/k7/7p/PP2nKp1/2P1B3/6P1/7P/8 b - -,e5c4
3r3k/pQ1Pr2p/1p6/2p1q1p1/4P3/1P4P1/P5BP/3R2K1 w - -,b7a7
r4rk1/p2b2pp/5p2/q2p1P2/2pN2P1/8/P3Q2P/R4RK1 b - -,a8e8
2rq1rk1/pp1bppbp/2np1np1/8/2P1P3/2N1BP2/PPN1B1PP/R2Q1RK1 b - -,b7b6:a7a6:f8e8
4r1k1/pp1rb1pp/2n1q3/1Q3p2/N2pnB1P/6P1/PP2PPB1/2R2RK1 w - -,b2b3
r1bqk2r/pp1n1pbp/1n4p1/3Pp3/7P/2N1BP2/PP4P1/R2QKBNR w KQkq -,d1d2
4q1k1/1p2r1p1/p1p1r2p/P1RbBp2/1P1Pp3/4P3/1Q3PPP/2R3K1 b - -,e6e5
rn3rk1/pp1bp1bp/3p2p1/3P1q2/2P2P2/1N6/PP2B1PP/R1BQ1RK1 b - -,d7a4
r1bqk2r/pp1nbppp/2p2B2/4p3/2B5/2N1PN2/PPP2PPP/R2QK2R b KQkq -,e7f6
1r3r2/2kB2pp/bbpn1p2/p3p3/Pp2P3/1N3PN1/1PPB2PP/1K1R3R b - -,c7d7
3r2k1/p4p1p/6p1/2p1q3/P1Q3B1/1P2P1P1/2pr1P1P/5RK1 w - -,g4f3
8/2k3q1/2p1b3/1p1pPp1B/pPn2P2/P1B1P2P/7K/2Q5 w - -,h5f3
8/4p2p/2Pb2p1/3k4/Bp6/4P1PP/4KP2/8 w - -,e2d3
8/8/1p6/4p3/q3Pk2/2R3R1/2K5/8 w - -,c2b2
r4rk1/pp4pp/n1pb1n2/4pb2/2P5/1PN1BNP1/1P3PBP/R2R2K1 b - -,d6c5
5k2/8/3p4/3P1p1p/r1pK3P/prP2PP1/4R3/4R3 b - -,b3b7
8/6p1/8/2k2pp1/2P4P/2K2PP1/8/n7 b - -,g5h4
rn2k2r/1q1pbpp1/pp2p2p/8/QPPNN3/5PP1/P3P1KP/R2R4 b kq b3,e8g8
r1r3k1/1q3ppp/b3p3/pNbpN3/P3nQ2/4P1P1/1P3P1P/2RR1BK1 w - -,f1d3
2r2r2/2k5/2b1Qp2/2N4p/1p1P1P2/1P4P1/P4K1P/8 w - -,c5a6
6k1/p1q2pp1/2pr1b1p/5Q2/7P/1P3NP1/P4PK1/2R5 w - -,h4h5
r3k2r/ppp1nppp/2nq4/3p3b/3P4/3B1P2/PPP1N1PP/R1BQK2R w KQkq -,c1f4
4r3/p4pk1/1p4p1/2p5/3p2QP/1P1P4/P1P2K2/8 b - -,a7a5
8/1bk2p2/p4K2/RP3N2/2P5/1r6/8/8 b - -,c7b6
r1br2k1/pp6/2p2P2/2Pp2P1/1P2N3/4n1K1/P5B1/3R1R2 w - -,e4d6
4rnk1/1b2nNb1/pp2p1p1/6Np/P2q3P/3B2Q1/5PP1/2B1R1K1 w - -,f7d6
2r2rk1/p4ppp/1p6/8/4B3/P1b5/5PPP/2BR1K2 b - -,f8d8
8/2Q5/p3qpkp/1p1r4/3B4/P4P1P/1P3KP1/8 w - -,c7f4
8/2k5/8/3RPp2/5n2/K6P/8/8 w - -,d5c5
8/5k2/1pB3p1/p6p/P2p1P1P/1K1P4/4P3/4b3 b - -,e1h4
6k1/P3R2p/6p1/5r2/8/5P1P/7K/4q3 b - -,e1f2
6k1/1R3qp1/2B1p2p/r2n1p2/P2Pn3/B3P1P1/2Q2P1P/6K1 b - -,f7g6
6k1/p6p/6p1/1pqPprP1/5r2/2PQR3/PP4RK/8 b - -,f4h4
8/3N4/4n3/P5p1/1p1k4/8/1P6/3K4 b - -,e6c7
8/1bn1k1pp/p2p4/1p6/3Pp3/PP2P3/3BBKPP/8 w - -,d2a5
r4rk1/1bq1bp1p/p2p2p1/3nP3/3B2PP/1N1B4/PpP5/1K1R1QR1 b - -,d6e5
