4k3/1K6/2P4r/8/8/1p6/8/3R4 b - -,b3b2
b3r1k1/3Q1ppp/p7/6q1/P3p3/1B5P/2P2PP1/3R2K1 b - -,e8f8
5k2/3R4/6p1/5p1p/2B4P/1r4P1/5K2/8 b - -,b3c3
r4q1k/p1n3pp/2pbQ3/8/2Bp4/2P3B1/PP4PP/4R1K1 w - -,e6d6
2rn1bk1/r4qpp/5p2/pRnNp3/2Q1P2P/2P3PB/5P2/2B1R1K1 b - -,c8c6
rn3rk1/1pp1qppp/p3pn2/7b/3P4/bP2PN1P/PB1NBPP1/R2Q1RK1 w - -,b2a3
7k/1p1q4/2p4p/p1P3p1/3bQn2/4NB2/PP6/3R2K1 b - -,f4e6
4r3/1p3pk1/2b1r1pp/p1Pp4/P4R1P/1P1RPNP1/4K3/8 b - -,e6e4
8/3R1pk1/6p1/4P2p/r3K2P/5PP1/8/8 w - -,e4d5:d7d4
1r2k3/r2nbp1p/p3p1p1/1pp1PP2/P1P1N1P1/2B1P2P/5R2/3R2K1 w - -,f5g6
6k1/ppq2p1p/2p3p1/3p1P1n/P2P1bP1/1N5P/1PP5/4QBK1 b - -,h5f6
k5r1/1q1p4/pp1Np3/3PQp2/2P5/1PN2KP1/P6r/R7 b - -,b7c7
2kr4/1bqn1p1Q/2n1p3/p2pP3/1ppP2N1/2P3PP/PP2N1B1/R5K1 b - -,d7f8
1r6/2k4p/p2b2p1/1pp1N3/2P2P2/1P1R1K1P/P7/8 w - -,f3e4
r1bqr3/1pp2pbk/p2p2pp/2n5/2PNP1n1/2N1B3/PP1QBPPP/R3R1K1 w - -,e2g4
r2q1r1k/ppp4p/2np1p2/2b1p1B1/2B1P1b1/5N2/PPP2PPP/R2Q1RK1 w - -,g5h6
rn3qkr/1b1pb1pp/1p6/1Np1N2Q/4P3/P7/1PP2PPP/R1B2RK1 b - -,d7d6
8/1p3pk1/2bp3p/2n1pB2/2P1P2P/P3K3/6P1/2R5 w - -,c1b1
r4rk1/3bppbp/1q3np1/8/pn2P3/2N2N2/PP2BPPP/R1BQ1RK1 b - -,f8d8
r4rk1/4ppbp/p1q3p1/1p4B1/P1n1P3/2P2N2/4QPPP/1R1R2K1 w - -,a4b5
4rbk1/7p/6p1/pb1Pp3/4P3/5KP1/P2B3P/2R5 w - -,d2a5
2r2rk1/pb2qpp1/1p2p2p/n3N3/3Pp3/P1N1P3/1P2QPPP/2R2RK1 w - -,b2b4
r1b1kb1r/pp1pnppp/1qn1p3/1Bp5/4P3/2N2N2/PPPP1PPP/R1BQ1RK1 w kq -,f1e1:b2b3:d2d3
2r3k1/pb5p/1p3p2/8/1P1N2n1/P7/2PR1PPP/2K1rB1R w - -,c1b2
5k2/p3p1b1/1p1r3p/2p1pP2/4N3/1PP1B3/P5PP/R5K1 b - -,d6d3
8/2bB4/8/p1p5/2P5/1P2k1p1/P5K1/8 b - -,e3d3
2q1rn2/2p1r1kp/1pbp1p2/6p1/1PP1P3/1B2QPB1/3R2PP/3R2K1 w - -,c4c5
2r2rk1/1p3qpp/p2pb3/P2Np3/2BnP3/1P2Q3/5PPP/R2R2K1 w - -,d1d2
8/5p2/4p1p1/1pbkP1P1/5P2/3K4/3B4/8 b - -,c5g1
8/8/1R3pk1/7p/1p6/2bN1KP1/1r6/8 b - -,b2b3
3q1r1k/p4p2/2p1b1B1/1p2p3/2Pb2P1/7R/PPQ2P1P/1K5R b - -,h8g7
r1b4r/pp2k3/2p2p2/Pnn3p1/6P1/5NB1/2P1BP1P/R3K2R w KQ -,e1c1
7r/pp2kprp/2p1b1P1/2b3P1/4N1n1/8/PPP1NP2/3R1K1R b - -,c5b6
2r2rk1/p3b1pp/2p1n3/1Np1pp2/2N5/3PBPPb/PP2P2P/2R1R1K1 w - -,b5c3
8/p7/1p3k2/2p1p3/P1PbPP1p/1P1N3P/4K3/8 b - -,e5f4
5r1k/2qn2pp/p2b4/3Q4/8/4B2P/P1P3P1/3R3K b - -,d6c5
r2q1rk1/5pb1/1p1p2p1/p2P2P1/Pp2P1QP/1B1N4/1PP5/2K2R2 b - -,a8a7
r2q1rk1/ppp2pbp/2npbnp1/4p3/2P5/P1NP1NPP/1P1BPPB1/R2QK2R w KQ -,f3g5
8/3R4/1Kp2p2/P1P1p3/r1k5/5P2/8/8 w - -,a5a6
2r4k/p4qp1/1prR3p/5p2/P1P5/2Q3RP/5PP1/6K1 w - -,g3d3
r1b4r/p3k1pp/2p5/N1b2p2/4p1n1/4P1P1/PP1B1PBP/R2R2K1 b - -,c5b6
8/6pp/5p2/2kp1b2/7P/2K1P1P1/5P2/3B4 b - -,h7h6
1k1r3r/pppq1pb1/1nn3p1/8/1P2NP2/P2bP3/R1QP1RB1/2B3K1 w - -,e4c5
r2q1rk1/p1pb1p2/3n2pb/1p1Pp2p/4P3/1PNBP1N1/P2Q1RPP/R5K1 w - -,a1f1
rq3rk1/p4ppb/1pp2n1p/3P4/5N2/PB2Q1P1/1P4P1/3RR1K1 b - -,f8e8
1r6/4qpk1/1rp2n2/3p3p/1P3RpP/3NP1P1/2R2PK1/Q7 b - -,b8e8
2rq1rk1/1p2bppp/pn1p1n2/4pP2/4P3/1PN1BB2/1PPQ2PP/R3K2R w KQ -,g2g4
8/5Bk1/8/1R5p/p2b4/6PK/P2r4/8 w - -,f7h5
1r1q2k1/5rb1/np1p2p1/3PpbP1/7R/PNN1B3/5P2/R2QK3 w Q -,e1f1
3r4/N4pkp/1R1P2p1/2p5/2n5/6P1/5PKP/8 w - -,b6c6
r4rk1/p2qp2p/bp3pp1/3Pb1B1/7Q/6P1/P3PPBP/1R3RK1 w - -,g5h6
r6r/3n1kp1/2p1Rqp1/p1Pp2b1/Np1P1pQ1/1P1B1P1P/PB6/1K4R1 b - -,f6e6
1r1r2k1/p4p2/3P2p1/1p6/8/b7/P5BP/1R1R2K1 w - -,d6d7
r1bqkb1r/pp1ppp1p/2n2np1/2p5/2P5/5NP1/PP1PPPBP/RNBQK2R w KQkq -,e1g1:b1c3
6k1/4pp2/p1r4p/8/1rNb1P2/3B2P1/1P1N1P1P/1R4K1 b - -,g8g7
2r1k1r1/p4pBR/1p6/3pP3/4n3/P1P5/2P2PP1/R3K3 w Q -,e1c1
2rq1rk1/1b2bppp/p2ppn2/8/4PP2/2Nn1N1Q/1PPB2PP/R4RK1 w - -,c2d3
r6r/p2b1k2/1pn1pqn1/5p2/Q6p/2PPBB2/P2N1PP1/1R2K2R b K -,f6c3
r1bqk1nr/ppp1bppp/2Np4/8/4P3/2P5/PP3PPP/RNBQKB1R b KQkq -,b7c6
1r6/8/1p5p/8/p1k2N2/5RP1/Pb2PP1P/5K2 w - -,f4d3
n6r/p1p1k1bp/b4p2/8/5B2/1P4P1/P3PP1P/R2R2K1 w - -,a1c1
8/pp2k1p1/2p5/P1P2KP1/4P3/1BPb4/8/8 b - -,d3b1
8/7p/3k4/6p1/4K3/5P2/6PP/8 b - -,d6e6
r1br1k2/1pp3p1/p2pnp2/8/4P1pP/1BP1P1N1/PP4P1/3R1RK1 b - -,f8e7
8/4k3/4p3/6p1/3q4/5QPB/4K3/8 b - -,d4b2
Q5k1/5p2/6p1/7p/B1P1p2P/5nP1/3q1P2/5K2 b - -,g8g7
R7/6k1/4p3/6p1/5r2/5PK1/8/8 b - -,g7f6
3B4/6pp/5p2/P2k4/6P1/1n2KPP1/8/5b2 b - -,f1a6
3r2k1/p2q1p1p/5Pp1/2p5/8/2B5/Pp3PPP/1B2Q1K1 b - -,d7d1
rn1qk2r/pb2bppp/1p1p1n2/2pP4/4P3/P1N2N1P/1P3PP1/R1BQKB1R b KQkq -,b8d7
r3k2r/pp1bppbp/6pn/2n5/3Nq3/Q1P1BN2/PP3PPP/R3KB1R b KQkq -,b7b6
r1b2rk1/1pq2ppp/p2bp3/4nPN1/3P4/2N5/PP2Q1PP/R1B1K2R b KQ -,e5c6
r1bqk2r/pp2bppp/2n1p2n/3pP3/3P4/B1P2N2/5PPP/RN1QKB1R w KQkq -,f1d3
