8/3N4/8/3p1kp1/3P4/4K2P/1b6/5b2 w - -,d7b6
1n4k1/pn3pbp/1pq1p1p1/1P1p4/3P4/3BP1P1/PNQB1P1P/6K1 b - -,c6c2
r5k1/pp3rbp/2p5/2P1p2Q/4N3/1P4PP/P2R2BK/2q5 w - -,e4g5
r1bqk2r/pp1nbpp1/2p2n1p/3p2B1/3P4/2NBPN2/PP3PPP/R2QK2R w KQkq -,g5h4
2r2rk1/p2bppb1/2np2p1/1p1N3p/4P2P/1BP1BP2/PP1K2P1/R6R w - b6,a1d1
6k1/7p/p1Nb2p1/1p1N4/8/1P1nP1P1/P4PP1/6K1 w - -,a2a4
1r4k1/3q1rPp/1Bbb2p1/Q3p3/3pP3/1P3P2/NPP5/1K1R3R b - -,d7e7
4r1k1/2pr1p1p/p1Q3p1/4q3/8/1P2P2P/P5P1/2R1R1K1 b - -,d7d2
r1bqkbnr/pp3ppp/2npp3/2p5/4P3/5NP1/PPPP1PBP/RNBQ1RK1 b kq -,g8f6
3B2k1/Pp4pp/8/2p5/1b3Q2/5PP1/1P2q1KP/8 w - -,g2h3
5R2/1bqn2k1/p5pp/2pPp3/2P1n3/3N2PP/P2Q2B1/6K1 w - -,g2e4
8/8/1p6/1P3pNp/Pb2k1p1/6P1/4K1P1/8 b - -,e4d5
1k1r3r/pPp1b2p/1q1p1pp1/8/4P3/1B1P1Q1P/1PP3P1/2KR1R2 b - -,b6b7
8/R1rn2k1/3q1p1p/3Pp1p1/Q1P1P3/4P2P/6PK/8 b - -,c7a7
r3k3/ppp1pp1p/2n2br1/8/3N1Pb1/4B1P1/PPP1B2P/2KRR3 b q -,g4e2
4rrk1/1p4pp/p1pRn3/2Pn4/3B4/1B4P1/P1P4P/R6K w - -,d4g1
6k1/5p2/3p3p/b2Pp1pP/N1R1P1P1/1r3P2/1P6/5K2 w - -,f1e2
