8/8/4pk2/2p3p1/R7/1P1rrP1P/P4RKP/8 b - -,e3e1
5k2/6p1/1p2R1K1/2p2P2/2P3P1/8/1r6/8 b - -,b2b4
4k3/pR6/4p1p1/r3P1Pp/7P/4bN2/6K1/8 w - -,b7g7
r1b1qr1k/pp4bp/2pp4/3pnp2/2P2B2/1QN3P1/PP2PPB1/R3K2R w Q -,f4e5
8/3b3R/4k2P/3p4/3P1Pp1/6P1/5K2/1r6 b - -,b1h1
rnb2rk1/1pq2pbp/p4np1/4p3/2P5/1Q2PNP1/PB3PBP/RN3RK1 b - -,b8c6
2r1k1r1/1bq1bp1R/p2pp3/1p4p1/3NP3/3P1P2/PP1Q1BP1/1K1R4 b - -,d6d5
1r1q1rk1/p2nppbp/1pbp2p1/2p5/1PPP1B2/P3PN1P/3QBPP1/2RR2K1 b - -,a7a6
rn1q1rk1/pbpp2pp/1p2p3/5p2/2PPn3/P3PN2/1PQ1BPPP/R1B2RK1 b - -,d7d6:a7a5
r1b1kb1r/pp3ppp/1qn1pn2/2pp2B1/3P4/2PBPN2/PP3PPP/RNQ1K2R b KQkq -,f6h5
r1b1r1k1/ppqnbppp/2n1p3/2p1P3/8/1BP2N2/PP2QPPP/R1B1RNK1 w - -,f1g3
1q4k1/p5rp/1p2p3/7r/P1P4P/3Q2P1/2R2PBK/8 w - -,h2g1
r7/rnp1nqk1/1p1p1p1p/1P1Np1pP/P1P1P1P1/4BP2/R1Q3K1/R7 b - -,b7a5
8/1p3p1p/1bp1k3/4P1P1/1N2R1P1/6r1/1P1K4/8 w - -,b4d3
8/8/4R3/p7/2k3r1/8/5KP1/8 w - -,f2f3
r2qr1k1/5ppb/p1nb3p/1p6/PPpPp3/2P1B3/3NBPPP/R2QR1K1 b - -,f7f5
rn1qkbnr/pp2pppp/2p5/3pPb2/3P4/8/PPP1NPPP/RNBQKB1R b KQkq d3,e7e6
8/p2r4/1p4kp/1Pp1pR1P/P3K3/2P2P2/8/8 b - -,g6g7
4b3/8/1p2p3/5p1p/Pk3P2/6P1/2BK4/8 w - -,c2d1
R7/4pk2/3p1p2/2pr1P2/P5P1/8/8/4K3 w - -,a4a5
8/5p2/2p1rb2/ppPr1k2/3P1p2/PP1R4/3R1BP1/3K4 b - -,e6e8
4b3/R3b2p/4k1p1/2p5/p2p2KP/3P4/P1P5/8 w - -,a7a6
8/2p5/3kP3/4p2p/B3Pp1b/3K1P2/7P/8 b - -,d6e6
rn1q1rk1/pp2ppbp/4b1p1/8/3P4/4PN2/P3BPPP/R1BQ1RK1 w - -,c1a3
4r1k1/4r3/p2p1Q1p/1p2p3/4q3/6PB/PPP4P/2K2R2 w - -,f6d6
rnN1k1nr/pp1p1ppp/3Q4/4p3/4P3/2P1P3/Pq4PP/RN2KB1R w KQ -,d6e5
1rq5/1pp1rpbk/p3n1pp/4P3/5P2/4B1PP/PP1Q2BK/3RR3 w - -,d2c2
8/2p2k2/4np2/p1pNb1r1/1p5p/1P4P1/P3R1KP/5R2 w - -,e2d2
4k3/7p/1p4p1/p5R1/P1P1p1P1/1PK5/5r1P/8 b - -,f2f3
r4rk1/qp2bppb/2p1pn1p/2Ppn3/p2P1BP1/P6P/1P1NPPB1/R1Q1R1K1 w - -,f4e5
rn1qkb1r/p3nppp/1p2p3/1bppP3/3P4/PBP2N2/1P2NPPP/R1BQK2R b KQkq -,b8c6
3r2k1/1p3pp1/1q3b1p/pP6/2Q5/3nBN2/5PPP/4R1K1 b - -,b6d6
1r1q1rk1/p5b1/1pQpb1pp/2pNpp2/1PP5/P2P2P1/4PPBP/1RB1K2R w K -,b4c5
r5r1/pp2k2p/3p1p2/2n1p3/qPPpPP1P/3P1B1b/PQ1KNR2/R7 b - -,c5d7
r1n1r1k1/p4pb1/2p3qp/2Np1bp1/3P4/1P2B1P1/P4PBP/R2Q1RK1 w - -,c5a6
rnbqk2r/ppp1ppbp/5np1/3p4/3P1B2/4PN2/PPPN1PPP/R2QKB1R b KQkq -,b8d7:e8g8
r1bqkb1r/1p1ppppp/p4n2/2p5/2BnP3/2N2N2/PPPP1PPP/R1BQK2R w KQkq -,e4e5
1r1nn1k1/5p1p/p5p1/q3b3/5P2/1P4P1/4QN1P/2RR2K1 w - -,e2e5
r1b2rk1/p2p1ppp/1pn1pq2/8/1bP5/2N2NP1/PP1QPP1P/2R1KB1R b K -,c8b7
8/1p6/p1pR1kp1/P1P1np2/r7/6P1/B5K1/8 b - -,f6g5
5bk1/1Q6/p1r1n3/6B1/2P1p3/1P5P/P7/1K6 b - -,c6d6
3r4/6pk/7p/1p6/p3Q3/P4P1K/1P2R2P/3q4 b - -,h7h8
2r3k1/pp1q1pp1/4p1p1/3pR3/2rP4/P1P4R/1P1Q1PPP/6K1 w - -,e5g5
3r2k1/1qbrpb1p/1pp2pp1/2p2P2/2P1P3/R2PBN2/1PQ3PP/5RK1 w - -,e4e5
4rbk1/1p4pp/p3qp2/3Q4/1P2P3/P5P1/5B1P/3R2K1 b - -,b7b5
rn1qk2r/p2pbppp/bp6/3Pp3/5N2/P1N1P3/1P1Q1PPP/R3KB1R w KQkq -,d5d6
5q1k/1p1r1pp1/p1n1p2p/4P2N/P1RbQ2P/5NP1/5PK1/8 b - -,d4a7
8/4k1p1/R6p/pr6/4KPr1/8/3B4/8 b - -,h6h5
1r4k1/5pp1/1P1bpnp1/B2p4/2pP4/4PP2/4N1PP/1R5K b - -,b8a8
3qr1k1/1b1n1pb1/pp1p1npp/2pP4/P1P2PP1/1PN2B2/1B1Q3P/4NRK1 w - -,e1g2
rn3rk1/pq2bppp/5n2/2p1p3/Q1P2B2/2NR2P1/PP2PP1P/R5K1 w - -,f4e5
rnbqkb1r/1pp2ppp/p3pn2/3p4/3P1B2/4PN2/PPP2PPP/RN1QKB1R w KQkq -,b1d2
8/6k1/8/4b3/1PK2N1P/5RP1/8/2r5 w - -,c4d5
r1q1r1k1/pb2ppbp/2np2p1/2pNP3/5P2/4BB1P/PPPQ2P1/3RR1K1 w - -,e5d6
6r1/3k1b2/p5P1/1p1qrP2/4nQ1R/4B3/PPP4P/5RK1 w - -,h4h7
5r2/p5bk/1p3qpp/2pPpb2/2P1B3/3PB3/PP3RQP/6K1 w - -,g2g3:a2a3
r4rk1/pppqn1b1/3p1np1/2PPpp1p/1P2P3/2NQBP2/P3N1PP/R4RK1 w - h6,b4b5
r1b1kb1r/pp1n2pp/1qn1pp2/3pP3/3P4/3B1N2/PP1N1PPP/R1BQ1RK1 w kq -,e5f6
r2r2k1/3bq1bp/2pp1np1/p4p2/n1P1p3/BP2P1P1/P1Q1NPBP/3R1RK1 w - -,a3d6
5rk1/6p1/3p3p/2pPp1n1/1pP3q1/1P1KP3/Q2N4/4NR2 b - -,f8f1
3n4/5k2/p2p2p1/P2n2R1/1p6/1P2B3/2PK4/8 b - -,d5f6
r3r1k1/2q2pp1/2pb1nbp/p1Np4/6P1/2P2P1P/PP1Q1BB1/R3R1K1 w - -,e1e8
1R6/5kpp/3p1p2/3PpP2/4r3/6KP/6P1/8 w - -,b8b7
4n3/p3r1p1/3k1p1p/2pP3P/2P3R1/P7/2BK1P2/8 w - -,c2g6
r2r2k1/pp2ppb1/2p3pp/3nP3/q2PQ1P1/P6P/1PP2BB1/2KR3R b - -,e7e6
4r1k1/3q1pp1/1p3n1p/1P1p4/1QpP3n/R3PP2/6PP/B4NK1 w - -,a3a6
4r1k1/4Rp1p/3Q2p1/1p2n3/1B4q1/1P4P1/P5KP/8 b - -,g4e2
r7/6PK/8/8/5k2/8/8/8 b - -,a8a7
8/4bkp1/4p3/1pp1P1p1/p3p1P1/P2rP2P/KB3P2/2R5 w - -,c1c2
2b2b1r/r1k1nppp/1pn5/3p4/PBpP4/2P3P1/3NNPBP/R4RK1 b - a3,c8d7
r7/2p2ppp/1p3n2/1k6/N4Q2/1q4P1/3K1P1P/2R5 w - -,a4c3
2r3k1/p7/1p1r2pp/B4p2/2pP1P1N/4n1PP/P5b1/2R2RK1 w - -,a5b4
3r4/3r2k1/6p1/p4pB1/1pB1b3/8/PP3R1P/5RK1 b - -,d8h8
3r4/5kp1/2r2p2/4p2P/ppP1P1P1/1P1pBR2/P1n2K2/3R4 b - -,a4b3
3r2k1/1p3pp1/p2p4/P2P1Nq1/1Pr3n1/4R1Pp/5Q2/4R2K w - -,e3e8
1k6/1p4p1/8/8/P4bq1/2P5/1PQ2P2/4K1R1 b - -,g4g1
