1R2k3/2Qb4/5q2/8/7P/5PK1/1P4P1/7r b - -,e8e7
6k1/q2r1pb1/4n1p1/p1pQP2p/P1N5/1P5P/6P1/3R3K w - -,d5d7
r1bqk2r/1pp1bppp/p1n2n2/3p4/3P1B2/P2B4/1PP1NPPP/R2QK1NR w KQkq -,c2c3
rnbqk3/pp3p1p/4pn2/3pP3/1b4r1/2P1BQ2/P1P2PPP/R3KBNR b KQq -,d5d4
r2qk2r/pp1nbppp/5n2/3p4/3P4/5pP1/PP2P1BP/RNBQ1RK1 w kq -,e2f3
5rk1/1pqnbppp/3pb3/p3p1P1/4P2P/1NP2Q2/P1P2P2/KR3B1R w - -,f1h3
r4rk1/5pp1/2pbbq1p/p2p4/8/P2B1Q2/1PP1NPPP/R3R1K1 w - -,f3f6
7r/pp3pk1/2p3p1/2n1n2r/2P1P3/1PN2P2/P2R3P/2N2R1K w - -,d2f2
7r/2p2b2/5P2/2k3p1/p2p4/1P1B4/P2K1R1P/8 w - -,b3a4
8/1kp2p2/2p5/B1K5/2P4R/1r3r2/4p2P/8 w - -,h4e4
r1bqkbnr/pp2pppp/2n5/3p4/3PP3/2P5/5PPP/RNBQKBNR w KQkq d6,e4d5
8/5k2/4p2p/1pK1Pp2/1Pb2N1P/8/8/8 b - -,f7e7
r3k2r/1b1n1ppp/p1p1p3/1p6/3PP2q/5P2/PP2B1P1/R1BQ1RK1 b kq -,e8g8
3r2k1/1pp2p1p/p3Bqpb/4p2n/P3P3/BPP3P1/4QP1P/R4NK1 b - -,f6e6
8/3R4/2P1p3/2r3kP/8/4PBK1/2b5/8 w - -,d7f7
8/5pk1/8/2pB1nq1/2P5/5QP1/6K1/8 w - -,g2h3
5r1k/3q2p1/2p5/2Pn1p2/4p3/4P3/3QBP2/1R4K1 b - -,d7e7
3r2k1/1br1qppp/pR6/P3p3/2p1P3/2P1Q3/5PPP/1R1B2K1 w - -,d1e2
r5k1/3bqp1p/1n1r4/pp2N1pP/3pPP2/QPN3P1/P7/1K1R3R w - -,c3b5
8/1p3pk1/2pb1p1p/p6P/P3KPP1/2PB4/1P6/8 w - -,e4e3
r2qkbnr/1p4p1/p1n1ppp1/2pp4/6P1/1P1PP2P/PBP2PB1/RN1QK2R w KQkq -,b1d2
r4r2/p2p2k1/bp5p/3P1B2/1qn5/5QP1/P4R1P/R5K1 w - -,f3g4
5rk1/6p1/3p1r1p/3qpb2/1p6/3PB1PP/P3QP1K/1R1R4 w - -,b1b4
8/1pn3k1/4p1p1/2p2p1p/2P2P1P/4PP2/2P1K3/2r2BR1 w - -,e2d2
