4b1k1/7p/6p1/8/4B3/7P/3r1PP1/R5K1 w - -,h3h4
r1b1r1k1/pp1n1ppp/2p5/q5B1/1b2n3/P1NB4/1PPQN1PP/R3K2R w KQ -,d3e4
r2q1rk1/4bppp/p1nppn2/1pp5/4P1P1/2PP2QP/PP1N1P2/R1B1RBK1 b - -,f6d7
4r3/5ppk/p5p1/4q3/P3n3/3RN2P/2Q2PP1/6K1 b - -,e8b8
8/p4r1k/1p6/4Rpp1/3n3N/PP3PP1/2Q3K1/8 b - -,d4c2
5r1k/5p2/p1pNp1np/4P3/8/1P4Q1/1KP2R2/4q3 w - -,d6c4
4R3/5p1k/2p2npp/1p3q2/3Q4/2P4P/1P3PP1/6K1 w - -,e8d8
8/3k4/1p6/p1p5/P2r4/2N5/2BpK3/8 b - -,d7e6
8/1p6/p1p5/2P1k2N/1P3b2/5K1P/8/8 b - -,f4d2
6r1/1kp4p/p1p5/8/2b5/5N2/1P4PP/R5K1 b - -,c4d5
r1b1r3/p2nqpbk/1ppp1npp/4p3/2PPP3/2N1BNPP/PP1Q1PB1/3RR1K1 w - -,b2b4
r2qkb1r/pp3ppp/3pbn2/4p3/2PpP3/3P2P1/PP2NPBP/R1BQK2R b KQkq -,b7b5
2b2rk1/2q3bp/4p1p1/2p5/Nr6/pP4P1/P1Qn1PBP/3R1RK1 w - -,d1d2
6k1/p2r1p1p/2rP1p2/3R1R2/2P5/4b1B1/P1K3PP/8 w - -,c2d3
5rk1/1pq1b1r1/p2p4/4p3/2P2pP1/1P1Q1Pn1/PBBR1K2/5R2 w - -,d3d5
8/8/1b4kp/p3p1p1/p3p3/2N3PP/1PP1K1P1/8 b - -,b6d4
rn2kb1r/pp3pp1/2pqpnp1/8/3P4/2N3PP/PPP2PB1/R1BQK2R b KQkq -,d6c7
2r3k1/pp3p1p/4p1p1/2P5/1PNq4/5Q2/P3BK1P/8 w - -,f2g2
k2r2r1/1p1bn1pp/p3p3/q2pPp2/3N1P1P/2NR2Q1/PPP3P1/1K1R4 w - f6,g3e3
r1b1k2r/ppqppp1p/2n2np1/2P5/1Q2P3/2P2N2/P1P2PPP/R1B1KB1R w KQkq -,b4c4
r1bq1rk1/p1pp1ppp/1bp5/8/4P1n1/2N1B3/PPPQ1PPP/2KR1B1R w - -,e3b6
1r6/2R5/6kp/pp2P3/8/6P1/1P2K2P/8 w - -,c7c6
r2q1rk1/pbpnbp1p/1p2p1p1/8/3P4/P3B1N1/1PPQ1PPP/1K1R1B1R b - -,h7h5
8/2k2r2/1p1p3q/p2Rp3/2P1P3/1P6/P3Q1P1/6K1 w - -,e2d2
6k1/1r3p2/4n1p1/4P2p/7P/1p3P2/6PK/1R2B3 b - -,e6c5
1krr4/1pqbbpp1/p2pp2p/n7/4PP2/1NN1Q3/PPP3PP/1K1RRB2 b - -,d7e8
5k2/pNb5/2p1B2p/3p2p1/1PPPp2n/4P1P1/P2r4/6NK w - -,c4d5
6k1/1b1P1p1p/1q4p1/2p2NQ1/2Bbr3/1P5P/6P1/3R1K2 b - -,e4f4
6k1/4pp2/3p1bp1/1q1P4/1p2P1QP/1Pr2N2/r4P2/1R3RK1 w - -,h4h5
