5k2/8/6p1/5pP1/1R3P2/5r1p/7K/8 b - -,f8f7
8/1p2kp2/1q2p1p1/3p3p/7P/6PK/1r2BP2/4Q3 b - -,b6b4
rn1q1rk1/pbp2pp1/1p2pb1p/8/3P4/2PBBN2/PPQ2PPP/2KR3R b - -,b8d7
8/2k1Bp2/4p1p1/1K2P2p/1P1r1P1P/8/8/8 w - -,e7g5
2r2rk1/q3bppp/pp2pn2/2NpN3/1PnP1B2/P2QP2P/5PP1/R1R3K1 w - -,c5b3
r7/7P/4kp2/7R/6P1/5K2/8/8 b - -,a8h8
3r2k1/1pp3pp/p4p2/2P5/4PP2/1Pb1B3/P3K1PP/7R w - -,h1c1
1rb2rk1/2p5/p2p1q1p/6p1/2PpPp2/1P3P1P/P3Q1P1/R2NRK2 w - -,d1f2
8/2p5/4k1p1/2R3P1/1pP1Pp1p/1r3P1P/6K1/8 b - -,e6d6
1r5k/5p1p/8/2qP4/3R4/nPQ3N1/PK5P/8 b - -,c5c3
6k1/2n1qrpp/3p4/p1p1nP2/Pr6/1P2P2P/1BQN4/2K1R1R1 w - -,b2c3
7k/6pp/Bnb1qp2/p2pp3/Pp1P4/1Pn1PP2/3N1KPP/2N2Q2 w - -,c1d3
2r3k1/1prqnppp/4p3/p1Pp4/Pb1P4/1P4PP/1BR2P2/2RQ1BK1 b - -,e7c6
r1bqkb1r/ppp2ppp/2np1n2/4p3/8/3P1NP1/PPP1PPBP/RNBQ1RK1 b kq -,f8e7
1rbr1bk1/2q2pp1/n5np/2pp4/1p2PP2/1P2NBP1/1BPQ3P/2NRR2K b - -,d5d4
1r1r1bk1/pq1b1pp1/2n1p2p/2P1P3/R1Q1NB2/5N2/1P3PPP/1R4K1 b - -,c6b4
r1rq2k1/3b1nnp/R2p1b2/1p1Pp3/1B6/2PQNN1P/2B2P2/R5K1 b - -,e5e4
r1bqk2r/ppp2ppp/2np1n2/4p3/2P5/P1b1PN2/1PQP1PPP/R1B1KB1R w KQkq -,c2c3
r1b2rk1/pp3ppp/3n4/8/3p2P1/5N2/PP1KPP1P/R4B1R w - -,f3d4
rnb5/pp4k1/3Q2pN/4q3/2p1r3/1P4P1/P3PP1P/R4RK1 w - -,d6d8
2r2rk1/p2b2pp/P3pq2/1p6/2B2nQ1/8/1P1B1PPP/2R2RK1 w - -,d2f4
2r2rk1/4bpp1/7p/q2PQ2P/1p2p3/8/1PP1B1P1/3R1R1K b - -,c8e8
5k2/5p1p/1p2p1p1/1B6/p2r4/5P2/PR4PP/6K1 b - -,f8e7
r2r1bk1/1b3pp1/1q1p3p/p2Pp3/Qp2P3/4N3/PP1RBPPP/3R2K1 w - -,e2b5
r2q1rk1/pb1pbppp/1pn1p3/7n/2P5/P1NQPNB1/1P3PPP/3RKB1R b K -,h5f6
8/8/K3B3/2k1p3/1P2P3/p1b5/8/8 b - -,c5b4
2r1k3/1N1r1b2/pRnP2p1/2P1K1p1/8/P7/3R4/8 w - -,e5f6
3r3k/7p/3q1pp1/Q7/P7/1P5P/6P1/1R4K1 b - -,d6d4
3r2k1/5pp1/1qp1p2p/pr1n3P/3P4/RPP2BP1/2Q2PK1/4R3 w - -,f3e2
1k1r4/1b6/pp1q1p2/2p1pB2/2P3Pp/3NQP1R/PPK1N3/3r4 b - -,d1f1
2k2n2/1p1r4/p1p1pppr/P1P4p/3P3P/2P2PPN/1R6/1R3K2 b - -,e6e5
5r1k/1p2r2p/pb3p2/3B3R/4R3/1N1n1P2/PP3P1P/5K2 b - -,e7c7
8/2p5/2P4p/p2k2p1/4p2P/P3KbP1/8/2R5 w - -,h4g5
r4rk1/pp5p/q5p1/3P1p2/2P1p3/1P6/P3RQPP/5RK1 b - -,a8d8
1r2rbk1/1bnq1ppp/p2p1n2/1ppPP3/P1B2B2/1QN2N1P/1P3PP1/R3R1K1 w - -,e5f6
6k1/1p3pp1/4b2p/1p6/3Q2P1/qP3P2/2P1R2P/rNK5 w - -,d4b2
1nr2Nk1/p2R1ppp/bp6/2b5/8/1PB1P1P1/P4PBP/R5K1 b - -,c5f8
8/8/1kn2p1p/1pp1pPpP/1b1pP1P1/1P1P4/2P1K3/1NB5 b - -,c6d8
8/8/5k1p/3p4/BK1P4/1b6/6P1/8 b - -,b3a4
8/p3r3/2pk3p/4p2n/2p5/P4P2/1P1K4/3B2R1 w - -,g1h1
r4rk1/1bqnbppp/p2pp3/1p6/3NP3/5B2/PPP1QPPP/1NR1R1K1 w - -,b1d2
r1bn1rk1/ppp3bp/3ppq2/3P1pp1/2P5/BP1R1NP1/P3PPBP/3Q1RK1 w - -,d5e6
1Q6/4kp2/2p2r2/p1Pr3p/Pp2K1bP/1P5B/2P5/8 w - -,h3g4
r3k2r/1bp3b1/pp3p2/4p2p/4n2P/4B2N/PPP1BPP1/2KR3R w - -,e2f3
1r6/2qn1pk1/2p1p1p1/2Pp2Pp/3P1P2/6P1/3QNPK1/R7 b - -,c7b7
rn1qkb1r/pp3ppp/2p1pn2/3p4/8/3P1bPP/PPPNPPB1/R1BQK2R w KQkq -,d2f3
4r3/1p3p2/p5pk/5p1n/1P2Q3/P1P4R/7P/5RK1 b - -,e8e4
