8/R7/4k3/p1p5/3nB2N/r2P2P1/7P/7K b - -,a3a2
rq2k2r/1p1bpp1p/p1np2p1/5PB1/4P1n1/2NB4/P1P3PP/1R2QRK1 w kq -,e1h4
r4rk1/p3p1b1/8/2pP4/4B3/8/PP5P/2R1K2R b K -,f8f4
4b3/4k1p1/1p1np2p/3pN3/1P1N1PP1/3PP3/3K4/8 w - -,d2e2
r4rk1/p3n1p1/1ppq4/3p2Pp/3P3P/1R1Q2N1/PPP1Nn2/R3K3 w Q -,d3a6
6k1/1p3pp1/p3p2p/2r4P/8/2PK4/PP3PPR/8 b - -,c5d5
8/2k5/8/1p2p3/2p1R3/3n3P/7P/5K2 b - -,c4c3
1r2r1k1/6p1/1p3bq1/p3pb2/P1P4p/1PN1BR2/3Q2PP/2R3K1 w - -,c1f1
6k1/2p2pp1/2r3b1/p2RP3/P5P1/8/5B2/6K1 b - -,c6c4
r2r4/4kp1p/2pN2p1/1pP5/pP2P3/PbK2PP1/4R2P/4R3 b - -,d8d7
2r2b1r/1bqk1p2/p3pP2/4P2p/1p2p3/4BN2/PPP1Q2P/1KR3R1 w - -,f3g5
8/8/8/8/4K2p/7k/7r/6R1 b - -,h2g2
2r1r1k1/ppqnnp1p/4p1p1/8/2PP1b2/4NN1P/PBR1QPP1/5RK1 w - -,e2d3
r4rk1/3q1ppp/pR1Pp3/3b4/2pP1B2/4QP2/P5PP/5RK1 w - -,f1b1
r3rn2/1p3pk1/2pRbbpp/pPP1p3/4P3/2N2NP1/P4PBP/1R4K1 b - -,f6e7
8/8/3KPk1p/8/8/1P1n1P1P/1P6/8 w - -,f3f4
6k1/5p2/1p4b1/p1ppq3/1P4PK/P6P/3Q4/8 b - b3,a5b4
bQ6/4kp2/1p2q1p1/3pP3/3P4/6r1/KP6/8 w - -,b8a8
8/7p/3pk3/2p1pp2/2P4P/6P1/1b1B1PK1/8 w - -,f2f3
r1bq1rk1/1p2npp1/p1nb3p/3p4/1P1P4/P1NB1N1P/5PP1/R1BQ1RK1 b - b3,c8e6
b3rbk1/6pp/3p4/3Pp1B1/1P1NQ3/7P/q4PP1/2R3K1 w - -,d4c6
r1b1kb1r/1pqp1ppp/p1n1pn2/8/2PNP3/3BB3/PP2QPPP/RN2K2R b KQkq -,c6e5
3kqb1r/1Qn3p1/pN2p2p/2p5/P2r4/Rp3PB1/1P3P1P/4R1K1 b - -,e8e7
rnb1k2r/pp1p1ppp/1q2pn2/8/1bPN4/6P1/PP1BPP1P/RN1QKB1R w KQkq -,d2b4
8/4rK2/1k1b4/3P4/Rp6/1P6/P7/8 w - -,f7f6
2rq1rk1/pp1bppbp/2n3p1/2p5/2BP4/B1P1PN2/P3QPPP/1R3RK1 b - -,c5d4
r1b3k1/ppq3bp/n1p3p1/4Pr1n/4NpB1/1P1N4/PBP2P1P/R2QR1K1 b - -,c7d8
r4rk1/pp1nbppp/2p1pn2/q7/2PP1B2/3B1N2/PP2QPPP/3R1RK1 w - -,a2a3
6k1/5pPp/4p1p1/8/2pP4/2P2qB1/7P/1Q4K1 b - -,f3c3
8/8/7n/2kP1R2/8/3K4/8/8 w - -,f5h5
r2r1nk1/ppq1bppp/4pn2/8/3N4/2P2N2/PP2QPPP/R1B1R1K1 b - -,a7a6
2rq1rk1/p2bbppp/4pn2/1p1pN3/2nP1B2/P1NBP2P/1PQ2PP1/R3K2R w KQ -,e1g1
4k2r/rpqb1p2/2n1p2p/1R1P2p1/P3p3/2Q2NP1/5PBP/1R4K1 b k -,e8g8
4R3/5ppk/4p3/1P1p3p/8/P4N2/5KP1/1r3n2 b - -,h5h4
rnq2rk1/pp3pp1/2pbp2p/5b2/2PPn3/1QN3P1/PP3PBP/R1B2RK1 w - -,c3e4
r2q1rk1/4bpp1/p1R3bp/3p4/P7/1P1NBN1P/n3QPP1/5RK1 b - -,g6d3
8/5bk1/7R/5K2/2r3PP/8/8/8 w - -,g4g5
4k2r/1r2p1Np/2pqP1pQ/p3Rp2/1ppPb1P1/2P2P1P/PP4RK/8 b - -,e8d8
8/1p3p1p/2bp2p1/P4kP1/3K1P2/4B3/8/8 b - -,f7f6
7k/6b1/3pr2p/5p2/4nN2/4B2P/1P4P1/3R2K1 b - -,e6e8
r2qr1k1/pb1p1pbp/1pnB1np1/2p5/2P5/1Q3NP1/PP2PPBP/RN1R2K1 w - -,e2e3
r1b1k1nr/1ppn1ppp/p2pp3/8/3PPP1q/2NB2P1/PPP4P/R1BQK2R b KQkq -,h4d8
4r1k1/1p3p1p/p1r2bpB/2Pq1b2/6B1/1P5P/P5P1/3R1RK1 w - -,d1d5
6k1/5p2/6pp/1p1P4/4R3/6PP/5P1K/3r4 w - -,e4e8
1r3rk1/pbqn1pb1/1p4pp/n3p3/2p1P3/P1P1B1PP/1PQN1PBN/3RR1K1 w - -,d2f1
R7/7k/8/8/1p6/pr6/3K4/8 w - -,d2c2
8/b4R2/4k1p1/8/1B4pp/3Kp2P/r7/8 w - -,f7e7
1rbqk2r/pp2npb1/3pp1pp/4n3/1P1NP3/2P1B1P1/PN1Q1PBP/R3K2R b KQk -,a7a6
8/p3rr1k/1p1R2p1/7p/3npp1Q/2P4P/qP3PP1/3R2K1 w - -,d1d4
rn1qk2r/pbp1bppp/1p1ppn2/8/2PP4/2NBPN2/PP3PPP/R1BQ1RK1 b kq -,b8d7
r7/5r1p/2k1pPP1/1p5P/3p2K1/2pP4/4R3/5R2 b - -,h7g6
2b3k1/1p5p/2p3p1/2q5/2P2PPb/1P2r2P/P2RN1BK/5Q2 b - -,c5e7
8/8/4k3/R3p3/5r1p/8/5PK1/8 w - -,a5a6
r1br2k1/pp3ppp/2n1pn2/4P3/P1B2P2/1PN5/3Q2PP/R4R1K b - -,d8d2
4rr2/b1p3kp/p3P2p/1p6/8/2NB3P/PP4P1/3RK2R w - -,h1f1
8/8/8/2pr3p/4RPkP/4P3/P3K3/8 b - -,g4h4
8/8/8/P1N2k2/4pp1K/7P/7n/8 b - -,h2f3
rn1q1rk1/pb1p1pbp/1p3np1/2pp4/2P1P3/2N2NP1/PP3PBP/R1BQ1RK1 w - -,c4d5
1nkrr3/2p2p2/1p1p1q2/p2bp1p1/P2PP1Pp/2PQ3P/2P2PB1/1R3RK1 w - -,e4d5
2r1n1k1/4bpp1/p1rpb2p/q3p3/4PP2/4Q1P1/PB1RN2P/3R1B1K w - -,h2h4
r1bq1rk1/pp2bppp/5n2/2pP4/2Pp4/5B2/PP2NPPP/RN1Q1RK1 w - -,b2b4
8/7p/R2rk1p1/3p4/3B1PKP/8/7P/3r4 w - -,a6a4
r7/P4ppp/4p3/1k2P3/5P2/2K3P1/7P/R7 b - -,b5c5
r5k1/1p1b2pp/p1nqp3/3p2Qn/3P4/3B1P2/PP2NP1P/R3R1K1 b - -,g7g6
1rbqnrk1/4ppbp/3p2p1/2p1nPP1/pp2P2P/3P1NN1/PPP3B1/R1BQ1RK1 b - -,e5f3
2r1r1k1/1q1nppbp/pp1p2p1/2nN4/2PNP3/1P3PP1/P3Q1KP/B2RR3 w - -,d1d2
b7/p2q1nk1/7p/1PP1r2P/8/2Q1PpN1/8/6K1 w - -,c5c6
3r1rk1/5p1p/p2npPp1/1p6/4N3/P3R3/1PP3PP/5RK1 b - -,d6c4
rnbqkbnr/pppp1ppp/4p3/8/2P1P3/8/PP1P1PPP/RNBQKBNR b KQkq e3,c7c5:d7d5
r1bq1rk1/1p3pbp/p1n1p1p1/2pp4/4PP2/2PP1BP1/PP1BN2P/1R1Q1RK1 w - -,g3g4
r1bq1rk1/pp2bppp/2n2N2/2p5/3p4/1P1P1NP1/P1P2PBP/R1BQR1K1 b - -,e7f6
r4rk1/2pq1ppp/p1pp4/b5Pn/3PPP2/2NQBR1P/PP6/6RK b - -,a5c3
2rqk1nr/pp3ppp/2pbp3/2np4/2P3b1/3PBNP1/PPQNPPBP/R3K2R b KQk -,g8f6
