1r6/5pkp/8/R2p4/Pp3PK1/1Pr5/7P/5R2 b - -,b8d8
2k5/R7/8/3PB3/4P2p/5P2/p3K3/1r6 w - -,d5d6
1r3rk1/p3qpp1/5n2/2p3p1/2Q3P1/P3P2P/6P1/R1B2RK1 w - -,a1a2
7r/8/p1p1k3/1pR1p3/1P2P1pp/R4p2/P1Pr1KPP/8 w - -,f2g1
r1r3k1/p4pbp/3p1np1/q1nPp3/4P3/PpN2NPP/1P3PK1/R1BQR3 b - -,a8b8
8/6pk/4p3/5P1p/3p1P2/3Q3P/1rr5/3R2K1 b - -,c2g2
8/1p6/p3p1k1/P3Pp1p/8/3pK1P1/3B4/3b4 b - -,g6g5
1r3r2/5p2/p1pk2pp/3p4/6PP/1P1KPR2/P1R2P2/8 b - -,f7f5
1rb5/1pk5/2n4R/p1pNpP2/P1B1P1P1/2P5/7P/6K1 b - -,c7d7
R7/1p6/p6R/n2kp1pP/1r6/8/8/3K4 w - -,a8d8
8/5bk1/B6p/p1p1ppp1/P1P5/1r3PP1/4PK1P/7R w - -,h1d1
2r1kbnr/ppq2ppp/2b5/1B2N3/Q2PP3/8/PP3PPP/R1B1K2R b KQk d3,f8d6
3rb3/6p1/2nk1p2/1p1Np2p/2p1PP1P/2P2BP1/1PK5/R7 w - -,a1d1
8/5k2/5p2/8/p7/5K2/4R3/r7 b - -,a4a3
r2q1rk1/1bpnbppp/1p1ppn2/p7/2P2P2/1PN1PN2/PB1PB1PP/R2Q1RK1 w - -,d1c2
r2q1k1r/3b1ppp/p3p2n/1pbpP3/5P2/2Nn1N1Q/PPPB2PP/1K1R3R w - -,c2d3
8/2R5/pp4pk/1r3p1p/2N5/P6P/1b4P1/5K2 w - -,c4d6
2r2r1k/pq4pp/b2b1p2/3N1P2/4p1Q1/P3P3/1B4RP/4R2K w - -,e1g1
8/1kb2p2/2n1p1p1/1p5p/1P2BP2/BKP3P1/7P/8 w - -,a3c1
1r3r1k/1bppq1pp/1pn2b2/p3p3/1PP1N3/P2P2P1/1Q2NPBP/1R3RK1 b - -,a5b4
6k1/5pp1/3qb3/R6p/4pP2/2P1Q2P/6P1/6K1 w - -,a5a8
3r2k1/1p2Npbp/p1b1p1p1/2B1p3/2P1P3/7P/PP3PP1/R5K1 b - -,g8h8
1k4r1/ppp2p2/1qnn2p1/7p/5Q2/P1BBR3/1PP2PPP/3K4 w - -,d1c1
r1b2rk1/pppp1ppp/6n1/4q3/2PQ4/1N2P3/PP2BPPP/R4RK1 b - -,e5d4
6k1/1b2ppbp/p5p1/1pN5/5P2/2P2NP1/Pn3KBP/3Q4 b - -,b2d1
7k/1p6/8/4q1KP/2p5/8/8/1Q6 w - -,g5g4
r3k2r/1bqnbp1p/p2pp1p1/1p2P3/3N1P2/2NP3Q/PP1B2PP/4RR1K b kq -,d6d5
6k1/1p2Qpbp/1Bp3p1/p4q2/P3nP2/2P3PP/1P4NK/8 b - f3,g7f8
r3kr2/1b1n1p1Q/pn1p1b1B/1p2p2N/1P2P3/7P/P1q1N1B1/R4RK1 b q -,c2e2
2rr2k1/pp2b1pp/1q2bp2/2p1p3/Q2N4/2BP2P1/PP2PPBP/R4RK1 b - -,c5d4
3r2k1/1pr5/3P3p/p1P2Np1/4p3/5P1P/P1R3P1/5n1K b - -,c7c8
r3r1k1/4qppp/2p5/p2n4/2QRp1P1/P1N1P2P/1P3P2/2K1R3 b - -,d5c3
2q2rk1/p2p2pp/bp3n2/2p1rP2/2P5/P2B1Q2/3N2PP/4RR1K w - -,f3g3
8/Q7/1P1p1k2/5p2/1r3b2/8/P5K1/8 b - -,f6e6
3r3k/1r2pn1q/1p1p1p2/p1nN4/P1PNPPp1/1P2Q1Pp/3R3P/1R5K w - -,d2e2
r3k1nr/pp1n1pp1/2pb3p/3p4/3P3B/2NQPN2/Pq3PPP/R4RK1 b kq -,d6b4
r2qk1nr/4ppbp/bn1p2p1/p1p5/Pp1PP3/1P2BP2/1NPQN1PP/R3KB1R w KQkq -,c2c4
3r1b1r/ppk3pp/4p3/3pP1B1/P1p5/1n2PP2/1P4PP/3RKB1R b - -,d8d7
4bbk1/1p4pp/p3pp2/P7/1P2P3/1NB2P2/6PP/7K w - -,b3c5
4b3/8/7r/1p1p1pk1/2p3p1/1PP3P1/2K1BR2/8 b - -,h6f6
8/6k1/p2q2p1/2p2p2/1P1p4/1Q1P2nN/r4PPK/8 w - -,b3a2
8/4K3/8/P1N5/2pBk3/2P5/r7/8 b - -,e4d5
bq1rr1k1/3n1pbp/pp1ppn2/8/2P1PNp1/1PN1BP2/P4QPP/2RR1B1K b - -,g8h8
4N1k1/5p2/4p1pp/8/1P5P/PR6/3rK1P1/3r4 w - -,e2e3
r4r1k/6bp/2p5/ppPn1p2/4q3/1Q1NpN1P/PP4P1/K2RR3 w - a6,b3c2
2rq1rk1/1p3p1p/p1np3b/3Np3/8/2NQ4/PPP2PPP/R4RK1 b - -,f7f5
6k1/2pq2bp/1p1p1np1/pP1P1n2/P1QP1P2/2B2BPP/5K2/4rN2 w - -,f2e1
rn1qkb1r/pp2pppp/2p2n2/3p4/2P5/2N1Pb1P/PP1P1PP1/R1BQKB1R w KQkq -,d1f3
r2qr1k1/pp2pp1p/1np1b1p1/4R3/2PP4/1BNQ3P/PP3PP1/3R2K1 b - -,b6d7
R7/5kp1/1p6/p7/1r5P/5KP1/8/8 b - -,g7g5
1k1R3r/p1q2p2/1n2pb2/1Q6/P1p5/4p1P1/1P3PBP/4K2R b K -,c7d8
4R3/1k1r4/1p4p1/p1p1K2p/2P2P2/6P1/2P4P/8 b - -,a5a4
