8/7p/3Q2pk/4p3/4Pq2/5P1P/5KP1/8 b - -,f4h4
4r3/8/p5k1/R2pBpp1/2pP4/2P1n1Q1/7P/1q4K1 w - -,g1f2
r1bqk1nr/1ppnppbp/p2p2p1/8/P2PPP2/2N2N2/1PP3PP/R1BQKB1R b KQkq a3,e7e6
3k4/R7/2BK1p2/2P2P2/3r4/8/4n3/8 w - -,c6d5
7r/1k6/1p2p3/p2pPp2/P4Pp1/2P3Kr/1P5P/3R3R w - -,g3g2
2rq1rk1/pp1nbpp1/3n2p1/4p3/3PP1B1/2N3P1/PP3B1P/R2Q1RK1 b - -,d6c4
rn3rk1/1q3pbp/p2p1np1/2p3B1/4P3/2N2N2/PPQ2PPP/R3K2R w KQ -,e1g1
8/3r1rk1/3PQp2/5Rp1/4P2p/1P6/2q3P1/5R1K b - -,h4h3
4r1k1/p2b3p/1bpp4/r4p2/2P2N2/3P1BP1/1R5P/5R1K b - -,a5e5
r1b2rk1/1p1nqpbp/p2p1np1/3Pp3/4P1P1/2N1BP2/PP1QN2P/R3KB1R w KQ -,e2g3
8/5qk1/8/4Q2p/7P/1p4P1/7K/8 b - -,f7f6
1Q3nk1/3q4/2p2p2/1p3N2/4PP2/2P4K/P7/8 b - -,d7d3
2r2rk1/4Rppp/p5q1/1p4N1/8/P7/1P1Q1nPP/5RK1 b - -,c8c2
4r1k1/2p1q1pp/3p4/p2P1r2/PnP1NpR1/2Q4P/1P3PP1/R5K1 b - -,h7h5
3r2k1/1pr2bp1/p6p/R7/5PP1/4N3/1R3K1P/8 b - -,c7d7
r2qr1k1/pp3p1p/3p1np1/5b2/4PP2/2PBB2P/P5P1/R2Q1RK1 w - -,e4f5
8/1qB5/1P2b1k1/1R5R/3Pp3/1B2PpP1/5P1K/5r2 w - -,b5g5
4r1k1/pp2rpp1/7p/3p4/1P1P1P2/2Np2Pb/PP1R3P/3R2K1 b - -,h3f5
r5k1/p3qpp1/5nbp/4p3/8/1Q1p1PP1/PP1B3P/2R2RK1 w - -,f1e1
r4rk1/2qnbppp/p1bppn2/1pp5/PPNP4/2PBPN1P/4QPPB/R4RK1 w - -,c4a5
6k1/bpp3pp/p4r2/P2n4/8/2P2N1P/1P2rPP1/R1B2RK1 w - -,a1a4
r7/pp2r1bk/3p2pp/4p3/1P1n3q/3QB3/P5PP/R2R1B1K w - -,e3d4
r2qr1k1/1b2bppp/1pp2n2/p2p4/3P4/P1N1P1P1/1PQ1NPBP/2RR2K1 w - -,c2b3
6k1/1p4p1/pbn1r2p/3p1p2/3P1B1P/P4NP1/1P3P2/3R1K2 b - -,g8f8
r1b1k2r/1pq1npp1/p3p3/3pP3/1b3PQ1/8/PPP1N2P/2KR1BBR b kq -,c8d7
8/5pk1/6p1/p2R3p/1p5P/1P2r1P1/2P5/7K w - -,d5a5
8/5p2/3p3p/2bBk1pP/5nP1/6K1/3R1P2/8 b - -,f4d5
5rk1/p1p2rp1/3p1n1p/3PpR2/4P2P/P1BK1P2/1P3P2/6R1 w - -,f3f4
r3k2r/pp2bppp/1nnqp3/8/6b1/1PP2N2/2BPQPPP/RNB2RK1 w kq -,c1a3
5r2/p3ppkp/q2p2p1/1p1n4/2bP4/2P2NPP/1Q2PPBK/R7 b - -,a6b6
8/2k1r2p/p1p1p1p1/1p2PP2/1P2K1P1/P2R3P/2P5/8 b - -,g6f5
8/R7/3k4/1P1Pp2b/1Pp1P3/5r2/4K3/8 w - -,a7a6
2qr2k1/1p2b1pp/4Nn2/3n4/2r5/5B1P/PP3BP1/3QRR1K b - -,d5e3
8/2k2r2/3p3p/3Pb3/1RP5/3K3P/3N4/8 b - -,f7f4
2R2rk1/5p2/7p/3pP3/1p1NbP1P/1P2K3/r7/2R5 b - -,f8c8
6k1/2p2np1/3bq2p/4p2P/4Q3/4B1P1/5PK1/8 w - -,e4a8
1q2n2r/1p1n1pk1/p1rpb1p1/P3p3/1BP1P1Nb/1PN2B2/3Q1PP1/R3R1K1 w - -,g2g3
r5k1/p2nq1p1/3p3p/2pPpr2/2P5/R1P1BPP1/4Q1KP/5R2 w - -,f1a1
6r1/5p2/4p2k/2n1Pp1p/2Pp1P1P/1p1P1qP1/6RK/1Q1N4 b - -,g8a8
r1b3k1/1p3rbn/1B1p4/PN1Pp2p/1P2P2q/5Np1/4Q1P1/2R2RK1 b - -,f7f3
3N1k2/7p/1R4b1/p7/7P/1P4K1/r4P2/8 w - -,d8e6
1r3rk1/4b3/pq1p1p2/5PP1/2p2p2/2N5/PPP5/KR5Q w - -,g5g6
r1bq1rk1/ppp2ppp/5n2/8/2p1PP2/P1b3P1/1P4BP/R1BQ1R1K w - -,b2c3
3r2k1/2R3pp/p3p3/P3Rp2/1P1BbP2/2P4P/r5P1/6K1 b - -,a2g2
R7/1p3p1k/5qp1/7p/3Q4/P3Pn1P/1r3PP1/6K1 w - -,g2f3
r1bqk2r/ppp3pp/2np1n2/1Bb1p3/4P3/3Q1N2/PPP2PPP/RNB2RK1 w kq -,d3c4:b1c3
8/4kp2/4p3/1p2Prp1/2p1R1Kp/2P2P2/1P5P/8 w - -,h2h3
1r1r3k/1b5p/1N4p1/PppPq3/4R3/7P/1P4P1/3R3K w - -,e4e5
8/5R2/2kb3p/6p1/1p2p1P1/7r/1P1BK3/8 b - -,h3h4
r1r3k1/2p1n1pp/1pp1bp2/8/P4B2/2P5/1P2BPPP/R4RK1 w - -,b2b4
2r5/4bpkp/4p1p1/1qRpP3/pp3P2/3P2P1/PP3K1P/2RQN3 b - -,c8c5
r2q1rk1/pp2bpp1/5n1p/3p4/2nN1Bb1/2N3P1/PPQ1PPBP/R4RK1 b - -,a8c8
r3r1k1/2p2p2/1p2p2p/p2n2P1/3P4/2P3B1/P5PP/R4RK1 b - -,h6g5
1qb3k1/4Q2p/p5p1/5p2/P7/6N1/6PP/6K1 b - -,b8b6
8/8/6k1/8/6PP/8/8/1r5K w - -,h1g2
8/pR1b4/5k2/5ppp/2p5/P1Nr1PP1/1P2K2P/8 w - -,b7a7
2rqkbnr/1b3p2/p3p1p1/2np2P1/1Q1NP3/3BBP2/PPP1N3/1K1R2R1 b k -,d5e4
1r6/q3b2k/1N1rbppp/pQp1p3/P7/2PPP1P1/1R3PBP/1R4K1 w - -,b5c5
r1b1R3/p1p5/1pp1k1p1/4p1B1/4P3/P2P4/1PP2P2/2K5 b - -,e6d6
r1b2rk1/pp2ppbp/1n4p1/q1p5/2BPP3/1QP5/P3NPPP/1RB2RK1 w - -,c4b5
r2q1rk1/pp2p1bp/2p1b1p1/4Pp1P/3P1B2/2P2P2/P2Q2P1/1K1R1B1R b - -,d8a5
1rb2rk1/2qp1ppp/p3p3/np4Pn/1b1NPP2/2N1B3/PPPQ3P/1K1R1B1R w - -,d2e1
r1b1kb1r/1pqp1ppp/p3pnn1/8/N3P3/3BBN2/PPP2PPP/R2Q1RK1 b kq -,b7b5
4r3/pp4k1/4B3/2p4R/5r2/2P3P1/PP3n2/6RK w - -,h1g2
r1bqkb1r/1p3pp1/p1n1p3/2p1Pn1p/3p1P2/3P1NP1/PPP1N1BP/R1BQ1RK1 b kq -,d8d7
3brr1k/6pp/1qP2n2/2p1p3/8/1P3NPB/PB1N1P1P/1b1QR1K1 b - -,e5e4
r1bqk2r/pp2bppp/2n2n2/2pp4/3P4/2N2NP1/PP2PPBP/R1BQK2R w KQkq -,e1g1:c1g5
r3rnk1/pp1b2pp/q2n1p2/2pPp2P/P1P1P1P1/2BB1PQ1/4NK2/R1R5 w - -,g4g5
br4k1/2R2ppp/4pb2/3p4/1BnP4/3NP1P1/5PBP/6K1 w - -,g2f1
3r4/1q3pkp/2n2bp1/1p2p3/1P1P4/2P2Q1P/2NN1PP1/R5K1 b - -,e5d4
2rrn1k1/3nq1bp/1p4p1/pPpb1p2/P1P1p3/4P1BP/2QRBPPN/3R2K1 w - -,d2d5
5rk1/4R1p1/3Ppq2/ppP2p2/1P5P/P4Q1P/7K/8 w - -,f3e2
8/5p1p/r4bk1/8/8/5PBP/3R2P1/5K2 w - -,f1e2
r1b2rk1/2qnbppp/p2pp3/1p3PP1/3NP3/2N2Q2/PPP4P/2KR1B1R w - -,f3g3:g5g6
8/2p5/pp2k1rp/2p4R/6P1/P7/1PP5/2K5 w - -,b2b3
1r3r1k/2q3p1/2pN1p1p/p3pP2/1nP3P1/4Q2P/PP6/1K1R3R b - -,f8d8
r4nk1/3qbppp/1p1n4/2pp2PP/3P4/2P1P1Q1/1PBN2K1/2B2R2 b - -,f8e6
r1k4r/pp1n1p2/2p5/4P1Bp/5P2/b1P2B1P/P1PK4/4R2R b - -,c8c7
1qrrbbk1/1p3ppp/p2ppnn1/8/2PNP3/1PNB1P2/PB1Q2PP/3RR2K b - -,g6e5
8/4k3/1p2p3/4P3/8/3BK3/2P3b1/8 b - -,e7d7
8/7p/5p2/2k1p1p1/4P1P1/1K5P/8/8 w - -,b3c3
4r1k1/3R1p2/4PP2/5K2/4N3/8/8/b7 b - -,f7e6
rnb1r1k1/pp2ppbp/2pp1np1/6Qq/2PP4/1P3NP1/PB2PPBP/RN3RK1 b - -,c8g4
