3Q2R1/8/4rkp1/1p6/4q3/5p2/5P1K/8 b - -,f6f5
2r4r/pp1pkppp/4pn2/2q5/4P3/3B4/PPnQ1PPP/R1B2RK1 w - -,d3c2
2k1r3/2p2b1p/3B1pp1/N4P2/1R2P1P1/7P/2K5/8 b - -,c7d6
3r4/p2r1kp1/1p3p1p/1R1Pn3/3R4/P7/1P2K1PP/4B3 w - -,a3a4
4NQ2/8/2k4p/8/8/8/8/3bq1K1 w - -,g1g2
2rq1n1k/pp2br1p/1n2N3/3pP1p1/2pP4/2PN3R/PP3PPP/R1B3K1 w - -,e6d8
1r3k2/1N2qBb1/p2p1p1p/2p1p1pP/4PnP1/1QN2P2/P7/2KR3R w - -,f7d5
4B3/r5k1/1p1b2pp/2pnp3/P6P/3P2P1/3BPPK1/1R6 w - -,b1c1
r2qr1k1/pp3ppp/8/n2p4/P1pPn1b1/2P1PN2/2QBBPPP/R4RK1 w - -,d2e1
3rr1k1/2p2pb1/2n2qpp/1pBb4/1P1N4/2PQ3P/2B2PP1/R3R1K1 b - -,c6d4
2r3k1/1qr1pp1p/3P2pb/pp1P4/3B4/P1N3P1/1PR2P1P/3Q1BK1 b - -,e7d6
4rrk1/ppp3qp/3p2p1/3bnp2/1P2p3/P2PP1P1/3RNPBP/1Q3RK1 w - -,e2f4
r2q1rk1/6bp/p3n1p1/2p2p2/1P2p3/P1Np3P/3Q1PP1/1R1B1RK1 w - -,d1b3
r3k2r/pppbnppp/3p1b2/3B4/4PP2/2P1B3/PP4PP/RN2K2R w KQkq -,d5b3
3rr1k1/1b1nq1p1/pp2p2p/3pPp2/PP1N4/2P2P2/2BQ2PP/R3R1K1 w - -,a1d1
6rk/7p/p2qp3/Q4p1n/1p6/P5P1/3p2B1/3R3K w - -,a5b4
r2q1r2/pp1b1pkp/3p1np1/2pPp3/3nP3/6N1/PPPQ1PPP/1NKR1B1R b - -,a8c8
8/1r4b1/7p/kp6/p1R2P2/3N2P1/P3P2P/5K2 w - -,c4c5
8/8/1r4k1/7p/3R1K1P/5P2/8/8 b - -,b6f6
r7/p2k2p1/1p6/2qpQ3/8/P2B2P1/2P4K/8 w - -,e5g7
r3rbk1/1bqn1p1p/p2p1np1/1p1Pp3/P1p1P3/2P1B1NP/1PB2PPN/R2QR1K1 b - -,f8g7
4k2r/3p1ppp/p3p3/2rnP3/1pN2P2/6P1/PPP3RP/R5K1 w k -,b2b3
3r4/1q3p1k/pp1p3b/2rPp1pP/P1P1Q1B1/1P1R4/5PK1/7R b - -,h7g8
rnb1r1k1/pp1ppp1p/6pB/8/2PPP3/5B1P/P4PP1/R4RK1 b - -,d7d6
8/8/2b2k1p/2pB1p2/5P2/1Pb3KP/6P1/8 w - -,d5c6
3r1bk1/6pp/1p2pp2/pP1bP3/P2P1PP1/2RNB3/4K2P/8 w - -,f4f5
2br2k1/4rp1p/p7/3pn3/1p1R1n2/5P2/PP4PP/1N2RB1K b - -,e5f3
r3kbr1/2p2p1p/p2p1p2/1p1P1b2/8/2N1B1P1/PPP2P1P/2KR3R b q -,e8d7
3Q4/6k1/p1P3p1/P2P4/7p/1B6/6PK/1q3r2 w - -,d8e7
3r3k/nq2n1pp/1p3p2/p3p3/P6N/P1Pr2P1/2Q2P1P/2BR2K1 w - -,d1d3
7R/8/3pk3/1Pp1p3/2P3p1/3P2P1/3K1P2/5r2 w - -,d2e2
5k2/p2Rnp2/B5p1/1P2r3/5p2/8/1b3BPP/6K1 w - -,d7a7
8/1r2p3/p2rkpp1/2R1p2p/2R1P2P/1P3P2/P1K3P1/8 b - -,b7d7
r1b3k1/2p1q1r1/1p1p2p1/1NnPp2p/p1P1Pp2/Pn3P1P/RP2NQP1/3R1BK1 b - -,g6g5
rn1qkb1r/1b3ppp/p3pn2/1pp5/3P4/P1NBPN2/1P3PPP/R1BQK2R w KQkq c6,d4c5
r2q1rk1/pp2ppbp/1n3np1/3P1b2/P2P4/1QN2B2/1P3PPP/R1B1K1NR w KQ -,a4a5
5rk1/pb3ppp/8/1q2pn2/2p5/5NPP/PP2PQ2/R1R3K1 w - -,f3d2
r1bqkb1r/pp2pppp/2n2n2/2p5/4B3/6P1/PPPPNP1P/RNBQK2R w KQkq -,e4g2
4r1kb/2qn1p2/p2p1npB/1p1P4/2p3PQ/P1P2N1R/2P2R1P/7K b - -,f6d5
r1b2rk1/pp3pb1/2nQ1qpp/1Np1p3/2B1P3/2P5/PP2NPPP/R4RK1 b - -,a7a6
8/5p2/2RK1k1p/7P/r4PP1/8/8/8 w - -,d6d5
6k1/p7/2bpp1n1/2p3B1/6N1/5P2/n5PR/1r2K2R w - -,e1f2
1r1r3k/5qpp/p1p1b1n1/1p3p2/N1P2P2/1P4P1/PQ4BP/3R1R1K w - b6,c4b5
8/1p6/2b5/2P5/pK6/8/1k6/3R4 w - -,d1d2
r1bq1rk1/pp2ppbp/6p1/3Pp3/2Pn4/2NBB3/PP3PPP/R2Q1RK1 w - -,d1d2
r4rk1/1ppqbppp/2npn3/p3p3/P1P1P3/2P2NN1/1PQ2PPP/R1B1R1K1 w - -,e1d1
8/1pp2pk1/8/8/1P5p/P4R1P/2r2K2/8 w - -,f2e3
3r4/p3Npk1/3P3R/2p5/2r3P1/6K1/P5P1/8 w - -,e7f5
2r3k1/1p4pp/p4r2/3p4/1P3P2/P7/1n4PP/1R3RK1 w - -,b1b2
5q2/7k/3p1rn1/1ppP2BP/8/8/1P4Q1/6RK b - -,g6f4
5b2/1p1r1k1p/1r4p1/p3pp2/2R4P/P2P2P1/1PR1PPB1/6K1 b - h3,f8e7
2B5/8/3R1Q2/6p1/K3p1P1/6kr/P7/8 w - -,f6e5
r5rk/pp2q2p/3pbn2/3p1p2/3Pn3/1Q1BPP2/PP5P/1NR1NR1K b - -,e7g7
rnbq1rk1/pp3ppp/2p5/3Pb3/4N3/2N3P1/PP3PBP/R2Q1RK1 w - -,d1h5
b7/8/3KP1k1/p2p2Pp/2pP3P/P1P5/8/8 w - -,e6e7
br2rbk1/2qp1pp1/2n2n1p/p1p1p3/2P1P3/PPBN2PP/2QN1PB1/1R2R1K1 b - -,c7a7
r4rk1/3n1pbp/1Q3np1/2pp4/P3p3/2B3P1/1P2PPBP/R3K1NR b KQ -,d7b6
8/P2R4/6k1/3P2p1/8/5K2/r7/8 w - -,d5d6
3Rn2k/2N4p/p4rb1/8/5p2/P6P/B4PP1/6K1 b - -,f6d6
3r1rk1/1p6/p4bp1/P1R5/4pPp1/2P1B3/1P2K3/6R1 b - -,d8d7
r1bq1rk1/pp1n1pbp/2p2np1/4p3/P1P5/2N2NP1/1PQ1PPBP/R1B2RK1 b - a3,a7a5
1r3rk1/2p1n1pp/p2p4/Pp1Pp2n/4Pp2/1BP1PP1q/1P1N3P/R3Q1RK w - -,g1g4
r6k/2p1r1p1/qp1p1p1p/3Pn3/1PP1P2P/p1Q3PB/P1R5/1R4K1 b - -,g7g5
1Rb3k1/5p2/6pq/3Q4/3P4/4P1PB/5P1K/2r5 w - -,d5d8
r2r2k1/1bq1bppp/p7/3Pp3/2B3P1/PP2BP2/5Q1P/3RK2R b K -,c7a5
6k1/4b1p1/pnbppn1p/1p3p2/3P4/P3PP1P/1P1N2PB/3BN1K1 b - -,b6c4
2R5/5p2/p2knpp1/1r6/3P3P/1N1K2P1/P4P2/8 w - -,d3c4
1r4k1/p2b1ppp/1r3n2/8/2N2P2/P5PP/1PR1P1B1/3R2K1 b - -,b6b3
r2q2k1/1b2n1b1/p2B1rpp/P1P2p2/1p3N2/1Q1B4/1P4PP/2R2RK1 b - -,g8h7
3rb1rk/1p2bq1n/2p1p2p/p3P1p1/3P1n2/P2BB1NP/1P2QPPN/R2R2K1 w - -,e2f1
8/2nb1p2/p2k2pp/1p2p3/1P2P1P1/P1N1KPP1/2B5/8 b - -,d7e6
8/7p/1p4p1/p3k3/8/P3K1P1/1P1R3P/2r5 b - -,a5a4
6k1/1p3pp1/p2r3p/P1Np2q1/3P4/1QP3Pb/5P1P/4R1K1 b - -,d6f6
r3r2k/pbqn3p/6pN/1pp2pB1/3pP3/6P1/PP1Q1P1P/R2R1NK1 w - -,b2b4
b6r/p2pkpp1/np2p2p/8/2P2q1P/2Q4R/PP3PP1/R2K1B2 w - -,d1e1
5Q2/5R2/6p1/2p3kp/4Pn2/2P1K2P/5r2/4b3 b - -,f2e2
q2rr2k/2p2pbp/1p1pnnp1/pP2p3/P1P1N2P/B1NPP3/4QPP1/3R1RK1 b - h3,h7h5
r2qk1nr/ppp2pbp/2np2p1/4p3/3PP3/2PB1Q1P/PP3PP1/RNB1K2R w KQkq e6,d4d5:d4e5
3r4/2q1bkp1/1p1r1pp1/pQn1p3/P1P2BNP/1P4P1/3R1P2/3R2K1 w - -,f4e3
r2qr1k1/1pp2ppp/1nn5/p1b1pb2/8/2PP1N1P/PPBNQPP1/R1B2RK1 b - -,b6d5
r2q1rk1/pb3p2/2p4p/1p2b2n/4Pp2/P2B3P/1PQ1N1P1/R1B2RK1 w - -,e2f4
rq2r1k1/1p1bppbp/p4np1/8/3N4/Q3P3/PP1BBPPP/R2R2K1 w - -,h2h3
r1bq1k1r/pppp1p2/2n2Npp/1B3n2/3NP3/8/PPP2PPP/R2QK2R w KQ -,e4f5
3n1r1k/7p/2p3p1/2P1Rp2/3P4/2PB1P1P/8/6K1 b - -,h8g7
2r4r/1p2kpp1/p3p1p1/3pP3/3N4/3B1KP1/PP3P2/7R w - -,h1e1
6k1/4qpp1/p3p3/Pp2P2P/2rPN1Q1/1R6/r3nP2/5R1K b - -,e2d4
4k3/1p3p2/p3pr2/2R5/8/P6R/KP6/6r1 w - -,c5c7
r1bqr1k1/1p1nbpp1/2pp1n1p/p3P3/P3P3/2N2N1P/BPP2PP1/R1BQR1K1 b - -,d6e5
r2qk1nr/ppp1bppp/2n1b3/3pp3/8/2PP1NPP/PP1NPPB1/R1BQK2R b KQkq -,d8d7
8/8/3n4/6kp/6p1/4K1P1/6N1/8 b - -,d6f5:g5f5
1k1rr3/pp6/5q2/1PQ1pn2/4R1pp/B1P5/P4PpP/4R1K1 b - -,f5h6
rnbqk2r/pp3p2/2p5/3p2p1/3P2Pp/2NBPPbN/PPQK2P1/R6R b kq -,c8e6
r1b2rk1/pp2bppp/8/2qBP3/3Q4/8/PP4PP/R1B2R1K w - -,d4c5
b1r2rk1/2q2ppp/4pn2/8/1p2P3/3Q4/1P1NBPPP/R4RK1 w - -,d3e3
1nr3k1/r2ppp2/p6p/P1N3b1/RP6/3B1P2/2P2P2/3K3R w - -,h1g1
8/4kp2/4b3/1pp3r1/4P2p/1PP2r2/P5PK/1B4R1 w - -,g2f3
r3r1k1/1p1n1p2/p1pp2pb/P3p2p/1PPnP3/1QBPNPPq/5K1P/R4N1R w - -,b3b2
8/8/3pBk2/3P4/P4P2/np4P1/8/3K4 w - -,d1c1
2r1qrk1/1p4pp/p1b2n2/3pp3/1P5Q/P1NBP3/5PPP/R2R2K1 w - -,a1c1
1q3r1k/3n1ppp/b1r1p3/p2pP1P1/1p1p2N1/3P1BP1/PPPQ1PK1/2R4R b - -,f8c8
1r4k1/5p1p/q5p1/2p2r2/2NbQ3/P5PP/1P2RPK1/2R5 b - -,a6f6
6k1/5p1p/8/1R3p2/3Pn3/5N2/r1r2PPP/5RK1 b - -,e4d2
8/p1p3p1/3k1p2/1p6/3P2PR/6r1/PP2K3/8 b - -,g3g2
3n1q2/r2b2k1/2pP1pp1/2N1b2p/1P2B3/3Q2P1/4R2P/5RK1 w - -,e4g2:e2d2
4r2k/p1p1P2p/2R2p1b/Pp3P1Q/7P/1P3N2/8/3q3K w - -,h1g2
4kr2/3n4/1pp1p3/4P3/1P1P4/2r4P/4p2K/2N1B3 w - -,e1c3
r2qk2r/pp2bppp/1nppbn2/4p3/2PP4/1PN1P1P1/P3NPBP/R1BQ1RK1 b kq d3,d8c8
3rr1k1/5R2/Pp2pqP1/8/2P1Q3/8/8/6RK b - -,d8d4
r4nk1/4qp1p/p7/1pp1R3/4pP2/7P/PP2BPP1/3Q2K1 b - -,e7f6
r2qk2r/pp1nBp2/8/2p2p2/4n2p/5N1P/PP2NPP1/R2Q1RK1 b kq -,d8e7
r2q1rk1/1p1bppbp/p2p1np1/2pP4/P1P1PP2/2NB4/1P4PP/R1BQ1R1K w - -,e4e5
r1b1r2k/1p1nqnpp/2pb4/p5P1/2PPB2P/PP2PN2/1BQ2P2/R3K2R w KQ -,e4h7
1b4k1/3q1p1p/4p1p1/1p1p4/1PnP1B2/2PQ3P/1N3PP1/6K1 w - -,f4b8
r1bq1rk1/6bp/pp2p1p1/3pP3/4pP2/BPN1P3/P5PP/R2Q1RK1 b - -,f8e8
5rk1/pb1p1p1p/5p2/4p3/1Pr1P3/2N5/1P3PPP/R2R2K1 w - -,b4b5
6k1/1b3p1p/pQ3p2/n2P2q1/2r5/5P2/r5PP/R2R1B1K b - -,c4c2
8/8/2K5/r7/2b2R2/2k5/8/8 w - -,f4h4
3q1rk1/1bpB1pbp/3p1np1/2PPp3/1p2P3/3QBNNP/5PP1/r3R1K1 w - -,e1a1
5k2/p6r/1p1p4/3Nb1R1/1PP5/P3P1P1/2R3K1/5r2 b - -,h7h1
1r5k/3R2bp/r5p1/p2p4/1p6/6P1/PP4KP/R7 b - -,d5d4
8/2n5/p2k2p1/1p1P1p1p/P2K1P1P/1B6/6P1/8 w - -,a4a5
rnbqk2r/ppppp1bp/5np1/5p2/2PP1B2/2N2N2/PP2PPPP/R2QKB1R b KQkq -,e8g8:d7d6
4qrk1/pp4bp/2n3p1/3r1p2/2b5/Q3B1P1/PP1NPPBP/R4RK1 b - -,d5d2
8/2K1k3/2P5/7p/2R5/8/8/3r4 w - -,c7c8
8/8/3Q1p2/5rkb/6p1/8/4K3/8 w - -,d6g3
5k2/1bn1n1p1/1r1p1p1p/Np1PpP1B/1Pp1P3/2P3P1/3K3P/5RN1 w - -,f1a1
3r4/p1k1bp2/bpp1p3/4Pp1p/5P1P/P5PB/1PPN4/1KN1R3 b - -,d8d2
r4rk1/4ppbp/bq1p1np1/p1pPn3/4PP2/N1N1B2P/PP2B1P1/2RQ1RK1 b - f3,e5d7
8/2k2pp1/1p2p2p/2b4P/4rP2/1PBR2P1/P7/1K6 b - -,g7g6
r1bq1rk1/1p2bppp/p3p3/8/3NP3/3B4/PP2QPPP/R1B2RK1 b - -,d8d4
6k1/5pp1/7p/1Q6/4P3/P3qPK1/2r1B1PP/8 w - -,e2f1
6rk/r1P2n1p/3P1b2/p2Q1p2/3N1P2/2q4P/R5P1/R5BK w - -,d5f7
q4rk1/1b1nbpp1/ppr1pn1p/3p4/P2P3P/2NQB1PB/1PRNPP2/2R3K1 b - -,f8d8
8/8/7r/4pp2/4k1p1/6K1/4R3/8 b - -,e4d5
4r1k1/6p1/1p1qpn2/p1p3P1/P2p3Q/1P1P3P/2PBR3/6K1 b - -,f6d5
