3R4/p5pk/6rp/4q3/8/3Q3P/PP2K3/4N3 w - -,e2d1
r1bq1rk1/1pp1b1pp/3p4/p2Pp3/2P1nn2/PP3N2/5PPP/R1BQRBK1 w - -,e1e4
rn1qkbnr/pp1bpp1p/6p1/8/QpPP4/4PN2/P5PP/RNB1KB1R w KQkq -,a4b4
1k1nb1r1/pp2q3/4P2p/4Qp2/3P2r1/P1P3P1/1P3P2/R1B1R1K1 b - -,b8a8
r3rbk1/3q1ppp/4P3/2pP3n/1p3P2/1P5P/1BQ3BK/2R2R2 b - -,f7e6
1r6/q7/2p1k1n1/r1Pp1p1n/P2PpPp1/2Q1P1P1/R3N1B1/R5K1 b - -,g6e7
2R5/8/4k1b1/7p/8/2Br3P/6PK/8 w - -,h2g1
8/1p6/1P3k1p/p1pK3P/P7/8/8/8 w - -,d5c5
2r2rk1/4bppp/pq3n2/1p1bp3/8/1N1B3P/PPPQNPP1/2RR2K1 w - -,e2g3
rn1qkb1r/6pp/p2ppn2/1p2p3/4P3/2N1B1P1/PPP2P1P/R2QKB1R b KQkq -,f8e7
r5k1/1q2bpp1/4pn1p/p1p5/PnN5/1P2PN1P/1B3PP1/1Q1R2K1 b - -,b4d5
1r2qnk1/1r1bp1bp/pp1p1pp1/2pP4/P1P1PP2/1PN3PP/RB5K/Q3RB2 b - -,e8f7
r2qr1k1/5pbp/1n1pb1p1/1p2p3/1P2P3/5NPP/P4PB1/R1BQR1K1 w - -,a2a3
1r3rk1/Rq3np1/2p1p2p/1pPp1p2/1P1P1P2/3BP3/Q5PP/R5K1 b - -,b7c8
r3k2r/pb3ppp/2n1p3/1p1n1qB1/6Q1/P4NP1/P3PPBP/R4RK1 w kq -,g4f5
rnbqk2r/pp2nppp/2pb4/3p4/2PP4/3B1N2/PP3PPP/RNBQ1RK1 b kq -,h7h6
6r1/1p1P4/pR1n4/P1k1p3/2p2p1K/2N2P2/1P6/8 b - -,d6f5
3q1rk1/1b3pp1/7p/p3p1B1/Pp2P3/3B3P/1P1Q1PP1/3R2K1 b - -,h6g5
8/8/6p1/p1k2p1p/2P2P1P/1K4P1/8/8 b - -,a5a4
8/1p4p1/1p6/4k1p1/1P6/3n4/4N3/3K4 w - -,b4b5
r3r1k1/ppq2p1p/1npbbpp1/8/3PP3/2NB1N1P/PPQ2PP1/R3R1K1 w - -,e4e5
6k1/p2rpp1p/1qp3p1/5b2/N7/P3QPP1/1PP4P/2K1R3 b - -,b6b5
8/8/3p1k2/3Pp3/4P2r/1p3K2/1P5p/7R b - -,f6g5
br6/4kp1p/p1q2n2/P3p3/1p2P1rQ/3B4/1PPB2PP/R3R1K1 w - -,h4f2
r3k1r1/p4p1p/1pP1p3/8/2bNR3/2P3P1/P1P2P1P/2KR4 b q -,e8c8
r7/6k1/8/2pNp3/2N5/p3K3/PP5r/5R2 w - -,b2a3
rnbqk2r/ppp1nppp/3b4/3p4/3P4/3B1N2/PPP1QPPP/RNB1K2R b KQkq -,c8g4
8/7p/2K5/8/4k3/4b1BP/5p2/8 w - -,g3f2
