4b3/8/p4P2/Pp1p4/2kN1Kp1/2P3P1/8/8 b - -,b5b4
5k2/8/7P/5q2/4pB2/6K1/8/8 b - -,f8g8
r3kb1r/p1pn1ppp/1p2pq2/6B1/2PP4/2PB1b2/P4PPP/R2QK2R w KQkq -,d1f3:d1d2
r2q1rk1/pp2bpp1/2bp1n1p/4p3/4P3/2NQB2P/PPP2PPN/2KR3R b - -,a8c8
r1bq1rk1/pppnbppp/4pn2/8/P1pP4/2N2NP1/1P2PPBP/R1BQ1RK1 b - a3,c7c5
1r4k1/7p/3p2n1/3P2p1/1p1bP3/1Rp4B/4R2P/5K2 w - -,e2e1
r1bqkbnr/1p3ppp/p1n5/3p4/3N4/2N5/PPP1BPPP/R1BQ1RK1 b kq -,g8f6
r4rk1/4bppp/pq1p1n2/1p2p3/4P1BP/1N6/PPPQ1PP1/1K1R3R w - -,f2f3
8/5pkp/3p4/3P1pPP/2P2P2/3p4/2r5/4R2K w - -,e1d1
r4r1k/pp3p2/1n2pP1p/7Q/3B4/bP4P1/P1q2P1P/R2R2K1 w - -,h5h6
r3r1k1/2q2pp1/p1p2nnp/1p2pN2/2P1P3/PQ3N1P/1P3PP1/3RR1K1 b - -,a8d8
2k5/ppp5/2nq1pp1/8/3PP1p1/2P3P1/PP2Q1Br/R2K4 w - -,e2f2
rnb1kb1r/pp3ppp/1qp2n2/3p2B1/3P4/2N2N2/PPQ1PPPP/R3KB1R b KQkq -,b8a6
6k1/pp6/2ppb3/7p/1PP3pP/1B4r1/P5P1/3R1K2 w - -,d1d6
2k1rb1r/p1nq1ppp/bpp1P3/4P1N1/3P4/1BN2Q2/PP4PP/R2R2K1 b - -,f7e6
8/p1p5/5k2/5pp1/P1B1q3/1P6/5R1P/5K2 w - -,f1g1
2rq1rk1/1b1nbpp1/1pp1pn1p/p2p4/2P1P3/1P1P1NP1/PBQN1PBP/R3R1K1 w - a6,a1d1
2kr1b1r/pp2pppp/5n2/3q1b2/3B4/2P2N2/PP3PPP/R2QKB1R b KQ -,a7a6
Rq2r1k1/3n1pbp/2bp1np1/1p2p3/1P2P3/2P2NNP/2B2PP1/2BQR1K1 b - -,c6a8
8/4k2p/1p2ppp1/8/bN6/P1K5/P4PPP/8 w - -,b4d3
3K4/3r1p2/4k1p1/3N2P1/8/8/8/3R4 w - -,d8e8
8/5p1p/4p3/1k2N1P1/pb1PP2P/1p6/1K6/8 b - -,b4d2
8/6p1/4p3/4k3/PR2pp2/2P5/1P3P2/4K1r1 w - -,e1d2
r1rq2k1/p3bppp/2n1p3/1p1p3n/2pP1B2/2P1PN1P/PPQN1PP1/R3R1K1 b - -,h5f4
2r2k2/ppN2ppp/2b2n2/4p3/2P5/4P1P1/P4PBP/1R4K1 w - -,g2c6
r1b2rk1/1pp2qpp/n2p4/p2P4/3NB3/P3P1PP/1PQ1P3/R3K2R w KQ -,e4h7
6k1/6pp/2p5/2P1Pp2/5n2/1rB5/2K4P/8 w - -,c2b3
k7/8/K7/1P6/8/8/8/8 w - -,b5b6
r1bqr1k1/1pp2pb1/p1np1npp/4p3/1PP5/2NP2P1/P2NPPBP/1RBQ1RK1 w - -,a2a4
8/1b3pk1/1P6/8/1R3p1P/7P/3r4/6K1 b - -,f4f3
1k1r3r/pp3ppp/4pnb1/4N3/Nb3B2/8/PP3PPP/2R1KB1R w K -,a4c3
r1bqk2r/pp2bppp/2n1pn2/2p5/2Pp4/1P1PPNP1/P4PBP/RNBQ1RK1 b kq -,e8g8:e6e5
2b2rk1/2r4p/p1n1p3/1pNpPpp1/1P3P2/P1P2BP1/3R3P/1K1R4 b - -,g8f7
4nk2/r1p2bp1/N4p1p/1P6/2BRP3/1P3PP1/7P/6K1 w - -,d4d7
8/1p6/2b2R2/2P1K3/p5k1/8/8/8 b - -,g4g3
r4rk1/p3q1pp/3p4/2p2b1n/2P1P1nP/PP1BP1P1/1BQ3N1/3R1RK1 b - -,f5g6
r3kb1r/1bq2ppp/p1nppn2/1p6/4PP2/1NNBB1Q1/PPP3PP/R4RK1 b kq -,a8c8
r1b1kb1r/1pq2ppp/4p3/pP1pP3/2nP4/P3BN2/2Q2PPP/R3KB1R b KQkq -,c8d7
8/8/5k2/pR2r3/P7/2K5/8/8 b - -,f6e6
8/p7/4k3/1P2r1P1/1P1p4/5R2/5P2/5K2 w - -,g5g6
8/5k2/2R4P/8/3bp1KN/6P1/7r/8 w - -,c6c7
3r1n1r/1pk2p2/pnpp2p1/6Pp/4PP1P/1PN5/P1P3B1/3R1RK1 w - -,c3e2
1r6/p1pkn3/R1p5/2Pp1p2/3P2pp/1P2P1P1/P3NK1P/8 b - -,h4g3
rn2k2r/ppb2pp1/2p1pnp1/2Pp4/1P1P4/2N1P2P/1P3PP1/R1B1KB1R b KQkq -,a7a6
r1q1r1k1/p2n1pbp/2pB2p1/2Ppp3/Q2P4/2N5/PP3PPP/1R2R1K1 w - -,c3e2
r1b2r2/ppb2pk1/1n2q2p/2p1n3/3pRN2/3P2N1/PPP3BP/R1BQ2K1 b - -,e6d6
