6k1/KP6/8/8/8/P7/8/q7 b - -,a1a3
5k2/1q2bp1Q/4pN2/4P1p1/p5P1/Pb6/1P2R1P1/6K1 b - -,b7b6
r4rk1/p1pqbppp/2p1bn2/8/Q4B2/2P5/PPBN1PPP/R3R1K1 b - -,f6d5
1r4k1/4ppbp/p2p2p1/3P1b2/2N5/1P2BP2/P5PP/5RK1 w - -,f1c1
3q1r2/Npr1npbk/4b1pp/3pp3/1RP5/Q2P2P1/3NPPBP/5RK1 b - -,e7c6
6rk/2p1qrb1/b2p1n2/p1pPp2p/2P1Pp1B/2N2P2/PP1RB2P/4Q1RK w - -,e2f1
2N3k1/5p1p/1p4p1/1P1p4/3P4/4PK1P/r4PP1/8 b - -,a2b2
3rr3/pp1b2k1/1q4pp/2p1pP2/4N2n/2PP4/PP1Q1P1P/1R2R1KB b - -,g6f5
r1bq1r2/pp4k1/2n5/2pnp1p1/8/2PP2P1/PP2QPB1/R3KN1R w KQ -,e2h5
r2qkb1r/pp1b2pp/n1pp1n2/3Pp3/2P5/2N3N1/PP2BPPP/R1BQK2R b KQkq -,f8e7
rnbqkb1r/pppnpppp/8/3pP3/3P4/8/PPP1NPPP/R1BQKBNR w KQkq -,f2f4
r1bqrbk1/1p3pp1/2pp1n1p/p3n3/P1BNP2B/2N4P/1PP2PP1/R2QR1K1 w - -,c4b3
1Q4k1/4qp1p/1p4p1/8/4b3/5N1P/P5PK/8 b - -,g8g7
rnbq1rk1/4ppbp/p2p1np1/1PpP2B1/8/2N1PN2/PP3PPP/R2QKB1R w KQ -,a2a4
8/3b1k2/p7/2pP1pp1/1Pp1r3/6P1/P1R4K/8 w - -,b4c5
5k2/5p2/2R3p1/3P3p/1r6/5P2/K5PP/8 b - -,b4d4
8/2q2p2/2P1pQpk/bp1p4/8/1P4P1/4PPB1/6K1 w - -,f6h8
2rr2k1/p1q1bppp/1p2p3/8/2P1n3/1Q2PNP1/P3RPBP/2R3K1 b - -,e4c5
7k/pb3q2/3n4/1pp3P1/4Pp1P/2P2Q2/PP1N4/6K1 w - -,b2b3
r2r2k1/5p2/2pp2p1/7p/3RP2P/2N2PP1/b7/3R2K1 b - -,a2b3
r1b2rk1/1pp1qppp/2n2n2/pBb1p3/P3P3/2P2N2/1P1NQPPP/R1B2RK1 b - a3,c6d8
1r1qr1k1/p1p2ppp/3b2n1/3Q1b2/8/2n1PN2/PP2BPPP/R1BR2K1 w - -,b2c3
