8/8/p1r2kpp/R7/4P3/4K1P1/8/8 b - -,c6c3:c6b6
1q2rnk1/p4pp1/2pb3p/1pNb4/1P1P4/P1Q2N1P/2B1RPP1/6K1 w - -,c3e1
2r3k1/1p1b1ppp/3Pp3/p4P2/P7/1B2r3/1KP3PP/3R3R w - -,h1e1
r1bk3r/pp3ppp/2p1p3/4P3/1bP1n3/2N5/PP3PPP/R1B1KB1R w KQ -,a2a3
4nrk1/5rpp/p2pp3/2p2p2/N1P5/1P2P1P1/Pb1R1PKP/3R4 w - -,d2b2
r6r/1pk1b1pp/p1n2p2/3Bp3/6P1/2P1B2P/PP3P2/2KR3R b - -,a8d8
2r1kb1r/1p2pppp/pBnp1n2/8/4P1b1/2N2N2/PPP1BPPP/2KR3R b k -,g7g6
2k3r1/4p3/3p2P1/8/1B3n2/1P6/P1P5/1K4R1 b - -,g8g6
8/5p2/6k1/5p2/5R1P/8/5K2/2r5 b - -,c1c8
r4rk1/1bpnq1pp/1p2n3/pP2pp2/2P5/P2BPP2/1BQ3PP/3RNRK1 b - -,e7g5
2r2rk1/pp1qp1bp/1np1n1p1/3pPp2/3P1P2/BPPQ1N2/P3N1PP/R4RK1 w - -,a3b4
r4rk1/p3ppb1/1p4pp/n2P4/1R2P3/4BB2/q4PPP/3Q1RK1 w - -,e4e5
r4knR/pp3p2/5P2/4nNP1/4pK2/2Nr4/PP6/7R b - -,e5g6
8/8/p1b2k2/1pp1p2p/4P2P/P7/1KP1R3/8 w - -,e2f2
1kr5/pp4r1/4p3/P2pPp1p/4n2P/1R2BQP1/1qP5/6K1 w - -,b3b2
8/pR3pk1/6p1/3p4/3P3p/4P1PK/PPr5/8 b - -,h4g3
3R3b/7k/p7/4P3/2rB2p1/8/P5P1/5K2 w - -,e5e6
8/3r3k/6p1/4p3/P5KP/1P3PN1/6q1/2Q5 w - -,c1e1
r4rk1/pp5p/1n4p1/1N1P4/4P3/7P/P3K3/2B2B2 b - -,b6d5
r3kb1r/ppqn1p1n/2p4p/2P1p3/4P1BB/1N4Pp/P3QP2/1R3RK1 b kq -,h7g5
5rk1/p2R1qbp/1p4p1/5p2/Q1p1n3/2P2BP1/P3PP1P/R5K1 b - -,e4c3
8/8/8/8/4bkBp/6pP/8/6K1 w - -,g4e2
1rbqr3/1pp1ppbk/p1np1npp/8/2PP4/2N1BNPP/PP2PPB1/R1Q2RK1 w - -,f1d1
4rr1k/2p3pp/1pQpb3/7q/1P2P3/2P1NpP1/P4P1P/R2R2K1 w - -,d1d4
2r1B3/pbP3k1/1p1B3p/6p1/1P6/P3P1P1/7P/5RK1 b - -,c8e8
r1bqk1nr/ppp2ppp/2n5/3Q4/4p3/P1N5/1PP2PPP/R1B1KB1R b KQkq -,c8e6
r4rk1/1pq2ppp/p1n1b3/4p3/2P5/2QBB3/PP3PPP/3R1RK1 b - -,a8c8
1q3r1k/4n1b1/3p1pp1/2pPpb1p/7P/2NPP1P1/2QB1PBK/5R2 w - -,f1b1
5rk1/3r1ppp/p1N2b2/P2n4/R4B2/1P3P2/5P1P/3R2K1 w - -,f4e5
1r6/4b1k1/3pP1p1/1qpBpn2/p7/2P2PNP/1P1QR2K/8 b - -,f5h4
1kr3r1/pp2b3/2np3p/4p3/2N5/2P2q2/PP1R1PQ1/R3B1K1 w - -,c4e3
r1bq1rk1/1p1n1ppp/p1pbpn2/8/2PPp3/5NP1/PPQN1PBP/R1B2RK1 w - -,d2e4
8/3r2pk/7p/3b4/2R5/4B1PP/5P1K/8 w - -,c4d4:c4c5
rn2r1k1/1b3pb1/p2p1qpp/1Pp5/P1N1P3/3B1N1P/1PQ2PP1/R4RK1 b - -,b8d7
8/2p1r1kp/1pBb2p1/3P1p2/1P6/2P1RK1P/6P1/8 w - -,e3e7
8/3b3p/6p1/2kP4/pp2Pp2/4NP2/1K5P/8 w - -,e3c2
5rk1/5ppp/2p2n2/P1N2b2/1P2pP2/1B5P/6P1/3R2K1 b - -,e4e3
r5kn/4nrb1/1qp1p2p/3pPp1b/pP1P1P2/P5P1/1BQN2BN/2R1R1K1 w - -,e1e3
