8/5k2/4p3/1p3p2/2bN1r2/PPK1R3/8/8 b - -,c4d5
r5k1/3p1qpp/1pn1pn2/5p2/r2P4/P2QPP2/1BR3PP/4NRK1 w - -,b2c1
2r3k1/5pb1/1p2pnp1/pP6/P2P4/1q3NP1/1B2QP2/4R1K1 w - -,b2a1
r1bqr1k1/2n1b2p/1p2p1p1/pN1pPp2/3P1PP1/P2BB3/1P2Q2P/R4RK1 b - -,c8d7
8/4pk2/1Q6/p5p1/1p2P2p/1P5P/P5PK/q7 b - -,a1e5
r1bqk2r/ppppbppp/2n2n2/4p3/4P3/3P1N2/PPP1BPPP/RNBQ1RK1 b kq -,e8g8
8/8/8/6p1/7p/7k/5b1B/7K w - -,h2d6
r2qk1nr/1ppb1pbp/p1np2p1/4p3/8/PP2P1P1/1BPP1P1P/RN1QKBNR w KQkq -,f1g2
8/5R2/p5pk/1P6/8/PK4P1/4r2P/8 b - -,a6b5
r2qrbk1/1b1n1ppp/pp1ppn2/8/P2P1B2/2PB1N1P/1P1NQPP1/R3R1K1 w - -,d2e4
3r1rk1/pbp3bp/1p4p1/4ppq1/8/2P1P1BP/PPQ1BPP1/R2R2K1 w - f6,c2b3
3r1r1k/5bp1/2Q4p/5p2/1q6/1B6/P4PPP/2R1R1K1 w - -,c6c3
2b3k1/2r2pp1/r3p2p/2qn4/p1NN2Q1/1P5P/P4PP1/3RR1K1 w - -,g4g3
r1bq1r2/2p1bpk1/p1n1pp1p/8/Np1P4/1B2PN2/PP2QPPP/R4RK1 w - -,a1c1
r1b1k1nr/pp1p1ppp/1b2p3/8/1P1pP3/2PB2Nq/P2P1P1P/R1BQK2R w KQkq -,c1b2
8/pp2r3/5kp1/5p2/5P2/P1R2K2/6P1/8 b - -,e7e1
5b2/8/3pkp1p/8/4P3/1P5P/1B3KP1/8 w - -,f2f3
8/2R5/8/2B3p1/pP2p1k1/P1r2n2/5P2/2K5 w - -,c1b2
5r2/1p4kp/3p4/2pB2p1/p1P5/P3K2P/1P2N3/8 b - -,g7f6
4r3/4q1k1/3p1np1/p2Pn2B/2P5/1P4Q1/3N2P1/5RK1 w - -,h5d1
4b1k1/p4p1p/6p1/3BN3/1b4P1/4P2P/5P2/6K1 w - -,e5c6
r1r1b3/5kpp/pQ2pp2/N1b1p3/1pP1P3/5P2/PP4PP/3RR1K1 w - -,b6c5
6k1/3R3p/p3r1p1/P7/1P6/4p1P1/4K2P/8 b - -,e6e4
r2qkb1r/pp1n1ppp/2p1p2n/3pPb2/3P1P2/3B1N2/PPP3PP/RNBQK2R w KQkq -,e1g1
8/2R3pk/7p/p3pp2/5P2/P1Q3PK/4q2P/8 b - -,e2f1
8/pp2p1k1/3Q1rpr/3P1PR1/8/1PP5/1KP5/6R1 b - -,e7d6
8/6k1/5p2/1p5p/4q1pP/2P1b1B1/1P5K/3Q4 b - -,e3c5
1r3k2/5p1p/2b1p1p1/2P1P3/5P2/2Nq3P/5QP1/2R3K1 w - -,g1h2
2rq2k1/1p3pp1/p3b2p/P2rp3/R2n4/1N6/1PP1BPPP/4QRK1 w - -,b3d4
r6r/1p4p1/1np1bk2/p3pp2/P7/1PP3N1/2B2PPP/4RRK1 w - -,e1e2
3R1Q2/1p5p/2q2pp1/6nk/2P1b3/5nP1/PP3PBP/7K w - -,h2h3
5rk1/5p1p/q2p2p1/2rP1p2/PQP5/7P/5PP1/R4RK1 w - -,f1b1
3r3r/5k2/5p2/2bb2p1/1pp2B2/3p1NP1/PP4KP/R2R4 w - -,f4c1
8/6p1/1p1b1k2/2PPpP1p/2P1K2P/2B3P1/8/8 b - -,b6c5
4r1k1/p6p/3p2b1/5r2/4p3/1P2Q3/1KP3P1/R7 b - -,a7a5
3rr1k1/1bq2p1p/2p1n1p1/p1P1p3/1p2P3/PQ2B1PP/1P3PB1/2RR2K1 b - -,b7a6
1r2rbk1/2q2pp1/p2p1n1p/1bpP4/2B1PRP1/1PN1QN1P/P7/R5K1 w - -,c3b5
2kr2r1/ppq1nQ2/2p5/2n1p3/2B5/2N4P/PPP2PP1/3RK2R w K -,d1d8
5r2/R1R2rbk/1p1p2p1/1P1Pp3/1B2P3/6Q1/5PK1/3q4 b - -,f7f2
4k3/5p1p/3ppp2/1b5B/1p2P2P/pPbP2P1/P1N1KP2/8 w - -,h5f3
8/p4q2/1p1kp2p/2p3p1/P2bP1B1/1P4PP/4QPK1/8 b - -,d6c7
r3brk1/pp1nbppp/4p3/q2PN3/PnB2B2/1QN3P1/1P3P1P/R4RK1 b - -,e6d5
3r4/3P4/8/2p1k2p/Bp1np1p1/1P4K1/P4R2/8 b - -,d4f5
3rk2r/pB3ppp/4pn2/q7/3n4/P1B4P/1P3PP1/R2Q1RK1 b k -,a5b5
r2q1rk1/1p1bbppp/1n2p3/pP1pP3/P4P2/2P3P1/1B1N2BP/R2Q1R1K b - -,a8c8
2b3k1/p3b2p/q3pnp1/3pN1NB/1p3Q2/1P1P2P1/5PKP/8 w - -,h5g6
2r1k3/1pq1bp2/p4np1/3p4/n3p1PP/1N6/PPP1Q1B1/1K1R2R1 w - -,d1d4
6k1/p3qpb1/2p2npp/1p6/2nQP2B/2N4P/PP2BPP1/6K1 b - -,g6g5
4r2k/2p1r1bp/1p1p3N/p2P2PP/2P2P2/2n2K2/P2RP3/2R5 w - -,h6f5
r2qk1nr/1b1p1ppp/p3p3/1pb5/4P3/1BPP4/P3NPPP/R1BQK2R b KQkq -,c5b6:g8f6
1rr2n2/6kp/p2p4/1p1PpQ1P/5b2/P4P2/1PP1B3/1K6 w - -,f5g4
2br1nk1/5p2/pNp1qPp1/2p1p1Bp/2P1P1PQ/5R1P/P4b2/3R3K w - -,d1d8
6k1/1p2qpbp/4rn2/2ppr1p1/P3P1P1/1PN2P1P/3N2K1/2R1RQ2 w - -,f1f2
rnb2rk1/1pq1bppp/p2ppn2/8/3NPP2/2N1BB2/PPP3PP/R2QK1R1 b Q -,b8c6
r4r1k/p4pbp/2N1p1p1/4P3/2Q2P2/3q4/PP3RPP/2R3K1 b - -,d3e3
2k2r2/1bQ2r1p/p3R1p1/1p6/3R1P1P/P1P5/1PB5/2K5 b - -,c8c7
rnbqkb1r/pp1p1ppp/1n2p3/4P3/3p4/1BP5/PP3PPP/RNBQK1NR w KQkq -,g1f3:c3d4
3rrb2/R2b1p1p/3p1pk1/1p1Bp3/n3P3/2P1N1NP/1P3PP1/4R1K1 w - -,e1b1
4r1k1/5p1p/pp4p1/4p3/2P1P3/4b1qP/P3QPP1/4R1K1 w - -,e2e3
3r4/8/3P4/pp3k2/5Np1/P1P3Pp/1P2R1nP/2K5 w - -,f4g2
r3k2r/pp1qnpp1/1n2p2p/3pP2P/b1pP2B1/2P5/R1PBNPP1/Q4RK1 b kq -,a7a6
r1b1r1k1/1pp1qppp/3p1n2/pNb5/2P5/5PP1/PPQB1PBP/3R1RK1 w - -,d2c3
3r2k1/p4pp1/4q3/8/7N/1P4PP/P2R1Q1K/4r3 w - -,d2d8
