7b/4k3/8/pN1p2K1/P2P4/8/5P2/8 w - -,g5g6
2r1n1k1/q4ppp/3p2n1/1P1Pp3/N7/QP3PP1/P1B3KP/3R1R2 b - -,c8c2
r1bq1rk1/pp1n1pb1/8/2p4p/2P1Ppp1/2N2N1P/PPQR1PP1/3R1BK1 w - -,f3h2
rnbqkbnr/1p3ppp/p7/2Pp4/8/5N2/PPPN1PPP/R1BQKB1R b KQkq -,f8c5
1r4k1/7p/3p1pp1/P3p3/2r1PP2/P1p3P1/2R4P/3R2K1 b - -,b8b2
r1b2rk1/ppq1bppp/2np2n1/1Bp1p3/4P3/P1PP1NN1/1P3PPP/R1BQR1K1 b - -,c8e6
rn1qkb1r/ppp1pppp/5n2/3p1b2/3P1P2/5N2/PPP1P1PP/RNBQKB1R w KQkq -,g2g3
1r1n2k1/1bp2r2/3p1q1p/1B1Pnpp1/1Q1NpN1P/1P2P1P1/P4P2/1KRR4 w - -,h4g5
r1b4r/4bkp1/p2pNn1p/qP2nP2/4P3/2N1B3/2PQ2PP/1R3R1K b - -,a6b5
r1bqr1kb/1pnnpp1p/p2p2pB/2pP4/2P1P3/2NB1N1P/PP1Q1PP1/4RRK1 w - -,f3g5
2r5/7p/3Bk1p1/pP2p3/3b4/6P1/1P3nBP/1K2R3 w - -,d6a3
2rr2k1/1p1nbppp/1pp3b1/4P3/4NBP1/7P/PP3PB1/2RR2K1 b - -,g6e4
5Rk1/p4p1n/1p2pP1p/2p1P1pP/2P1q1b1/2BR4/PP1Q2P1/2K5 b - -,h7f8
r3qrk1/pp1bp1b1/n1pp1npp/3P1p2/2P5/1PN2NP1/PB2PPBP/2RQ1RK1 w - -,a2a3
1r1q1r2/1p1bn1kp/p2p1pp1/4p3/2PpPP2/3P2P1/PP1Q2BP/R4RNK w - -,a1c1
5rk1/3q1r1p/2np2pB/1ppNb3/4P1PP/1PPP1p2/R4K2/3Q2R1 b - -,f8e8
2r1r1k1/1p1nbppb/q3p2p/pNp5/PnPpPP2/3P2PP/1P1NQBB1/3R1RK1 w - -,d2f3
r1b2rk1/pp3p1p/1q2n1p1/1N3N2/2B2b2/6QP/PPR2PP1/3R2K1 w - -,f5e7
1qr3k1/1b2bppp/p1r5/2Ppn3/8/N3BP2/PP3QPP/2RR1BK1 b - -,c6g6
7k/pp4q1/3QB1p1/3Pn1P1/5p2/P4P2/1P3K2/8 b - -,h8h7
r1bq1rk1/pppn2b1/3p3p/4ppp1/2PP4/1NN1P1P1/PP1QBPP1/R3K2R b KQ -,c7c6
1rbq1rk1/ppn1ppbp/3p1np1/2pP2B1/2P5/2N1PN1P/PP2BPP1/R2Q1RK1 b - -,c8d7
r1nq1rk1/1p2bppp/2n1p3/1NPp4/3P2b1/4BN2/P3BPPP/R2Q1RK1 b - -,f7f5
8/8/8/1p6/k1p3Kp/P2N2b1/2P5/8 w - -,d3b4
r1nq1rk1/pp2ppbp/2n3p1/2Pp4/3P4/1PN1BB1P/P4PP1/2RQ1RK1 b - -,e7e6
3r1b1k/1R4pp/4Q3/3p4/2q1n3/7P/5PP1/4R1K1 w - -,b7d7
8/1R3pkp/5rp1/8/1P6/1R6/3r3P/6K1 w - -,b4b5
r1bq1rk1/p2n2pp/1ppbp3/3p1p2/2PPn3/P1NBPN1P/1PQB1PP1/R3K2R w KQ -,c4d5
