8/8/p1k1b3/2b2P2/1pP5/1P4Kp/3BN3/8 b - -,e6f5
2r1r1k1/3b1p2/p4qnp/1p1Pn1p1/1P1QP3/1RN1NPP1/2K1B2P/3R4 b - -,d7h3
3b4/2k5/p3R3/6p1/PPP1N2p/5rPP/5P2/2K5 w - -,e6a6
8/8/1p6/p3R2p/P2k3P/6r1/4n2K/8 w - -,e5e2
5r1k/7p/p4qp1/1p3p2/4pQ2/P1P5/1P3RKP/8 b - -,g6g5
rn1r2k1/p4pp1/bpp4p/3p4/1P1P1N2/3BP3/P4PPP/R1R3K1 b - -,g7g5
rnbqkb1r/ppp2ppp/8/3np3/2B5/3P4/PPP2PPP/RNBQK1NR w KQkq -,g1f3
8/5p1k/1p5N/3pq1p1/4n3/P3Q1P1/1Pr4P/5R1K w - -,h6g4
r1bq1rk1/1p2bppp/p1np1n2/2p1p3/1P2P3/P1PP1N2/2BN1PPP/R1BQ1RK1 b - -,f8e8:d8c7
3r1k2/1p1P1pp1/5n2/1rp1N1pP/p5P1/5P2/PPR5/1KR5 b - -,c5c4
1q2r1k1/4pp1p/p5p1/2P3b1/Q1P5/3B3P/1r3PP1/1R1R2K1 b - -,e8d8
8/8/4p3/b2k4/P3NP2/P2K4/8/8 w - -,e4f6
2kr3r/ppq1pp1p/2p4p/5b2/2Pb4/1Q1P2N1/PP2BPPP/3R1RK1 b - -,f5g6
B7/3b4/p2k3p/1p3p2/1P5P/P3K3/5P2/8 b - -,d6e5
r2qk2r/pp1n1ppp/2p1pn2/3p4/1bPP4/2NQPN2/PP1B1PPP/R4RK1 b kq -,a7a5
8/8/7P/6k1/3R2P1/5P1r/4K3/8 b - -,h3h6
2k5/2p3p1/2n2b1p/1p1r4/1P1pR3/5N2/2PBKPPP/8 w - b6,f3e1
3r2k1/pb1r1pp1/4p2p/2pn4/8/P3PP2/1P3BPP/2KR2NR w - -,g1h3
r2q1rk1/1bp1ppbp/1p4p1/3n4/p2PN3/P1P2N2/BP1Q1PPP/3RR1K1 b - -,e7e6
3br1k1/5ppp/pp1P4/2q2n2/P4Q2/1P1R4/4N1PP/5B1K b - -,g7g6
1r1r2k1/p1qn1p2/4P1pp/2p5/2P5/2R2bP1/P1Q1BP1P/4R1K1 b - -,f3e2
8/1p5p/5pp1/1p1k1p2/3b1P2/3N1KPP/PP6/8 w - -,b2b3
2k4r/pp4p1/2p1Rn2/7r/8/3B2P1/PPP2P2/R5K1 w - -,a1e1
r4rk1/pbpq2pp/1p1ppn2/8/n1PN4/B4PP1/P1Q1P1BP/R4RK1 w - -,g2h3
2rr2k1/p4p2/1p2p1p1/1q5p/3b2P1/P2Q1P1P/1P2RBK1/3R4 b - -,b5d3
r1b2rk1/2p2p2/p6p/1p4p1/3Rn3/1BP5/PP3PPP/RN4K1 b - -,c8b7
2r3k1/p1rqbppp/1pnnp3/3p4/3P4/1P1QP1P1/P3NPBP/2RRB1K1 b - -,g7g6
rnb1k2r/ppp4p/1b3ppB/4p3/1PB1P3/2P2N2/P1K3PP/R4R2 b kq -,e8e7
r4rk1/1q2bppp/p3pn2/1Pp1N3/3P1B2/5QP1/4PPKP/R4R2 b - -,f6d5
1R6/8/1P6/5kp1/5p2/1r6/5K2/8 b - -,b3b2
1r6/5pk1/4p3/1pRpP1pp/p2n4/P1N2P2/5KPP/8 w - h6,f2g3
1rb2rk1/5ppp/1q1p1n2/1ppP4/3P1N2/1PP5/1N1Q2PP/3R1RK1 b - -,c8g4
1r6/1rp5/3pk1p1/2p3Pn/2P3N1/1P1RKP2/8/1R6 b - -,b7b4
4n3/p6p/1p2k3/n4p2/2PbpP1P/PP2N1N1/6K1/2B5 b - -,d4e3
1rbq1rk1/4ppbp/2n2np1/1p6/1P1p1B2/2NP1NP1/4PPBP/1R1Q1RK1 w - -,f4b8
r1b2r2/ppp1ppkp/1nnQ2p1/8/3P4/2N2N2/PP2PPPP/R3KB1R b KQ -,c7d6
2r2rk1/p4npp/p4p2/1b2pP2/1nNpP1P1/1P1Pb2P/4N1B1/3Q1R1K w - -,h3h4
8/8/3p4/pPk1p3/P1r1Pp1p/1K3P1P/1R6/8 b - -,c4b4
r4rk1/pb1p1p1p/1p2q1p1/4p3/1nPp1P2/1P2P3/PB1PB1PP/R1Q2RK1 b - -,f7f6
r5k1/6p1/P3p2p/3p1p2/4B3/3Nb1P1/R3P2P/6K1 w - -,g1g2
1r1q1rk1/p2nppbp/1p1p1np1/8/PP1P4/3P2P1/3N1PBP/R1BQ1RK1 b - -,e7e6
1r3rk1/p2nbppp/1qn1p3/1bp5/3pPP2/1P1P1NP1/1NP1Q1BP/R1B2RK1 w - -,f3d2
8/8/7p/5K2/PkB5/1P6/5n1P/8 b - -,f2d1
5kr1/1p2rp1Q/p1bpp3/2q1P3/P5PP/2N2N2/1PP3B1/3R3K w - -,e5d6
2k4R/1p3pq1/p1p1p3/5b2/2P5/P4PP1/1P2QNK1/8 b - -,g7h8
8/p1k5/1p4Bp/2P2np1/3P1p2/b7/P1r2P1P/3RBK2 b - -,b6c5
2b5/p2k2pp/1p6/2bPp1B1/2B3P1/5K2/PP5P/8 b - -,d7d6
8/1Rr1kp1p/4p3/1P5r/2B2b2/1P3N1P/5PP1/5K2 w - -,b7b6
r2q1k1r/pb2bppp/3p4/1B2p3/4n3/P3BN1P/1PP1QPP1/R4RK1 b - -,d8c7
r4rk1/pq1p1pb1/1p2p1p1/2p1nnNp/2P4P/1PNPP1P1/PB1Q1P2/1K1R3R b - -,d7d5
r1bq1rk1/p3ppbp/2pp1np1/8/2P1P3/2N5/PP1BBPPP/R2Q1RK1 b - -,f6d7
r2qk2r/pp3ppp/2n1p3/3n4/1bBP2b1/2N1BN2/PP3PPP/R2QK2R w KQkq -,a1c1
r3k3/1p1b1pp1/p3p2p/P7/1bN5/1R6/1PP1BPPP/6K1 b - -,b4c5
2brr1k1/1pp1q1pp/p1p2p2/2b5/4P2Q/1P3P2/PBP1N1PP/3R1R1K b - -,d8d1
