8/1n4n1/7R/2k4p/4NP2/3K4/7P/8 b - -,c5d5
5rk1/1R3pb1/3p4/p2P1QP1/4p3/P7/3q1BK1/8 w - -,g5g6
7r/p4k2/1r2pp2/Np1p1P2/1PbP3P/P3RK2/8/4R3 b - -,e6e5
1rb5/p7/1pk1p1Q1/n7/P1pq1P2/4N1P1/3NK3/5B2 w - -,g6e8
1r3k2/3R3p/p1r5/2P2p2/3Bp3/4P1P1/P5KP/R7 b - -,f5f4
8/4kp2/4p2p/1r2b3/2p1PpP1/2P5/1PK4P/3R3R w - -,d1a1
r3r1k1/ppb4p/2p5/4p2b/1PP5/P4P2/3NB2P/3R1K1R w - -,d2e4
r1r5/1n1b2kp/3p2p1/1p1P1p2/1P2PP2/6N1/4N1PP/2R2RK1 w - -,e4f5
3R4/pp3k1p/4p1p1/8/8/q1B2BP1/4PP1P/6K1 w - -,d8c8
r2q1rk1/pn3pp1/1p1p3p/8/2Pp4/B1P5/P1Q2PPP/1R1R2K1 w - -,c3d4
8/p4Q2/1r6/3kp3/4b1P1/3r3P/P4P1K/8 b - -,d5c5
r5r1/p2qbp1k/1p2b1pp/3pPp2/3B1PP1/2PQN2P/PP4R1/R6K b - -,a8d8
6k1/2p3pp/pnN5/P7/3K1P2/5PP1/7P/8 b - -,b6d7
rnb1r1k1/pp3ppp/1q3n2/8/3Qp3/1NN3P1/PP2PPBP/R4RK1 b - -,b8c6
1r1q1rk1/1pb2ppb/1Np1p2p/2PpP3/4nB2/1Q1BP2P/PP3PP1/2R2RK1 b - -,e4c5
1n1n4/8/1kp2p2/4p1p1/2B1P2p/KP3P1P/4N1P1/8 w - -,g2g3
r4bk1/1q1n1p1p/pn1p2p1/1ppP2P1/5P1Q/1PBPr3/P2N2BP/R4RK1 b - -,a8c8
2r5/p3r1kp/2p5/2b3p1/2PpB1P1/1R3P1P/P3K3/3R4 b - -,h7h5
5r2/1p1bnkp1/p3p2p/n2pPp1P/3P1N2/3B1NP1/PP3P2/2r1R1K1 w - -,e1c1
8/p2kpp1p/1r6/6P1/1p2RP2/6K1/1PP4P/8 b - -,a7a5
r3r1k1/p4ppp/q1p2n2/3p4/3P2b1/1PN3P1/3QPPBP/R2R2K1 b - -,a6b6
5b2/3N1k2/2p3p1/2Pp1pP1/3P1B2/5P2/r3NK2/8 w - -,d7e5
8/p6p/2k2p1n/P4p2/1PB1pK1P/6P1/8/8 b - -,c6d6
8/8/5p2/2r5/2r3P1/k5K1/1p6/6RR w - -,h1h8
8/6pp/4b3/1p1kpp2/8/6P1/PP2PP1P/2N2K2 w - -,f1e1
rnbqkb1r/pp2pppp/3P4/2pn4/8/2P3P1/PP1P1P1P/RNBQKBNR b KQkq -,d8d6:e7e6
1r3r2/2k4p/2p1p1p1/3p4/5q2/2P1R1PP/PP2Q3/2K1R3 b - -,f4f2
r2q1rk1/5pbp/p2pb3/n2Np2Q/2B1p3/2P5/PPN2PPP/R4RK1 w - -,b2b3
6k1/3b1pp1/1p5p/1P1p4/3N4/q3P3/r4PPP/1QR3K1 w - -,c1d1
5r1k/1q5p/2Pr1p2/P7/3Q1R2/2N5/1PPR3P/7K b - -,d6d4
8/7p/1p6/1k1r1p2/1rpp1PP1/3R3P/4PK2/3R4 w - -,d3d4
rn2kb1r/pp3pp1/2n1P3/1q2PpN1/3p3P/8/PP4B1/R1BQK2R b KQq -,f7e6
4qrk1/5ppp/n4b2/4pP2/r3B3/Pp6/1P5P/1KNRQ1R1 w - -,e1e3
r4r2/1p1bq1bk/3p1npp/pNpPppB1/PnP1P1PP/1P4N1/3QBP2/2KR3R w - -,g4f5
8/8/7p/6P1/p4pP1/1b1k4/1K6/R7 b - -,h6g5
r6r/pP2kppp/8/3Np1q1/QP1b2n1/8/1P3PPP/R4RK1 b - -,e7d6
2r2rk1/pbq2pbp/2n1p1p1/1pp1Pn2/3p3P/2PP1NP1/PP1BQPB1/R3RNK1 w - -,g3g4
r1bq1rk1/1p2pp1p/3p2p1/pNn5/2PN2n1/1P2P1P1/PQ3PBP/R4RK1 w - -,a2a3
1rr2nk1/pp2pp1p/q1p1b1pb/2P1P3/NB3P2/4P1P1/P1Q3BP/2R2RK1 b - -,f8d7
8/3B4/P3R3/2K3bp/1P4pk/4P3/7r/8 w - -,d7a4
2r2rk1/1p1n1ppp/1q1b4/p3p3/P1p5/5BPP/1P1Q1P2/R1BR2K1 b - -,d6c5
8/p4nkp/5r2/5p2/8/PB2R3/KP6/8 b - -,f5f4
4k3/6R1/5pp1/4p3/4P2P/r5P1/6K1/1r2BB2 w - -,e1f2
8/5p2/5Pk1/p3Q1p1/P7/1P2PPK1/2q5/8 w - -,e5a5
2b3k1/8/1pp1q1p1/p5Pp/P1PpP3/6KP/4N3/5Q2 b - -,e6e4
rn2k3/pppq2b1/4bnP1/3p1pQ1/3P4/2N2N2/PPP2PP1/2K1RB2 b q -,f6e4
r4bk1/pb1r1ppp/1pq1p3/8/2P1B1Q1/1P6/PB3PPP/3RR1K1 b - -,d7d1
r1r3k1/1n2bPpp/pn6/3B4/1P3qP1/7P/2P1QP2/R2R2K1 b - -,g8f8
8/5k2/8/8/5NK1/R4P2/8/1r6 w - -,a3a7
