8/r7/4k3/r6R/4P3/4KP2/8/8 w - -,h5h6
r1bq1rk1/ppp2pp1/1bnp1n1p/4p3/1PB1P2B/2PP1N2/P2N1PPP/R2QK2R b KQ -,c8e6
5qk1/6p1/3P4/pp2P3/8/5r1P/4R1QK/8 w - -,g2g4
1k6/3r3p/1b1P4/1P3pp1/8/2Q3P1/4qP1P/3R2K1 w - -,d1f1
1n1qr3/1b1k1Q2/p3p2p/1pPp4/3P1N2/P3P1P1/5PP1/1BR3K1 b - -,e8e7
q3nrk1/1b2pp1p/1n1p2p1/2pP4/7N/1PB3P1/rR2PPBP/3Q1RK1 w - -,d1d2
r1br2k1/1p1nqpbp/2p3p1/p2p4/N2P4/3BPN1P/PPQ2PP1/2RR2K1 b - -,d8e8
1R6/1pp2rp1/p2nk2p/8/1P5P/6P1/5BK1/8 b - h3,e6d5
2r1k2r/1p1nqpb1/p2p1npp/P2Pp2P/NpP1P1P1/5PN1/3Q2K1/2BR3R w - -,d2b4
1k1r3r/1p4p1/p1bN1p1p/P1R1pP2/1P1pP1P1/3P4/3BK2P/2R5 b - -,d8d6
8/5p2/PR3p2/3bp1k1/1P3P2/8/1K6/7r b - -,g5f4
r2q1rk1/pb3pp1/2p2n1p/1p2b3/4P3/2NB3P/PPQ2PP1/R1B2RK1 w - -,c1e3
3r2k1/1pb2ppp/p1n5/2pB4/P4P2/2B1P3/1P4PP/3R2K1 w - -,d1d2
5k2/p3Npqp/1p2n1p1/8/bP6/P4P2/3Q2PP/5BK1 w - -,e7c8
r1b1r1k1/pp3pp1/1np2q1p/4N3/3PB3/8/PPQ2PPP/1R3RK1 b - -,c8e6
1rr3k1/p2b1pbp/1q1p2p1/2pP4/1p1pPB2/1P1P2PP/P1Q2PB1/2R1R1K1 b - -,a7a5
2b2rk1/p1q3bp/3n4/1PpBp1PQ/P2p3P/1P4N1/3N4/R5K1 b - -,g8h8
8/R4pk1/p1r1p1p1/2N5/P2PP3/2P1K3/6P1/6r1 b - -,g1g2
rnbqkb1r/pppp2pp/5n2/4p3/2P1p1P1/2NP4/PP3P1P/R1BQKBNR b KQkq g3,h7h6
r2qkb1r/1p1nnppp/p3p3/2ppP3/3P4/2PBBP1P/PP2NP2/R2QK2R b KQkq -,e7g6
r5k1/pppqrpbp/3p1np1/8/4PP2/PPN1BQ2/1P4PP/2R1R2K b - -,c7c6
6k1/2p1q1p1/3p1p1p/8/3P2QP/5RK1/6P1/7r w - -,g4c8
8/3k1ppp/r1r5/3np3/p7/P3B3/1PR2PPP/2R2K2 w - -,f1e2
1r3rk1/p4pp1/4pb2/8/P3N1p1/1p2P1P1/1P1R1P1P/3R2K1 b - -,f8c8
r3r1k1/1p2qpp1/2p1bnn1/7p/pPP1p3/P1Q1N1PP/1B1RPPB1/3R2K1 b - -,b7b5
2k5/p1p2p2/8/2prP1p1/P4pb1/6n1/1PN2KP1/R1B1R2r w - -,c1f4
rn1qkb1r/pp2pp1p/2p3p1/4P3/3PpP2/4BP1P/PPP5/R2QKB1R b KQkq -,e4f3
r4rk1/1pq1bppp/p5b1/P1pPp3/2P5/4B3/1P2BPPP/2RQ1RK1 w - -,b2b4
r4n1k/pp1br2p/3q4/2pPn3/P1P1P2Q/2BB4/4N3/4KRR1 w - -,g1g5
8/p1N2kpp/8/2r5/8/1P5P/P3R1P1/6K1 w - -,e2f2:c7e6
2rr2k1/ppq2pbp/4p1p1/2n2n2/1NP5/P4B1P/1P3PP1/1RB1QRK1 b - -,a7a5
r2qkbnr/pb1ppppp/1pn5/2p5/4P3/1PN5/PBPP1PPP/R2QKBNR w KQkq -,f2f4
r3k2r/pp1n1pp1/1q1bp1p1/3p4/2pP1P2/2P5/PPBN2PP/R1Q2R1K b kq -,b6c7
r2r2k1/1b2bppp/nq1p1n2/p1p1p3/2P1P3/P1N1BN1P/1PQRBPP1/R5K1 b - -,a6c7
6k1/p4p1p/1p2p1p1/8/3r4/1P3BP1/1P3P1P/1R3K2 b - -,d4d3
8/1pk2p1p/p1b1pnp1/8/8/1N1B1P2/PPP3PP/6K1 w - -,g1f2
