8/p1r2k2/P1K2p2/4b1p1/4Q1P1/7P/8/8 w - -,c6b5
5k2/7p/5bp1/8/8/3Q1P2/q5P1/3R1K2 w - -,d3d6
rq1nnrk1/pp4bp/3Pb1p1/2N2p2/4PP2/4B3/PP1QB1PP/R2R2K1 w - -,c5e6
rr1q2k1/1p1nbppp/3p4/2nPp3/p1N1P3/4BP2/PP1QB1PP/1R3R1K w - -,c4a3
8/1B1Rbpp1/5kn1/r1r4p/2p4B/2P4P/5PP1/4R1K1 b - -,g6h4
7r/4b1p1/p3k3/1p5p/5N2/8/PP3PPP/2R3K1 b - -,e6f5
r4r1k/1p4bp/1qbp4/3Bpp2/pNPp1P2/P2P2P1/1P5P/1R1RQ2K b - -,a8e8
r1b2rk1/pp2ppbp/1q1p1np1/3p4/2P1PP2/2NB3P/PP1Q2P1/2KR2NR w - -,c4d5
r4rk1/1bq2pp1/pp2pn1p/3P4/3R4/P1N1P3/1PQ1BPPP/5RK1 b - -,f6d5
5r2/7p/pp3p1k/2b1p3/2P1B3/1P3R1P/P6P/7K w - -,h1g2
8/4Rp2/3p4/2kP3K/2p5/2rr2P1/2R4P/8 w - -,c2f2
r4rk1/pq1nbppp/1p1ppn2/8/2PN4/1PN1PQ2/PB3PPP/R4RK1 b - -,b7f3
3r1r2/1p4k1/p4bp1/2pNNb1p/5P2/8/PP4PP/3RR1K1 w - h6,d5f6
1r2r1k1/p6p/1p1p2p1/1qpP1pP1/2Pp1P2/3P2P1/PP4K1/R3R3 w - -,c4b5
3k4/7R/r7/4P3/3K4/8/8/8 w - -,h7g7
5r2/ppp3k1/4p1p1/3p1nP1/3P1P2/2P4r/PP1B2R1/3KR3 b - -,g7f7
8/8/6p1/RN2pp1p/5k2/P2B1P1P/r5PK/8 b - -,e5e4
r4rk1/p2qb3/1pbn3p/2ppBpp1/3P4/P2BPP2/1P2N1PP/R2Q1RK1 w - -,e2g3
1r3rk1/1pq2pbp/p3p1p1/3nn3/P2R4/1PN1P2P/1BQ1BPP1/2R3K1 b - -,d5c3
8/1p6/p1p4b/2Ppk3/PP2ppK1/8/8/4B3 w - -,e1c3
8/p2R4/2k3p1/r1p2p2/5P2/2K3P1/7P/8 w - -,d7g7
1r4k1/3R2p1/7p/8/p1q5/2P1Q2P/1P4P1/6K1 b - -,b8f8
5rk1/p1p2p1p/1p1r1Pp1/4n3/5NPQ/2P1q2P/P1P1BR2/6K1 b - -,h7h6
8/8/B4R2/3b4/1P1k2Pp/r7/7K/8 b - -,a3g3
r3kb1r/1p1b1ppp/p1nq4/3ppP2/8/P1NBB3/1P2Q1PP/3R1RK1 b kq -,d5d4
3r2k1/6p1/4p2p/1bBnbp1P/1P2NP2/6P1/6B1/2R3K1 b - f3,d5f4
8/6kp/6p1/8/3p1p2/7P/Pq1QKPP1/8 b - -,b2b5
8/2n5/2P2kp1/7p/7P/5B2/5PK1/8 b - -,f6f5
r4rk1/1q3ppp/1p2p3/p1n2n2/2Pp1B2/8/PP3NPP/1K1RQR2 b - -,b7g2
8/pp1k1p2/1n2p1p1/3pP3/3P1P2/PP5r/6RP/2Q2KBq w - -,c1c5
5k2/4b3/6R1/3pP1Nr/3P2K1/8/8/8 b - -,h5h1
8/8/3k3P/1p1Pp3/pK1n4/P3p3/1P1N4/8 w - -,d2e4
1r4k1/3npp2/3p3p/q2Pb1p1/1pB1P2B/2P4P/2RN1PP1/4R1K1 w - -,c3b4
r2qkb1r/1p2pp1p/p1np1np1/2p5/4P3/1BP2Q1P/PP1P1PP1/RNB2RK1 b kq -,f8g7
r5k1/1r2qppn/pp1p1n1p/4p3/1PP1P2P/2BPQPPB/5R1K/R7 b - -,e7c7
r3r1k1/3q2p1/3ppb1p/1pp1p3/4P3/1QPP1N2/1P3PPP/R3R1K1 w - -,a1a2
3r2r1/1p1qnk2/p1p1ppp1/2P4p/1P1PB2P/P3R1P1/2Q2P1K/3R4 w - -,c2e2
8/p2r4/2r1p1k1/2Bn1p1p/1P3Pp1/P2R2P1/5K1P/4R3 w - -,h2h4
r1q1r1k1/pp3pbp/2p3p1/2N2n2/1PP5/Q5P1/P4PBP/3R1RK1 w - -,g2h3
2r2k2/6b1/1p3qpp/p2B1p2/P2P4/4PQP1/1P3PK1/3R4 w - -,b2b3
r1bqrnk1/1p2bpp1/2pp3p/p2Pp1n1/P3P1P1/4BN1P/1PPQNP2/R3RBK1 w - -,f3g5
8/3n1p2/1p1pp2p/1r3Pk1/P1PKP1P1/8/8/3B4 w - -,c4b5
8/8/r7/3b4/8/2R1k3/1K6/8 b - -,e3d4
2r2rk1/p2p2pp/1p2pn2/2p5/2qP1PP1/P1P2Q2/3BN2P/5RK1 w - -,d4c5
6k1/1b4p1/1pN1pb1p/1P5q/4R3/6P1/3QPP1P/r3B1K1 w - -,e4e6
r4rk1/p1q1ppbp/3p1np1/1p1P2B1/8/1BPQ4/PP3PPP/R4RK1 b - -,a8b8
r6r/1p2k1p1/1bppb3/p1n1pp2/P2P4/2P1B3/1PB1NPPP/4RRK1 b - -,c5d7
5rk1/1p1q4/3p2pb/Q1pPp3/p3P1p1/P2P2P1/1P3PK1/1R6 w - -,b2b3
1r4k1/p1r2pp1/4p2p/1pP5/3P1P2/2Pb2P1/1R4BP/R5K1 w - -,h2h3
r2q1rk1/ppp1bppp/8/n2pP3/3P2b1/2PB1N2/P1P3PP/R1B1QRK1 b - -,c7c5
7r/5pkp/Br1pb1p1/4p1b1/1N2P3/2P5/1P3PPP/R4RK1 w - -,a6e2
2kr3r/pppb4/3q1p2/6p1/4Q2p/2N5/PP2PPPP/3RKB1R b K -,d6b6
r4rk1/p1q2pp1/4p2p/2p1P3/PnPnQ3/4BN2/5PPP/R4RK1 w - -,f3d4
5k2/2b3pp/2bNp3/2P1P3/3B4/3K2P1/1R5P/4r3 w - -,b2f2
8/4npk1/r3p2p/p1R3p1/P7/4NP2/1PK3PP/8 w - -,c2c3
r4rk1/1p1bbppp/1qn1pn2/pB1p2B1/P7/1NP1PN2/1P3PPP/R2Q1RK1 b - -,h7h6
r2q1rk1/pb2bppp/4p3/4N3/3P2Q1/8/P4PPP/R1B1R1K1 b - -,d8d5
r3kbnr/pp1qppp1/2p5/3pP3/2P2P1p/4BBPb/PP2P2P/RN1QK2R b KQkq c3,h3g4
8/6k1/8/3p3P/p3b1P1/P3N3/8/6K1 b - g3,g7f6
r1bqk2r/pp1p1ppp/n3pn2/8/1bPN4/1QN5/PP2PPPP/R1B1KB1R w KQkq -,a2a3
rn1qk2r/ppp1bppp/2b1pn2/8/2Q5/1P3NP1/P2PPPBP/RNB2RK1 b kq -,e8g8
6k1/3b1pp1/7p/4p3/1P2P3/2P2P2/6PP/1K6 w - -,b1b2
r2q1rk1/4nppp/3pb3/p3p3/1pP1P3/1P2N1P1/P4PBP/R2Q1RK1 b - -,d8b6
8/4Rppk/2p5/p1Pr4/8/P4KP1/5P1P/8 w - a6,e7f7
r2qkb1r/1p1b1ppp/p1n1p3/3pPnB1/3P4/2N2N2/PP2BPPP/R2Q1RK1 b kq -,d8b6
2rqr1k1/pb1n1ppp/1p1bpn2/3p4/3P4/P1NBPPN1/1P1B1QPP/R4RK1 b - -,e6e5
2r2rnk/pb1q1pb1/1p2p1p1/2ppPnNp/3P1B1P/2P2NP1/PP2QPB1/R2R2K1 b - -,g8h6
3r2k1/4rp2/P4np1/2p1q2p/2B1P3/1Q3P2/6PP/2R1R1K1 w - -,b3c3
2rr4/b3q1k1/p3b1p1/Qp2p1p1/3nP1p1/4B1N1/PP3PP1/1B1R1RK1 b - -,a7c5
4rrk1/p1pb1ppp/np3q2/3Pp3/1PP1PP2/2Q5/P3NRBP/1R4K1 w - -,c4c5
r6k/4b2p/5p2/1r2p3/5nPQ/P3n1K1/7P/B1R5 b - -,f4e2
r1bqr1k1/1p2bppp/p1p2Bn1/3p4/3P4/P1NBPN2/1PQ2PPP/2R2RK1 b - -,e7f6
r1b1k2r/1pp2pbp/p2p1np1/3P4/2P1q3/5N2/PP2BPPP/R1BQK2R w KQkq -,e1g1
2R5/8/8/8/1p2K3/1r6/3k4/8 w - -,c8d8
