8/8/3rk3/1R2pp2/8/5PK1/8/8 w - -,b5a5
8/4k3/p7/1p2r1p1/1Kp5/2P5/PP3R1P/8 w - -,b4a5
2rr2k1/5p2/p3p1p1/1p4Q1/8/1bqB1P2/P1P3PP/1K1R3R w - -,d3g6
2r2rk1/ppq2ppp/2nbpn2/3p4/2PP2b1/PP3N2/1B1NBPPP/2RQ1RK1 b - -,a7a5
3b2k1/5pp1/p1pqp2p/2p5/2P5/PPB1P1P1/2Q2PKP/8 b - -,d8f6
1r6/3q1p1k/3NpPp1/3bP2p/R2Q4/3r3P/1PR3PK/8 w - -,a4a7
r2q1rk1/3pbnpp/3p1p2/3Q4/p3NNP1/2P5/PP3P1P/2KR1R2 b - -,a4a3
3r1rk1/1p4q1/p4b1p/3p2pQ/4p3/1P2BnPP/P4P1K/1BRR4 w - -,h2h1
r4rk1/5pbp/P2qp1p1/8/3pbP1n/1B5P/1PP1N1PK/R1BQ2R1 w - -,e2g3
rn1qkb1r/pp3ppp/3p1n2/2pP1b2/8/2N2N2/PP2PPPP/R1BQKB1R w KQkq -,d1b3
r3k2r/1ppq2pp/p1npbp2/6B1/8/2P5/PPPQ1PPP/1K1R1B1R w kq -,g5e3
r5k1/6pp/p2p4/4Pn2/1R6/1P4P1/PBr4P/4R1K1 w - -,b2a1
8/1r6/1p2p1k1/p1p1Pn1p/P1P2P2/7K/3R4/4B3 b - -,f5e3
8/6R1/2n1r2p/7P/1P3kP1/3K4/8/8 w - -,b4b5
8/4k3/4p3/R6p/5K2/1P3P2/P5r1/8 w - -,a5h5
r2q1rk1/pp1nbppb/4p2p/4P3/2Pp1P2/5B2/PB4PP/RN1Q1R1K w - -,b2d4
r1b3k1/1p4pp/p2rp3/n2p4/5P2/2PB1NP1/P1P4P/2KRR3 w - -,f4f5
r3k2r/1p1qppbp/p1bp2pn/2p5/4PP2/2NPBN1P/PPP3P1/R3QRK1 b kq -,f7f5
r2qk2r/2pn4/pp2pb2/3PNpp1/2NP4/2P1P3/PP3QpP/R3BRK1 b kq -,g2f1q
rn1qk2r/p3b2p/1p4p1/3pPbN1/2pP4/2P3Q1/P1P3P1/1RBK1B1R b kq -,e7g5
4k3/6R1/1p5r/1P1P2p1/3Bp3/4p3/3b1P1P/6K1 w - -,f2e3
2r2r1k/pp4p1/5n1p/5Q2/7B/8/P1q2PPP/1R3RK1 w - -,f5c2
r2r2k1/pb2ppbp/2pp2p1/q7/2B1P3/2N1Q2P/PPP2PP1/1R1R2K1 w - -,b2b4
r3kb1r/pp1npp2/1qp1bnpp/3p4/3P2PB/1QP2P2/PP1NP2P/R3KBNR w KQkq -,g1h3
1r1qk2r/3n1ppp/2p1pn2/p7/Qp3P2/2N3P1/P2PP1BP/1R3RK1 w k -,c3e4
2krr3/p1pp1qpp/bnp5/4pP2/2P1Q2P/bPN5/P2B2P1/1K1R1B1R w - -,d2g5
r1bk3r/1p2nppp/p5n1/3p2P1/3N4/2P2PB1/P1P4P/2K1RB1R w - -,c3c4
rnbqkb1r/ppp1pp1p/3p2p1/4P2n/3P4/5N1P/PPP2PP1/RNBQKB1R b KQkq -,d6e5
r5k1/bpp1nr2/4b2p/1p1pPpp1/1B1P4/P2B1N2/1P3PPP/R3R1K1 w - g6,b4c5
4kr2/p3q3/1b2Qp2/4pP2/4P3/2P5/P7/K2R4 w - -,e6c6
3b4/7k/6rp/2pq4/4n1P1/8/P1Q3RP/1R5K b - -,d8h4
r3q1k1/4bp2/4n1p1/1pp1N2p/1P2P3/1Q5P/2P1NPP1/3R2K1 w - -,e5g6
5k2/p7/7p/1P1r1Bp1/3b4/6P1/P4P1P/2R3K1 w - -,f5d3
rn3rk1/ppp1qppp/8/8/2Q1P3/8/PPP2PPP/1K1R1B1R w - -,f1e2
r4rk1/pbqn1pp1/1ppbp2p/8/2PP4/3B1N2/PP2QPPP/R1B2RK1 w - -,b2b3
3Q4/5pk1/4p2p/4Rp2/1p6/1P3N1P/r2p2PK/2q5 w - -,e5e6
