Q5rk/6pp/2Q3n1/8/5p2/5B1P/5q1K/8 w - -,f3g2
4rrk1/1qpn1pbp/1p1pp1p1/p7/P1PP4/1P4P1/1B1QPPNP/2RR2K1 w - -,b2a3
r2r2k1/2p2pbp/p1n1qnp1/1p2p3/1P2P3/2QBB2P/P1P1NPP1/R4RK1 b - b3,c6d4
8/p4p2/4p3/1P2P2k/5P2/4B2p/8/5K2 w - -,e3a7
2R5/3nk3/4p1p1/2p4p/P1K2R2/6r1/8/8 b - -,d7b6
1q4k1/2p1n1b1/3p1n1p/Q1PPp1pb/4P3/2NNB3/6PP/5BK1 w - -,c5c6
r1b1r1k1/ppqn1pp1/2pb3p/4p3/2PpPP2/PP4P1/2QBP1BP/R3NRK1 w - -,f4f5
1qr3k1/p4pbp/3p4/3pnP2/r3PB2/P6P/1P2Q1R1/1K1R1B2 b - -,a4e4
r2r2k1/ppp1qpnp/4b1p1/3pP3/7P/2P1N1P1/PP3P2/R2QRBK1 b - -,c7c5
2r2bk1/pp1b1ppp/3qpn2/8/1P1N4/P2QP3/1B2BPPP/3R2K1 w - -,d3b3
r7/pp3kpp/4b3/4pp2/2P5/8/PP2BPPP/3R2K1 w - -,b2b4
r1bq1rk1/ppp3b1/3p1nn1/2PPp1pp/1PN1PpP1/2N2P1P/P3BK2/R1BQ1R2 b - -,f8f7
8/5k1p/8/5KPp/5N1P/8/5B2/r7 b - -,a1a2
r1bq3r/pp2k3/1n1pp3/1Bp2pP1/8/2N1B1b1/PPP1Q1PP/R3K2R w KQ -,e1d2
8/bP5p/3p2p1/P2Pk3/1nB1p3/2K4P/6P1/8 b - -,b4d5
8/r2R1pk1/5bp1/2N2p2/3P4/4PKP1/5P2/8 b - -,a7a2
rnbqkb1r/1p2pppp/p1p2n2/4N3/2pP4/4P3/PP2BPPP/RNBQK2R b KQkq -,b7b5
2b5/3q1k2/3pR1p1/2pP3p/3r1P1Q/7P/6B1/7K b - -,d7e6
4b3/6np/1p1k2p1/p2p4/1P1K1N1P/P2B1PP1/8/8 w - -,g3g4
8/8/1pk5/5P2/P3K1p1/7p/P6P/8 b - -,g4g3
8/3r2k1/6P1/8/2P5/3BNR2/3K4/2r5 b - -,c1g1
8/6k1/7p/pP4b1/P6r/3K4/1PBp4/5R2 b - -,h4b4
8/k6r/4p3/5p2/6p1/8/r7/1RR3K1 b - -,h7b7
3b4/p2k4/1p1n3p/3B1pp1/PP3PP1/4B2P/4K3/8 w - f6,e2f3
R7/5k2/5p2/5P1K/1r4P1/8/8/8 b - -,b4b7
3r2k1/1q2r1p1/1p2p2p/p2b1p2/P2P4/2RB1P2/1P2Q1PP/2R3K1 w - -,e2e5
r5k1/ppn2q1p/3p2p1/3Pb3/1P4B1/P2Q3P/2RB1r2/3K3R w - -,h3h4
rn1qkbnr/1b1p1ppp/p3p3/1pp5/3PP3/3B1N2/PPP2PPP/RNBQ1RK1 w kq c6,d4c5
rn5r/pp2kp2/2p2pp1/2b5/P1B3P1/2P4P/5P2/R1BR2K1 w - -,g4g5
r3kbnr/ppp1pppp/2n1q3/8/8/8/PPPPBPPP/RNBQK2R w KQkq -,c2c3
6k1/5pp1/2p5/P2p4/1P3P2/6P1/5Q2/5K1q w - -,f1e2
2rq1k1r/pp3pp1/3pb3/4p1p1/4P3/1PP3P1/P2Q1PBP/R3K2R b KQ -,b7b5
8/ppk5/4p3/2p5/3r1P2/8/KP4P1/2R5 w - -,c1c5
2r1k2r/1p2bp1p/pqn1bp2/1B1p3Q/8/2N1PN2/PP3PPP/R4RK1 w k -,f3d4
r3knnr/ppq3b1/2b1p2P/2ppP1B1/6NR/2PB2P1/PP2QP2/R3K3 b Qkq -,g7h6
2N5/1p4k1/p1n5/P7/1P2P3/8/8/6K1 w - -,c8d6
1r2N1Q1/3kbp2/p3p2p/Bp2P3/3p1P2/P2P4/1P2K2q/R7 w - -,e2f3
rk2r3/1p3ppp/2p2n2/p3p3/2P3b1/5NPP/PP2PPB1/2RR2K1 b - -,g4f3
rq4k1/p3Qpp1/2p3b1/3p3p/P1r5/1N3R1P/1P3PP1/R5K1 w - -,a1e1
rn1qkbnr/1p3ppp/p1p1p3/3p4/3PP3/2N2b1P/PPP1BPP1/R1BQK2R w KQkq -,e2f3
5q1k/p6p/4Qb2/5P2/6p1/1B6/PrP2P1P/3R2K1 w - -,d1d7
5r2/3qn3/3p1pkb/1p1Pp1p1/nPp1P2p/2P1B1NP/6P1/R2BQ2K w - -,d1g4
rnb1k2r/pp3ppp/4pq2/8/3P4/5N2/PP1b1PPP/R2QKB1R w KQkq -,d1d2
r4rk1/1p3p2/pn2pb2/4N3/5RP1/2PP4/P5B1/4R1K1 b - -,f6g5
8/4k3/2P1r3/1K2Q3/8/8/8/8 w - -,e5g5
6k1/5pb1/r2p2p1/4n1P1/4PB2/1R3P2/2r3B1/5RK1 b - -,a6a2
rnbqkb1r/ppp1pppp/3p1n2/8/3PP3/2N5/PPP2PPP/R1BQKBNR b KQkq d3,c7c6:g7g6
8/1p2kn2/p2p1n2/P2Pp1p1/2Nb2P1/1P5P/2rB2B1/3R1K2 b - -,d4c3
2kr3r/1p2b3/p1q1p3/2p1Pp2/3p1B1p/3P2P1/PPP2K1P/R1Q2R2 w - -,f1h1
5r2/6Bk/pp1p3p/3P1P2/Pp2Pb2/1P6/8/3Q1K2 b - -,h7g7
rnb1kb1r/pp1p1p1p/1qp3p1/5p2/2PP4/4P3/PP3PPP/RNQ1KBNR w KQkq -,b1c3
r2q1rk1/ppn1ppbp/3nb1p1/3p4/P1P5/1QN1BN1P/1P2BPP1/2R2RK1 w - -,c4d5
r1rb2k1/1p1q1pp1/p2p1n1p/P2Pp3/8/2N1BQ1P/1PP2PP1/R3R1K1 w - -,f3e2
r1b2rk1/pp2bppp/2p1pn2/q7/1PBP1B2/P3P3/3NQPPP/R4RK1 b - b3,a5h5
8/4kP2/p6R/1p6/1P5p/P1p5/7r/1K6 b - -,h4h3
r3r1k1/pp1bppbp/2np1np1/q7/2P1P3/2N1BN1P/PP1QBPP1/2R2RK1 b - -,a8c8
8/6k1/R4n2/3n1Bp1/3K4/8/5P2/8 b - -,d5e7
r3k2r/ppp1qp2/7p/2bnP1p1/3p2b1/P2Q2B1/1PP1N1PP/R3KB1R w KQkq -,e2d4
3qkb1r/pQ1b2pp/4pp2/3pB3/3P4/r3P3/P4PPP/RB3RK1 w k -,e5f4
4rrk1/4q1pp/1nb5/p1ppP3/P1p2NQ1/2P3B1/1P3PPP/R3R1K1 b - -,e7f7
8/R4pk1/4prp1/4N1p1/8/2r5/6K1/1B6 b - -,c3b3:c3e3
6k1/6p1/8/pp1p1R2/2pP4/2P1Pp1r/PP3P2/1K6 w - -,b1c2
r4rk1/5ppp/1pn1p3/p1q5/2P5/PP2QN2/5PPP/R4RK1 w - -,f1d1
2kr3r/1ppq1ppp/p1n1pb2/3n4/3P4/1Q6/PPP1NPPP/1KBR1B1R b - -,d7e7
r2r2k1/pR4b1/8/3PpPp1/3n2B1/6B1/P4PP1/5RK1 b - -,d8d5
8/3r2kp/pr6/3n3p/4N3/3P1R2/5PP1/2R3K1 w - -,c1c5
6k1/2pq1pp1/p1n1rb1p/1p1r4/3pR3/2P1BN1P/PP3PP1/R3Q1K1 w - -,e3d4
3rr1k1/pbp2pp1/1p1p2q1/2n2NPp/2P1PP1P/1P3B2/P2Q4/3RR1K1 w - -,f5g3
