8/6p1/4pk2/7P/1K3P2/2R3P1/8/6r1 b - -,f6f5
2rqrbk1/1b1n1ppp/pp1p1n2/3NpP2/2P1P1P1/3BB2Q/PP1N3P/4RR1K b - g3,f6d5
4r1k1/1p1q4/3p2pb/2pPp3/p3Ppp1/P2P2P1/1P1Q1PKP/1R6 w - -,d2a5
r1r3k1/pp2ppbp/2qp2p1/3Q4/N3PP2/3B3P/PPPB1nP1/2KR3R w - -,d5c6
6Q1/pp2k2p/7q/2p2p2/2P1b3/P3P2P/1B4R1/4K3 b - -,e4g2
r1qbr1k1/pb3np1/1p1p1p1p/3N1P1Q/2p3PP/6B1/PP1RP1B1/5RK1 b - -,c8d7
r2qkb1r/1p1b1ppp/p2ppn2/n7/3NP3/1BN1BP2/PPP3PP/R2QK2R w KQkq -,d1d2
6k1/1p1q1pp1/p1n4p/6b1/4Q3/1P1NBP2/P4KPP/8 b - -,g5e3
5rk1/5pp1/1q1p3p/p1RP1R2/1p2P3/1P4QP/P5PK/8 b - -,b6c5
2R4R/r5k1/1p2p1p1/1P1n1pP1/8/8/5P2/6K1 w - -,c8g8
1kn5/pp4pp/2pp4/P3r3/R3P3/1PqPN2P/2P2QP1/6K1 w - -,e3d1
r1r5/6pp/1n2kp2/p3p3/1p3P2/3NK1P1/P2PP2P/2R2R2 w - -,f4e5
rn1r2k1/p1q2pp1/2p1bn1p/1p2p3/1b2P1P1/1P3N1P/P1PBQPB1/R3RNK1 b - -,b4d2
1r4k1/5p1p/r3p1p1/2p5/p1Pn1P1q/P1NR1P2/1P4RP/3Q2K1 b - -,h4f4
r4rk1/p4pbp/2p3p1/2q1P3/Pp5Q/3B1N2/b1P3KP/4RR2 w - -,f3g5
8/4n3/1ppr1kp1/p5R1/P2PB2P/1P1K4/8/8 w - -,d3e3
r3r1k1/pq5p/1p1pn3/4b1p1/1PP1ppB1/4P2P/P1Q2PPB/3R1RK1 b - -,e6g7
4r3/1Rnk2P1/3p4/pp1P1p1p/8/4NK2/8/8 w - -,e3f5
r2q1rk1/pB2p1bp/2p1bpp1/3p4/n2P1BP1/2P5/PP3P1P/R2Q1RK1 w - -,d1a4
8/5p1p/6pk/3Q1r2/q7/7P/6P1/3R3K w - -,d5d2
1rbq2k1/pp2p3/2p4p/6p1/2PNP3/4p3/PP2B1PP/R4QK1 b - -,d8d4
1q6/6pk/1K3p1p/3Q3P/2P5/8/P5P1/8 w - -,b6a5
8/5k2/3R1pp1/1r1p4/3P1KPP/4P3/8/8 w - -,g4g5
r1bq1rk1/1pp1b1pp/3ppn2/p4p2/1nPPP3/2N2NP1/PP2QPBP/R1B2RK1 b - -,f5e4
8/p1r1kpp1/4p3/2b5/p5P1/2PN1P2/PP2K3/2R5 b - -,f7f6
3b1rk1/1p3ppp/p2N1q2/1b2p3/1P2P2P/P5P1/3R1PB1/2Q3K1 w - -,d6b7
r1b2rk1/ppB1ppbp/B5p1/8/3P4/4P3/PP3PqP/R2QK1NR w KQ -,d1f3
r1bqk2r/pppnnpbp/3pp1p1/8/2B1PP2/2N2N2/PPPP2PP/R1BQ1RK1 w kq -,f3g5
rnbr2k1/pp2bppp/4p3/2Pn4/8/2P2N2/PP2BPPP/RNBR2K1 b - -,b8d7
3r3k/4p1br/1q6/8/3PQ1RP/2P2R2/5PP1/6K1 b - -,g7f6
r2qrbk1/1p1b1ppp/2pp4/8/1P1N1N2/2n1PPP1/6BP/1RBQK2R w K -,d1b3
4r3/6Pb/8/6K1/8/5p2/5k2/2R5 w - -,g5h6
8/2k4p/3R4/3K1p2/3P3p/4rP2/P7/8 b - -,e3f3
r1bq1rk1/1p2bppp/p1n1pn2/2p5/P1BP4/4PN2/1P2NPPP/R1BQ1RK1 w - -,c1d2
6k1/2r1rp2/5p2/1pR4p/p6P/P5P1/1P2p1P1/4R1K1 w - -,c5b5
2rqr1k1/pp3ppp/2p5/4P2Q/1b2NB2/1P2R1Pb/P4P1P/R5K1 b - -,d8d4
2krq2r/1b3p1p/p5p1/P1ppP2P/1p3P2/2nQN2N/1KP3P1/2R4R b - -,c5c4
3r3r/1k1p4/p1qPp2p/1p1n1p2/2p3pP/2P3B1/PPP1QPP1/2KRR3 w - -,g3e5
2k1rbnr/2pb1p1p/ppp3p1/8/4P3/2N1BP2/PPP1NKPP/R6R b - -,c6c5
2r2rk1/5pp1/QP2p1qp/2PbP3/8/P5P1/5PP1/3RR1K1 b - -,c8c5
8/p5pp/1p6/3k4/1P1p1PP1/P2Kp3/8/2B5 w - -,c1b2
2rqr3/6bk/1pn2npp/p1p1pb2/P1Pp1P2/1P1P2P1/3B1NNP/R1Q1RBK1 w - -,g2h4
8/4kp2/p5pp/1r6/5PP1/1P1RPK1P/1b1N4/8 b - -,b2g7
4k3/1p2P2R/p1p5/3rr3/1P4K1/4R3/8/8 w - -,h7h8
2k5/ppb3p1/r5N1/4Nn2/2PP2RP/3K4/P7/8 w - -,g4g2
3b2k1/2r2p2/7p/p1p1P1p1/P1R2p2/8/1P1N1PPP/5K2 b - -,c7d7
3r3k/7p/1p1p4/pP2p3/P1qn2rP/3R4/3R1PBQ/7K b - -,d8g8
r2qrbk1/1bp2ppp/p1np1n2/1p2p3/3PP3/2P2N2/PPBN1PPP/R1BQR1K1 w - -,a2a3
6k1/pp3pp1/2p5/7p/2P1P1n1/1P2P3/P3R1PP/3rN2K w - -,h1g1
r1b2rk1/4qp2/3p2p1/p1pPb3/1pP1PP2/3BQ2P/P1N3P1/1R3RK1 b - f3,e5g7
8/1rp4p/2R5/p3k3/P7/7P/6K1/8 w - -,g2f3
4r3/p1r2p2/3R4/3R1pkp/2P1p3/1P5P/P3KPP1/8 w - -,g2g3
3r2k1/pp3ppp/3rbn2/2b4q/3NP3/P2Q1PP1/4NKBP/2RR4 w - -,d3c3
2r5/7p/3b1pp1/1p1k4/p2P4/3RP1P1/1P2K2P/2B5 w - -,e2d1
2rqk2r/1p3pp1/p1npbb1p/4p3/1n2P2P/1NN2Q2/PPPBBPP1/1K1R3R w k -,d2e3
2r1rbk1/pbqn1pp1/1p1p1n1p/3Pp3/2p1P3/2P2NN1/PPBBQPPP/R3R1K1 b - -,g7g6
2r1nB2/4R1pp/1p3pk1/4p3/P3PP2/6K1/6PP/8 b - -,e5f4
6r1/3p1k2/1p2p3/1P1q4/1Q6/5P2/6P1/2R3K1 w - -,c1c4
r2r1k2/2p2p2/p1n1bnpp/1p2p3/4P3/1PP1PN1P/P1B1K1P1/R2R1N2 b - -,f6d7
r1bq1rk1/1p1nbppp/p2p2n1/2pP4/P3P3/2N1BN2/1P2BPPP/R2QK2R w KQ -,e1g1
