8/2p5/p1pk3R/r3p3/2K1P3/5P1P/5P2/8 b - -,d6d7
1k1r3b/1p2pp2/pBnpb3/P5p1/2N1Pn2/2P2P2/1P1N2P1/R3KB2 b Q -,d8c8
r1bq1rk1/1p2bppp/p3pn2/6B1/8/3B1N2/PPP1QPPP/3R1RK1 b - -,d8c7
r7/1p3p2/1kb2p1p/1pRppB2/3P3P/1K2P1P1/1P3P2/8 b - -,a8a4
r4rk1/p2pppbp/1pq2np1/2p5/5P2/1P1PP3/PBP3PP/RN1Q1RK1 b - -,f6d5
5rk1/1p3p1p/p5p1/3pPBQb/1q1P3P/8/6P1/5RK1 w - -,f1f4
r3k1nr/pppq1pp1/1bnp3p/4P3/1PBP2b1/1Q3N2/P4PPP/RNB2RK1 b kq -,c6d4
2rq3k/7p/p1Q3p1/5b2/3rN3/8/PPP2PPP/4RBK1 w - -,c6f6
2b1k2r/3ppn1p/1p6/1B2n1p1/3NP3/r1P3B1/P1PK2PP/R6R b k -,c8b7
r3kb1r/pp3ppp/4B3/4N3/2p5/6P1/PP2nP1P/R1B2R1K b kq -,f7e6
8/8/Q4bk1/P1Bp3p/3P3P/8/3q1K2/8 w - -,a6e2
r7/2R5/5npk/2P1N2p/p7/5P2/R4K1P/1r6 w - -,c5c6
r5k1/p1pb4/3np2p/2B2qp1/1Q2p3/8/PPP1B1PP/3R3K b - -,a8f8
8/4k1pp/pq2bp2/1pN1p3/1P2PP2/P3Q2P/6PK/8 b - -,e5f4
r2qnrk1/5pBp/p1ppb1p1/1p6/2P1P3/1BNQ3P/PP3PP1/R4RK1 b - -,g8g7
2r1r1k1/1p1bppbp/p2p1np1/q5B1/4P3/1NPB4/PP1Q1PPP/R3R1K1 b - -,a5c7
8/4kp2/p1rp2b1/1p5p/1P1R4/P1P3P1/1K2B2P/8 b - -,c6c8
2k3r1/p2qnQ2/1p6/2p2P2/4BBn1/2P3P1/P5K1/7R b - -,d7b5
r5k1/pb1q2p1/1P2p2p/7Q/PnP1p3/4P3/1P4PP/R4RK1 b - -,a7b6
6k1/1p3N1R/1P3pp1/p1n1p3/5nPb/2P4P/PK6/7R w - -,h7h4
8/4kp1p/6b1/2P3p1/5r2/1R1P2KP/4B1P1/8 w - -,b3b7
1rr5/pp1knpp1/3ppn1p/8/2PP4/P4N1P/1P3PP1/R3RBK1 w - -,a1c1
5rk1/1b2ppb1/p2q2pp/1p1nN3/3PB3/7P/PP1BQPP1/2rR2K1 w - -,d1c1
4qbk1/8/3p2p1/3P1p2/p1P3Pp/Q4P1P/3N4/3K4 w - f6,a3d3
6k1/5p2/2R3p1/4p3/4P3/1K4P1/5P2/4b3 w - -,c6c2
1k1r3r/pp1b1ppp/1q2p3/4P3/Pb1p4/3QB3/1P2NPPP/2R2RK1 w - -,e3g5
r1bq1rk1/pp2ppbp/3p1np1/8/3NP3/1PN1BP2/PP1Q2PP/R3K2R b KQ -,c8d7
3r4/6k1/1bn3p1/pp1qPr1p/3pR3/PN1Q1N2/1P4PP/4R2K w - a6,e5e6
r1b1k2r/pp2qp1p/2p2np1/3pN2n/3P4/2N1P3/PPQ1BPPP/R4RK1 b kq -,h5g7
5rk1/1pq2p1p/p3rBp1/2b1P3/P2p4/3BnRQ1/1PP3PP/R6K w - -,g3h4
r4rk1/ppp3pp/5pq1/3R1n2/3P4/2P5/PPQN1PPP/R5K1 b - -,f5d6
1rb2rk1/1q2bppp/3p1n2/pNp5/4P3/P2QBN1P/1PP2PP1/2KR3R w - -,c2c4
8/3k4/7R/4K3/5N2/8/1r6/8 b - -,b2b1
r4rk1/ppqnbppp/2p1p3/4P3/2BP4/5Q1P/P1P2PP1/1RB2RK1 w - -,f3e4
