4R3/7p/3b4/4Bp2/2k2Pn1/4r3/3K4/8 b - -,d6e5
8/1p2r3/2p5/2P3kp/Pp1R2p1/6P1/5K2/8 b - -,g5f5
1rb1k2r/1q2ppbp/p1np2p1/1pnN2P1/3NPP2/4B3/PPPQ3P/1K1R1B1R w k -,f1g2
r3qrk1/1R1n2p1/3p4/3P1pP1/5Pn1/4B1p1/6B1/2RQ2K1 w - -,e3d4
r1bq1rk1/1p1n1p1n/p2p1bp1/3Pp3/PP2P2p/2NBBP2/4N1PP/R2Q1RK1 b - b3,f6g5
1r4k1/3b1pp1/p2r3p/2pPR3/2P3P1/5p1P/PPB2P2/1R4K1 b - -,g7g6
r1bqk2r/1p3pp1/2p1n3/p2pb2p/3P3P/P2BP3/1PQ1NPP1/R3K2R w KQkq -,d4e5
rnbqkbnr/pp2pp1p/6p1/2pp4/4P3/3P1NP1/PPP2P1P/RNBQKB1R b KQkq -,d5e4
6k1/1b3p2/p2Rrn1p/1p4p1/nB6/P4PN1/1P5P/1B4K1 w - -,g3f5
8/8/4p3/2KbPp2/1R5k/7P/P7/8 b - -,h4h3
3r1k2/1n1n3r/pq1p1p1p/1ppP1Np1/4P1Q1/1P4RP/PB3PP1/1R4K1 w - -,g4h5
r2q1rk1/p2nbppp/2npp3/1pp5/4P3/2PP1N2/PP3PPP/R1BQRNK1 w - -,f1g3
3r2k1/1p1rbp2/1q4p1/2ppP2p/p4P1P/1NP3PK/PP1R1Q2/3R4 w - -,b3c1
6k1/3n1pp1/1p2p3/p2pP1Q1/P2P4/1P4P1/3B1PK1/1q6 b - -,b1e4
R5k1/8/7K/pr6/5n1P/8/7P/8 b - -,g8f7
3r4/pr2n1k1/3pPp1b/p4Pp1/2P5/1PN5/1B4R1/3R2K1 w - -,c3e4
r7/4R2p/p4pp1/1pN1n3/4P1kP/6P1/PP3K2/8 w - -,e7h7
8/8/p2bk1p1/1p3p2/7p/2PN1P1P/PP2K3/8 b - -,e6d5
r1b2rk1/p1qnbppp/1pn1p3/2ppP3/8/3P1NP1/PPP1QPBP/R1B1RNK1 b - -,e7d8:c8a6
1r1q1rk1/1p2ppbp/p2p1np1/n1pP4/Q1P2Bb1/2N2NP1/PP2PPBP/2R2RK1 w - c6,d5c6
3r1b2/5p2/2r1p1kp/p1p1PpP1/Np3P1P/1PpP2K1/P1P1RR2/8 w - -,f2g2
1k1rq3/pppB2b1/3p4/3Pp3/2P3pr/6R1/PPQN1PP1/1K2R3 b - -,e8d7
3Q4/p4pk1/6p1/4p3/8/2P3P1/3PPP2/q1r2RK1 w - -,f1c1
2r3k1/1b1nqp1p/r5p1/4p3/2p1P3/P1R2N2/5PPP/1B1Q1RK1 b - -,d7b6
2rr2k1/2q1bppp/1p3n2/3p4/1P1B4/5NP1/1Q2PP1P/R2R2K1 b - -,c7d6
r1b2rk1/2qn1ppP/4p3/2bpP2P/1p1B1P2/p7/PPPQN3/2KR1B1R b - -,g8h8
r1bq2k1/pp3pbp/3p2p1/2p5/P3Nn2/7P/1P2BPP1/R2Q1RK1 w - -,e2f3
r2q1rk1/p3bpp1/3p4/2nPpbNQ/1p6/2N1B2P/PPP2P2/R3K1R1 w Q -,c3e4
r2qbrk1/pp4p1/2p1pn2/2PpNp1p/3PnP2/2P1P2R/PBQ1B1PP/R5K1 w - h6,e5f3
rnq1kb1r/ppp2ppp/4pn2/8/2PP2b1/1QN2N2/PP2BPPP/R1B1K2R b KQkq -,f8e7
1rbq1rk1/5ppp/2np1b2/p2Np3/1pP1P2P/1P6/P1N2PP1/R2QKB1R b KQ -,f6e7
3r2k1/pp2ppb1/1n4pp/2q5/4P2P/PQ3N2/1P2NPP1/R5K1 w - -,a1c1
4r1kr/p4qpp/4p3/3nB3/4QP2/5R2/6PP/2R3K1 b - -,h7h5
r4rk1/pp3ppp/2p1b3/2Q5/P3PR2/2N1B1q1/1PP3P1/7K w - -,c3e2
r2q1rk1/pbpp2pp/1pn1p3/8/2PPp3/2PB1N2/P4PPP/R2QR1K1 w - -,d3e4
r4rk1/pp1nbppp/2p1pn2/2Pp4/3P2b1/1qN2NP1/PP2PPBP/R1B1R1K1 w - -,a2b3
8/8/8/1P3kR1/3b3P/6P1/6Br/5K2 b - -,f5f6
1r3r1k/1pq3bp/p2p1Bp1/3Qp3/P1PpBPP1/1P6/4P2P/3R1RK1 b - -,g7f6
br6/b4k2/p2p2p1/P2Pp3/2P3p1/1r2BP2/7P/1R2R2K w - -,b1b3
8/5k1p/1p6/4bPP1/P1K5/4B3/2p5/8 w - -,c4d3
2k2r2/1pp4p/4bb2/2P5/8/8/P4PPP/4R1K1 w - -,e1e6
r2r2k1/p3pp1p/1pp3p1/2nnPq2/P6P/1P1Q2P1/1B2PPB1/R4RK1 w - -,d3c4
2r2bk1/6pq/2r1p3/3pp3/3P4/2N4P/1Q3P1K/4R1R1 b - -,c6c3
4N3/1b3r1k/pn1B2pp/1p1p1p1n/3P3P/3BPP2/PPR2KP1/8 w - -,c2c7
r1b2rk1/pp2bppp/2n2n2/2Q1p1B1/8/2N2NP1/PP2PPBP/R4RK1 b - -,e7c5
8/8/2Bkbp2/BP1np1p1/4K1P1/5P2/8/8 w - -,a5d8
3rk2r/3nbp1p/p2p1Pp1/3P4/4P3/2q1B2P/1PP1BP2/1K1RR3 w k -,b2c3
r5k1/pb3ppn/1Pp1p2p/4N3/3r4/8/PP2QPPP/2R3K1 b - -,a7b6
5r2/1p4k1/1p1r1pnp/1Bnpp3/8/2P2NPP/PP3P2/3RR1K1 w - -,g1g2
8/1r2ppbk/2p3p1/2B1P3/r4PpP/8/PP3P2/1KRR4 w - -,c5d4
r2qkb1r/1p3ppb/1np1pn1p/p3N3/P2PP3/2N2P2/1P4PP/R1BQKB1R w KQkq -,c1e3
6k1/pp3pp1/2prp3/4N2p/1P6/2P3P1/q4P1P/4QBK1 b - -,a2c2
rnb2rk1/ppp2ppp/5n2/3p1q2/5B2/2PN4/PPP1BPPP/R2QR1K1 b - -,c7c6
3r2k1/1pp2p1p/p1q1n1p1/2p1P1B1/2P1R2P/P2r2P1/1P2QPK1/4R3 b - -,e6g5
2R5/8/4Bp2/1k2b1p1/1n6/4P2P/2b2P2/6K1 b - -,c2d3
8/p6p/8/1Pbp4/3N1p1P/3P4/P2PK1k1/8 w - -,d4f3
1r4rk/3P1p1p/1p2p2q/1P2PN1n/3Q1P2/5BP1/5K1P/3R4 b - -,e6f5
r1b2rk1/pp2bppp/2p2n2/q7/2PP4/4N3/PB1N1PPP/R2Q1RK1 b - -,c8e6
8/4kp1p/1pB1p1p1/1P6/8/2n2P1P/4K1P1/8 w - -,e2d3
4r1k1/4q1p1/pb1pp1Q1/1p4p1/1P2P3/2P3PB/P5K1/5R2 b - -,e7d7
r3k2r/p2q1pp1/n3pnp1/BN6/1Q1P4/4PP2/PP4PP/2R1K2R b Kkq -,a6b4
r1bqk2r/pp2bppp/n3pn2/2Pp4/2P2B2/2N1PN2/PP3PPP/R2QKB1R b KQkq -,a6c5
r3qr1k/pb4bp/3p1n2/1Pp2pp1/R1PPp3/2N1PnP1/1B3PBP/3Q1RNK b - -,e8h5
8/8/p3p3/4Ppkp/PP2Kp2/7P/6P1/8 w - f6,e5f6
rr4k1/1q2nppp/3p1b2/pppPp3/8/PBPP3P/1P1N1PP1/R2QR1K1 b - -,e7d5
8/1pr2pkp/3p2p1/r7/1R6/1B3P1P/P1P3P1/7K b - -,a5e5
8/8/2P2p2/1k3P2/3P4/2P1KBr1/8/8 b - -,g3g7
br1r2k1/5pp1/ppnppqn1/8/1PP1P3/P3QPPp/1N1RB2P/1NR4K b - -,d6d5
r7/4k3/8/PK6/8/R7/8/8 w - -,a5a6
3rqbk1/pp6/2p2p2/4pNp1/1Pb1P1P1/P3BP2/1QP2K2/R7 w - -,b2c3
r5k1/1p1nq1pp/2p2r2/p2p4/N2Pp3/4P3/PP2QPPP/1RR3K1 b - -,a8f8
1R1bk3/p4p2/r5p1/2B4p/8/P4K2/5PPP/8 b - -,a6a5
r1r5/1p1k2p1/1pnnpp2/3p2p1/P2P4/1P2PN2/2RB1PPP/2R2K2 w - -,h2h3
6R1/p3k2r/1p5p/1Pp4P/P3KP2/2P5/8/8 b - -,e7f7
4r1k1/2b1rppp/5nb1/p1p1p3/P1B2PPN/1PBPR1P1/8/4R1K1 w - -,f4f5
r4r1k/pb1n2pp/1p1p4/2pPqBN1/4n3/2P2Q2/P4PPP/R1B2RK1 w - -,g2g4
r3rbk1/2p2pp1/p1n4p/1p3q2/3P4/4BN1P/PP3PP1/2RQR1K1 b - -,c6b4
4r1k1/pp1Q1ppp/8/3p4/4q3/5NP1/5P1P/5BK1 w - -,f3g5
8/5k2/3bp3/1pNp1pPK/1P1Pn3/2P5/8/1N6 w - -,g5g6
8/p2R2pk/4pp1p/7r/4Pn2/PrB5/1PR2K1P/8 w - -,c3f6
r4rk1/1q1nbppp/p3p3/1pPn4/8/3BPNB1/PP3PPP/2RQ1RK1 b - -,d7c5
1R6/R7/5n1k/3p4/4qP2/8/5PK1/8 w - -,g2g1
2r3kb/1q1b1p1p/3p1npP/1p1Pp3/pN2P3/Pn1BBPP1/1P2NQK1/5R2 b - -,d7e8
2b1r1k1/p1qn1pbp/1r4p1/1p6/2pPN3/B3P1P1/P1Q2PBP/1R1R2K1 w - -,a3b4
3q4/1p1r2k1/p4np1/P2Pp2p/1P1n3P/3B2P1/6Q1/2N2RK1 w - -,d3b1
3rb1k1/5pbp/1qB3p1/pP6/Pr1p4/1N1Q2PP/R4P2/2R3K1 b - -,h7h5
6r1/1p2kp2/p1pR2p1/P1P1P2p/1P2PP1P/5K2/8/8 w - -,f3e3
6k1/5r1p/p2p1p2/P1pPpPPK/1pP1P2P/1P4R1/8/8 b - -,g8g7
5k2/R4p2/6p1/6Np/6nP/5KP1/8/3r4 b - -,d1f1
6k1/1p6/P5p1/5p2/2P1r3/4p1P1/1P2R2P/6K1 b - -,b7a6
2r5/8/p3R3/6P1/3p2Kp/1P2k2P/P1P5/8 b - -,e3d2
1rbq1rk1/7p/p2p2p1/n1pP1p1n/2P1pP2/2Q3P1/P2NPNBP/4RRK1 b - -,f8f7
rn2k2r/1pqbbpp1/p3pn1p/4p3/P2N1PP1/2NB4/1PP1Q2P/R1B1K2R w KQkq -,f4e5
2brr3/2q2pbk/1pp3np/p1p3p1/2P1PP2/1PN1Q1PP/P4BB1/3RR1K1 w - -,e4e5
8/5p1p/B2kb1p1/P3p1P1/3b4/3R4/5P1P/6K1 w - -,a6b7
r4rk1/pbpn1ppp/1p1q1n2/3p4/3P4/1Q2PN2/PP1NBPPP/R4RK1 b - -,c7c5
r3r1k1/ppbq1pp1/2p4p/2Pp1n2/3P1N1P/1P1NPQP1/PB1n2R1/5RK1 w - -,g2d2
r2q1rk1/pp1nbpp1/2p1pn1p/5b2/2PPN3/2N3P1/PP3PBP/R1BQR1K1 b - -,f6e4
8/6k1/p6b/4N2R/Pr5P/8/8/6K1 w - -,e5d7
1nkr1b1r/pb3p2/4pP2/1qpP2B1/NPp5/6P1/1P3PBP/R2Q1RK1 b - -,c5b4
4r1k1/3R1pp1/1p2r3/7p/8/P1B2B2/4P3/4K3 b - -,e6e3
