4R3/8/8/6p1/6kp/5b2/8/2r1BK2 b - -,h4h3
r1b1k2r/1pq2ppp/p1p5/2b1p3/2P1PPn1/2NB4/PP4PP/R1BQ1R1K w kq -,d1f3
8/1R5p/1n5k/2b1N1p1/1p4P1/3K4/7P/8 w - -,h2h3
3n1b1r/pp3kpp/5p2/2n5/2P3B1/2B3N1/P4PPP/4R1K1 b - -,g7g6
r4k2/p2r1ppp/2pp4/8/4R3/2P2P2/PP3P1P/2KR4 w - -,c1c2
8/p7/1prpk2p/3R4/P3Pp2/2P2K2/6PP/8 w - -,f3f4
r2r2k1/p6p/bpP3p1/4qp2/3N4/PQ2PKP1/5P2/2RR4 b - -,e5d5
4r3/p2R4/8/P5P1/8/3pk3/8/5K2 b - -,d3d2
2r2rk1/1q2ppbp/p2pbnp1/1p1P4/4P3/3BB2P/PP1NQPP1/2R1R1K1 b - -,e6d7
8/8/6p1/6Pp/2PN2bP/p1K3k1/P1R5/1r6 b - -,g3h4
r2qr1k1/1pn2p1p/2p2bp1/p2Pp1BP/Pnp1P2R/2N3P1/1P1Q1PK1/3RN3 w - -,e1f3
4nrk1/pp4b1/3p4/3PpbPQ/8/2r1BN2/Pq2BP1R/3R1K2 b - -,c3e3
r1b2rk1/1p1p3p/p1n1pqp1/3n4/3NQ3/2PB2P1/P1PB1P1P/R4RK1 b - -,d5e7
1rq1k2r/p3ppb1/4bnp1/1ppp2B1/4P3/2PP1BP1/PP2QN1P/R2R2K1 b k -,d5e4
r1bqk2r/p2p1pbp/2n3p1/2pBp3/Pp2P3/1P4N1/2PP1PPP/R1BQK2R w KQkq -,c1b2
r1bq1rk1/2b2ppp/p1pP4/3p4/1P3P2/P3B3/2P1B1PP/R2Q1RK1 b - -,c7d6
8/pp1r1Rpp/2pkN3/5B2/6P1/1P2nn2/P6P/2K5 w - -,f7d7
r3k2r/1p2ppbp/1n1pbnp1/p1q5/2P1P3/N6P/PP1NBPP1/1RBQ1RK1 w kq a6,b2b3
r1bqkbnr/pp3ppp/2n1p3/3pP3/2PN4/2N5/PP3PPP/R1BQKB1R b KQkq -,d5c4:f8b4:a7a6:f8c5
2r3k1/1q2ppbp/r2p2p1/1N1P4/P1n1P3/1Q6/R4PPP/2B2RK1 b - -,c4a5
r7/2n1kppp/4p3/1P6/1RP5/8/5PPP/5K2 w - -,b5b6
5rk1/p5p1/2p4p/3b4/2p1p3/2P1NP2/Pr4PP/R2R2K1 w - -,f3e4
6k1/p4pp1/P2n4/3P2p1/r1p3P1/7P/2R1BPK1/8 w - -,e2f1
r1q1r1k1/1p2ppb1/2p3pp/p1Nn4/Q2n4/5PP1/PP1B1PBP/R1R3K1 w - -,a4d1
8/R7/6k1/p3r1p1/2Bn4/7K/P4P2/8 b - -,g6f5
8/2k2ppp/p7/3r4/1B3PP1/P1b5/2b2K1P/2R5 b - -,c3b4
8/1p3k2/p1pqr1p1/P2p4/1P1P1P1Q/4P3/8/5KR1 b - -,e6e3
6k1/1p1rnbbp/r2p2p1/3Ppp2/1B6/2NP2P1/4PPBP/1RR3K1 w - -,b1a1
2r3k1/3p2pp/p3p2r/np2Pp2/2bN4/2PB4/PP3RPP/4R1K1 w - -,d3c2
r5k1/2R2n1p/6p1/8/5PP1/6K1/p7/B7 w - -,f4f5
r5r1/pb1pBk1p/1p1P4/2p2Q2/2P2P2/PqN4P/1P2NK2/8 b - -,f7e8
8/8/1bk5/1R2P3/Pp6/2P5/K7/4r3 w - -,c3b4
8/3nb1p1/R3kp2/3p2p1/Np1P4/6P1/1P1BKP1r/8 b - -,e6f7
4rr1k/1pp4p/p2nR1p1/3P1p2/7q/PBN2QnP/1PP3P1/3R2K1 b - -,g3h5
