8/8/3R4/4nk2/3K4/5P2/6r1/8 w - -,f3f4
r4rk1/p3npbp/b1n1p1p1/7P/Np2P3/4BN2/BPP2PP1/R1K4R b - -,f8d8
rn1q1rk1/1bp1bppp/p3p3/1p6/3PN3/3BnPN1/PPPQ2PP/R4RK1 w - -,d2e3
r7/5p1k/q6p/nQ1p1p2/8/P3PNP1/4KP2/1R6 w - -,b5a6
2q1n1k1/p2bbr1p/3pN1pB/2pP4/2P1N3/7P/P1Q3P1/1r2R1K1 w - -,c2b1
8/4kn2/pp3pp1/1N1P4/4P3/8/P2K2P1/8 w - -,b5c7
r2r2k1/1bb2p1p/p5p1/2BBnPP1/1P2P3/3R4/P6P/5RK1 w - -,d3d2
8/8/6K1/7n/7P/5p2/4kB2/8 w - -,f2b6
2rr2k1/ppqnbpp1/2p1p1p1/8/1P1P1P2/4P1P1/P2BQ1BP/R3R1K1 b - -,d7b6
5b2/1Rp2k1p/3q2p1/1p2pp2/NP2P3/2P1BP2/6PP/R5K1 b - -,b5a4
r1bq1rk1/pp2bppp/4p3/3p4/3Pn3/1BN2N1P/PP2QPP1/R1R3K1 b - -,f7f5
3r2k1/p6p/6r1/3pBp2/5P2/qR4PP/P1Q4K/8 b - -,a3a4
rq2r1k1/Bp1n1pbp/2p3p1/1N2pbN1/6n1/3P2P1/PP2PPBP/2RQ1RK1 b - -,a8a7
1r1b3k/2q2p2/4p1p1/p1p1Pn2/2PpQP2/1P3K2/PN1B3P/5R2 w - -,f3e2
3rr1k1/pp1q1pbn/2ppbnpp/4p3/P3P2P/2PPN1P1/1P2QPBN/R1B1R1K1 w - -,h2f3
r1bqkb1r/pp3ppp/2nppn2/8/3pP3/2P1BP2/PP1N2PP/R2QKBNR w KQkq -,c3d4
br1r2k1/4npbp/3ppnp1/pq6/N3P3/PP3PP1/1BN1Q1BP/2RR2K1 w - -,e2b5
2k4r/pp2p1bp/4p1p1/2Pr4/4p3/2P4P/PP2KPP1/R1B4R b - -,d5c5
r2r1nk1/p1q2pp1/2p1bn1p/1p2p3/4P1P1/1P2QN1P/P1P2PB1/3RRNK1 w - -,f1g3
R2r2k1/4qpp1/2p5/1p2p3/4P1b1/1P2Q1P1/2P1N2P/5RK1 b - -,d8a8
r3r1k1/1bq3bp/p2npnp1/2ppNp2/N1P2P1Q/1P2P3/P1B3PP/B2R1RK1 b - -,f6e4
3r3Q/p2k1r2/8/3q4/1P1P4/8/1PB2PP1/4R1K1 w - -,h8h3
5rk1/8/3p2B1/1p1P2P1/p7/PN2n2Q/2P3rK/8 w - -,h3g2
r4rk1/pb2bppp/1p1qp3/2p2P2/2PpP3/3P3B/PBP3PP/R2Q1RK1 b - -,a8e8
2r5/1R3pk1/2p1p1p1/1p2P3/1PnB4/4P2P/5PPK/8 w - -,b7a7
r4rk1/pp1q1pbp/2npbnp1/2p5/4PP2/2N1BN2/PPP1B1PP/R2Q1R1K b - -,b7b6
r1bqr1k1/pppn1pbp/3p1np1/8/3NPP2/2N3P1/PPP3BP/R1BQR1K1 b - -,c7c6
3r3k/p3r1pp/2p5/2Nq1p2/1P2P3/2QB1P2/P3KR2/8 w - -,e2d1
r2q1rk1/pb2ppbp/1pn2np1/3p4/2PP1B2/1PN2N1P/P3BPP1/R2Q1RK1 w - -,a1c1
4r3/3b1p2/6pk/3P4/3R4/7P/6BK/8 w - -,h3h4
1n4k1/1p5r/3p1n1b/3P1b1q/1P2pPp1/2N5/2B1Q1PB/1N3RK1 b - -,g4g3
4rqk1/p1p2p2/1p1p1p1p/5Q2/2PP1P2/2P3R1/P5PP/6K1 b - -,g8h8
2r3k1/3q1p1p/1p4p1/p2P4/1r6/3Q2P1/3R1P1P/R5K1 w - a6,d5d6
8/6R1/2p1k2p/1p2p3/5nP1/2P3NP/PP3P1K/1r6 w - -,g3h5
r1bq1rk1/pp2bppp/2np1B2/4p3/4P3/1NN5/PPP1BPPP/R2QK2R b KQ -,e7f6
2kr1b1r/ppp2ppp/2b1pnq1/8/3PNQ1P/5P2/PPP3P1/2KR1BNR w - -,f1d3
1R5R/3p4/2b3k1/p6p/6p1/5r2/7K/8 w - -,b8g8
2b3r1/2p2pk1/2Pp1n2/r2PpPq1/pp2P2p/5R1P/1P3NB1/R3Q1K1 w - -,g1h1
2rqr1k1/pp1b1ppp/4p3/n3b3/3P3P/B1PB4/P4PP1/1R1QR1K1 w - -,e1e5
1k6/2p5/1p6/p1b1B3/q7/8/4QPP1/5K2 b - -,c5d4
r4rk1/2q3p1/p1b1pp1p/2bpP2P/2n2BP1/2PB1N2/P3QP2/R4RK1 w - -,f4h2
r2qk2r/ppp1nppp/2nb4/3p4/3P2b1/2PB1N2/PP3PPP/RNBQR1K1 b kq -,d8d7
8/7p/1kp3p1/p7/2P1r2P/RP4K1/8/8 w - -,g3h3
8/6b1/3k2P1/1p2nK2/1P6/2P5/1P6/R7 w - -,a1a6
rnb1kb1r/p2pp2p/5p2/q1pP2p1/2p1n3/4P1B1/PP1N1PPP/R2QKBNR b KQkq -,h7h5
r2qk2r/pp1b1ppp/2nb1n2/1B1p4/Q2PpN2/2N1P3/PP3PPP/R1B2RK1 w kq -,a4d1
