1R6/5K2/4P3/2b2p2/b3kP2/8/4P3/8 b - -,a4d1
8/5k1p/2n5/p7/2pbKP2/8/3R3P/8 b - -,c4c3
rn1qk2r/pp2bppp/2p1pn2/3p4/2PP4/2NQPN2/PP3PPP/R1B2RK1 b kq -,b8d7
r2qk2r/pp2bpp1/2bp1n1p/4p3/4P3/2NQBN1P/PPP2PP1/R3K2R w KQkq -,e1c1
rn3rk1/pp3ppp/2p5/5b1q/3P4/3B1N2/PPQK1PPP/4R2R b - -,f5d3
rn1qkb1r/pbp2ppp/1p1p1n2/3Pp3/2P1P3/P1N2N2/1P3PPP/R1BQKB1R b KQkq e3,g7g6
2nr4/5k2/2bp4/2p2BPp/p1P5/P1P3K1/3R4/2B5 b - -,c8e7
3n1k2/1p2rpp1/7p/8/Pp1N4/1P2P1P1/7P/2R3K1 b - -,e7e3
6k1/4bpp1/2n1p2p/2B1P3/r1n4P/1N3NP1/5P2/1R4K1 b - -,e7c5
2r3k1/5ppp/p1nr1n2/3p4/1p2b3/1P2PB2/PB2NPPP/K2R3R w - -,d1c1
3R4/5p2/3P2pp/2k5/5P2/p3K1P1/8/r7 w - -,d6d7
4r1k1/5p1p/P4Pp1/3p4/7Q/3q4/6PP/4R2K b - -,e8e4
4qrk1/3R3p/b1n1P1p1/5P2/4P1P1/n1Q2NB1/1p5P/rN1K3R b - -,a1b1
r4rk1/p4ppp/8/1p6/2p2PB1/8/P4KPP/R4R2 w - b6,f1d1
3r1rk1/2q1bppp/4p3/p1p5/PpPPn3/1P2P1P1/1B4QP/3RR1K1 w - -,g2e4
1n1qk2r/2r1bppp/b2ppn2/PN6/4P3/4BB2/1PP2PPP/R2Q1RK1 w k -,b5c7
1r3rk1/2q1pp1p/bpnp2p1/p7/4nPB1/1NP1B3/P1P3PP/3RR1QK w - -,e3d2
8/1k3p1p/1p1b3P/p1pP1pP1/P1P1rP2/1P2BK2/8/5R2 w - -,f1e1
8/6n1/4k3/6Pp/5P2/2b1BK1P/8/1B6 b - -,g7f5
r2qk2r/pp1n1pp1/2p1pnp1/8/PbBPP1P1/2N2P2/1P5P/R1BQ1RK1 b kq -,d8b6:d8c7
1r6/5p1k/3N2pp/pBnP4/P3P3/2b2P1P/1p1p2P1/1R5K b - -,c5b3
r4rk1/1p1b1pbp/1q2pnpB/3p4/p2P4/P1PN1P2/BP1Q2PP/R3K2R w KQ -,h2h4
r1bq1rk1/1pp3bp/1n1p2p1/5p2/p1PP1P2/1P3NN1/1P1B2PP/R2Q1RK1 w - -,d2c3
r7/p1rk1ppp/B1pnpnb1/N3P3/3P4/4BPP1/7P/R1R3K1 b - -,d6f5
r1bqk2r/2pp1pp1/p1n2n1p/1pb1p3/4P3/1B1P1N2/PPP2PPP/RNBQ1RK1 w kq -,c2c3
rq1r2k1/1b1nbpp1/1p2pn1p/p2p4/1P1N4/P1PBP2P/1B1NQPP1/2RR2K1 b - -,d7e5
r2qr1k1/bpp2pp1/p2pbn1p/P4N2/3PPp2/2PB1N1P/1P3PP1/R2QR1K1 b - -,d6d5
r4rk1/pp2q1pp/2p1p3/2bpPp1b/2P5/1P2PPP1/PBQR2BP/4R1K1 b - -,f5f4
1rq2r2/2p2p1k/2Pp2pb/1P4n1/4p3/4P1P1/P3QPB1/B1R1R1K1 w - -,a2a4
r1bqk2r/ppp1b1pp/2N5/3n1p2/3Pp3/6P1/PP2PPBP/RNBQ1RK1 b kq -,b7c6
rn2k2r/pq1pppbp/1p3np1/8/2PN4/1PN3P1/P3PP1P/R1BQ1RK1 b kq -,e8g8
6k1/1p1n1pp1/p2np2p/3p4/N2P4/P2NP2P/1P3PP1/6K1 b - -,g8f8
4Q3/5pk1/5q2/7p/P5n1/3P4/8/3K4 w - -,e8b5
r1bq1rk1/ppp1bpp1/2n1pn1p/3p4/2PP3B/2NBPN2/PP3PPP/R2QK2R b KQ -,d5c4:a7a6
2k1r1nr/2pb4/1p6/2pR3p/3bPN1B/pP3P2/P2N2P1/3R2K1 w - -,g1f1
6k1/1bp2pb1/1p4p1/pN5p/q4P2/2PQP2P/1P4PB/6K1 b - -,a4a1
r4rk1/1pqn1pbp/p1npp1p1/8/2P1P3/1PN5/P1NBQPPP/2R2RK1 b - -,f8c8
8/2k5/2pr2p1/5pKp/7P/2R5/6P1/8 w - -,c3c1
r4r1k/1bNnb2p/p2pn1p1/1p3pP1/5P2/PN1BR3/1PPB3P/R5K1 b - -,e6c7
r3r2k/p2n2p1/5p2/2B1p2p/bP2P3/1N5P/P4PP1/2RR2K1 w - h6,d1d6
r2r2k1/ppp2ppp/4bn2/4q3/2Q5/P1N3P1/1P2PPBP/R4RK1 w - -,c4b5
8/pp3p2/3bp1k1/2p5/P1B1PP1p/2P1K2P/1P6/8 w - -,e4e5
r2qrnk1/1p2bppp/2p2n2/3p1QB1/p2P4/P1N1P3/1P1N1PPP/R3R1K1 w - -,a1d1
r5k1/pp2qrpp/2bQB3/4B3/5P2/PP5P/6PK/R7 b - -,a8e8
r3k2r/1bq1bp1p/p1p1p1pB/3pP3/1P6/2N4Q/P1P2PPP/R3R1K1 b kq b3,e8c8
8/3q1pk1/3Q2p1/3pP2p/1P5P/5P2/5PK1/8 b - -,d7b7
