8/P7/8/6p1/3kbbBp/7P/4K3/8 w - -,g4f3
rn1qkn2/pb2Bp2/1pp1p1p1/3pP2r/3P2Qp/2NB1N2/PPP2PPP/R3K2R b KQq -,d8e7
r1q1nrk1/1p2bppp/pBb1p3/Q3p3/P4P2/2N5/1PP1B1PP/R4R1K w - -,f4e5
r2q1rk1/4npbp/p1npb1p1/1pp5/4PB2/2PP2P1/PP1Q2BP/R2N1RNK w - -,g1f3
r1br2k1/pp3pbp/2p1pnp1/7q/2P5/1PN1P1P1/PBQ2PBP/R4RK1 w - -,a1d1
4kb1r/1p1nppp1/p1rpb3/3N2Bp/4P2P/5P2/PPPR2P1/1K3B1R w k -,d5f4
rnb1r1k1/ppp2pbp/5np1/4p1B1/2P1P3/2N2N2/PP2BPPP/R3K2R w KQ -,g5f6:e1g1:a1d1:e1c1:c3d5
8/1k6/p3p1p1/4B3/Pb1PKPP1/8/8/8 b - -,b7c6
r3kb1r/pp1n1ppp/1qp2n2/3p4/6b1/5NP1/PPQPPPBP/RNB2RK1 w kq -,b1c3
1k2r3/ppb3pp/5p2/1bPp4/3P1n2/R3NN2/PB3PPP/6K1 b - -,b5c6
r4rk1/4ppbp/3p1np1/q2P4/n1p1P3/2N1BN1P/PPQ1RPPK/R7 w - -,f3d4
r1bqr1k1/1pp2pbp/1nn3p1/p3N3/3P4/2N1P1P1/PP2QPBP/R1B1R1K1 b - -,c6e5
8/3k1R2/6pp/8/5P2/p4KP1/8/r7 b - -,d7c6
5rk1/1ppb1ppp/2p4q/r2P3N/p3P1Pb/P2BPQ2/1PP4P/2K3RR b - -,h6g5
r7/6p1/7p/2K2p2/5P2/p3k1P1/R6P/8 b - -,e3f3
3r3r/pn2bk2/1p2pp2/2p4p/2P5/1P4P1/PB3PNP/3R1RK1 b - -,h8g8
r2q1rk1/3p1pp1/2bNp2p/ppP1N3/1P2P3/6P1/1P3PBP/Q4RK1 w - -,b4a5
5rk1/3qpp2/Q3b2p/2p3p1/2pb4/5BP1/P2R1PP1/1RK5 b - -,c4c3
2r5/p5b1/P5pk/5p2/2B1p2p/1P2P1P1/5PKP/3R4 b - -,g7f8
rn1q1rk1/ppp1bpp1/4pn1p/8/2NP4/2P4P/PP2NPP1/R1BQ1RK1 w - -,d1b3
r1bqr1k1/ppp2ppp/2n2n2/3p4/1b6/4PN2/PBPPBPPP/RN1QK2R w KQ -,e1g1
8/2R5/7p/7P/1rpk4/6P1/5PK1/8 w - -,g3g4
r5k1/1p5p/n2pp1p1/1Np5/1PP1P2q/7P/1Q3PP1/5RK1 b - -,a6b4
r1bqk2r/pp2npb1/2np2p1/2p1p2p/2P5/P1N3P1/1PNPPPBP/R1BQ1RK1 b kq -,h5h4
R7/8/8/1p6/8/r7/k1K5/8 w - -,a8b8
r1bq1rk1/pp1nbppp/5n2/3p4/2pP4/2N2NP1/PPQBPPBP/R4RK1 b - -,e7b4
r7/6p1/1k3b2/1pR5/1P1p3P/3B2P1/3K1P2/8 b - -,a8a2
1r4k1/8/1NRP2pp/p3pq2/1p1r2bP/6Q1/PP4P1/K1R5 b - -,f5f6
r4rk1/1b1nbppp/pqp1p3/1p1n4/P2PP3/2NN2P1/1P3PBP/R1BQ1RK1 b - e3,d5b4
r3r1k1/p3ppb1/6p1/1p1p3p/3P1B2/P1P4P/1P3PP1/R3RK2 b - -,g7f6
r2r2k1/1q3pp1/p7/6bn/P1QpP1P1/5P2/P2R2PB/1BR3K1 w - -,c4d3
3r3k/R6p/6p1/p4p2/2B2P1P/PPKP1r2/8/8 b - -,f3f4
2kr3r/pbpnq1pp/1p1pp3/5p2/3PP3/3B1P2/PPPRQ1PP/2K1N2R b - -,f5e4
r1b2rk1/ppq3bp/1np3p1/2P1pp1n/4P3/1PN1BNPP/P4PB1/2RQ1RK1 b - -,b6d7
r1b1nr1k/1pq2pbp/p2p2p1/2pPn3/P3PB2/1QNB1N1P/1P3PP1/3RR1K1 w - -,f4e5
8/p7/1p3kpK/1Pp5/2Pp2P1/3P4/P7/8 w - -,a2a3
R7/P6k/7P/r7/8/3K4/8/8 w - -,d3c4
3r3k/p4p1p/4P2q/5B1r/5pRb/8/P3Q1RP/7K b - -,h5f5
2q3k1/4b2p/2R2n2/3pB1p1/P2Pp3/1P1bP1PP/3Q1PBK/8 b - -,c8c6
1r3rk1/4qp2/1n1Np1pp/pp2P3/2pP1R2/2P3P1/P3QP1P/1BR3K1 w - -,f4g4
5rk1/ppqr1pp1/2p2bn1/3P2p1/P5P1/1Q1RB2P/1P3PB1/R5K1 b - -,c6d5
r2q1rk1/1p1bppbp/2np1np1/p1p5/2P1P3/P1N2PP1/1P1PN1BP/1RBQ1RK1 w - a6,d2d3
8/3k1b2/3P2p1/8/1p3PP1/6KP/8/1B6 b - -,d7d6
2rqrbk1/p4pp1/b6p/n1p1pN2/4N3/1P1P1Q2/P1P2PPP/R1B2RK1 b - -,e8e6
3r2k1/2R2ppp/1p3B2/nP1p4/3Ppb2/4P2P/5PP1/5NK1 w - -,f6d8
4k3/8/5q1p/6p1/4Q3/3KP3/PP5P/8 b - -,e8f8
3r1rk1/pp4b1/2p1q2p/5pp1/PPP5/4p2P/4QBP1/2RR2K1 w - -,e2e3
6k1/1p6/2P3pp/2q5/8/7P/6B1/1R5K b - -,b7c6
8/pr1k2pp/4p3/2B1Pp2/1P5P/3r2P1/2R2PK1/8 b - -,d3d5
r2q1rk1/pb1nbpp1/1p2pn1p/2pp4/2PP3B/P1NBPN2/1P3PPP/R2Q1RK1 w - c6,a1c1
4rn2/4r1kp/2p2qp1/1pP1Rp2/3P4/1B2Q1PP/P2R1P2/6K1 w - -,d2e2
3r2k1/p3ppbp/6p1/3PP3/4Q3/3R1P2/5PKP/2q1B3 w - -,e1d2
8/2p5/5k2/1pP1p1p1/p3P3/8/PPRK1Pb1/2N4r w - -,c5c6
r3r1k1/pp4bp/2nq4/5bp1/1PP1PR2/3p2P1/PB1Q2BP/1R5K w - -,f4f5
rn2k1nr/pp2ppbp/1qpp2p1/8/2BPP1b1/2N1BN2/PPP2PPP/1R1QK2R b Kkq -,e7e6
2r1r1k1/pp1nnp1p/3qp1pb/3P4/2P5/3QNN1P/PBR2PP1/5RK1 w - -,d3d4
r1b2rk1/ppp4p/3p2pq/2PPpn2/1P2N3/5P2/P3B1PP/1RQ2RK1 b - -,h6c1
2r2rk1/p3ppb1/1p1q2p1/3pN1Pp/P2PbN1P/1Q4P1/1PP5/2R2RK1 w - -,f1e1
7k/pb3pq1/1p3N1p/2p2P1Q/8/P6P/1P4R1/7K w - -,f6g4
6k1/1r2pp2/3p2p1/3Pb2p/1Bp1P3/P2r1P1P/1P2R1P1/R6K w - h6,h1g1
r2qkbr1/5p1p/p1npb3/1p1Npp1Q/4P3/N2B2P1/PPP2P1P/R3K2R b KQq -,g8g5
r2qk2r/1b1nbpp1/pp1ppn1p/8/3P3B/4PN1P/PP1NBPP1/2RQ1RK1 b kq -,e8g8
r5k1/b1p1nr1p/p2p1pp1/1q6/4PP2/B1Q3PP/PP2R1BK/3R4 w - -,e2c2
8/8/4p1k1/4b1Pp/4K2P/p3B3/P2R2P1/4r3 w - -,e4e5
6k1/1p3pbp/1Bp3p1/P7/2B2p2/3R1P1P/P4qPK/8 b - -,f2g3
8/4k3/1p2p1r1/3p4/P4BP1/2Pp4/8/1R4bK b - -,g6g4
r4rk1/pb1N2bp/3qp1p1/2pp2B1/5P2/2PB4/PP1Q2PP/1R2R1K1 b - -,d6d7
3r3k/4qppP/p2p1B2/4nB1P/1pr1P3/8/PPPQ2R1/2KR4 b - -,e7f6
