2b5/pp6/5k2/5P2/6PP/8/PP2K3/8 b - h3,c8d7
8/5pbk/6pp/4P3/2R2P1N/8/6K1/r7 b - -,a1a2
8/R7/4P1pk/2p2p1p/2r2P1b/2Q5/4q3/2K3R1 w - -,g1g6
8/5q1k/p3N3/1ppP1pQp/2Pb3P/1P2p1P1/P5K1/8 w - -,g2f3
3r2k1/pp2b1p1/4bn1p/1P2Q3/P2B3P/2P2P1q/2BR2pN/6K1 w - -,d2e2
8/8/4pk2/4p3/1p2P2p/1P1nNP1K/8/8 b - -,f6g5
2r5/1r2k3/1p3pp1/p1pPp2p/2PbP3/1P1K1PP1/3B3P/1RR5 w - -,f3f4
b1r3k1/2P2ppp/p3p3/BpRnP3/3N4/P4P2/5P2/6K1 w - -,d4c2
8/1p3rp1/p3rpkp/3p4/3Pb1P1/P5BP/1P2R1PK/2R5 w - -,e2e3
r5n1/1pr3kp/1b1p2p1/3PppPP/1P2P1N1/pKP4R/P3B3/3R4 w - f6,g5f6
1r3k2/1p3pp1/p1pq1np1/3p4/3P2P1/2P1R2P/PP1Q1PB1/6K1 b - -,b8e8
r1bqr1k1/ppp2p1p/2p2bp1/5n2/8/1B1P1Q2/PPP1NPPP/R1B2RK1 w - -,e2g3
8/5n2/6k1/1p6/1P1PNK1p/2P5/8/8 w - -,f4g4
5rk1/ppp3pp/8/2nr1pB1/8/5P2/PPP3PP/R3R1K1 w - -,g5e7
8/8/5k2/4p2p/4K3/1B2N1P1/5P2/r7 b - -,a1e1
r1bqrbk1/pp5p/3p1pp1/1NpPn2n/P3N3/6P1/1P1BPPBP/R2Q1RK1 b - -,a7a6
4r2k/4Q1pp/6q1/3pn3/8/2P5/P4R1P/R5K1 w - -,g1f1
1r3k2/2p1r2p/1pBpn1p1/1P3P2/1P3P2/4RKPP/8/3R4 b - -,g6f5
8/1R6/2p5/P7/1P1k4/8/3K4/r7 w - -,d2c2
1r1q1rk1/1bp2ppp/p7/1p1PP2Q/2p5/P1Nn2P1/1P4BP/R4RK1 b - -,d8e7
8/p1r4p/R3b3/4k1p1/4B3/1P3P2/P4KPP/8 w - g6,f2e3
r5k1/4qp1p/2b1p1pb/1Np1P3/2P2P2/7P/P4QP1/1B1R2K1 b - -,e7b7
r3r1k1/1bq2pp1/p1pb3p/1p6/4P1n1/2N3PP/PPQB1PB1/R2R2K1 b - -,g4e5
