8/8/6b1/8/3b4/5B1p/5k1P/7K b - -,g6d3
8/2P2k2/3Q4/5Kp1/7p/3P4/6q1/8 b - -,g2f3
8/1p2k3/3pp3/p3b2p/P1P4P/1P1R2P1/4K1N1/5r2 b - -,f1b1
2r1k2r/1b1qb1p1/p1n1pp2/1pppP2p/5P1n/P2P4/1PP2BPP/RN1BQRK1 w k -,f2h4
1r4k1/5p2/5Qp1/5n1r/3P3P/1p6/1R5K/4B3 b - -,b8e8
r1q2rk1/3nbppp/4pn2/1pp3B1/p1P1P3/3N2P1/PP1NQPKP/R4R2 b - -,h7h6
rb2k2r/1p1q2pp/p1n1b3/1N1p2B1/3Pp3/Q5P1/PP2PRBP/R5K1 b kq -,h7h6
rnbqkbnr/1pp2ppp/p3p3/3p4/3PP3/2N5/PPP2PPP/R1BQKBNR w KQkq -,f1d3:g1f3
1r3r2/pp4bk/7p/5p2/2BNpn2/7P/PP3PPK/2RR4 b - -,b8d8
3r1k2/1p3ppp/q4n2/p1Q2P2/PnN5/1PN5/6PP/5RK1 b - -,f8g8
4R3/5p2/r4P2/1p1pPk2/3p4/3K4/8/8 w - -,d3d4
6k1/pb6/6pp/5P2/4q3/2b1B1P1/P4Q1P/1rR2KN1 b - -,b1c1
1k1rr3/p1nq2p1/Ppp1p1N1/3nPpNp/Q2P3P/2b1B3/5PP1/R1R3K1 w - -,a1b1
8/8/4k3/2bbPp2/5Pp1/3P2P1/8/4NK2 b - -,d5f3
4k2r/1rqbnpp1/p3p1n1/1p1pP2p/1B1N1P1P/P2BQ1P1/1PP5/1K1RR3 b k f3,a6a5
2kr1b1r/ppq2p1p/2p1pp2/3n3b/3P2P1/1BP1BN1P/PP2QP2/2KR3R b - g3,h5g6
4r3/1p6/p2k4/6pp/2Rp4/P4KPP/1P6/8 b - -,d6d5
R7/8/kr3N2/6P1/2r2P2/1p4K1/8/8 b - -,a6b7
2kr1b2/ppp3r1/2q1bp2/3np2p/1P5N/2PB1P2/2Q2BPP/3RR2K w - -,b4b5
8/8/5p2/pr2k1pp/7P/4PPP1/1PR1K3/8 b - -,g5h4
r4bk1/1pq2p1p/5p2/p2p4/5N2/PP4P1/2PQ1P1P/3Rr1K1 w - -,d1e1
1r2bk2/2p5/3p1pPp/4n3/2P1PnB1/2BPq3/Q6P/4N1RK w - -,c3e5
8/q4nk1/3p1n2/1B1Pp2p/1P2Pp2/5PpP/1Q4P1/3KB3 w - -,b5f1
2r4k/1b6/p1n1p1Q1/1p2P1b1/1q3B2/8/PP3PPP/2R3K1 w - -,f4g5
8/1p2kpp1/4p2p/8/r1P5/1K4P1/4RP1P/8 b - -,a4a1
1r5k/4qprn/1pBp3b/pNpPp2p/2P1Pnb1/P1B1N3/1PQ3PP/R4R1K w - -,e3g4
r1bqk2r/1pp2ppp/p2p1n2/n3p3/2B1P3/2NPPN2/PPP3PP/R2Q1RK1 w kq -,c4b3
3r2k1/p1q3pp/3pPb2/2p1p3/2N5/2PP4/RP2QPPP/6K1 w - -,c4e3
4NQ2/8/2k4p/8/3q4/8/5K2/3b4 w - -,f2g2
r2r2k1/q3b2p/2p1npp1/2p1p3/2P1P3/pP4NP/P1P2QP1/2BR1RK1 b - -,d8d4
4r2k/p1p3rp/1pq2p2/3N1n2/2P2P2/4P2R/P3Q1PP/6RK w - -,e2d3
r1q1rbk1/pp3pp1/3p4/6p1/1P1pPn2/PQ2NPB1/6PP/R3R1K1 w - -,g3f4
5rk1/p3bqpp/1r1p4/P1pPpb2/2Q1N3/2P3P1/R4PBP/5RK1 b - -,b6b7
3r2rk/4qn2/pp2b1p1/3pPp2/P1pP4/4PB2/1P2NQP1/R3R1K1 w - -,e2f4
r4rk1/1bqn1p2/pp1pp1np/4b1p1/P1PNP3/1P2BPN1/3Q2PP/1B2RRK1 w - -,d4e2
8/8/p5pp/P4p2/7P/2p2k2/2Pr4/2R2K2 w - -,f1g1
