8/7p/1b2p1p1/5p2/5PP1/5K1P/2k1N3/8 w - -,e2g3
rnbqkbnr/ppppp1pp/8/8/4p3/2N5/PPPP1PPP/R1BQKBNR w KQkq -,d2d3
4k3/q4p1p/1p1Qp1p1/1P1n4/3P4/p4N1P/P4PP1/6K1 w - -,d6c6
r1bqkb1r/pppp1p1p/2n2np1/4N3/4P3/P1N5/1PPP1PPP/R1BQKB1R b KQkq -,c6e5
r2qr1k1/pp3pbp/2p2np1/4p3/2PnP3/P1N1BB2/1P3PPP/R2QR1K1 b - -,d8c7
1r6/p3Qpk1/6pp/2R5/2p2q2/P1P4P/1r3PP1/5RK1 b - -,b2f2
6r1/1p2kp1p/p7/1b3P2/4pR1K/2R1P3/PPB4P/5r2 b - -,f1f4
r4rk1/1pp1q2p/3p4/2nPp1p1/1pP2n2/P1N3B1/3Q1PPP/3B1RK1 w - -,a3b4
8/k5p1/p7/3B3p/NP5P/6P1/1P1K4/6r1 w - -,d5f7
3rnrk1/1p2qpbp/1Np3p1/p1Pp1b2/1P1B4/P3PB2/1Q3PPP/R4R1K w - -,f1e1
2rr1bk1/pp1n1ppb/q1n1p2p/2ppP3/5BPP/2PP1N2/PP2QPBN/R2R2K1 b - -,c6e7
1r2k2r/1bq1ppb1/n2p2p1/p1p3P1/3PPPp1/2P1B3/PP1Q3P/2KR1BNR w k -,f1g2
N1b2rk1/1p4pp/3n4/8/8/4PB2/PP4PP/R5K1 b - -,d6f5
3r4/p2B1k2/3P2pp/bpp1B3/5P2/P5P1/1p5P/3R2K1 b - -,d8d7
8/8/p4K2/Bp1k4/1P6/8/8/8 b - -,d5d6
rn1qkb1r/pp3ppp/2p1p3/8/4n3/3P1QPP/PPP2P2/R1B1KB1R w KQkq -,f3e4
r3k2r/p4n2/1p1pp2p/8/P7/4PNP1/5PP1/R3K2R b KQkq a3,e8d7
r1bqkbnr/pp1ppppp/2n5/2p5/2B1P3/P7/1PPP1PPP/RNBQK1NR b KQkq -,g7g6
r2q1rk1/pp2np2/4b1pp/3pP3/2p2PP1/2N1P3/PP4BP/R2Q1RK1 w - -,h2h3
8/pp1rb1k1/1q3pp1/7p/4N2P/1P2PPQ1/P4P2/2R3K1 w - -,g1g2
2r1r1k1/2Rn1pp1/q3p1p1/pN1p2Pn/2PP4/3Q2BP/P4PB1/4R1K1 b - -,d5c4
8/1p6/p1p4k/3p1b2/3P4/5BK1/PP3P2/8 b - -,h6g5
4rr1k/pp4pp/2p5/4n3/1PQ1Pq2/2P4P/P4PB1/4RRK1 w - -,c4d4
