8/r6p/2k3p1/1pp5/8/P4RP1/2K4P/8 b - -,a7e7
r2q1rk1/pp2bpp1/3pbn1p/n1p1p3/P3P3/2NP3P/BPP2PP1/R1BQNRK1 w - -,f2f4
r6k/4q2p/2p3r1/3pPpbR/P2P4/1P1NnB2/7R/4Q2K w - -,d3f2
r2qk1nr/1p2ppbp/p2pb1p1/n7/4P3/1NN5/PPP1BPPP/R1BQK2R w KQkq -,e1g1
8/7p/5p2/P4pk1/3Q4/5P1P/2q2P1K/8 b - -,c2a2
2r3k1/p3rp1p/6p1/8/8/P7/1PR3PP/6K1 w - -,c2c8
1r3rk1/3b1pbp/p1nq1np1/1p1pp3/1P1P4/PQN1P3/3BBPPP/R1R1N1K1 w - e6,d4e5
7r/kpr2ppp/p1nb1n2/2pN1b2/2B5/4BN2/PP3PPP/2R2RK1 b - -,f6d5
2r2rk1/p4pp1/3Np2p/1n1n3P/1p2N3/5P2/PPPR2P1/1K5R b - -,b5d6
3r1bk1/5pp1/2n4p/p1qN4/Pn2r3/1Q2PNBP/3R1PP1/3R2K1 b - -,d8d5
2N5/5pkp/p1Q1p1p1/q1p1P3/2P2P2/7P/1r4P1/3R3K w - -,c8d6
5r2/1p4k1/p6p/2P1pR2/8/8/PP5P/7K w - -,f5f8
r1b2rk1/pp3p2/2p2n1p/5Nq1/3P1R2/2N1P1P1/PPQ3K1/3R4 w - -,d1f1
2kr3r/1ppqb1p1/p1npp2p/8/5P2/2PBB3/PPPQ2PP/1K1R3R b - f3,e7f6
3b1rk1/3P1pp1/7p/1p2N3/6q1/1Q6/3r1PPP/4RRK1 b - -,g4h5
5r2/4PBkp/p5p1/q1p1b3/Pn6/8/1PP3PP/R1Br1R1K w - -,c1h6
2r1r1k1/1p3ppp/pQ6/4q3/4Pn2/5B2/PP4PP/R2R2K1 w - -,a1c1
6k1/8/4rp2/p1pR2pp/8/1p3PP1/1P3K1P/8 w - -,d5c5
r2q1rk1/1p2n1b1/2ppPn1p/p3pp2/2P5/PPN3P1/1B3PBP/R2Q1RK1 w - -,c3e2
r6r/1pqkbpp1/p3p3/3n2P1/P2P2P1/2P5/3BQKB1/R6R w - -,e2f3
5r1k/p3q1pp/1p6/1Q3p2/3R4/2P4P/PP4PK/8 w - -,b5d5
4r1k1/pp3p1p/1n1qr1p1/3p2Qn/3P4/PP1B1P1P/6P1/2RRB1K1 w - -,e1b4
rnbqk2r/ppp1bppp/8/3np3/8/3P1NP1/PP2PPBP/RNBQK2R b KQkq -,b8c6
3r2rk/p4pp1/7p/1Ppp1P2/5P1q/2P3R1/P5Q1/1B1R1K2 w - -,g2f3
