8/p7/1p6/4k3/5PP1/r1N1K3/8/8 b - -,e5f6
5b2/1p1n4/p6p/4Pk2/5P1R/1P1p2BP/1P4PK/2r5 w - -,h4h5
rnbq1rk1/ppp2ppp/3bpn2/3p4/2PP4/1P2PN2/PB1N1PPP/R2QKB1R b KQ c3,c7c6
6k1/2p2pp1/4b2p/p6q/1p2P3/1Pr4P/P1B2QPK/4R3 w - -,e1e3
r1b1k2r/1p2pp1p/pB1q2pb/3Pp3/Q1P5/8/P3BPPP/R4RK1 b kq -,c8d7
R7/7k/P7/8/6p1/r7/5P1K/8 w - -,a6a7
rnb1kbnr/ppq3pp/2pp4/4pp2/2PP4/2N3P1/PP2PPBP/R1BQK1NR w KQkq f6,e2e4
3rr1k1/p3qpbp/1pp3p1/n2p4/3P2bP/1P1NP1P1/P2RNPB1/2R2QK1 b - -,g4e2
r1bqk1nr/pp3ppp/2nbp3/8/2B5/2N2N2/PP2QPPP/R1B2RK1 b kq -,d8e7
4k3/b4p2/5P2/1N2P3/r3K3/4nN2/8/2R5 w - -,e4d3
r2qkb1r/1pp2ppp/p1bp1n2/4p3/2P5/1P2P3/PB1PNPPP/RN1Q1RK1 b kq c3,f8e7
rnbq1rk1/pp3ppp/4pn2/3p4/2PN4/P3P3/1P1N1PPP/R2QKB1R w KQ d6,c4d5
6k1/p4p1p/6p1/PQ2n3/3b4/5N1P/1Pq3P1/5R1K b - -,e5f3
3N2k1/p4pb1/6p1/1pPqP2p/1Pbr1P2/P6P/2Q2NP1/3R3K w - -,d1d4
r3k2r/1bqnppb1/p4npp/1pp5/4P1PP/P1N1BP1N/1PPQ4/2KR1B1R w kq -,g4g5
1r2k2r/2qnppb1/b2p2p1/p1pP3p/Q1P1P3/pP1n2PP/3NNPB1/1RB1R1K1 w k -,e1f1
8/8/2B5/4p1k1/7p/5P1K/4n3/8 w - -,c6b7
6k1/5p1p/RP2p1p1/8/1r6/4K2P/P5P1/8 b - -,f7f5
8/2r5/3pkpp1/4n2p/1R1BP2P/2P3P1/4KP2/8 w - -,f2f4
6k1/b4pp1/4p2p/P7/1p6/1P1r2PP/2RN3K/8 w - -,h2g2
5r2/p3rp1p/Rn4p1/1B2Rpk1/2pP4/2P2P1P/1P3P2/6K1 b - -,e7e5
r4r2/p1pp2pk/b4q2/2pP4/8/P4P2/1B4PP/1R1Q1RK1 b - -,f6g6
1r2k1nr/2qp1p2/p3p3/6P1/P1n4p/2N3P1/1P2QPB1/R3R1K1 w k -,c3d5
1r6/1r1nppkp/q2p2p1/3P4/2p1PP2/2Nn1R1P/PPQ1N1P1/1R5K w - -,b2b3
3qr1k1/5p1p/2r5/p2p1B2/1bnBnP2/4PR1P/6P1/RQ4K1 w - -,b1d1
2kr3r/1ppqnpp1/p6p/2PpP1b1/1P4P1/P1NQ1N1P/1K3P2/3RR3 b - -,g5f4
1n6/6p1/1P3p1p/PK1k4/4p3/B3P2P/5PP1/8 w - -,a5a6
3nr1k1/p6p/2p2Qb1/2N5/4P2P/2P5/PP4PK/3r4 b - -,e8f8
3r1r1k/1pR2p1p/p4b1N/3Pp2p/Q4B2/7P/1n3PP1/1R4K1 b - -,b2a4
r3k2r/pp1bqp1p/2n1p3/2bp1p1Q/6P1/2N1P2P/PPP1NP2/2KR1B1R b kq g3,f5g4
4bk2/1p2rp2/6pp/1PPr4/5p2/4PB2/1R3PPP/6K1 w - -,f3d5
8/7p/6p1/5pk1/4pN2/2n1P1PP/Pn3K2/4N3 w - -,e1c2
r4r2/p2b2p1/2n1N1k1/1p1pPp2/6q1/6Q1/PP3PPP/2R2RK1 w - -,e6f8
r2r2k1/2pnbpp1/3p3p/p2b1q2/Pp1B4/1B1R3P/1PP2PP1/4RQK1 w - -,g2g4
6Q1/kpp5/5p2/5q2/7P/6P1/5P1K/8 w - -,g8a2
3rr1k1/pp3bp1/2nb3p/6Q1/5p2/1NP1P2P/PP2N1PB/2R2RK1 b - -,h6g5
8/p7/1pp5/P4k2/3K1n1B/8/8/8 w - -,a5b6
r2q1r2/pppb1p1k/2np1Pp1/6Pp/2P1P2P/2N5/PP2B3/2KQ2RR b - -,f8h8
r1bqk1nr/pp3pbp/2npp1p1/1Bp5/4PP2/2NP1N2/PPP3PP/R1BQK2R w KQkq -,b5c6
5k2/pp3p2/4r3/2R5/8/2P3P1/P4P2/6K1 w - -,a2a4
rn1k4/pp2nqpr/2p4p/3p4/3P1B2/2N2P1B/PPPQ4/2K1R2R w - -,h3e6
3r4/pp2kp1p/4p3/8/2Nb4/P4KP1/1PR2P1P/8 b - -,e6e5
2r3k1/1pn1prbp/p1n3p1/2P3q1/4Pp2/5P2/P1NQBBPP/2RR2K1 w - -,c1b1
8/4k3/PK1n4/2pB3p/1n3p2/B7/7P/8 w - -,a6a7
r1bq1rk1/pp4bp/n1pp1pp1/2P1p3/3PP1n1/2N2N2/PP2BPPP/R1BQ1RK1 b - -,e5d4
r4rk1/1q5p/3p2pb/p1p1p1N1/2P5/4Q1PP/PP3P2/3RR1K1 w - -,e3e4
4r1k1/pp2rNbp/3QP1p1/2p5/3nR1B1/8/P1q2PKP/4R3 w - -,h2h4
r4rk1/1p1qnpb1/3p1npp/p1pPp3/1P2P3/P2P1NP1/3B1PBP/1R1Q1RK1 b - b3,a5b4
