n7/8/3p4/2pP2k1/2P1K3/8/8/3B4 b - -,a8b6
6k1/1b3pbp/1qp2np1/8/1PQB4/6P1/5PBP/3R2K1 b - -,b6d8
8/3k4/8/p1KP4/6p1/1P4Pp/7P/8 b - -,d7c7
1r2r1k1/5pp1/4p1p1/ppqpP3/6P1/1PP1R3/P2Q1PP1/3R2K1 b - -,b5b4
2q3k1/1nr3p1/7p/p3NB2/2PR1P2/P3P2P/1P1Q4/K7 b - -,c8f5
r5k1/1p2K3/1P1PQ1p1/2p2pp1/4P2q/5R2/8/8 b - -,g8h8
2kr3r/ppp2pbp/2B3p1/5b2/3Pp1nP/1PN1P3/PB1N1PP1/R3K2R b KQ -,b7c6
r2q1rk1/pp1b1pp1/4pn1p/n2pN3/3P1B2/2PBP3/P4PPP/1R1Q1RK1 w - -,d1e2
r1n2rk1/3qb1pp/4b3/N2pPp2/P1p2P2/8/1P1B2PP/2RBQRK1 b - -,e7d8
r3k2r/pp1qbppp/2n1p3/3pP3/3Pn3/8/PP2RPPP/RNBQN1K1 b kq -,f7f5
4r1k1/pp1q1ppp/3b4/2p2P1Q/3p3R/P2P2P1/1P1B1P1P/6K1 b - -,h7h6
2r5/2p1rk1p/2R3p1/P4p2/3R4/7P/6P1/6K1 b - -,c8a8
r5k1/6bp/3Q1pp1/1q1p4/1prP4/4P3/P1RR1PPP/4NK2 w - -,f1g1
r7/3k4/p1p1pp2/3r1bpp/R1RP4/1P2KPBP/P5P1/8 w - -,a4b4
2b5/1p3rk1/p2R1p2/3Pn2q/2P1PQp1/r2BK1P1/4N3/3R4 w - -,e3d4
1r1r2k1/pp2qp1p/3p2p1/4p3/2P1N1n1/bP2PQPb/P1R2PBP/3RB1K1 b - -,h3g2
r1b2rk1/p1b2pp1/1pNq4/1B1N3n/1B6/P3Pn2/1P3Q1P/R4R1K b - -,d6h6
rnbqk2r/pp3ppp/4pn2/3P4/1b1N4/2NB4/PPP2PPP/R1BQK2R b KQkq -,f6d5
1rbr2k1/5pp1/1qp1pn1p/p1N5/4P3/P1Q3P1/1PR1BP1P/4K2R b K -,c8b7
2kr3r/p1qn1pp1/Qppbp2p/8/3P4/5N2/PPP2PPP/R1B1R1K1 b - -,c8b8
r2rb1k1/ppq1bpp1/4pn1p/4N3/7B/2PB4/PP2QPPP/3RR1K1 b - -,a8c8
1k1r3r/pppqbppp/6n1/1P2nb2/Q1PpN3/6P1/P3PPBP/R1BRN1K1 w - -,c1a3
rbb1qr1k/3p2pp/2p5/p1QnPpB1/3P3N/6P1/P2N3P/1R3RK1 w - -,f1f5
4r3/2q3k1/5pp1/3Rpb1p/7P/1BP1Q3/PP6/2K5 w - -,b3c2
8/pp1r1pk1/1bn2qpp/8/2B5/1P3N1P/P3QPP1/4R1K1 b - -,d7e7
r4rk1/1Bq1n1pp/p7/4p3/Pp6/8/1PP3PP/R1BQ1R1K b - -,c7b7
rnbqkb1r/p1pp1ppp/8/8/2p1N3/8/PP1PPPPP/R1BQKB1R w KQkq -,e2e3
6k1/2r3b1/p7/4R3/2N1K1RP/8/PP5r/8 w - -,e4d3
2kr3r/pp1qb3/2n1p3/2Pp2pn/5PQ1/2P1PN2/PP4B1/R1B2RK1 b - -,g5f4
6k1/2qP1p2/B6p/4np2/8/P2p4/1P1Q1PPP/6K1 b - -,c7d7
r1bq1rk1/4bppp/p2ppn2/1p6/3BP3/1BN5/PPP1QPPP/R3K1R1 w Q b6,g2g4
1r3qk1/1rn1ppbp/pn1p2p1/2pP2B1/P3P3/1P2N3/2Q2PPP/1R2RB1K w - -,f2f4
r2qkbnr/ppp2ppp/2n5/4Pb2/2P5/P1NpPN2/1P3PPP/R1BQKB1R b KQkq -,g8e7
1r3rk1/p4ppp/b3p3/P1b5/3Nn3/B5P1/4PPBP/R4RK1 b - -,c5d4
5rk1/pbpnq2p/1p1ppr2/5p1n/2PP2pN/P1N1P3/1PQ1BPPP/3RR1K1 w - -,g2g3
2r1r1k1/p1q2ppp/1p6/1Qn1n3/2p2B2/P7/1P2BPPP/2R2RK1 b - -,a7a6
6k1/p4p2/1p1Q2p1/3P4/7K/P5P1/6q1/8 w - -,g3g4
1b1r4/pp3kpp/8/2PNn2r/8/1P1pN1B1/P4PP1/3R2K1 w - -,g3e5
8/8/4k1p1/p1K4p/7P/p3N1P1/8/8 b - -,a3a2
8/p1k3pp/r7/4N2n/3p4/1P3PP1/P2K3P/4R3 w - -,a2a4
r4rk1/pp1qp1bp/2n3p1/3pP3/3P2P1/2N5/PP2Q1PP/2RRN1K1 b - -,g7h6
6k1/p6p/2p3p1/2Nn4/3R1B1P/P4P2/bP4PK/1r6 w - -,f4e5
8/1pkn4/2p5/4K3/2rR1P2/5B2/8/8 w - -,e5e4
