8/5ppk/7p/B3R3/2pn3P/3r2P1/5PK1/8 w - -,e5e4
5k2/6p1/4P2p/4BP2/n1p3P1/Pp5P/4K3/8 b - -,c4c3
r1bqk2r/2p1npbp/np1p2p1/p2Pp3/2P1P1PP/2N1B3/PP2BP2/R1NQK2R b KQkq h3,h7h6
r4rk1/3qppbp/p4np1/1p1p1b2/3P4/BPNBP3/P1Q2PPP/R1R3K1 w - -,d3f5
2r1r1k1/p2q2b1/b1n3pp/2Pp1p2/3p1P1B/P2P2P1/Q5BP/1RN2RK1 b - -,g8h7
2k3r1/p1r2qP1/1p2p2Q/3pP3/3P3P/8/1P1B2RK/8 b - -,g8g7
rnbqk2r/p3ppbp/2pp1np1/8/Np1PP3/1B3N2/PPP2PPP/R1BQK2R w KQkq -,e4e5
1rb1r1k1/4qpbp/1n1p1np1/2pP4/1p2P1P1/4B2P/1PQNNPB1/R3R1K1 w - -,e3g5
1r3rk1/2qbppbp/p2p1np1/1ppP1P2/P1P1PN2/2NQ3P/1P1B2P1/R4RK1 w - b6,b2b3
rn1q1rk1/pbp2ppp/1p3n2/3p4/1b1P4/5NP1/PPQNPPBP/R1B2RK1 b - -,f8e8
r1b2rk1/ppq3pp/2nbpn2/2pp2B1/3P4/2P2N2/PP2BPPP/RN1Q1RK1 w - -,b1a3
r3r1k1/1p1qp2p/3p1ppb/p1nP4/2PQ2PP/1PB2P2/P7/3RRB1K b - h3,h6g7
8/8/Q3p2k/7p/2B3p1/5q2/8/6K1 b - -,f3g3:f3e3
8/pr4r1/3k3p/2p1p3/2PpR1PP/R4P2/P1PK4/8 w - -,f3f4
2r4k/p6p/1p2pbq1/8/1Q3P2/1P2BN2/P1r1KP1P/3R4 w - -,d1d2
1r4rk/1pq2p1p/pnpp1PpB/4n1QP/1PP1P3/R5PB/8/5RK1 b - -,c7d8
5k2/5p2/4n1p1/p2p3p/P4p2/1P6/2B3PP/7K w - -,b3b4
3r3k/2r2p1p/1p6/3Bpp2/2P5/PR1bN2P/3b1PP1/2R3K1 w - -,c1d1
r2qkbnr/pb1p1p1p/1pn1p3/2p5/2P1P1p1/2N5/PPBP1PPP/R1BQNRK1 b kq -,h7h5
2R5/2pr2pk/p3p2p/2PbRr2/2p2p2/2B2P1P/P5P1/6K1 b - -,f5f7
b5k1/r7/6p1/N1p5/2P1p2P/1NbnP2B/4K3/1R6 w - -,b1g1
8/8/8/8/4pk2/R7/7r/5K2 w - -,a3b3
2b5/8/6k1/4K2p/7P/5P2/4N3/8 w - -,f3f4
rn1qk2r/1bp1bppp/pp3n2/3p2B1/3P4/PQN1PN2/1P3PPP/R3KB1R b KQkq -,b8d7
4N3/5k2/6p1/4n1Kp/7P/8/8/8 w - -,e8d6
rn1qkb1r/pb1p1ppp/1p2pn2/2p5/2P1P3/1PN2N2/P2P1PPP/R1BQKB1R w KQkq -,e4e5
r1bq1rk1/pp3ppp/2n1p3/3n4/1P6/2PBP3/4NPPP/R1BQK2R w KQ -,e1g1
6k1/4rpp1/prp1b2p/2Rp4/8/P3N1P1/1P1RPP1P/6K1 w - -,b2b4
r3r1k1/p5q1/Pp2p1P1/8/2P4R/8/6Q1/5R1K w - -,h4h7
1kr5/1p3ppR/pq1pp3/5Pb1/b2NP3/1P6/P1PQ2B1/1K6 w - -,d2g5
rn1qkb1r/pp2ppp1/2p2np1/8/P1pP4/2N5/1P2PPPP/R1BQKB1R w KQkq -,e2e4
3k4/2pB2p1/p2n1p2/5r2/3R4/2NP2Pp/P2K1P1P/8 b - -,f5f2
2Q3k1/5p2/4pnp1/1p5p/1P2PP2/3P3P/4qNP1/6K1 b - -,g8g7
2r3k1/p4pp1/1pn3bp/8/3B2P1/1BP2P2/P2R1K1P/8 w - -,f3f4
4r3/p4k1p/1p1rpp2/2p2p2/5P2/1P1P2P1/2P1RK1P/4R3 w - -,f2g2
4r1k1/7p/p5p1/1b1pB3/2r2PR1/7P/6P1/2R4K w - -,c1d1
7Q/8/2Pk4/p4K2/8/5q2/P7/8 w - -,f5g5
4k3/5p2/p4P1r/4p2r/1pR5/8/PPP4P/1K2R3 b - -,h6f6
r4bk1/pbqr1n1p/1pp1p1p1/4PpP1/2pP1P2/2N1BN1P/PPPR1Q1K/5R2 b - -,b6b5
rnbqkb1r/p3ppp1/3p3p/2pP4/1p2N3/4PN2/PPP2PPP/R2QKB1R b KQkq -,g7g6
4k3/2Q4p/P2R1pp1/4p3/4P3/5P1P/6PK/8 b - -,e8f8
r2qr1k1/pb5p/1pp2bp1/3pp3/4P1B1/1PQ5/PB3PPP/R4RK1 b - -,d5d4
1r3rk1/p1pn2pp/4bq2/2b1pp2/8/2N1P2Q/PPP1BPPP/R1B1K2R w KQ -,e1g1
8/8/5pp1/5p1k/2K2R1P/4P1P1/r4P2/8 b - -,a2a5
1r3rk1/nbp1qppp/1p2pn2/p7/P1NP4/2P3P1/2Q1PPBP/RN1R2K1 w - -,e2e4
4k1r1/p2r2p1/3bb1Np/3p4/3pp3/6PP/PP2PPBK/2RR4 w - -,d1d4
r4rk1/ppqn4/2p3b1/2Pp1pb1/3Pp3/1P2P1pP/PBQ3P1/2KBRN1R b - -,b7b6
r1b2rk1/pp1pppbp/1qn2np1/1Bp5/P3P3/2P2N1P/1P1P1PP1/RNBQR1K1 b - a3,d7d5
6Q1/2p1q3/1pP2k2/4ppp1/Pp2p1p1/4P1P1/5r2/1KR2B1r w - -,g8c4
5k2/p2q1ppp/8/3p4/3R1PP1/1NPQ4/PP5P/1K2r3 w - -,b3c1
8/8/5pk1/1R6/1pr4P/5PPK/8/8 b - -,c4c3
r2qkb1r/pQ1n1ppp/4pn2/2p5/2BP4/4PP2/PP3P1P/RNB1K2R w KQkq c6,d4c5
1rbqr1k1/p2n2bp/4pPp1/3p4/2PB1P2/2N5/PP1Q2PP/2R1KB1R b K -,g7f6
4r1k1/1p3pp1/p1p2np1/8/7P/PqP2BP1/1P1Q1PK1/3R4 b - -,b3b5
2B2nk1/p2r2pp/5p2/B1Pp4/b2P4/5N2/r4PPK/1R6 b - -,a4c2:d7e7
r4rk1/5ppp/1p2b3/p1qN4/PnPp4/3B4/1P3PPP/2RQR1K1 w - -,d5b4
2k4r/1p3p1p/2pb2p1/p3n3/P3PN2/1b2P1K1/1P2B1PP/R1R5 b - -,g6g5
4r1k1/2Q2pb1/6pp/4P3/q2R3P/1p3NP1/r4PB1/1R4K1 b - -,a4a3
6k1/1p6/2p3pp/2P5/1P1q4/7P/6B1/1R5K w - -,b4b5
b7/p2k4/3pn3/1p3K1P/5B2/1P6/P1PP4/8 w - -,h5h6
r7/1p1N4/p5k1/3PpNp1/P6p/7P/7K/6R1 b - -,g6f5
