7r/8/3k4/5PK1/7P/8/8/4R3 b - -,h8g8
r6r/pp1nk1p1/2pBpn1p/b7/2p5/P1N3P1/1P2PPBP/R2R2K1 b - -,e7f7
r7/5pkp/2p3p1/8/nN4n1/1N2P1P1/P4PBP/6K1 b - -,a4c3
1rq1r1k1/pppb2bp/3p2p1/3Ppn1n/2P4N/1PN3P1/PB1Q1PBP/2R1R1K1 w - -,h4f5
4N3/1k6/2pK4/2Pp3b/pP1P4/P7/8/8 w - -,e8g7
3r1b1r/pk3pp1/2p1bn1p/qp6/4PB2/2NB4/PPP1Q1RP/R3K3 w Q -,e1c1
1rr3k1/p2bpp2/1q4p1/3Pp1Pp/8/1PB2P2/KQ4P1/3R3R w - -,c3e5
8/3k4/1p2b2R/3p3P/3P2p1/B5K1/1P6/2r5 w - -,h6f6
r3rn2/5kp1/1p1bp3/2pp1n1p/p2P3P/P2P1NP1/1PR1NP2/1KB1R3 w - -,d4c5
r1bqr1k1/1p1n1pp1/2p1p2p/p3B3/PbpPP3/2N3P1/1PQ2PBP/R2R2K1 w - -,e5f4
r1b4r/4kpb1/p1ppp3/6p1/4P3/2N4P/PPP1B1P1/2KR3R w - -,c3b1
r2qr1k1/1bp1bppp/p7/1p1nN3/3n2Q1/1B1P3P/PPPN1PP1/R1B1R1K1 b - -,d4b3
r4rk1/4Bppp/3pp3/p5P1/2q1bP1P/P1Q5/1PP5/1K1R2R1 b - -,c4c3
2r3k1/2r2p1p/R2q2p1/2pPp3/1pQ1P3/1P5P/5PP1/2R3K1 b - -,d6d7
r1b2rk1/pp3pp1/2n2q1p/2bp4/Q7/5NP1/PP2PPBP/RN3RK1 w - -,b1c3
8/4Pb2/8/7k/6pp/4K2B/8/8 w - -,h3f1
r2qk2r/pbp1npbp/1p2n1p1/4p3/4P3/1PN2NP1/PBP2PBP/R2QR1K1 w kq -,c3d5
1rb1k2r/2q2ppp/p2b1n2/1p2pP2/4P3/2NBB3/1PP3PP/R2Q1RK1 w k -,g1h1
2b1rrk1/1pq4p/2p5/P2pNp2/1Q1PnP2/6P1/6BP/R1R3K1 b - -,f8f6
r3rk2/p4p2/B1pN1P2/2Pp2B1/R2Pb1n1/8/1P2K3/8 b - -,e8e6
1r5r/3kbpp1/p1p1pq2/2p4p/N1PpPP2/1P3Q2/P2P2PP/R4RK1 w - -,a1e1
6k1/2N3pp/1r3bb1/4p3/3p3n/1Pp1BPNP/r5P1/2R1R1K1 w - -,c7d5
8/4kp2/1R5P/4P3/8/4K3/8/7r b - -,h1h4
rnbqkb1r/pp2pppp/8/3p4/2PpnB2/5N2/PP2PPPP/RN1QKB1R w KQkq -,c4d5
2kr1b1r/pp1b1ppp/4pn2/8/2BN1q2/1P6/PBP1QPPP/R4RK1 b - -,f8d6
r3r1k1/pp2qpp1/2p1bn1p/8/3P4/2R1PPQ1/PPBN3P/5RK1 b - -,a8d8
2r2rk1/1b3p1p/p3pbp1/q2nB3/1p1PQ3/P2B1N1P/1P3PP1/2R2RK1 w - -,e5f6
