8/8/3k1R2/3NpP2/3bP2P/p2K4/7r/8 b - -,d6c5
2n1k2r/6bp/1pp2pp1/r3p3/P1P1P3/4BN2/5PPP/RR4K1 b k -,c6c5
r1b2rk1/ppqn1nbp/2p2pp1/4p3/P1N1P2P/1P3NP1/1BPQ1PB1/R4RK1 b - -,f8d8
8/7p/2pkp3/6r1/P6R/3P4/5P1K/8 b - -,h7h5
r4rk1/pp3pp1/2nq1np1/2b5/2B3P1/2NP3P/PP3PK1/R1BQ1R2 b - -,c6d4
2rqnrk1/1p3ppp/p1npb3/3N4/P3PR2/1N6/1PP1B1PP/3RQ2K b - -,c6e5
r1b1r1k1/1pqn1pb1/p1p3p1/2Pp2Pp/3P3N/2N4P/PP1QBP2/2KR3R b - -,b7b6
r1bq1b1r/5kpp/p3pp2/1pnn2B1/2B5/5Q2/PPPNNPPP/2KR3R w - b6,c4d5
r1bq1rk1/pp1nbppp/1n2p3/8/3N4/2PB1N2/PP3PPP/R1BQ1RK1 b - -,d7f6
4rk2/1p3p1p/1N1p2p1/3R4/1b2PP2/1P3K2/6PP/8 b - -,e8d8
r2q1rk1/1b2bpp1/p3p2p/1pnn4/8/2N1PNB1/PP1QBPPP/2R2RK1 w - -,f1d1
8/5p1k/p3r1p1/1b5p/1P1QPKPP/5P2/8/8 b - -,h5g4
r1bq1rk1/1ppn1pbp/3p1np1/p3p3/2PPP3/2N2NP1/PP3PBP/R1BQR1K1 b - e3,c7c6
r3q1k1/1p3ppp/p1p5/2Qp4/NP1P2nn/P2Br3/3N2PP/2R1RK2 w - -,d3e2
r2q1rk1/1p1b2pp/p1pPp3/5p2/PP3B2/2QR4/2P2PPP/R5K1 w - -,d3g3
8/2p5/1k1p1b1p/p2P4/p3K2p/1P5N/8/8 w - -,b3a4
7R/8/7P/5p2/5N1k/1r6/4K3/8 b - -,b3b2
rnbq1rk1/pp1p1ppp/5n2/2pP2B1/1b6/2N5/PP2PPPP/R2QKBNR w KQ -,e2e3
1r4k1/p2P1pbp/2q3p1/2p1P3/2R2P2/3Q3P/P4r2/2K1R3 w - -,d7d8q
r1br2k1/1p3p1p/2n1pp2/p1p5/2P5/4P1P1/PQ1nqPBP/RN2NRK1 w - -,b1d2
r7/P7/8/5p2/5P2/4K1k1/7p/R7 w - -,e3d4
1B4k1/1n5p/5bpP/3Pp1p1/P3P3/5P2/8/4K1R1 w - -,e1e2
rnb2rk1/pp3ppp/4p3/q2pP3/2PPn3/P7/1BQ1KPPP/R4BNR b - -,c8d7
r2q1rk1/pb1nbppp/1p2pn2/2p1N3/3P4/2PB1N2/PP3PPP/R1BQR1K1 b - -,c5d4
rn2k2r/ppqnbpp1/2p1p1p1/3pP3/6P1/3P3P/PPP1QPB1/RNB2RK1 w kq -,d3d4
r1q2rk1/6p1/2pb3p/pp1bNp1Q/PnpP1P2/5B2/1P4PP/2BR1RK1 b - -,b5a4
r3rbk1/1p1q1ppp/n1p2n2/p7/3NPP2/PP3BP1/1B2R2P/1Q3RK1 b - -,f8c5
5r2/p2n1pkp/3r2p1/2pP4/P5b1/5N1P/P3BPP1/R4RK1 b - -,g4f3
r2q1rk1/1pp3bp/5np1/p1nPpb2/2P5/2N3PN/PP4BP/R1BQ1RK1 w - -,c1e3
8/6k1/7p/p4R2/P5P1/7P/1P1r4/4K3 b - -,d2b2
4r1rk/1b4qp/pb2p3/1p2n3/1P1pP1n1/PQ1P2PB/3NN1K1/3R1RB1 b - -,g4e3
8/1p6/6pk/2P4p/pP6/P7/r5PP/5RK1 b - -,a2a3
2rr2k1/p1n2pb1/1pn1q1pp/2p1p3/4P2P/1PP3N1/P1Q2PPN/2BR1RK1 b - -,d8d1
1k5r/6R1/8/KP6/8/8/8/8 w - -,a5a6
r1b3k1/5pp1/p1pn1bqp/2Np4/3B4/2P2PP1/PP2Q2P/4RBK1 w - -,d4f2
2rq1rk1/np2bpp1/p3b2p/8/QP1p4/3P1NP1/3NPPBP/1R3RK1 w - -,f3e5
r2r2k1/pp2bppp/3pbn2/1B6/4PB2/2N5/PPP3PP/2KRR3 b - -,g8f8
1r1q1rk1/1b4np/pN1p1np1/P1pP1p2/3b1P2/R1N4P/1P2B1P1/2BQ1R1K w - -,e2f3
r1b2rk1/ppp2pp1/2nb1q1p/1R2p3/2P1B3/2PP1N2/P1Q2PPP/2B2RK1 b - -,a7a6
R7/5pp1/3k4/3pp2p/Nr4P1/3PK2P/5P2/8 w - h6,a8a6
8/1p6/5kp1/p3p3/2P1Pnb1/1P2KN2/2B5/8 b - -,f4g2
r1b2rk1/2q1nppp/p1pbp3/3p4/4P2P/2NB1Q2/PPP2PP1/R1B1R1K1 w - -,h4h5
2r2rk1/4ppb1/3p1Bpp/pNpP3q/P1P1PP2/7P/2Q3P1/3R1RK1 b - -,g7f6
2kr3r/pppqppb1/1n1pb2p/4P1P1/3P4/2N3Q1/PPP2PP1/2KR1BNR w - -,d4d5
rbbq1rk1/p3p2p/2p3p1/2p5/2Np4/1P1PP2P/PBP3P1/R2QR1K1 w - -,e1f1
r2qkb1r/1p1n1ppp/p1p1pn2/8/2QP2b1/3BPN2/PP1N1PPP/R1B2RK1 b kq -,c6c5
r2qk2r/1b2bppp/2n1pn2/p2p4/1ppPP3/2P2NP1/PPQN1PBP/R1B1R1K1 b kq e3,a5a4
2n5/4b3/8/p1P2kp1/1P3pN1/P1B2K2/8/8 b - -,c8a7
3r1rk1/pq3p1p/3R2p1/1pp5/6P1/PP4NP/1bP1RP2/4Q1K1 w - -,e2e7
6k1/nr3pbp/pp1rp3/2p1N1P1/2P2P2/P2PP3/6K1/BR1R4 b - -,f7f5
r2qkb1r/5ppp/p2npn2/1p1pNb2/3P1B2/1PN1P3/P3BPPP/2RQK2R b Kkq -,f8e7
rq3rk1/5pbp/3p2p1/pbnPpN2/1p2P1P1/5N2/PPBQ1P1P/1K1R2R1 b - -,g6f5
5k2/3Q4/5q2/8/7P/6P1/1p6/7K w - -,d7c8
8/7p/6pk/1pr1pp2/8/4N2P/5PPK/R7 w - -,a1a7
1r3k2/2rbbp2/p3p1p1/3p3p/3N1P2/P1PR2P1/1P3R1P/2KB4 w - -,h2h4
3r1rk1/pbq2p1p/4pbp1/2p5/4N3/1BP4P/PP3PP1/2QRR1K1 b - -,f6g7
r4rk1/pp3pbp/2p2np1/3Np3/2b1P3/4B1PP/PP1q1PB1/R2R2K1 w - -,d5f6
r5k1/4p1bn/p2p4/1p1N3p/7q/1N2Q3/PPP5/R6K w - -,h1g2
r3kb1r/pp3ppp/2n1pn2/3p1b2/3p1B2/1PP2NP1/1P2PPBP/RN3RK1 w kq -,f3d4
r3k2r/pp1qppbp/2np2p1/2pn1b2/Q1P5/P2P1NP1/1P2PPBP/R1B1K2R w KQkq -,c4d5
r2r2k1/p3qpp1/1n1Pp1b1/p1N5/1PP2BP1/P3QP1p/7P/2RR2K1 b - -,e7e8
5r1k/3nq1p1/2p1BnQr/pp2p1N1/Pb6/2N3P1/1P3P1P/3RR1K1 w - -,g5f7
3r3k/pp4p1/3b1n1p/5p2/7P/3R2P1/PPP5/1K3R2 w - -,f1f5
1r1q1rk1/pb3pbp/1pnp2p1/3N4/4PBB1/PN6/1nP2QPP/4RRK1 w - -,f4g3
r2r2k1/1pq1bppp/p1b1pn2/P1p1P3/2B2P2/2N1B3/1PP3PP/R2Q1RK1 w - -,d1e2
r2qr1k1/pp3pbp/1np1bppB/8/3P4/5N1P/PPPQ1PP1/1K1R1B1R b - -,a7a5
q1rr2k1/pb2bpp1/1p1ppn1p/4n3/2P1P3/P1N3B1/1P1N1PPP/2RQRB1K w - -,f2f4
r2q1r2/p6k/1p4p1/2pNQ2p/2P1Pp1b/P2P1P2/5P2/1R3RK1 b - -,d8g5
3r1rk1/pp3p2/4p1n1/7p/1P6/3Q1pP1/PB1P1q1P/1R4RK w - -,d3c3
1Rn5/3r1p1p/p2P4/2pk4/8/P2K1PB1/6rP/3R4 b - -,c8d6
4r1k1/2bq1ppp/2p5/1p3PP1/1P1PQ3/7P/3B4/5RK1 w - -,e4d3
8/5pk1/7p/P5p1/6n1/1N6/r4PP1/5RK1 b - -,a2b2
r3k2r/p4ppp/2nq4/1b1pN3/2PP4/8/2P1BPPP/R2Q1RK1 b kq -,b5c4
3r1rk1/pp1q1pp1/2nb1p1p/5b2/2BP4/P1N2N1P/1P2QPP1/R3R1K1 b - -,d6b8
8/1p1k1p2/p2pbBp1/2r1P2r/P1P2R1p/1P6/6PP/3R2K1 b - -,c5c6
r2qk2r/p1pb1ppp/1b6/2ppP3/5P2/4BN2/PPPQ2PP/R4RK1 b kq -,d5d4
r1b1k2r/1p2ppb1/pq3np1/2n1p2p/3N4/1BN1BP2/PPPQ2PP/2KR3R w kq -,c3a4
3nrk2/2p1rp2/2p5/p2pP1pp/5P2/PPR2KPB/2P4P/3R4 w - -,h3f5
r3r3/3b2k1/pp1p1Pp1/1p1P2n1/4p2p/2PBN2P/PP3PP1/2R1R1K1 b - -,g7f6
8/p5pk/1p6/1P4P1/2P1Q3/5PK1/8/2q5 b - -,h7g8
r1b1k2r/1p2bppp/pqn1p3/3p4/5B2/P1N2Q2/1PP1BPPP/R3R1K1 w kq -,b2b4
3rrk2/2b3p1/p3qpQ1/2p2p2/2P4R/4P3/1P4PP/2B2RK1 b - -,e6g8
4R3/p2N1ppk/4n3/2p5/8/2r5/5PK1/8 w - -,d7e5
8/2R5/3pk3/2p2p2/5Kp1/8/8/8 b - -,g4g3
7k/1pp1rqpp/1p1p1R2/1B1Pn2P/3N2b1/P4pP1/1PPQ1P2/2K1R3 b - -,f7f6
4r1k1/4qpp1/1n2b2p/pN1p4/1p1P4/P6P/1P2QPP1/1Br1R1K1 w - -,e1c1
1q2rrk1/pbbn1ppp/1pp1pn2/2P5/3Pp3/1P3N2/PBQN1PPP/1BR2RK1 w - -,d2e4
r1b2rk1/1pq1bppp/p2ppn2/8/1P1NP3/2NP4/P2BQPPP/R1R4K b - -,c7d8
8/5p1p/1pbk4/P7/2P2P2/3KN2P/P7/8 b - -,b6a5
r1r1b3/4b1k1/pp1p2pp/3Pp3/P2qB3/3QN1P1/1PP2PK1/R3R3 w - -,d3d4
8/7p/6p1/8/1rp5/2k5/5PPP/3R1BK1 w - -,g2g3
r2qkb1r/1p1n1p1p/p2pbnp1/4p3/4P3/2N1N1P1/PPP1QP1P/R1B1KB1R w KQkq -,f1g2
2r2rk1/pb1nqppp/1ppbpn2/8/2PPp3/1PN2N2/P1QBBPPP/3RR1K1 w - -,c3e4
5rk1/1pr1nppp/p2qpn2/3pN3/3P1P2/2PQ2P1/PP1N3P/R3R1K1 w - -,a2a4
2r1k2r/p4ppp/B1n1bp2/2bN4/4p1P1/8/PPP2P1P/2KR2NR b k -,c8b8
2r4r/5ppp/2k1pn2/1p6/1b1P1P2/3B4/1P4PP/R1B2RK1 w - -,f4f5
r4rk1/6p1/2p1p1Pp/8/1P1P1q2/pP6/P3Q2R/K2R4 b - -,f4f5
r1bq1rk1/pp2n1bp/2np2p1/2p1pP2/2P5/P1NP1NP1/1P3PBP/R1BQ1RK1 b - -,c8f5
2k5/5pBp/8/p1p5/Pp5P/1P1n1P2/4KP2/r7 w - -,g7a1
r1b2rk1/p3qpp1/1p2p2p/2pnN3/3P4/2P5/PP2BPPP/R2Q1RK1 w - -,e2f3
r3r1k1/p2bqppp/8/2p5/3Np3/4Q2P/PPP2PP1/R3R1K1 w - -,d4b3
r3kb1r/pp2ppp1/1n4bp/3p4/8/4PPPN/PP2P1BP/R1B2R1K w kq -,h3f4
5k2/1R3p2/p6r/K3P1N1/P6p/2n5/8/8 b - -,h6h5
r1b2rk1/pp2ppbp/n2p1np1/2q5/2P5/1QN3PN/PP1BPPBP/R3K2R w KQ -,h3f4
8/8/8/1R4p1/1P2pk1p/r6P/5KP1/8 w - -,b5b8
4r3/8/8/8/5pk1/3K4/6p1/5R2 w - -,f1g1
2r5/pR4p1/4n1kp/4bN2/8/8/PPP1K3/8 w - -,c2c3
rnbqk1nr/pp1p1ppp/4p3/2pP4/2P5/2b5/PP2PPPP/R1BQKBNR w KQkq -,b2c3
3r3k/6p1/3BQb1p/pp1P4/2q1R3/P6P/6PK/8 b - -,c4d3
1rb2rk1/p1Npnppp/2n5/2p4q/2N1P3/2P1Q3/PP3PPP/R3KB1R b KQ -,c6e5
r6k/5pbp/3p2p1/P1r5/1p1pPP2/3P1R1P/1P4B1/R5K1 w - -,a5a6
r1bqk2r/1p2b2n/pR1p4/3NnRp1/4P1P1/4B3/P1PQB3/6K1 w kq -,f5f1
1r6/3k1b1p/6P1/rPp1p3/P1Pp4/1K1B4/R5PP/4R3 b - -,h7g6
3R1n2/1p3pk1/1rp1bNp1/4P2p/p4P2/1P4PP/P5B1/6K1 w - -,f6e8
r1q2rk1/pb1n1pbp/1pp1p1p1/8/2PP1B2/5NP1/PP2QPBP/R2R2K1 b - -,f8e8
r1bq1rk1/1p3ppp/1pnp4/2pNp1b1/2B1P3/3P4/PPP2PPP/R1BQK2R w KQ -,c1g5
2n5/b1p2ppk/p3q2p/Prr1p3/R1N1P3/2PQ2P1/3N1PKP/R7 w - -,a1a2
8/2k5/pp5p/2q1p1p1/2P5/1P6/1KB2Q2/8 w - -,f2f7
6k1/2r2ppp/b2p4/p1rPp3/R1P1P3/6P1/5P1P/2R2BK1 b - -,g8f8
r1bqk1nr/1p1pppbp/2n3p1/p1p5/2P5/P1N1P1P1/1P1P1PBP/R1BQK1NR b KQkq -,e7e5
rnbqkb1r/pp2pppp/3p1n2/2p5/4PP2/1PN5/P1PP2PP/R1BQKBNR b KQkq -,g7g6
5k2/7p/4qbp1/8/8/3Q1P2/4K1P1/3R4 w - -,e2f1
5rk1/4pnb1/p1q3pp/1pPr4/4N2P/2P1QN2/PP4P1/1K2RR2 b - -,c6d7
rnb2rk1/pp3pbp/5np1/q2N4/2B1p3/1Q6/PP1B1PPP/3RK1NR b K -,a5d8
8/2pk2p1/2p1p3/pp2P3/2Pn1P1p/1P1K3P/P5PB/8 b - -,d4f5
5rk1/1pb3p1/p4p1p/2p1rR2/P2pP3/1P1P2P1/2PB3P/5RK1 w - -,f5e5
3b4/8/p1b1k3/2P1pp1p/1P5P/2N2P2/4K1N1/8 w - -,e2f2
1n6/1P6/8/8/5n2/4k3/8/5K2 b - -,e3f3
8/1kp5/8/Qp6/6P1/8/5P2/3q1K2 w - -,a5e1
r1bq1rk1/pp2bppp/2pp1n2/2n1p3/4P3/1B1P1N2/PPPN1PPP/R1BQR1K1 w - -,d2f1
2qb1rk1/1p3pp1/p2pr2p/P2NpR1P/1PP1P3/2RQ2P1/5P1K/8 b - -,f8e8
6k1/3nq2p/ppp3r1/2p1pRPN/P3P2Q/1P1P4/2P4K/8 b - -,e7e6
rn2kb1r/pp2ppp1/1qpp1n1p/5b2/2PP1B2/1Q2PN1P/PP3PP1/RN2KB1R b KQkq -,g7g5
r2q2k1/p1r2pbn/1p1p1n1p/1PpPpPp1/R1P1P2P/1P2BBP1/R3Q2K/3N4 w - -,e3d2
2rq1rk1/pp3ppp/3bbn2/3pN3/8/6P1/PPQNPPBP/R1BR2K1 w - -,c2d3
1b1rk2r/1p1q1pp1/p1p2nn1/P2p4/3P3p/BP2PpP1/2PNB2P/R3QRK1 w k -,e2f3
6kr/4Rbb1/5p1p/1R6/p2p4/P2P3P/2P2PP1/6K1 b - -,g7f8
rnbq1rk1/ppppppbp/5np1/8/2PPP3/5P2/PP2N1PP/RNBQKB1R b KQ -,c7c6:d7d6
rnb1k2r/pp2ppbp/6p1/q1Pp4/2P2B2/2n1PN2/PP1Q1PPP/2R1KB1R b Kkq -,a5a2
6rk/1p1R2b1/7p/P3p3/1P4P1/6B1/6PK/8 b - -,g7f6
rn2qrk1/1ppbbpnp/p2p2pB/3Pp3/2P1P3/2N2N2/PPB2PPP/R2Q1RK1 b - -,f7f6
4br2/1n4k1/p4rpp/4p3/2p2P1P/1pP1K1R1/1P2N3/1B4R1 b - -,b7c5
