8/5k2/8/R5P1/4K3/p1P5/6r1/8 w - -,a5a3
2b3k1/6pp/1Rr5/5P2/6P1/2r2P2/P6P/5RK1 w - -,b6c6
3b4/6k1/2p1p3/p1p1n1p1/2P5/3qB1N1/5PK1/Q7 b - -,d8c7
r1bq1rk1/p2n1ppp/2pb1n2/1p1pp3/2P4N/1P1P2P1/PB1NPPBP/R2Q1RK1 b - -,a8b8
5rk1/r2np3/6q1/2pPp1pp/P1N1Pp2/1P3P2/1R2Q1PP/4R1K1 w - -,e1b1
3r2k1/1p5p/p5p1/3pbr2/P1p5/2P1BR1P/1P1Q1KPq/R7 w - -,f3f5
1q4k1/3r1p2/pB2n2p/6p1/1P6/P3QP1P/6P1/4R2K w - -,b6c5
2r1k3/3p1pp1/3B3r/p1P1Pp1p/q4P2/P7/3Q1K1P/3R4 w - -,d1g1
1n5r/2Rn1kp1/pb2p2p/1p1pPp1N/1B1P3P/P7/1P4P1/4KB2 w - -,c7b7
8/5pk1/5bp1/7p/2Np4/1P1R1QKP/5PP1/4rq2 w - h6,h3h4
1r3bk1/1prn1p2/p1p1p1p1/7p/1P1P1P1P/1NPB1KP1/1P2R3/3R4 w - -,d1g1
r3r1k1/1pq4p/p5p1/3P1pn1/3N1pPn/PP1P1P1P/R7/1N1Q1RK1 b - -,c7c5
6k1/2B5/6p1/5p2/P2r4/6P1/7P/6K1 b - -,d4a4
3r4/kbr4p/1q2p1p1/2n1R1P1/ppB5/4Q3/PPPN3P/2K1R3 w - -,c1b1
r4rk1/4ppbp/bn1p1np1/q1pP4/8/2N2NP1/PPQ1PPBP/1RB2RK1 w - -,f3d2
rnb1kbnr/pp2pp1p/1qp3p1/3p4/3PP3/2P5/PP1N1PPP/R1BQKBNR w KQkq -,g1f3
6k1/5pp1/7p/p3R3/1br2B2/3r4/P4PPP/1R3K2 w - -,g2g3
r3bnk1/6p1/q3p2p/3pP3/2pP1NBP/2P5/1Q4P1/1R4K1 w - -,b2b6
8/2k5/p1Pp4/P2b4/6p1/3K4/5B2/8 w - -,d3d4
q4rk1/3nnpb1/1pp1b1pp/3pp3/1PP5/1NNPP3/1BQ2PPP/4RBK1 w - -,e1a1
1qb2r1k/5p1p/p1Bp1b1p/1p2p3/4P3/2Q5/PPP2PPP/R3R1K1 w - -,c6d5
r1b2rk1/ppqn2bp/2pp1ppn/4p3/2PPPP2/2NB1NBP/PP1Q2P1/R4RK1 b - -,h6f7
r2qr1k1/1p1n1pp1/2pp1n2/p1b4p/2P3P1/P1N1P2P/1PQ2PB1/R1B2RK1 w - h6,g4g5
3r2k1/pp3p2/2p1pnBp/4P3/8/2P3PP/PP4P1/R5K1 b - -,f7g6
8/8/7p/5B2/b4K2/3N1p2/5Pk1/8 b - -,h6h5
r5k1/1pp2p1p/3pq1p1/p2N4/2P2Pb1/5nP1/PP3R1P/3R1Q1K w - -,f2f3
5r1k/pp3qpp/3b4/3p4/1P1PrP2/P2R4/3B2PP/3Q1R1K b - -,f7f5
8/7k/1p1r4/p2P1ppp/P3q3/Q3P1P1/5K1P/3R4 b - -,e4e5
5qk1/2Q2rbp/3p2p1/1b1Pp2P/2P1Pp2/1P5P/5PBK/4NR2 w - -,c7a5
r3r1k1/ppqb2pp/2nbpp2/3p4/3P1P2/1P1N1B2/PBPQ2PP/R4RK1 w - -,g1h1
2rr2k1/p4pp1/2qbp2p/1p6/2P5/1P1N2PP/P1Q2P2/3R1RK1 w - -,c4c5
8/pk3pp1/2p1p2p/4P1PP/1PP2P2/1P1r4/8/2KR4 b - -,d3b3
r2r2k1/pb2bppp/2n3q1/2pp4/8/1PB1PNP1/PQ3PBP/R2R2K1 w - -,d1d2
r5k1/1p2r1pp/1qpbpn2/p1np3P/5P2/P2PPN2/1PP2QB1/R1B2RK1 w - -,f2h4
nr4k1/1rn1ppbp/q2p2p1/2pP4/P3P3/NPN5/2Q2PPP/BR3RK1 w - -,f1e1
4kn2/pq4pp/1p1r4/3n1PB1/8/7Q/PP4PP/R4RK1 w - -,a1e1
8/8/3k4/1ppn1P2/8/3K1B2/8/8 b - -,d6e5
r1bqrbk1/2pp1p2/p1n2npp/1p2p3/4P3/2PP1NN1/PPB2PPP/R1BQ1RK1 w - -,d3d4
8/5pbk/6pp/2Qq4/7P/4B1P1/5P1K/8 b - -,d5c5
r1bqkb1r/pp1p1pp1/2n1pn1p/2p5/3P3B/4PN2/PPP2PPP/RN1QKB1R w KQkq -,c2c3
5rk1/2R3pp/5p2/2KN4/P3P3/7r/3n4/R7 w - -,c5c6
2n5/6n1/p2pp1kp/1pr1p1p1/4P2P/PPNR4/2P1NPP1/6K1 w - -,h4g5
4R3/8/8/8/3k1p2/5K1p/r7/8 w - -,f3f4
5rk1/1p4rp/p2pp3/4b1p1/2P3P1/qP1N1P1P/P2QR1K1/3R4 w - -,d3e5
k7/1p3p2/p1p5/P7/5P2/8/1P4b1/6K1 w - -,g1g2
8/5kp1/2p2p1p/4p3/6PP/1nP1BK2/4PP2/8 b - -,f7e6
