8/8/6Bp/2KNk2P/p7/P7/2P5/1r6 w - -,d5c3
rnbqk2r/pp2ppb1/2pp1npp/8/3PP3/2N1BN1P/PPPQ1PP1/R3KB1R b KQkq -,b7b5
2rr2k1/p5pp/1p1Pp3/4Np2/1P1Q4/4P3/P3qPPP/3R2K1 w - -,d1f1
3rr1k1/1n1n1pp1/pq1p1b1p/1pp4N/3PP3/1P3N1P/PB1Q1PP1/1R2R1K1 w - -,h5f6
2r1r1k1/pp1nq3/2pnb1p1/2Np1p1p/1P1P1P2/3NP2P/P1Q3P1/R3RBK1 w - -,a2a4
rnbqk2r/pp3ppp/4p3/b7/2PN4/P1NQP3/1P4PP/R3KB1R b KQkq -,e8g8
r3r1k1/p5pp/Qp2q3/3b1p2/3P4/6P1/P2NPP1P/R3R1K1 w - -,a2a3
2rq1rk1/pp1nppbp/2b3p1/2P5/4P3/5N2/PPQ1BPPP/1RB1K2R w K -,b2b4
8/pb2k1pp/5p2/BPp5/P1r1p3/8/5P1P/R5K1 w - -,a5d2
r1bqk1nr/pp2bp1p/4p1p1/2npP3/6Q1/5N2/PPPN1PPP/R1B1KB1R w KQkq -,d2b3
r3kb1r/pppq1b2/2n2pp1/3p1p1p/3P3P/P1NBPQ2/1PP1NPP1/R3K2R w KQkq h6,e2f4
r1b1rnk1/pp2qp1p/2pp2p1/6Pn/3bP2N/2N5/PPPQBP1P/1K1R2R1 w - -,d2d4
8/2b4p/6p1/2pkpp2/1p4P1/1P1PKP1P/1BP5/8 w - -,e3f2
r4k1r/pp2qpp1/1n2p2p/4P1N1/4Q2P/Pb1B4/1P3PP1/R4K1R w - -,g5h3
r3r1k1/pb2qppp/1ppbpn2/8/2PP4/1P3N2/PBQ1BPPP/R3R1K1 b - -,d6b4
r4rk1/1bqn1pp1/p1npp3/6P1/Np2P3/3PB3/1PP3BP/R2Q1RK1 b - -,c6e7
r1b1kbnr/pp3p2/1nppp1pp/q2P4/4PP1B/1BN2N2/PPPQ2PP/2KR3R b kq -,c6d5
r2q1rk1/pN3pbp/6p1/3Q4/3pP2P/5P2/P4P2/R3K2R b KQ -,d8f6
1r2nrk1/2nq1pbp/pp1pp1p1/2pP1P2/P1P1P3/2NB1Q1P/1P1B2P1/R4RK1 b - -,b6b5
8/p1n5/1p1k1ppp/8/P3KPPP/1P6/8/5B2 w - -,f1c4
4k2r/p1q2p1p/n1p2Pp1/4p3/2P4Q/8/Pr4PP/1B1R1R1K b k -,a6c5
rnb1kb1r/ppppnpqp/8/1B1PP1p1/3Q1p2/5N2/PPP3PP/RNB1K2R w KQkq -,e5e6
8/7p/6p1/pp1k4/4p1P1/B1P1K2P/rP6/8 b - -,a5a4
5q2/1b2p2k/7p/2p2p2/1p1p1Q1R/1P1P3P/1P4P1/6K1 w - -,f4e5
5k2/4p3/6K1/2pP4/2P2R1P/8/7r/8 b - -,f8g8
6k1/p1rnRpp1/Pp1q1n1p/3P1b2/2P5/5Q1P/5PP1/4RBK1 b - -,f5g6
6k1/5p2/1b2r1p1/8/5P1P/6P1/2Q3K1/8 w - -,f4f5
8/4kp2/p3p1p1/1b1PP2p/1rp2P2/6P1/P2R3P/2R1K3 b - -,e6d5
2r2rk1/2bR1Rpp/Q3p1q1/2P1P3/1P6/8/1B6/1K6 w - -,b1a2
r1r3k1/pp1qppbp/5np1/3Pp3/2p1P3/2P1BP2/PP1N2PP/R2Q1RK1 w - -,d1e2
8/5pkp/6p1/8/2P1R3/5KPP/2r2P2/8 w - -,f3e3
r3kbr1/1p1b1p1p/1qn1p2p/pP1pP3/3P4/P4N1P/R4PP1/1N1QKB1R b Kq -,c6e7
r1br2k1/pp3ppp/1qn1p3/3pP3/3NnP2/2N5/PPPQ2PP/1K1R1B1R w - -,d2e3
r6k/pp3pp1/2p5/6Pb/3P3P/P1K5/2B5/5R2 b - -,a8e8
