8/7r/3kP3/4Rp2/2p2P2/2P4P/3K4/8 b - -,d6e7
r1b2k1r/pp1q1p2/2p1pB2/3n1p1p/3P4/1B3Q2/PPP1NPPP/R4RK1 b - -,d5f6
r4rk1/1b4pp/1q1p4/pP2n3/1Pp1pP2/B1N5/B1P3PQ/R4R1K b - -,e5g4
r3qrk1/1pp1b1p1/2n1bn2/3p1p1p/p2P1P2/2P1NNPP/PPQ3BK/R1B2R2 b - -,f6e4
1r2r1k1/R4pp1/4p2p/4N2P/4n3/4P3/P1P3P1/K2R4 b - -,b8b5
2r1k2r/pp2p1b1/4b2p/q3Pnp1/8/2N2NB1/PP3QPP/3R1RK1 w - -,f3d4
r1b1kb1r/2qn1pp1/p2ppn2/1p5p/3NP3/P1N1BP2/1PPQB1PP/2KR3R b kq -,a8b8
2q4k/p3p1rp/1p2Pp2/2pPb2Q/2P1P1pR/8/P5PP/1R5K b - -,c8g8
8/2p3kB/3p4/1p1P4/r2n1P2/4K1P1/3R3P/8 b - -,d4b3
2kr3r/pbqnb3/1pn1p1pp/4P3/1pPp4/P2P1NP1/3NQPB1/R1B1R1K1 w - -,a3b4
r1bq1rk1/ppppbppp/5n2/1B1PP3/1n3P2/2N5/PPP3PP/R1BQ1RK1 w - -,b5c4
6rr/1k1qbp2/2p1p1p1/1p1pP2p/pPnP1P1P/P1P1B1P1/4R3/R1Q1KB2 b - -,g8d8
8/8/3r1k2/2p1nppp/R1P5/2P3PP/P4P2/6K1 w - -,a4a5
8/7p/r5k1/2p5/P1R5/4P3/4KP2/8 b - -,a6a5
b5k1/B4ppp/n3p3/1N6/5P2/3N3r/2K5/8 w - -,b5d6
k1r5/p6p/1p3p2/1P1p1N2/P2P3P/2p5/5P1K/2R5 b - -,c8c4
8/1pp2pk1/1b1p4/3P1P2/1PR3Pp/7P/8/1r3B1K w - -,h1g2
rnbqk1nr/ppp2ppp/3b4/8/2BP4/2N5/PP3PPP/R1BQK1NR b KQkq -,g8f6
4k2r/p1p1b1p1/1pp1p3/4Pn1p/4NB2/7P/PPP2PP1/3R2K1 w - -,e4g5
r3k2r/4p2p/pq1pR1p1/6Q1/1p3PP1/7P/PPP5/1K1R4 b kq -,a8a7
2R5/1r3ppk/rP5p/3p4/3Nb3/4P3/1R4PP/6K1 w - -,c8c6
r2r2k1/1p3ppp/2p1b1n1/p1R5/P7/4P1B1/1P2BPPP/3R2K1 b - -,e6b3
8/1R6/p5k1/4p2p/1P5P/r4PPK/8/8 w - -,b7a7
1r6/6k1/4b1p1/p2p4/2pP4/1PR5/P3BKPP/8 b - -,g7f6
r3k2r/1bq2p2/pb1p1nnp/4p1p1/1pP1P3/1N1B3P/PP2QPPB/3RKN1R w Kkq -,e2c2
r4rk1/5pbp/1q1p2p1/p1pPp1B1/1p2P3/2P2Q1P/PP3PP1/4RRK1 b - -,f7f5
rn1q1rk1/ppp1ppbp/3p2p1/8/2PP4/6P1/PP2PPbP/R1BQNRK1 w - -,e1g2
rqn5/2rbppbk/3p2pp/P1pP4/4P3/2N1BP2/1P1QB1PP/R4RK1 w - -,a1a2
8/p1b2k2/2p3p1/p3p3/P1N1P1KP/1P3P2/8/8 w - -,h4h5
r1b1k2r/ppqp1ppp/2n1pn2/8/1b2P3/1NN5/PPPB1PPP/R2QKB1R w KQkq -,c3b5
rn3rk1/pb1pq2p/1p1pp2n/5pp1/2PP4/P1NBPN1P/1P3PP1/R2QR1K1 w - g6,f3h2
r3kb1r/1p1b1ppp/1qn5/p2pPp2/3P4/P1N2N2/1P3PPP/R1BQ1RK1 b kq -,d7e6
4r1k1/2bq1ppp/2p5/1p3PP1/1P1P4/3Q3P/3B4/5RK1 b - -,d7d5
4r3/pp3qk1/2p2p1p/2Pb1Qp1/1P1Pp2P/P3R1P1/5PBK/8 b - -,f7g6
r3k2r/pp3ppp/2n1pn2/q7/1b1P1Bb1/2N2N2/PP2BPPP/R2Q1RK1 w kq -,c3b5
5b2/2R3pp/5k2/5p2/p7/7P/5P2/5K2 w - -,c7a7
rnbqkb1r/3ppp1p/p7/1PpP1p2/8/8/PP2PPPP/RN1QKBNR w KQkq -,e2e3
