8/4kp2/2R3p1/r7/4p3/4N1KP/5P2/8 b - -,a5g5
8/8/PR4p1/4pk1p/1bP4P/1P6/r5P1/5K2 b - -,b4c5
5r2/1qpn1Nbk/R5pp/1P2p3/2B1P3/2P5/2Q2PPP/6K1 b - -,d7b6
3r1rk1/1bq1bppp/p2ppn2/1p6/3BPP2/P1N3Q1/1PP1B1PP/3R1R1K b - -,d8d7:f8e8
2rqr1k1/3nbppp/bpp1pn2/p2p4/2PN1P2/1PNPP1P1/PB2Q1BP/R4RK1 b - f3,e7c5
6r1/1pb1kp1p/p2pp3/P3n1p1/2r1P3/1NB2P2/1PPR2PP/3R1K2 b - -,e5c6
1r2k2r/4bpp1/p1bppn1p/q7/1p1QP1PP/4BP2/PPP5/1KNR1B1R w k -,f1c4
r3kb1r/p4ppp/2b1p3/3pP3/3P4/5N2/Pq3PPP/RN1Q1RK1 w kq -,b1d2
8/8/7p/5p2/5P2/2nk1K1P/1p6/1N6 w - -,b1a3
r2qk2r/1p2bp1p/p1N1p1p1/1N1pPb2/5P2/2P1B3/PP3QPP/R4RK1 b kq -,b7c6
r2qk2r/ppp1bppp/2np4/8/8/2P1BP1P/PPPQ1P2/R3KB1R b KQkq -,e7f6
r1b1k2r/ppq1npbp/2n1p1p1/2pp4/4P3/2PP1N2/PP1NBPPP/1RBQ1RK1 w kq -,b2b4
4rrk1/5qb1/2npb1pp/1p1Np3/1P1n2P1/3PQ2P/1B3PB1/R3NRK1 w - -,e3e4
8/5k2/3p3R/2pP4/5K1N/1p4P1/r2n4/8 w - -,h4f5
1r3rk1/pq4pp/1p2pp2/4N3/3PPn2/PQ3P2/1P4PP/R3KR2 w Q -,e5d3
3r1r2/2q1nkp1/5b1p/3RNQ2/2p1p1N1/2P4P/1P3PP1/4R1K1 b - -,f7g8
8/5p2/4p2p/1N2P3/2b2k2/P1r5/1R3K1P/8 b - -,c4b5
r1bq1rk1/ppp2pb1/3p2pp/4n3/2P1P1n1/2N2N2/PPQ1BPPP/R1BR2K1 w - -,f3e5
5r1k/1pp1Rpp1/pb1p1n1p/3P1B2/PPP4P/2B3P1/5PK1/8 b - a3,a6a5
1k2r3/1pb2p2/2p5/4n1Q1/8/2P1N2q/1PK3N1/5R2 w - -,g5f5
4rrk1/p1pn1pbp/1p1p1qp1/3P4/2PpPP2/1N1B1Q2/PP4PP/1R3RK1 b - -,f6h4
3rr1k1/1p2bppp/1qp1p1b1/p2n4/2BPNP2/2P3N1/PP3RPP/2QR3K b - -,e7h4
3q3r/6bk/2br1p1p/1pp5/p2B2Q1/P2PN2P/2P2PP1/1R2R1K1 b - -,c5d4
3qr1k1/r4pbp/p2pb1p1/npp1p2n/4P1N1/2PP1Q1P/PPB2PPN/R1B1R1K1 w - -,c1h6
8/p6k/1p2P2b/3p4/8/5bNK/PP5P/8 b - -,d5d4
1R6/8/2r3kp/5p2/7P/6PK/5P2/8 w - -,b8f8
2B5/7p/3k2p1/3p2P1/3K4/4P3/6bP/8 w - -,h2h4
1r1r2k1/p5bp/3p1nb1/2p1p3/1p3p2/3B1R2/PPPB1N1P/4R1K1 b - -,b8c8
r1bnk2r/2q1b2p/6p1/p2pP3/P1pP4/1pP1B1PP/1P2Q1B1/RN3RK1 b kq -,c8e6
R7/7k/1Pp3rp/3p1B2/3bp3/6P1/6K1/8 w - -,b6b7
4rk2/R7/6pb/3N4/2p5/3n2KP/P1B5/8 b - -,e8e5
1r3r2/1bq1n1kp/p2p2p1/3Pp3/BR2Nn2/2P2N1P/3Q1PP1/1R4K1 b - -,b7d5
3r1rk1/pppn1pp1/1b2b1np/4p3/4P3/2P2NB1/PPB2PPP/RN2K2R w KQ -,b1d2
5rk1/p5pp/1ppq1n2/3p4/1P1P4/P3P2P/2Q2PP1/2RR2K1 b - -,f8c8
r1bqk2r/pp2n1bp/3p1pp1/2p1p3/4P3/2NPPNP1/PPPQ2BP/R3K2R b KQkq -,c8e6
1r4k1/p1Q1Bp1p/6p1/8/8/1q4P1/5P1P/3R2K1 w - -,d1d8
