8/8/k3p3/P1r5/4K3/5P2/8/R7 w - -,f3f4
r3kb1r/pp1b1ppp/2n1p3/2pp4/3P1Bn1/1PP2NP1/1P2PPBP/RN3RK1 b kq -,c5d4
3r1rk1/ppq1ppbp/2p3p1/3n4/3PN1b1/1BP2NP1/PP1Q1PP1/R3R1K1 w - -,d2g5
3b1k2/p3npp1/1p5p/4P3/2B2P2/4B1PP/PP4K1/8 w - -,g2f3
3r3k/p1p3bp/5p2/Pp3P2/3pP1QP/1P1q1N2/8/6RK b - -,g7h6
3r1rk1/pp1qpp1p/1n4p1/5b2/2PNNP2/1P2Q3/P5PP/R4RK1 w - -,d4f5
5r2/8/2P5/4K3/2R3p1/5k2/8/8 w - -,c6c7
8/1p6/3k1bp1/Pp3p1p/RP3P2/4KpP1/7P/8 w - -,a4a2
8/pp2k2p/2p5/8/5P2/5n1P/PP2NP2/5K2 b - -,e7f6
2kr1b1r/ppp2ppp/2nq1n2/3p2N1/3P2b1/2N5/PPP1BPPP/R1BQR1K1 b - -,g4e6
8/8/5kp1/p7/1p3PKP/1Pb2N2/P3R3/3r4 b - -,d1d5
r1bq1rk1/pp3p1p/1n1bp1p1/8/3P4/P1nQ1N2/1PB2PPP/R1B1R1K1 w - -,b2c3
1r1q1rk1/1pp1n1b1/3pbnpp/1P2pp2/2P5/2NP1NP1/1B2PPBP/R2Q1RK1 w - -,a1a7
1r2r1k1/1p2pp1n/p2p2p1/2pP4/P1P1PPp1/2b1B2q/1P1Q1R2/R5KN w - -,d2c3
1r6/pb2pk2/5pNp/q2n4/8/6P1/P3PPBP/Q2R2K1 w - -,a1d4
8/1pk4p/2r3p1/4p3/4PnPP/P2R1PK1/8/8 w - -,d3b3
1r4k1/1rq1ppb1/b2p2p1/2pPn2p/P7/1PN3PP/2QBPPB1/1R1R2K1 w - h6,f2f4
1q1r4/4npkp/1pRbp1p1/1P1pN3/3P1P2/1P4P1/Q3P1BP/6K1 w - -,c6c2
8/1p1k4/1p2p2p/2p2p2/2P2P1P/1P2P1K1/P2R3R/3r3r b - -,d7e7
n3b2r/1p2q1kr/p2p1p1p/2pPpPp1/2P1P1PP/1PN1KB1R/P6Q/6R1 w - -,f3e2
r1b1n2r/ppknq3/3p1ppp/2pPp3/2P1PP2/2PBN1P1/P4R1P/2BQ1RK1 b - -,h6h5
r1bq1r2/ppp2pk1/2n3P1/6NQ/2B2p1P/3P4/PbP2P2/R3K2R w KQ -,h5h7
4rbk1/1p3p1p/pB4p1/P6q/2P5/1P1Q1PP1/3R2KP/8 w - -,h2h4
r1b2rk1/1p4pp/pqnbpn2/3p4/3P4/2NB1N2/PP3PPP/R1BQR1K1 w - -,c3a4
2rbk2r/qp1n1p2/2p1p1p1/3pP3/1P1P1PPp/PN3RnP/1B1QB1K1/2R5 b k -,d8e7
1k1r3r/pppqbppp/6n1/1P2nb2/Q1PpN3/B5P1/P3PPBP/R2RN1K1 b - -,e7a3
3r1rk1/1p2nppp/p3b3/2qpp1b1/4P3/2N2BN1/PPP2PPP/1R1Q1RK1 w - -,e4d5
2r2rk1/pbq2npp/1pp1p3/3pPp2/2P5/1P3PP1/PBQRP1BP/3R2K1 w - -,c2c3
r1bq4/ppp2rbk/7p/5n2/2Pp2PN/1P1Q4/P4PBP/R4RK1 w - -,h4f5
5Q2/5b2/6kp/8/4pp1P/8/3q1PPK/8 b - -,d2d5
5rk1/1ppn1ppp/p2br1q1/2p1pN2/4P3/3PBQ1P/PPP2PP1/R4RK1 w - -,f3e2
1r3rk1/pp1bq1pp/2pb4/3p1p2/3Pn3/P1N1PN1P/1P1QBPP1/R3K2R w KQ -,d2c2
r1b1k2r/2q2pbp/p2p4/4npP1/pPPN4/4B1Q1/P3B2P/R4RK1 b kq c3,e8g8
1rr3k1/1p2bpp1/p1bppnp1/8/P1P3P1/1PN1B2P/4PPB1/2RR2K1 w - -,e3a7
r2r2k1/2p1q1pp/1n3p2/1pp1p3/p3P3/P2PPQNP/1PP2RP1/R5K1 b - -,b6c8
2b2r2/r5k1/p3p2p/3pp2p/8/4R3/PPP1B1PP/1K5R w - -,e3e5
r5k1/p4bpp/5p2/4p3/4n3/2P1P3/P5PP/3RR1K1 w - -,a2a3
2r1kb1r/1pq2ppp/p2pp3/4n3/3RPBn1/N1P2N2/PP2QPPP/R5K1 w k -,h2h3
r4rk1/pp2qpbp/1np1p3/5p2/2PPb3/1P2BNP1/P2Q1PBP/3R1RK1 w - -,f3h4
8/p4r2/1p2r1kp/3R1p2/3P2p1/1P4P1/P4K1P/5R2 b - -,f7c7
r1bq1rk1/pppn1p1p/3p1nPQ/8/3P4/2N2p2/PPP1PPP1/R3KB1R w KQ -,g6h7
r2q1rk1/p5bp/1pp1p1p1/2np1n1P/5P2/2N5/PPPQBBP1/2KR3R w - -,e2f3
8/8/8/2p2p1p/5P2/1P4P1/P2kRK1P/3r4 b - -,d2d3
