8/8/4n1p1/4k3/5ppP/8/3N1K2/8 b - -,e6c5
8/p7/1p1r1qk1/4Rp1p/2Pp1Pp1/1P1Q2P1/P6P/5K2 w - -,f1e2
r4rk1/ppqbbppp/4pn2/2n3B1/3N4/2P3N1/PPB1QPPP/R2R2K1 b - -,h7h6
3q1rk1/p2b1pb1/2np2pp/1r1Np3/1P6/3PP1P1/3B1PBP/1R1Q1RK1 w - -,d1a4
r2qr1k1/2p1b1p1/p1nppn1p/1p2p3/4P3/P1PP1N2/1P3PPP/R1BQRNK1 b - -,d8d7
3r4/1pr3k1/nqbNp1p1/pB1pPp1p/Pn1P1P1P/BPR3P1/3R2K1/2Q5 b - -,g7g8
r1bqnrk1/ppp2pbp/3p2p1/3Pp3/2P1P3/2N1BP2/PP1QB1PP/R3K2R w KQ -,g2g4
r3rbk1/1pqn1ppp/p1pp1nb1/8/2PNP3/1QN2P2/PP2BBPP/2R2RK1 b - -,a8d8
6rk/1p3rqp/p1b1pb2/3p1p2/1B1P1P2/5NPR/PP1Q2K1/2R5 b - -,f7d7
8/4R3/6p1/3k4/5P1K/8/8/6r1 b - -,g1h1
1rb2rk1/2qnbppp/p2pp3/2p5/N1P1P3/1P4P1/PB1Q1PBP/R3R1K1 b - -,d7e5
r3r3/pp3pkp/2p2qp1/4p3/2nP2b1/2N1P1P1/PPQR1PBP/R5K1 w - -,c3e4
4r1k1/3nppb1/1p4p1/q1nP3p/2P5/p3BNPP/P3QPB1/1R4K1 w - -,f3d4
r1br2k1/1p2qp2/2pp3p/p1n1b1p1/2PNP3/1PN1R1P1/P3QPBP/3R2K1 w - -,d1d2
1r1q1r1k/1p1b2Bp/3p2p1/pP1N1p2/2P3n1/3PQ1P1/4P1BP/3R1R1K b - -,h8g7
6k1/pq3pbp/6p1/2R5/4r3/5NP1/P1Q2P1P/6K1 b - -,e4e8
2k1r1r1/p4ppp/8/2b1n2N/3p1B2/P7/5PPP/3RR1K1 b - -,e5d3
8/4b2p/4k1r1/pp1pPp2/2pP1B2/P1P3RP/1P5K/8 w - -,g3f3
3r1rk1/pp4pp/2pqRpn1/3n4/3P4/P2Q1NPP/1P3P2/1B2R1K1 b - -,d6d7
rq3rk1/4ppbp/2bp1np1/1P6/2pBP3/2N2P2/3QB1PP/R2R2K1 b - -,c6b7
6r1/8/8/5p2/3n1k1p/R6P/5P2/5K2 b - -,g8d8
r2q1r2/3pnpbk/p1p3pp/1p2P3/4RB2/1P3N2/1P1Q1PPP/R5K1 w - -,h2h4
6r1/1pk3rp/p1bp4/8/1PP1P2Q/7B/P6P/7K w - -,h3g2
r2r3k/1pbbq1p1/p3p1B1/6P1/7P/1NPRB3/2QK4/1R6 b - -,d7b5
8/p4rk1/1p5p/n2r4/2p1Rp2/2Pn1N2/1P3PKP/R1B5 w - -,f3d4
r4rk1/pp1qn1bp/2np2p1/2pNpp2/1PP1P3/P4N2/3P1PPP/1RBQ1RK1 w - f6,d2d3
1r4k1/p2q1p2/1p1p2pp/3Pb3/1PPp4/P2P2PN/4R1K1/5Q2 w - -,h3f2
r2qkbnr/pp1n1bpp/2p1pp2/3pP3/3P1PPP/2N1B3/PPP1N3/R2QKB1R b KQkq -,h7h5
rnbqk2r/ppp1p1bp/3p1np1/5p2/3P4/2P3PN/PP2PPBP/RNBQ1RK1 b kq -,e8g8
r4rk1/pp2b1pp/1qb1p2n/4Pp2/2pQ1P2/1P4PB/P3N2P/R1B2R1K w - -,h3g2
1r1q1rk1/3nbpnp/p2p4/2pPp1pb/2p1P3/1P1Q1PPB/P2BN2P/R2N1RK1 w - -,d3c4
r1bqk2r/ppp2pb1/3p1n1p/3Pn1p1/3NP3/2N1B3/PP2BPPP/R2QK2R w KQkq -,e2b5
6k1/pp3bp1/7p/5p2/8/PP4PP/3Np3/4K3 b - -,f7h5
r4rk1/2q1bpp1/p3pnp1/1pn5/4P3/2N2P1P/PPQBB1P1/2KR3R w - -,c1b1
5rk1/1p5n/p1pR2p1/2P4p/4Pr2/2N4P/1P6/3R2K1 b - -,g8g7
8/4k3/3np1p1/2n1p2p/1p2P2P/4KPP1/1P3N2/5B2 b - -,e7f6
1b2b3/4k2p/6p1/pp2P3/3KPN2/P4NP1/1P5P/8 b - -,b8a7
8/3r1pp1/1k2b3/1pp3Pp/p3P2P/2PPK3/8/R4R2 w - -,d3d4
8/2pb1p2/pp1k2p1/3P3p/P1PK1P1P/1BP3P1/8/8 b - -,c7c6
2rr2k1/3nbppp/pp2pn2/2pp4/P1PP4/1P2P1P1/1B2NPNP/2RR2K1 b - -,c5d4
r3r1k1/ppn1qppp/2p3b1/4N3/3Pp3/1P2B1PP/P1Q1PPB1/4R1K1 w - -,e5g6
8/7k/3p2r1/2pPp2P/p3P2K/8/1PP5/8 w - -,h5g6
r5k1/1ppn2pp/1p1pq3/4p3/4P3/P2P3P/1PP1QrPN/5RK1 w - -,f1f2
4rrk1/ppp3pp/1bnq4/3p3b/P2P4/2P1BN1P/4BPP1/R2Q1RK1 w - -,f1e1
2r3k1/5pbp/p2pp1p1/7n/2NP4/3R2P1/P3QPBP/1q2B1K1 w - -,c4e3
r2q1rk1/p2nbpp1/1p2p3/4N1Bp/3P2b1/1QN5/PP3PPP/R4RK1 w - -,e5c6
r1qr2k1/1b1nBpp1/pp2p2p/8/8/2PBPP2/P1Q3PP/3RK2R b K -,d8e8
6k1/5pp1/2n1p1p1/3pP1P1/3P1QP1/1rB5/q6P/5R1K w - -,f1f3
r1bk2nr/ppp2p1p/6p1/4p3/8/1PN1P3/P1P2PPP/R3KB1R b KQ -,g8f6
r4rk1/pbpnqppp/1p2pb2/8/2PPN3/P4N2/1PQ2PPP/3RKB1R b K -,c7c5
6r1/1p4P1/2p2k2/p5R1/P1P2N1p/6p1/1P3nP1/5K2 w - -,g5a5
3qr1k1/1p3p1p/p2p2p1/3P2P1/3p1P2/3Br3/PPP4P/1K1RbRQ1 b - -,d8a5
