8/8/5p2/2R3pk/3r4/5PK1/8/8 w - -,c5a5
rn3rk1/1pq2pbp/p2p2p1/2pP2Bn/P3P1b1/2N5/1P1NBPPP/R2Q1RK1 b - -,g4e2
r1b1r1k1/ppp2pp1/8/2p4p/3n1Pq1/3PB1NP/PPP2QP1/R4RK1 b - -,g4g6
8/6k1/7p/2Q3p1/1P6/6P1/q4PK1/8 b - -,a2a8
5k2/1p6/p3ppp1/P2b1r2/1R6/P1B5/6PP/6K1 w - -,b4b2
8/8/4r2p/3R1pkP/6p1/6P1/5P2/5K2 w - -,f1g2
r3k2r/p4ppp/2p1p3/2Pb2B1/1R6/2n3P1/1P1NPP1P/4K2R w Kkq -,e2e4
2r1k2r/q2bbp1p/p2ppp2/1p6/3NP3/1P1Q2P1/P1P2PBP/R4RK1 b k -,a7c5
5rk1/RR3n1p/4r1p1/2pNp1b1/4p3/P1P1N1P1/5PKP/8 w - -,e3c4
1r3rk1/5pp1/p4n1p/1ppq1P2/3p1Q2/3P2PN/PPP3KP/4RR2 w - -,g2g1
1k6/1p6/p7/2Pq3p/4p1p1/P1QpK1P1/5P1P/8 b - -,d5f5
r3brk1/4qppp/4pn2/pp2N1B1/3P4/4P3/P1Q2PPP/1RR3K1 w - -,g5f6
r1b1r1k1/pp3pp1/5n2/q6p/2Pn4/6P1/PBQ2PBP/3R1RK1 w - -,d1d4
r2qkb1r/p2n1ppp/np2p3/2ppP3/3P1N2/2P5/PP1N1PPP/R1BQK2R b KQkq -,f8e7:a6c7
2r2rk1/pp1bppB1/3p2p1/3P3p/3N3P/1P3P2/P1PR2P1/1K5R b - -,g8g7
5r1k/7P/8/5BK1/8/8/4R3/8 b - -,f8d8
r1b2rk1/pp2bpp1/3p1n1p/4p3/2B1P3/5N2/PPP2PPP/R1BR2K1 w - -,d1e1
r1b1r1k1/pp3pp1/1qp2n1p/3p4/3P4/P1NBPP2/1PQ3PP/3R1RK1 w - -,c3a4
1r4k1/p3bpp1/r2ppn1p/q7/1p1NP2B/P6P/1PPQ1PP1/1K1RR3 w - -,f2f4
r4rk1/pp1n2p1/2p4p/8/R2Pp1Q1/1q2P3/5PBP/R5K1 b - -,b3f7
r1rq2k1/pp2pbbp/2np4/4P1p1/2P2PP1/1PN1BB2/P2Q4/2R2RK1 b - -,g5f4
r1b1k1nr/b1q2ppp/p1p1p3/3pP3/N1P2P2/8/PP2B1PP/R1BQ1R1K b kq c3,c7e7
2b3k1/1r6/p2rnq1p/1p1pN1p1/2pP1n2/2P2RB1/P1BQ1PPP/5RK1 w - -,e5g6
8/5R2/P7/2Bp2p1/3P1bk1/5p1r/5P2/6K1 b - -,h3h6
r3r1k1/ppq2pbp/2ppbnp1/4n1B1/2PNP3/1PN3PP/P2Q1PB1/1R2R1K1 w - -,f2f4
r1b1r3/2q4k/2p3pp/pp1pb3/4pP1N/P1P1P1P1/1PQN2P1/R3K2R b KQ f3,e5g7
r4rk1/p1p3pp/2pp4/8/4P2q/2N1B2b/PPP2NP1/R3Q1K1 b - -,h3e6
2kr3r/pp2qpnp/1np1b3/3p1B2/3P4/2N1PN2/PPQ3PP/1K1R3R w - -,f5d3
8/1p6/pPp1p2p/B2k3P/5P2/3K2P1/PP6/8 w - -,a5c3
r1bq1r1k/1p2n1bp/6p1/pPp1p3/2N1B3/2PPB1P1/1P5P/R2Q1RK1 b - -,f8f1
2N2k2/1p1n2pp/p5q1/8/Q7/8/PP3P1P/4R1K1 w - -,g1h1
2rqr1k1/pb4pp/1pp1pn2/5p2/1bPP4/1P3NP1/PB2R1BP/2RQ2K1 w - -,a2a3
r2q1rk1/1p1nbppp/2p1pnb1/p7/3P3N/1P4N1/PBP1BPPP/R2Q1RK1 w - a6,h4g6
r1bqkbnr/1pp2ppp/p3p3/n7/P1pPP3/2N1BN2/1P3PPP/R2QKB1R b KQkq -,g8f6
1r1q1rk1/pp3ppp/2pb2b1/3nN3/3Pp3/1QP5/PP2BPPP/R1B2RK1 w - -,c3c4
5k2/7p/5ppP/3Rb1P1/2p5/1p5K/8/8 w - -,d5d8
2r1r2k/p4ppp/4q3/1BR1n3/1P2b3/4B1Q1/P4PPP/3R2K1 b - -,e5c6
3r1rk1/p1q1bpp1/1p4p1/nQ1P4/2p1BPP1/2P2K1P/P2B4/1R2R3 b - -,e7c5
4k3/p7/5N2/4p3/2Rb3P/1P6/P5r1/1K6 b - -,e8f7
r1b1rbk1/ppqn1ppp/2pp1n2/4p3/N1PP4/1P2PN2/PBQ1BPPP/R3K2R w KQ -,c4c5
r1b1kb1r/3n2pp/1pp1p3/2P2pB1/qP1Pp3/2Q5/3N1PPP/1R2KB1R w Kkq f6,f1c4
r3rbk1/5p2/pp1qbnp1/3p1p1p/3P1N1P/1PN1P1P1/PQR2PB1/2R3K1 b - -,a8d8
8/8/4pk2/4p3/P2nP1Pb/3NB3/2p5/5K2 b - a3,h4g5
4b3/p7/1p2p3/3pNkpp/1P1P4/5KP1/P6P/8 b - -,e8a4
2rr4/2qp1pbk/1pn1p1pp/p1p5/2P1BP2/P2P2P1/1P1QNP1P/1R2R1K1 w - -,e2c3
8/Q5bk/bp2p1qp/3p4/1P6/P3R1P1/5P1P/6K1 w - -,a7a6
8/7k/6p1/2b1q2p/8/5Q2/P4pK1/5B2 w - -,a2a4
8/6R1/1p6/p1b4k/4B3/8/1P5P/3b3K w - -,h1g2
8/6p1/8/8/2p4P/3k2P1/3P4/4K3 b - h3,c4c3
