8/5Q1k/q4bp1/p6p/4B2P/6P1/5PK1/8 b - -,f6g7
r3k2r/1p3pb1/p2p1n2/n3pq2/7P/1BN1B3/PPP1QP2/2KR3R b kq -,a5b3
8/4kp2/4p2p/1q4p1/1P3P1P/2Q1K1P1/8/8 w - g6,f4g5
2br1nk1/3r1pp1/2pp4/p3p1p1/P3P1P1/7P/1PPR1P2/2NR1BK1 b - -,f8e6
r2q1rk1/ppp2pbp/3p1np1/4n3/4P3/2N4P/PPP1BPP1/R1BQR1K1 b - -,h7h6
2nqrbk1/1b1r1p1p/pp1ppnp1/8/P1NP4/1QP2B1P/1P1N1PPB/3RR1K1 w - -,f3b7
rn1q1rk1/1p3pbp/p2p1np1/2pP4/P3P1b1/2N2N2/1P2BPPP/R1BQ1RK1 w - -,c1f4:f3d2:h2h3
2r2rk1/p5p1/2p4p/2Rb1P2/1p1PpP2/4P1QP/3R3K/1q1N4 w - -,d2g2
2r1r1k1/bp3p1p/p4Bp1/8/3P1Q2/Pq4P1/1P3P1P/3RR1K1 b - -,e8e6
b1R2rk1/p4qp1/4p2p/3nBp2/3Nn3/P5P1/1Q2PPBP/5RK1 b - -,f8c8
2r2rk1/2q2p1p/bn2pp2/pp1pP3/1P4N1/2P5/P2QB1PP/2R2RK1 b - -,b6d7
4r1k1/3b1pb1/p5p1/1p4P1/2rPp3/P1N1B2P/1P1R4/2R3K1 w - -,h3h4
4r3/3nk3/8/3BPR2/1p1K4/8/2P5/8 b - -,e8f8
2rb4/5pk1/2r3p1/4p2p/1Pb4P/2R1B1P1/P2K1P2/2R2B2 b - -,c4d5
r1b2rk1/2qnbppp/pp2p3/2ppP3/Pn5P/BPNB1N2/2PPQPP1/R3R1K1 b - -,b4d3
br2rbk1/2q2p1p/pp1pp1p1/2n3P1/Pn2PP2/1PN1B3/2PRNQBP/5R1K b - -,f8g7:c5d7
2r1qr2/1p1nb2k/p1p1p1bp/P2nPp2/3P1P2/1N1N1Q2/1P2BB1P/R4RK1 w - -,g1h1
2b5/3p2pk/p1q1p1p1/2b1Pp1r/P6P/2p1B1Q1/1rPRNPP1/3R2K1 w - -,d2d3
r2qrbk1/2p2pp1/p1n1bn1p/1p2p3/3pP3/2PP1NNP/PPB1QPP1/R1B1R1K1 w - -,c2b3
3r2k1/p4ppp/6n1/8/P3Q3/1q2PK2/5P2/2R2B2 w - -,f1c4
r4rk1/p3q2p/1p2pnp1/2ppB3/5P1Q/1P1PP3/P5PP/R4RK1 b - -,f8f7
5k1R/5b2/5p2/3P4/p4P2/1n2K3/8/8 b - -,f7g8
7k/1p2Q2p/p1pp2p1/3np3/4P3/1P1PN3/1PP3PP/6K1 b - -,d5e7
r3r3/4kp2/p2p1p1p/2q1pP2/bpP5/3R4/P2Q2PP/1B5K w - -,d3d5
8/2k2p2/1p2p1p1/4P1P1/b1P1p3/N1K1P3/8/8 w - -,a3b1
4b3/1p5p/5k2/p1p1b1p1/P1P3P1/1P3P1P/4RK2/8 w - -,f2g2
2b4r/1p6/2p1np2/p1k1p1pp/P1P1P1P1/1P1RKP1P/2N5/5B2 b - -,h5g4
r2qkb1r/1p3p2/p1np2p1/2pBp2p/P3P2P/2PP4/1P3PP1/R1BQK2R b KQkq -,f8h6
5rk1/pp3ppp/2n5/q3P3/5P2/4P3/P2rBKPP/R1QR4 b - -,f8d8
4r1k1/3n1pp1/1q5p/p1pp4/P7/2Pn1Q1P/1P1B2P1/1R4K1 w - -,f3d3
2r5/1KP1p2p/4k1p1/1R3p2/8/6P1/7P/8 b - -,c8c7
2r3k1/2q1bppp/p7/6P1/1p6/4Q3/PPP4P/2KR3R w - -,d1d2
8/4Bpbk/2b1p2p/p1P1P3/5P2/2R5/2NK4/5r2 w - -,c2d4
r7/5R2/2p3Pk/1p1P4/p1P3P1/P7/1P6/6K1 w - -,f7c7
2b4Q/3k1q2/r1pPr2p/p1P2p2/1p1B3P/5B2/PP3P2/1K4R1 b - -,e6g6
4rnk1/p3pp1p/3pb1p1/1pqN2P1/2r1PP2/3R2N1/PPP4Q/2K4R w - -,c2c3
4r1k1/1p1bpp1p/6p1/pPnRp3/2P5/P4P2/4B1PP/5RK1 b - -,b7b6
8/5PK1/4k2B/8/1b6/8/8/8 b - -,e6f5
8/1p6/8/p7/P7/1P1p1k1K/6p1/6R1 b - -,d3d2
8/6r1/5p2/2p1k3/2p1Pb1p/2P2R2/1P2RP2/7K w - -,f3h3
r3r1k1/3n1pb1/pq1N4/2pP3p/2N2npP/6P1/RP1QPP2/4R1K1 b - -,f4h3
r1r5/pp1R1pkp/6p1/2n5/8/1P3N1P/P4PP1/R5K1 w - -,d7e7
4k2r/p2n1ppp/bpn1p3/3pP3/3P1N2/P4N2/1P3PPP/RB4K1 w k -,b1a2
8/8/2r3kp/R7/P4PPK/8/8/8 b - -,c6c1
6k1/7p/1p1Np1p1/2p1P3/2P5/3n2PP/r4P2/5RK1 w - -,f2f4
1rb2rk1/2qn1pbp/p2ppnp1/N7/2P1P3/2N1BP2/1P2B1PP/R2Q1RK1 w - -,d1d2
1Q6/5pk1/4n1p1/3pPp1p/3P1R2/6P1/r5PK/2r5 w - -,f4f3
r1b2r1k/p4p1p/2Np1bp1/4p3/1P1p1P2/1N1P2P1/P1P4P/R4RK1 b - f3,h8g7
r3r3/6R1/4p1pP/ppk5/2n5/2P5/P4PP1/2B1R1K1 b - -,b5b4
r1b2k1r/1p2p1bp/p1n1Pnp1/P1p5/2B5/2N2N2/1PP3PP/R1BK3R b - -,c6d4
r1bqk2r/5pbp/2np1p2/p2Np3/1pP1P3/3B4/PPN2PPP/R2QK2R b KQkq -,c8e6
r1bqr3/5pkp/1pn3p1/p1pn4/8/P2PPNP1/1P4BP/1RQN1RK1 b - -,c8g4
1q5k/1r5p/3pPp2/2p2N2/4P3/1pQ3PP/5P2/R5K1 w - -,c3f6
6rk/3p3n/p3pq1p/2p4Q/4P3/P2N4/2P5/4R2K b - -,g8g5
1q2r3/pp2rpk1/8/3p1Bp1/PQ1Pn1Pp/4P3/2R1KPP1/7R w - -,h1h3
2r4k/ppp1R2P/3p3n/5p2/2P5/3B4/PP3P2/2K5 w - -,c1d2
5k2/8/4pb1p/5p2/5P2/3RP1K1/1r3N1P/8 b - -,f6h4
rnb2rk1/ppq4p/2p1p3/3pP1p1/2P2p2/2P1PP2/P3BBPP/R2QK2R w KQ -,e3f4
r1bq1rk1/p1nnppbp/3p2p1/1PpP4/4PP2/2N1BN2/PP2B1PP/R2Q1RK1 b - -,a7a6
4rb1R/2B2kp1/p4p2/3ppP2/2p3P1/P1P5/1P1K4/8 b - -,f8c5
r4rk1/pbq1ppbp/1pnp1np1/2p5/3P4/2P1PN1P/PP1NBPPB/R2Q1RK1 w - -,d1c2
1rr3k1/4bppp/R1b2n2/2Pp4/8/1qN1BP2/1P1Q2PP/1R3BK1 b - -,f6d7
8/8/2R3P1/6K1/3p2r1/1P4k1/P7/8 w - -,g5f6
4r1k1/2p3pp/1p6/5Q2/2b1p3/3qB2P/PP4P1/4R1KR b - -,e8f8
1k6/8/6pp/1Rp5/7P/3B4/1r1r4/5K2 b - -,b2b5
8/8/1k1p1Pb1/1Pp1p2p/5r1P/P3KP2/8/6R1 w - -,g1g6
r2r2k1/p2qbpp1/4p2p/3p4/8/1P1QP2P/PB3PP1/2R2RK1 b - -,d7b7
r1b1r1k1/pp1n1ppp/2pq1n2/3p4/3P4/2NBPN2/PP3PPP/R2Q1RK1 w - -,d1c2
6k1/6b1/1r1N2p1/p2P3p/7P/Pr3PP1/1n2R1K1/1RB5 w - -,d6c8
3rr1k1/pb2np1p/1p4p1/2qpB3/8/PB1Q1N2/1P2NPPP/R5K1 b - -,e7c6
r3k2r/1p1nbpp1/1pn1p2p/3p1b2/3N4/PN1PB1P1/1P2PPBP/R3K2R b KQkq -,f5g6
rnbqkbnr/pp3ppp/8/1B1pp3/3P4/8/PPP2PPP/RNBQK1NR b KQkq -,b8c6
